Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Albania,0,0,0,0,0,0
2020-01-23,Albania,0,0,0,0,0,0
2020-01-24,Albania,0,0,0,0,0,0
2020-01-25,Albania,0,0,0,0,0,0
2020-01-26,Albania,0,0,0,0,0,0
2020-01-27,Albania,0,0,0,0,0,0
2020-01-28,Albania,0,0,0,0,0,0
2020-01-29,Albania,0,0,0,0,0,0
2020-01-30,Albania,0,0,0,0,0,0
2020-01-31,Albania,0,0,0,0,0,0
2020-02-01,Albania,0,0,0,0,0,0
2020-02-02,Albania,0,0,0,0,0,0
2020-02-03,Albania,0,0,0,0,0,0
2020-02-04,Albania,0,0,0,0,0,0
2020-02-05,Albania,0,0,0,0,0,0
2020-02-06,Albania,0,0,0,0,0,0
2020-02-07,Albania,0,0,0,0,0,0
2020-02-08,Albania,0,0,0,0,0,0
2020-02-09,Albania,0,0,0,0,0,0
2020-02-10,Albania,0,0,0,0,0,0
2020-02-11,Albania,0,0,0,0,0,0
2020-02-12,Albania,0,0,0,0,0,0
2020-02-13,Albania,0,0,0,0,0,0
2020-02-14,Albania,0,0,0,0,0,0
2020-02-15,Albania,0,0,0,0,0,0
2020-02-16,Albania,0,0,0,0,0,0
2020-02-17,Albania,0,0,0,0,0,0
2020-02-18,Albania,0,0,0,0,0,0
2020-02-19,Albania,0,0,0,0,0,0
2020-02-20,Albania,0,0,0,0,0,0
2020-02-21,Albania,0,0,0,0,0,0
2020-02-22,Albania,0,0,0,0,0,0
2020-02-23,Albania,0,0,0,0,0,0
2020-02-24,Albania,0,0,0,0,0,0
2020-02-25,Albania,0,0,0,0,0,0
2020-02-26,Albania,0,0,0,0,0,0
2020-02-27,Albania,0,0,0,0,0,0
2020-02-28,Albania,0,0,0,0,0,0
2020-02-29,Albania,0,0,0,0,0,0
2020-03-01,Albania,0,0,0,0,0,0
2020-03-02,Albania,0,0,0,0,0,0
2020-03-03,Albania,0,0,0,0,0,0
2020-03-04,Albania,0,0,0,0,0,0
2020-03-05,Albania,0,0,0,0,0,0
2020-03-06,Albania,0,0,0,0,0,0
2020-03-07,Albania,0,0,0,0,0,0
2020-03-08,Albania,0,0,0,0,0,0
2020-03-09,Albania,2,0,2,0,0,0
2020-03-10,Albania,10,0,8,0,1,0
2020-03-11,Albania,12,1,2,1,2,0
2020-03-12,Albania,23,1,11,0,3,0
2020-03-13,Albania,33,1,10,0,5,0
2020-03-14,Albania,38,1,5,0,5,0
2020-03-15,Albania,42,1,4,0,6,0
2020-03-16,Albania,51,1,9,0,7,0
2020-03-17,Albania,55,1,4,0,6,0
2020-03-18,Albania,59,2,4,1,7,0
2020-03-19,Albania,64,2,5,0,6,0
2020-03-20,Albania,70,2,6,0,5,0
2020-03-21,Albania,76,2,6,0,5,0
2020-03-22,Albania,89,2,13,0,7,0
2020-03-23,Albania,104,4,15,2,8,0
2020-03-24,Albania,123,5,19,1,10,1
2020-03-25,Albania,146,5,23,0,12,0
2020-03-26,Albania,174,6,28,1,16,1
2020-03-27,Albania,186,8,12,2,17,1
2020-03-28,Albania,197,10,11,2,17,1
2020-03-29,Albania,212,10,15,0,18,1
2020-03-30,Albania,223,11,11,1,17,1
2020-03-31,Albania,243,15,20,4,17,1
2020-04-01,Albania,259,15,16,0,16,1
2020-04-02,Albania,277,16,18,1,15,1
2020-04-03,Albania,304,17,27,1,17,1
2020-04-04,Albania,333,20,29,3,19,1
2020-04-05,Albania,361,20,28,0,21,1
2020-04-06,Albania,377,21,16,1,22,1
2020-04-07,Albania,383,22,6,1,20,1
2020-04-08,Albania,400,22,17,0,20,1
2020-04-09,Albania,409,23,9,1,19,1
2020-04-10,Albania,416,23,7,0,16,1
2020-04-11,Albania,433,23,17,0,14,0
2020-04-12,Albania,446,23,13,0,12,0
2020-04-13,Albania,467,23,21,0,13,0
2020-04-14,Albania,475,24,8,1,13,0
2020-04-15,Albania,494,25,19,1,13,0
2020-04-16,Albania,518,26,24,1,16,0
2020-04-17,Albania,539,26,21,0,18,0
2020-04-18,Albania,548,26,9,0,16,0
2020-04-19,Albania,562,26,14,0,17,0
2020-04-20,Albania,584,26,22,0,17,0
2020-04-21,Albania,609,26,25,0,19,0
2020-04-22,Albania,634,27,25,1,20,0
2020-04-23,Albania,663,27,29,0,21,0
2020-04-24,Albania,678,27,15,0,20,0
2020-04-25,Albania,712,27,34,0,23,0
2020-04-26,Albania,726,28,14,1,23,0
2020-04-27,Albania,736,28,10,0,22,0
2020-04-28,Albania,750,30,14,2,20,1
2020-04-29,Albania,766,30,16,0,19,0
2020-04-30,Albania,773,31,7,1,16,1
2020-05-01,Albania,782,31,9,0,15,1
2020-05-02,Albania,789,31,7,0,11,1
2020-05-03,Albania,795,31,6,0,10,0
2020-05-04,Albania,803,31,8,0,10,0
2020-05-05,Albania,820,31,17,0,10,0
2020-05-06,Albania,832,31,12,0,9,0
2020-05-07,Albania,842,31,10,0,10,0
2020-05-08,Albania,850,31,8,0,10,0
2020-05-09,Albania,856,31,6,0,10,0
2020-05-10,Albania,868,31,12,0,10,0
2020-05-11,Albania,872,31,4,0,10,0
2020-05-12,Albania,876,31,4,0,8,0
2020-05-13,Albania,880,31,4,0,7,0
2020-05-14,Albania,898,31,18,0,8,0
2020-05-15,Albania,916,31,18,0,9,0
2020-05-16,Albania,933,31,17,0,11,0
2020-05-17,Albania,946,31,13,0,11,0
2020-05-18,Albania,948,31,2,0,11,0
2020-05-19,Albania,949,31,1,0,10,0
2020-05-20,Albania,964,31,15,0,12,0
2020-05-21,Albania,969,31,5,0,10,0
2020-05-22,Albania,981,31,12,0,9,0
2020-05-23,Albania,989,31,8,0,8,0
