Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Algeria,0,0,0,0,0,0
2020-01-23,Algeria,0,0,0,0,0,0
2020-01-24,Algeria,0,0,0,0,0,0
2020-01-25,Algeria,0,0,0,0,0,0
2020-01-26,Algeria,0,0,0,0,0,0
2020-01-27,Algeria,0,0,0,0,0,0
2020-01-28,Algeria,0,0,0,0,0,0
2020-01-29,Algeria,0,0,0,0,0,0
2020-01-30,Algeria,0,0,0,0,0,0
2020-01-31,Algeria,0,0,0,0,0,0
2020-02-01,Algeria,0,0,0,0,0,0
2020-02-02,Algeria,0,0,0,0,0,0
2020-02-03,Algeria,0,0,0,0,0,0
2020-02-04,Algeria,0,0,0,0,0,0
2020-02-05,Algeria,0,0,0,0,0,0
2020-02-06,Algeria,0,0,0,0,0,0
2020-02-07,Algeria,0,0,0,0,0,0
2020-02-08,Algeria,0,0,0,0,0,0
2020-02-09,Algeria,0,0,0,0,0,0
2020-02-10,Algeria,0,0,0,0,0,0
2020-02-11,Algeria,0,0,0,0,0,0
2020-02-12,Algeria,0,0,0,0,0,0
2020-02-13,Algeria,0,0,0,0,0,0
2020-02-14,Algeria,0,0,0,0,0,0
2020-02-15,Algeria,0,0,0,0,0,0
2020-02-16,Algeria,0,0,0,0,0,0
2020-02-17,Algeria,0,0,0,0,0,0
2020-02-18,Algeria,0,0,0,0,0,0
2020-02-19,Algeria,0,0,0,0,0,0
2020-02-20,Algeria,0,0,0,0,0,0
2020-02-21,Algeria,0,0,0,0,0,0
2020-02-22,Algeria,0,0,0,0,0,0
2020-02-23,Algeria,0,0,0,0,0,0
2020-02-24,Algeria,0,0,0,0,0,0
2020-02-25,Algeria,1,0,1,0,0,0
2020-02-26,Algeria,1,0,0,0,0,0
2020-02-27,Algeria,1,0,0,0,0,0
2020-02-28,Algeria,1,0,0,0,0,0
2020-02-29,Algeria,1,0,0,0,0,0
2020-03-01,Algeria,1,0,0,0,0,0
2020-03-02,Algeria,3,0,2,0,0,0
2020-03-03,Algeria,5,0,2,0,1,0
2020-03-04,Algeria,12,0,7,0,2,0
2020-03-05,Algeria,12,0,0,0,2,0
2020-03-06,Algeria,17,0,5,0,2,0
2020-03-07,Algeria,17,0,0,0,2,0
2020-03-08,Algeria,19,0,2,0,3,0
2020-03-09,Algeria,20,0,1,0,2,0
2020-03-10,Algeria,20,0,0,0,2,0
2020-03-11,Algeria,20,0,0,0,1,0
2020-03-12,Algeria,24,1,4,1,2,0
2020-03-13,Algeria,26,2,2,1,1,0
2020-03-14,Algeria,37,3,11,1,3,0
2020-03-15,Algeria,48,4,11,1,4,1
2020-03-16,Algeria,54,4,6,0,5,1
2020-03-17,Algeria,60,4,6,0,6,1
2020-03-18,Algeria,74,7,14,3,8,1
2020-03-19,Algeria,87,9,13,2,9,1
2020-03-20,Algeria,90,11,3,2,9,1
2020-03-21,Algeria,139,15,49,4,15,2
2020-03-22,Algeria,201,17,62,2,22,2
2020-03-23,Algeria,230,17,29,0,25,2
2020-03-24,Algeria,264,19,34,2,29,2
2020-03-25,Algeria,302,21,38,2,33,2
2020-03-26,Algeria,367,25,65,4,40,2
2020-03-27,Algeria,409,26,42,1,46,2
2020-03-28,Algeria,454,29,45,3,45,2
2020-03-29,Algeria,511,31,57,2,44,2
2020-03-30,Algeria,584,35,73,4,51,3
2020-03-31,Algeria,716,44,132,9,65,4
2020-04-01,Algeria,847,58,131,14,78,5
2020-04-02,Algeria,986,86,139,28,88,9
2020-04-03,Algeria,1171,105,185,19,109,11
2020-04-04,Algeria,1251,130,80,25,114,14
2020-04-05,Algeria,1320,152,69,22,116,17
2020-04-06,Algeria,1423,173,103,21,120,20
2020-04-07,Algeria,1468,193,45,20,107,21
2020-04-08,Algeria,1572,205,104,12,104,21
2020-04-09,Algeria,1666,235,94,30,97,21
2020-04-10,Algeria,1761,256,95,21,84,22
2020-04-11,Algeria,1825,275,64,19,82,21
2020-04-12,Algeria,1914,293,89,18,85,20
2020-04-13,Algeria,1983,313,69,20,80,20
2020-04-14,Algeria,2070,326,87,13,86,19
2020-04-15,Algeria,2160,336,90,10,84,19
2020-04-16,Algeria,2268,348,108,12,86,16
2020-04-17,Algeria,2418,364,150,16,94,15
2020-04-18,Algeria,2534,367,116,3,101,13
2020-04-19,Algeria,2629,375,95,8,102,12
2020-04-20,Algeria,2718,384,89,9,105,10
2020-04-21,Algeria,2811,392,93,8,106,9
2020-04-22,Algeria,2910,402,99,10,107,9
2020-04-23,Algeria,3007,407,97,5,106,8
2020-04-24,Algeria,3127,415,120,8,101,7
2020-04-25,Algeria,3256,419,129,4,103,7
2020-04-26,Algeria,3382,425,126,6,108,7
2020-04-27,Algeria,3517,432,135,7,114,7
2020-04-28,Algeria,3649,437,132,5,120,6
2020-04-29,Algeria,3848,444,199,7,134,6
2020-04-30,Algeria,4006,450,158,6,143,6
2020-05-01,Algeria,4154,453,148,3,147,5
2020-05-02,Algeria,4295,459,141,6,148,6
2020-05-03,Algeria,4474,463,179,4,156,5
2020-05-04,Algeria,4648,465,174,2,162,5
2020-05-05,Algeria,4838,470,190,5,170,5
2020-05-06,Algeria,4997,476,159,6,164,5
2020-05-07,Algeria,5182,483,185,7,168,5
2020-05-08,Algeria,5369,488,187,5,174,5
2020-05-09,Algeria,5558,494,189,6,180,5
2020-05-10,Algeria,5723,502,165,8,178,6
2020-05-11,Algeria,5891,507,168,5,178,6
2020-05-12,Algeria,6067,515,176,8,176,6
2020-05-13,Algeria,6253,522,186,7,179,7
2020-05-14,Algeria,6442,529,189,7,180,7
2020-05-15,Algeria,6629,536,187,7,180,7
2020-05-16,Algeria,6821,542,192,6,180,7
2020-05-17,Algeria,7019,548,198,6,185,7
2020-05-18,Algeria,7201,555,182,7,187,7
2020-05-19,Algeria,7377,561,176,6,187,7
2020-05-20,Algeria,7542,568,165,7,184,7
2020-05-21,Algeria,7728,575,186,7,184,7
