Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Andorra,0,0,0,0,0,0
2020-01-23,Andorra,0,0,0,0,0,0
2020-01-24,Andorra,0,0,0,0,0,0
2020-01-25,Andorra,0,0,0,0,0,0
2020-01-26,Andorra,0,0,0,0,0,0
2020-01-27,Andorra,0,0,0,0,0,0
2020-01-28,Andorra,0,0,0,0,0,0
2020-01-29,Andorra,0,0,0,0,0,0
2020-01-30,Andorra,0,0,0,0,0,0
2020-01-31,Andorra,0,0,0,0,0,0
2020-02-01,Andorra,0,0,0,0,0,0
2020-02-02,Andorra,0,0,0,0,0,0
2020-02-03,Andorra,0,0,0,0,0,0
2020-02-04,Andorra,0,0,0,0,0,0
2020-02-05,Andorra,0,0,0,0,0,0
2020-02-06,Andorra,0,0,0,0,0,0
2020-02-07,Andorra,0,0,0,0,0,0
2020-02-08,Andorra,0,0,0,0,0,0
2020-02-09,Andorra,0,0,0,0,0,0
2020-02-10,Andorra,0,0,0,0,0,0
2020-02-11,Andorra,0,0,0,0,0,0
2020-02-12,Andorra,0,0,0,0,0,0
2020-02-13,Andorra,0,0,0,0,0,0
2020-02-14,Andorra,0,0,0,0,0,0
2020-02-15,Andorra,0,0,0,0,0,0
2020-02-16,Andorra,0,0,0,0,0,0
2020-02-17,Andorra,0,0,0,0,0,0
2020-02-18,Andorra,0,0,0,0,0,0
2020-02-19,Andorra,0,0,0,0,0,0
2020-02-20,Andorra,0,0,0,0,0,0
2020-02-21,Andorra,0,0,0,0,0,0
2020-02-22,Andorra,0,0,0,0,0,0
2020-02-23,Andorra,0,0,0,0,0,0
2020-02-24,Andorra,0,0,0,0,0,0
2020-02-25,Andorra,0,0,0,0,0,0
2020-02-26,Andorra,0,0,0,0,0,0
2020-02-27,Andorra,0,0,0,0,0,0
2020-02-28,Andorra,0,0,0,0,0,0
2020-02-29,Andorra,0,0,0,0,0,0
2020-03-01,Andorra,0,0,0,0,0,0
2020-03-02,Andorra,1,0,1,0,0,0
2020-03-03,Andorra,1,0,0,0,0,0
2020-03-04,Andorra,1,0,0,0,0,0
2020-03-05,Andorra,1,0,0,0,0,0
2020-03-06,Andorra,1,0,0,0,0,0
2020-03-07,Andorra,1,0,0,0,0,0
2020-03-08,Andorra,1,0,0,0,0,0
2020-03-09,Andorra,1,0,0,0,0,0
2020-03-10,Andorra,1,0,0,0,0,0
2020-03-11,Andorra,1,0,0,0,0,0
2020-03-12,Andorra,1,0,0,0,0,0
2020-03-13,Andorra,1,0,0,0,0,0
2020-03-14,Andorra,1,0,0,0,0,0
2020-03-15,Andorra,1,0,0,0,0,0
2020-03-16,Andorra,2,0,1,0,0,0
2020-03-17,Andorra,39,0,37,0,5,0
2020-03-18,Andorra,39,0,0,0,5,0
2020-03-19,Andorra,53,0,14,0,7,0
2020-03-20,Andorra,75,0,22,0,11,0
2020-03-21,Andorra,88,0,13,0,12,0
2020-03-22,Andorra,113,1,25,1,16,0
2020-03-23,Andorra,133,1,20,0,19,0
2020-03-24,Andorra,164,1,31,0,18,0
2020-03-25,Andorra,188,1,24,0,21,0
