Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Antigua and Barbuda,0,0,0,0,0,0
2020-01-23,Antigua and Barbuda,0,0,0,0,0,0
2020-01-24,Antigua and Barbuda,0,0,0,0,0,0
2020-01-25,Antigua and Barbuda,0,0,0,0,0,0
2020-01-26,Antigua and Barbuda,0,0,0,0,0,0
2020-01-27,Antigua and Barbuda,0,0,0,0,0,0
2020-01-28,Antigua and Barbuda,0,0,0,0,0,0
2020-01-29,Antigua and Barbuda,0,0,0,0,0,0
2020-01-30,Antigua and Barbuda,0,0,0,0,0,0
2020-01-31,Antigua and Barbuda,0,0,0,0,0,0
2020-02-01,Antigua and Barbuda,0,0,0,0,0,0
2020-02-02,Antigua and Barbuda,0,0,0,0,0,0
2020-02-03,Antigua and Barbuda,0,0,0,0,0,0
2020-02-04,Antigua and Barbuda,0,0,0,0,0,0
2020-02-05,Antigua and Barbuda,0,0,0,0,0,0
2020-02-06,Antigua and Barbuda,0,0,0,0,0,0
2020-02-07,Antigua and Barbuda,0,0,0,0,0,0
2020-02-08,Antigua and Barbuda,0,0,0,0,0,0
2020-02-09,Antigua and Barbuda,0,0,0,0,0,0
2020-02-10,Antigua and Barbuda,0,0,0,0,0,0
2020-02-11,Antigua and Barbuda,0,0,0,0,0,0
2020-02-12,Antigua and Barbuda,0,0,0,0,0,0
2020-02-13,Antigua and Barbuda,0,0,0,0,0,0
2020-02-14,Antigua and Barbuda,0,0,0,0,0,0
2020-02-15,Antigua and Barbuda,0,0,0,0,0,0
2020-02-16,Antigua and Barbuda,0,0,0,0,0,0
2020-02-17,Antigua and Barbuda,0,0,0,0,0,0
2020-02-18,Antigua and Barbuda,0,0,0,0,0,0
2020-02-19,Antigua and Barbuda,0,0,0,0,0,0
2020-02-20,Antigua and Barbuda,0,0,0,0,0,0
2020-02-21,Antigua and Barbuda,0,0,0,0,0,0
2020-02-22,Antigua and Barbuda,0,0,0,0,0,0
2020-02-23,Antigua and Barbuda,0,0,0,0,0,0
2020-02-24,Antigua and Barbuda,0,0,0,0,0,0
2020-02-25,Antigua and Barbuda,0,0,0,0,0,0
2020-02-26,Antigua and Barbuda,0,0,0,0,0,0
2020-02-27,Antigua and Barbuda,0,0,0,0,0,0
2020-02-28,Antigua and Barbuda,0,0,0,0,0,0
