Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Argentina,0,0,0,0,0,0
2020-01-23,Argentina,0,0,0,0,0,0
2020-01-24,Argentina,0,0,0,0,0,0
2020-01-25,Argentina,0,0,0,0,0,0
2020-01-26,Argentina,0,0,0,0,0,0
2020-01-27,Argentina,0,0,0,0,0,0
2020-01-28,Argentina,0,0,0,0,0,0
2020-01-29,Argentina,0,0,0,0,0,0
2020-01-30,Argentina,0,0,0,0,0,0
2020-01-31,Argentina,0,0,0,0,0,0
2020-02-01,Argentina,0,0,0,0,0,0
2020-02-02,Argentina,0,0,0,0,0,0
2020-02-03,Argentina,0,0,0,0,0,0
2020-02-04,Argentina,0,0,0,0,0,0
2020-02-05,Argentina,0,0,0,0,0,0
2020-02-06,Argentina,0,0,0,0,0,0
2020-02-07,Argentina,0,0,0,0,0,0
2020-02-08,Argentina,0,0,0,0,0,0
2020-02-09,Argentina,0,0,0,0,0,0
2020-02-10,Argentina,0,0,0,0,0,0
2020-02-11,Argentina,0,0,0,0,0,0
2020-02-12,Argentina,0,0,0,0,0,0
2020-02-13,Argentina,0,0,0,0,0,0
2020-02-14,Argentina,0,0,0,0,0,0
2020-02-15,Argentina,0,0,0,0,0,0
2020-02-16,Argentina,0,0,0,0,0,0
2020-02-17,Argentina,0,0,0,0,0,0
2020-02-18,Argentina,0,0,0,0,0,0
2020-02-19,Argentina,0,0,0,0,0,0
2020-02-20,Argentina,0,0,0,0,0,0
2020-02-21,Argentina,0,0,0,0,0,0
2020-02-22,Argentina,0,0,0,0,0,0
2020-02-23,Argentina,0,0,0,0,0,0
2020-02-24,Argentina,0,0,0,0,0,0
2020-02-25,Argentina,0,0,0,0,0,0
2020-02-26,Argentina,0,0,0,0,0,0
2020-02-27,Argentina,0,0,0,0,0,0
2020-02-28,Argentina,0,0,0,0,0,0
2020-02-29,Argentina,0,0,0,0,0,0
2020-03-01,Argentina,0,0,0,0,0,0
2020-03-02,Argentina,0,0,0,0,0,0
2020-03-03,Argentina,1,0,1,0,0,0
2020-03-04,Argentina,1,0,0,0,0,0
2020-03-05,Argentina,1,0,0,0,0,0
2020-03-06,Argentina,2,0,1,0,0,0
2020-03-07,Argentina,8,0,6,0,1,0
2020-03-08,Argentina,12,1,4,1,2,0
2020-03-09,Argentina,12,1,0,0,2,0
2020-03-10,Argentina,17,1,5,0,2,0
2020-03-11,Argentina,19,1,2,0,3,0
2020-03-12,Argentina,19,1,0,0,3,0
2020-03-13,Argentina,31,2,12,1,4,0
2020-03-14,Argentina,34,2,3,0,4,0
2020-03-15,Argentina,45,2,11,0,5,0
2020-03-16,Argentina,56,2,11,0,6,0
2020-03-17,Argentina,68,2,12,0,7,0
2020-03-18,Argentina,79,2,11,0,9,0
2020-03-19,Argentina,97,3,18,1,11,0
2020-03-20,Argentina,128,3,31,0,14,0
2020-03-21,Argentina,158,4,30,1,18,0
2020-03-22,Argentina,266,4,108,0,32,0
2020-03-23,Argentina,301,4,35,0,35,0
2020-03-24,Argentina,387,6,86,2,46,1
2020-03-25,Argentina,387,8,0,2,44,1
2020-03-26,Argentina,502,9,115,1,58,1
2020-03-27,Argentina,589,13,87,4,66,1
