Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Armenia,0,0,0,0,0,0
2020-01-23,Armenia,0,0,0,0,0,0
2020-01-24,Armenia,0,0,0,0,0,0
2020-01-25,Armenia,0,0,0,0,0,0
2020-01-26,Armenia,0,0,0,0,0,0
2020-01-27,Armenia,0,0,0,0,0,0
2020-01-28,Armenia,0,0,0,0,0,0
2020-01-29,Armenia,0,0,0,0,0,0
2020-01-30,Armenia,0,0,0,0,0,0
2020-01-31,Armenia,0,0,0,0,0,0
2020-02-01,Armenia,0,0,0,0,0,0
2020-02-02,Armenia,0,0,0,0,0,0
2020-02-03,Armenia,0,0,0,0,0,0
2020-02-04,Armenia,0,0,0,0,0,0
2020-02-05,Armenia,0,0,0,0,0,0
2020-02-06,Armenia,0,0,0,0,0,0
2020-02-07,Armenia,0,0,0,0,0,0
2020-02-08,Armenia,0,0,0,0,0,0
2020-02-09,Armenia,0,0,0,0,0,0
2020-02-10,Armenia,0,0,0,0,0,0
2020-02-11,Armenia,0,0,0,0,0,0
2020-02-12,Armenia,0,0,0,0,0,0
2020-02-13,Armenia,0,0,0,0,0,0
2020-02-14,Armenia,0,0,0,0,0,0
2020-02-15,Armenia,0,0,0,0,0,0
2020-02-16,Armenia,0,0,0,0,0,0
2020-02-17,Armenia,0,0,0,0,0,0
2020-02-18,Armenia,0,0,0,0,0,0
2020-02-19,Armenia,0,0,0,0,0,0
2020-02-20,Armenia,0,0,0,0,0,0
2020-02-21,Armenia,0,0,0,0,0,0
2020-02-22,Armenia,0,0,0,0,0,0
2020-02-23,Armenia,0,0,0,0,0,0
2020-02-24,Armenia,0,0,0,0,0,0
2020-02-25,Armenia,0,0,0,0,0,0
2020-02-26,Armenia,0,0,0,0,0,0
2020-02-27,Armenia,0,0,0,0,0,0
2020-02-28,Armenia,0,0,0,0,0,0
2020-02-29,Armenia,0,0,0,0,0,0
2020-03-01,Armenia,1,0,1,0,0,0
2020-03-02,Armenia,1,0,0,0,0,0
2020-03-03,Armenia,1,0,0,0,0,0
2020-03-04,Armenia,1,0,0,0,0,0
2020-03-05,Armenia,1,0,0,0,0,0
2020-03-06,Armenia,1,0,0,0,0,0
2020-03-07,Armenia,1,0,0,0,0,0
2020-03-08,Armenia,1,0,0,0,0,0
2020-03-09,Armenia,1,0,0,0,0,0
2020-03-10,Armenia,1,0,0,0,0,0
2020-03-11,Armenia,1,0,0,0,0,0
2020-03-12,Armenia,4,0,3,0,0,0
2020-03-13,Armenia,8,0,4,0,1,0
2020-03-14,Armenia,18,0,10,0,2,0
2020-03-15,Armenia,26,0,8,0,4,0
2020-03-16,Armenia,52,0,26,0,7,0
2020-03-17,Armenia,78,0,26,0,11,0
2020-03-18,Armenia,84,0,6,0,12,0
2020-03-19,Armenia,115,0,31,0,16,0
2020-03-20,Armenia,136,0,21,0,18,0
2020-03-21,Armenia,160,0,24,0,20,0
2020-03-22,Armenia,194,0,34,0,24,0
2020-03-23,Armenia,235,0,41,0,26,0
2020-03-24,Armenia,249,0,14,0,24,0
2020-03-25,Armenia,265,0,16,0,26,0
2020-03-26,Armenia,290,1,25,1,25,0
2020-03-27,Armenia,329,1,39,0,28,0
2020-03-28,Armenia,407,1,78,0,35,0
2020-03-29,Armenia,424,3,17,2,33,0
2020-03-30,Armenia,482,3,58,0,35,0
2020-03-31,Armenia,532,3,50,0,40,0
2020-04-01,Armenia,571,4,39,1,44,1
2020-04-02,Armenia,663,7,92,3,53,1
2020-04-03,Armenia,736,7,73,0,58,1
2020-04-04,Armenia,770,7,34,0,52,1
2020-04-05,Armenia,822,7,52,0,57,1
2020-04-06,Armenia,833,8,11,1,50,1
2020-04-07,Armenia,853,8,20,0,46,1
2020-04-08,Armenia,881,9,28,1,44,1
2020-04-09,Armenia,921,10,40,1,37,0
2020-04-10,Armenia,937,12,16,2,29,1
2020-04-11,Armenia,967,13,30,1,28,1
2020-04-12,Armenia,1013,13,46,0,27,1
2020-04-13,Armenia,1039,14,26,1,29,1
2020-04-14,Armenia,1067,16,28,2,31,1
2020-04-15,Armenia,1111,17,44,1,33,1
2020-04-16,Armenia,1159,18,48,1,34,1
2020-04-17,Armenia,1201,19,42,1,38,1
2020-04-18,Armenia,1248,20,47,1,40,1
2020-04-19,Armenia,1291,20,43,0,40,1
2020-04-20,Armenia,1339,22,48,2,43,1
2020-04-21,Armenia,1401,24,62,2,48,1
2020-04-22,Armenia,1473,24,72,0,52,1
2020-04-23,Armenia,1523,24,50,0,52,1
2020-04-24,Armenia,1596,27,73,3,56,1
2020-04-25,Armenia,1677,28,81,1,61,1
2020-04-26,Armenia,1746,28,69,0,65,1
2020-04-27,Armenia,1808,29,62,1,67,1
2020-04-28,Armenia,1867,30,59,1,67,1
2020-04-29,Armenia,1932,30,65,0,66,1
2020-04-30,Armenia,2066,32,134,2,78,1
2020-05-01,Armenia,2148,33,82,1,79,1
2020-05-02,Armenia,2273,33,125,0,85,1
2020-05-03,Armenia,2386,35,113,2,91,1
2020-05-04,Armenia,2507,39,121,4,100,1
2020-05-05,Armenia,2619,40,112,1,107,1
2020-05-06,Armenia,2782,40,163,0,121,1
2020-05-07,Armenia,2884,42,102,2,117,1
2020-05-08,Armenia,3029,43,145,1,126,1
2020-05-09,Armenia,3175,44,146,1,129,2
2020-05-10,Armenia,3313,45,138,1,132,1
2020-05-11,Armenia,3392,46,79,1,126,1
2020-05-12,Armenia,3538,47,146,1,131,1
2020-05-13,Armenia,3718,48,180,1,134,1
2020-05-14,Armenia,3860,49,142,1,139,1
2020-05-15,Armenia,4044,52,184,3,145,1
2020-05-16,Armenia,4283,55,239,3,158,2
2020-05-17,Armenia,4472,60,189,5,166,2
2020-05-18,Armenia,4823,61,351,1,204,2
2020-05-19,Armenia,5041,64,218,3,215,2
2020-05-20,Armenia,5271,67,230,3,222,3
2020-05-21,Armenia,5606,70,335,3,249,3
2020-05-22,Armenia,5928,74,322,4,269,3
2020-05-23,Armenia,6302,77,374,3,288,3
2020-05-24,Armenia,6661,81,359,4,313,3
2020-05-25,Armenia,7113,87,452,6,327,4
2020-05-26,Armenia,7402,91,289,4,337,4
2020-05-27,Armenia,7774,98,372,7,358,4
2020-05-28,Armenia,8216,113,442,15,373,6
2020-05-29,Armenia,8676,120,460,7,393,7
2020-05-30,Armenia,8927,127,251,7,375,7
2020-05-31,Armenia,9282,131,355,4,374,7
2020-06-01,Armenia,9492,139,210,8,340,7
2020-06-02,Armenia,10009,158,517,19,372,10
2020-06-03,Armenia,10524,170,515,12,393,10
2020-06-04,Armenia,11221,176,697,6,429,9
2020-06-05,Armenia,11817,183,596,7,449,9
2020-06-06,Armenia,12364,190,547,7,491,9
2020-06-07,Armenia,13130,200,766,10,550,10
2020-06-08,Armenia,13325,211,195,11,548,10
2020-06-09,Armenia,13675,217,350,6,524,8
2020-06-10,Armenia,14103,227,428,10,511,8
2020-06-11,Armenia,14669,245,566,18,493,10
2020-06-12,Armenia,15281,258,612,13,495,11
2020-06-13,Armenia,16004,264,723,6,520,11
2020-06-14,Armenia,16667,269,663,5,505,10
2020-06-15,Armenia,17064,285,397,16,534,11
2020-06-16,Armenia,17489,293,425,8,545,11
2020-06-17,Armenia,18033,302,544,9,561,11
2020-06-18,Armenia,18698,309,665,7,576,9
2020-06-19,Armenia,19157,319,459,10,554,9
2020-06-20,Armenia,19708,332,551,13,529,10
2020-06-21,Armenia,20268,350,560,18,514,12
2020-06-22,Armenia,20588,360,320,10,503,11
2020-06-23,Armenia,21006,372,418,12,502,11
2020-06-24,Armenia,21717,386,711,14,526,12
2020-06-25,Armenia,22488,397,771,11,541,13
2020-06-26,Armenia,23247,410,759,13,584,13
2020-06-27,Armenia,23909,421,662,11,600,13
2020-06-28,Armenia,24645,426,736,5,625,11
2020-06-29,Armenia,25127,433,482,7,648,10
2020-06-30,Armenia,25542,443,415,10,648,10
2020-07-01,Armenia,26065,453,523,10,621,10
2020-07-02,Armenia,26658,459,593,6,596,9
2020-07-03,Armenia,27320,469,662,10,582,8
2020-07-04,Armenia,27900,477,580,8,570,8
2020-07-05,Armenia,28606,484,706,7,566,8
2020-07-06,Armenia,28936,491,330,7,544,8
2020-07-07,Armenia,29285,503,349,12,535,9
2020-07-08,Armenia,29820,521,535,18,536,10
2020-07-09,Armenia,30346,535,526,14,527,11
2020-07-10,Armenia,30903,546,557,11,512,11
2020-07-11,Armenia,31392,559,489,13,499,12
2020-07-12,Armenia,31969,565,577,6,480,12
2020-07-13,Armenia,32151,573,182,8,459,12
2020-07-14,Armenia,32490,581,339,8,458,11
2020-07-15,Armenia,33005,592,515,11,455,10
2020-07-16,Armenia,33559,607,554,15,459,10
2020-07-17,Armenia,34001,620,442,13,443,11
2020-07-18,Armenia,34462,631,461,11,439,10
2020-07-19,Armenia,34877,641,415,10,415,11
2020-07-20,Armenia,34981,650,104,9,404,11
2020-07-21,Armenia,35254,662,273,12,395,12
2020-07-22,Armenia,35693,678,439,16,384,12
2020-07-23,Armenia,36162,688,469,10,372,12
2020-07-24,Armenia,36613,692,451,4,373,10
2020-07-25,Armenia,36996,700,383,8,362,10
2020-07-26,Armenia,37317,705,321,5,349,9
2020-07-27,Armenia,37390,711,73,6,344,9
2020-07-28,Armenia,37629,719,239,8,339,8
2020-07-29,Armenia,37937,723,308,4,321,6
2020-07-30,Armenia,38196,728,259,5,291,6
2020-07-31,Armenia,38550,738,354,10,277,7
2020-08-01,Armenia,38841,749,291,11,264,7
2020-08-02,Armenia,39050,754,209,5,248,7
2020-08-03,Armenia,39102,762,52,8,245,7
2020-08-04,Armenia,39298,768,196,6,238,7
2020-08-05,Armenia,39586,770,288,2,236,7
2020-08-06,Armenia,39819,772,233,2,232,6
2020-08-07,Armenia,39985,777,166,5,205,6
2020-08-08,Armenia,40185,785,200,8,192,5
2020-08-09,Armenia,40410,791,225,6,194,5
2020-08-10,Armenia,40433,796,23,5,190,5
2020-08-11,Armenia,40593,803,160,7,185,5
2020-08-12,Armenia,40794,806,201,3,173,5
2020-08-13,Armenia,41023,809,229,3,172,5
2020-08-14,Armenia,41299,814,276,5,188,5
2020-08-15,Armenia,41495,817,196,3,187,5
2020-08-16,Armenia,41663,818,168,1,179,4
2020-08-17,Armenia,41701,824,38,6,181,4
2020-08-18,Armenia,41846,832,145,8,179,4
2020-08-19,Armenia,42056,833,210,1,180,4
2020-08-20,Armenia,42319,836,263,3,185,4
2020-08-21,Armenia,42477,842,158,6,168,4
2020-08-22,Armenia,42616,850,139,8,160,5
2020-08-23,Armenia,42792,852,176,2,161,5
2020-08-24,Armenia,42825,854,33,2,161,4
2020-08-25,Armenia,42936,858,111,4,156,4
2020-08-26,Armenia,43067,861,131,3,144,4
2020-08-27,Armenia,43270,864,203,3,136,4
2020-08-28,Armenia,43451,869,181,5,139,4
2020-08-29,Armenia,43626,872,175,3,144,3
2020-08-30,Armenia,43750,877,124,5,137,4
2020-08-31,Armenia,43781,879,31,2,137,4
2020-09-01,Armenia,43878,881,97,2,135,3
2020-09-02,Armenia,44075,884,197,3,144,3
2020-09-03,Armenia,44271,887,196,3,143,3
2020-09-04,Armenia,44461,891,190,4,144,3
2020-09-05,Armenia,44649,895,188,4,146,3
2020-09-06,Armenia,44783,897,134,2,148,3
2020-09-07,Armenia,44845,900,62,3,152,3
2020-09-08,Armenia,44953,903,108,3,154,3
2020-09-09,Armenia,45152,905,199,2,154,3
2020-09-10,Armenia,45326,906,174,1,151,3
2020-09-11,Armenia,45503,909,177,3,149,3
2020-09-12,Armenia,45675,911,172,2,147,2
2020-09-13,Armenia,45862,916,187,5,154,3
2020-09-14,Armenia,45969,919,107,3,161,3
2020-09-15,Armenia,46119,920,150,1,167,2
2020-09-16,Armenia,46376,923,257,3,175,3
2020-09-17,Armenia,46671,925,295,2,192,3
2020-09-18,Armenia,46910,926,239,1,201,2
2020-09-19,Armenia,47154,928,244,2,211,2
2020-09-20,Armenia,47431,930,277,2,224,2
2020-09-21,Armenia,47552,936,121,6,226,2
2020-09-22,Armenia,47667,938,115,2,221,3
2020-09-23,Armenia,47877,942,210,4,214,3
2020-09-24,Armenia,48251,945,374,3,226,3
2020-09-25,Armenia,48643,947,392,2,248,3
2020-09-26,Armenia,49072,948,429,1,274,3
2020-09-27,Armenia,49400,951,328,3,281,3
2020-09-28,Armenia,49574,957,174,6,289,3
2020-09-29,Armenia,49901,958,327,1,319,3
2020-09-30,Armenia,50359,959,458,1,355,2
2020-10-01,Armenia,50850,963,491,4,371,3
2020-10-02,Armenia,51382,966,532,3,391,3
2020-10-03,Armenia,51925,972,543,6,408,3
2020-10-04,Armenia,52496,977,571,5,442,4
2020-10-05,Armenia,52677,984,181,7,443,4
2020-10-06,Armenia,53083,990,406,6,455,5
2020-10-07,Armenia,53755,995,672,5,485,5
2020-10-08,Armenia,54473,1004,718,9,518,6
2020-10-09,Armenia,55087,1010,614,6,529,6
2020-10-10,Armenia,55736,1016,649,6,544,6
2020-10-11,Armenia,56451,1020,715,4,565,6
