Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Australia,0,0,0,0,0,0
2020-01-23,Australia,0,0,0,0,0,0
2020-01-24,Australia,0,0,0,0,0,0
2020-01-25,Australia,0,0,0,0,0,0
2020-01-26,Australia,4,0,4,0,0,0
2020-01-27,Australia,5,0,1,0,0,0
2020-01-28,Australia,5,0,0,0,1,0
2020-01-29,Australia,6,0,1,0,1,0
2020-01-30,Australia,9,0,3,0,1,0
2020-01-31,Australia,9,0,0,0,1,0
2020-02-01,Australia,12,0,3,0,2,0
2020-02-02,Australia,12,0,0,0,1,0
2020-02-03,Australia,12,0,0,0,1,0
2020-02-04,Australia,13,0,1,0,1,0
2020-02-05,Australia,13,0,0,0,1,0
2020-02-06,Australia,14,0,1,0,1,0
2020-02-07,Australia,15,0,1,0,1,0
2020-02-08,Australia,15,0,0,0,0,0
2020-02-09,Australia,15,0,0,0,0,0
2020-02-10,Australia,15,0,0,0,0,0
2020-02-11,Australia,15,0,0,0,0,0
2020-02-12,Australia,15,0,0,0,0,0
2020-02-13,Australia,15,0,0,0,0,0
2020-02-14,Australia,15,0,0,0,0,0
2020-02-15,Australia,15,0,0,0,0,0
2020-02-16,Australia,15,0,0,0,0,0
2020-02-17,Australia,15,0,0,0,0,0
2020-02-18,Australia,15,0,0,0,0,0
2020-02-19,Australia,15,0,0,0,0,0
2020-02-20,Australia,15,0,0,0,0,0
2020-02-21,Australia,15,0,0,0,0,0
2020-02-22,Australia,15,0,0,0,0,0
2020-02-23,Australia,15,0,0,0,0,0
2020-02-24,Australia,15,0,0,0,0,0
2020-02-25,Australia,15,0,0,0,0,0
2020-02-26,Australia,15,0,0,0,0,0
2020-02-27,Australia,15,0,0,0,0,0
2020-02-28,Australia,15,0,0,0,0,0
2020-02-29,Australia,25,0,10,0,1,0
2020-03-01,Australia,27,1,2,1,2,0
2020-03-02,Australia,30,1,3,0,2,0
2020-03-03,Australia,39,1,9,0,3,0
2020-03-04,Australia,52,2,13,1,5,0
2020-03-05,Australia,55,2,3,0,6,0
2020-03-06,Australia,60,2,5,0,6,0
2020-03-07,Australia,63,2,3,0,5,0
2020-03-08,Australia,76,3,13,1,7,0
2020-03-09,Australia,91,3,15,0,9,0
2020-03-10,Australia,107,3,16,0,10,0
2020-03-11,Australia,128,3,21,0,11,0
2020-03-12,Australia,128,3,0,0,10,0
2020-03-13,Australia,200,3,72,0,20,0
2020-03-14,Australia,250,3,50,0,27,0
2020-03-15,Australia,297,3,47,0,32,0
2020-03-16,Australia,377,3,80,0,41,0
2020-03-17,Australia,452,5,75,2,49,0
2020-03-18,Australia,568,6,116,1,63,0
2020-03-19,Australia,681,6,113,0,79,0
2020-03-20,Australia,791,7,110,1,84,1
2020-03-21,Australia,1071,7,280,0,117,1
2020-03-22,Australia,1549,7,478,0,179,1
2020-03-23,Australia,1682,7,133,0,186,1
2020-03-24,Australia,2044,8,362,1,227,0
2020-03-25,Australia,2364,8,320,0,257,0
2020-03-26,Australia,2810,13,446,5,304,1
2020-03-27,Australia,3143,13,333,0,336,1
2020-03-28,Australia,3640,14,497,1,367,1
2020-03-29,Australia,3984,16,344,2,348,1
2020-03-30,Australia,4361,17,377,1,383,1
2020-03-31,Australia,4559,18,198,1,359,1
2020-04-01,Australia,4862,20,303,2,357,2
2020-04-02,Australia,5116,24,254,4,329,2
2020-04-03,Australia,5330,28,214,4,312,2
2020-04-04,Australia,5550,30,220,2,273,2
2020-04-05,Australia,5687,35,137,5,243,3
2020-04-06,Australia,5797,40,110,5,205,3
2020-04-07,Australia,5895,45,98,5,191,4
2020-04-08,Australia,6010,50,115,5,164,4
2020-04-09,Australia,6108,51,98,1,142,4
2020-04-10,Australia,6215,54,107,3,126,4
2020-04-11,Australia,6303,57,88,3,108,4
2020-04-12,Australia,6315,60,12,3,90,4
2020-04-13,Australia,6351,61,36,1,79,3
2020-04-14,Australia,6415,62,64,1,74,2
2020-04-15,Australia,6440,63,25,1,61,2
2020-04-16,Australia,6462,63,22,0,51,2
2020-04-17,Australia,6522,66,60,3,44,2
2020-04-18,Australia,6568,67,46,1,38,1
2020-04-19,Australia,6610,67,42,0,42,1
2020-04-20,Australia,6623,67,13,0,39,1
2020-04-21,Australia,6645,67,22,0,33,1
2020-04-22,Australia,6652,67,7,0,30,1
2020-04-23,Australia,6662,75,10,8,29,2
2020-04-24,Australia,6677,79,15,4,22,2
2020-04-25,Australia,6694,80,17,1,18,2
2020-04-26,Australia,6714,83,20,3,15,2
2020-04-27,Australia,6721,83,7,0,14,2
2020-04-28,Australia,6744,89,23,6,14,3
2020-04-29,Australia,6752,91,8,2,14,3
2020-04-30,Australia,6766,93,14,2,15,3
2020-05-01,Australia,6778,93,12,0,14,2
2020-05-02,Australia,6799,94,21,1,15,2
2020-05-03,Australia,6822,95,23,1,15,2
2020-05-04,Australia,6847,96,25,1,18,2
