Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Austria,0,0,0,0,0,0
2020-01-23,Austria,0,0,0,0,0,0
2020-01-24,Austria,0,0,0,0,0,0
2020-01-25,Austria,0,0,0,0,0,0
2020-01-26,Austria,0,0,0,0,0,0
2020-01-27,Austria,0,0,0,0,0,0
2020-01-28,Austria,0,0,0,0,0,0
2020-01-29,Austria,0,0,0,0,0,0
2020-01-30,Austria,0,0,0,0,0,0
2020-01-31,Austria,0,0,0,0,0,0
2020-02-01,Austria,0,0,0,0,0,0
2020-02-02,Austria,0,0,0,0,0,0
2020-02-03,Austria,0,0,0,0,0,0
2020-02-04,Austria,0,0,0,0,0,0
2020-02-05,Austria,0,0,0,0,0,0
2020-02-06,Austria,0,0,0,0,0,0
2020-02-07,Austria,0,0,0,0,0,0
2020-02-08,Austria,0,0,0,0,0,0
2020-02-09,Austria,0,0,0,0,0,0
2020-02-10,Austria,0,0,0,0,0,0
2020-02-11,Austria,0,0,0,0,0,0
2020-02-12,Austria,0,0,0,0,0,0
2020-02-13,Austria,0,0,0,0,0,0
2020-02-14,Austria,0,0,0,0,0,0
2020-02-15,Austria,0,0,0,0,0,0
2020-02-16,Austria,0,0,0,0,0,0
2020-02-17,Austria,0,0,0,0,0,0
2020-02-18,Austria,0,0,0,0,0,0
2020-02-19,Austria,0,0,0,0,0,0
2020-02-20,Austria,0,0,0,0,0,0
2020-02-21,Austria,0,0,0,0,0,0
2020-02-22,Austria,0,0,0,0,0,0
2020-02-23,Austria,0,0,0,0,0,0
2020-02-24,Austria,0,0,0,0,0,0
2020-02-25,Austria,2,0,2,0,0,0
2020-02-26,Austria,2,0,0,0,0,0
2020-02-27,Austria,3,0,1,0,0,0
2020-02-28,Austria,3,0,0,0,0,0
2020-02-29,Austria,9,0,6,0,1,0
2020-03-01,Austria,14,0,5,0,2,0
2020-03-02,Austria,18,0,4,0,3,0
2020-03-03,Austria,21,0,3,0,3,0
2020-03-04,Austria,29,0,8,0,4,0
2020-03-05,Austria,41,0,12,0,5,0
2020-03-06,Austria,55,0,14,0,7,0
2020-03-07,Austria,79,0,24,0,10,0
2020-03-08,Austria,104,0,25,0,13,0
2020-03-09,Austria,131,0,27,0,16,0
2020-03-10,Austria,182,0,51,0,23,0
2020-03-11,Austria,246,0,64,0,31,0
2020-03-12,Austria,302,1,56,1,37,0
2020-03-13,Austria,504,1,202,0,64,0
2020-03-14,Austria,655,1,151,0,82,0
2020-03-15,Austria,860,1,205,0,108,0
2020-03-16,Austria,1018,3,158,2,127,0
2020-03-17,Austria,1332,3,314,0,164,0
2020-03-18,Austria,1646,4,314,1,200,1
2020-03-19,Austria,2013,6,367,2,244,1
2020-03-20,Austria,2388,6,375,0,269,1
2020-03-21,Austria,2814,8,426,2,308,1
2020-03-22,Austria,3582,16,768,8,389,2
2020-03-23,Austria,4474,21,892,5,494,3
2020-03-24,Austria,5283,28,809,7,564,4
2020-03-25,Austria,5588,30,305,2,563,4
2020-03-26,Austria,6909,49,1321,19,699,6
2020-03-27,Austria,7657,58,748,9,753,7
2020-03-28,Austria,8271,68,614,10,780,9
