Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Azerbaijan,0,0,0,0,0,0
2020-01-23,Azerbaijan,0,0,0,0,0,0
2020-01-24,Azerbaijan,0,0,0,0,0,0
2020-01-25,Azerbaijan,0,0,0,0,0,0
2020-01-26,Azerbaijan,0,0,0,0,0,0
2020-01-27,Azerbaijan,0,0,0,0,0,0
2020-01-28,Azerbaijan,0,0,0,0,0,0
2020-01-29,Azerbaijan,0,0,0,0,0,0
2020-01-30,Azerbaijan,0,0,0,0,0,0
2020-01-31,Azerbaijan,0,0,0,0,0,0
2020-02-01,Azerbaijan,0,0,0,0,0,0
2020-02-02,Azerbaijan,0,0,0,0,0,0
2020-02-03,Azerbaijan,0,0,0,0,0,0
2020-02-04,Azerbaijan,0,0,0,0,0,0
2020-02-05,Azerbaijan,0,0,0,0,0,0
2020-02-06,Azerbaijan,0,0,0,0,0,0
2020-02-07,Azerbaijan,0,0,0,0,0,0
2020-02-08,Azerbaijan,0,0,0,0,0,0
2020-02-09,Azerbaijan,0,0,0,0,0,0
2020-02-10,Azerbaijan,0,0,0,0,0,0
2020-02-11,Azerbaijan,0,0,0,0,0,0
2020-02-12,Azerbaijan,0,0,0,0,0,0
2020-02-13,Azerbaijan,0,0,0,0,0,0
2020-02-14,Azerbaijan,0,0,0,0,0,0
2020-02-15,Azerbaijan,0,0,0,0,0,0
2020-02-16,Azerbaijan,0,0,0,0,0,0
2020-02-17,Azerbaijan,0,0,0,0,0,0
2020-02-18,Azerbaijan,0,0,0,0,0,0
2020-02-19,Azerbaijan,0,0,0,0,0,0
2020-02-20,Azerbaijan,0,0,0,0,0,0
2020-02-21,Azerbaijan,0,0,0,0,0,0
2020-02-22,Azerbaijan,0,0,0,0,0,0
2020-02-23,Azerbaijan,0,0,0,0,0,0
2020-02-24,Azerbaijan,0,0,0,0,0,0
2020-02-25,Azerbaijan,0,0,0,0,0,0
2020-02-26,Azerbaijan,0,0,0,0,0,0
2020-02-27,Azerbaijan,0,0,0,0,0,0
2020-02-28,Azerbaijan,0,0,0,0,0,0
2020-02-29,Azerbaijan,0,0,0,0,0,0
2020-03-01,Azerbaijan,3,0,3,0,0,0
2020-03-02,Azerbaijan,3,0,0,0,0,0
2020-03-03,Azerbaijan,3,0,0,0,0,0
2020-03-04,Azerbaijan,3,0,0,0,0,0
2020-03-05,Azerbaijan,6,0,3,0,1,0
2020-03-06,Azerbaijan,6,0,0,0,1,0
2020-03-07,Azerbaijan,9,0,3,0,1,0
2020-03-08,Azerbaijan,9,0,0,0,1,0
2020-03-09,Azerbaijan,9,0,0,0,1,0
2020-03-10,Azerbaijan,11,0,2,0,1,0
2020-03-11,Azerbaijan,11,0,0,0,1,0
2020-03-12,Azerbaijan,11,0,0,0,1,0
2020-03-13,Azerbaijan,15,1,4,1,1,0
2020-03-14,Azerbaijan,15,1,0,0,1,0
2020-03-15,Azerbaijan,23,1,8,0,2,0
2020-03-16,Azerbaijan,28,1,5,0,3,0
2020-03-17,Azerbaijan,28,1,0,0,2,0
2020-03-18,Azerbaijan,28,1,0,0,2,0
2020-03-19,Azerbaijan,44,1,16,0,5,0
2020-03-20,Azerbaijan,44,1,0,0,4,0
2020-03-21,Azerbaijan,53,1,9,0,5,0
2020-03-22,Azerbaijan,65,1,12,0,6,0
2020-03-23,Azerbaijan,72,1,7,0,6,0
2020-03-24,Azerbaijan,87,1,15,0,8,0
2020-03-25,Azerbaijan,93,2,6,1,9,0
2020-03-26,Azerbaijan,122,3,29,1,11,0
2020-03-27,Azerbaijan,165,3,43,0,17,0
2020-03-28,Azerbaijan,182,4,17,1,18,0
2020-03-29,Azerbaijan,209,4,27,0,21,0
2020-03-30,Azerbaijan,273,4,64,0,29,0
2020-03-31,Azerbaijan,298,5,25,1,30,1
2020-04-01,Azerbaijan,359,5,61,0,38,0
2020-04-02,Azerbaijan,400,5,41,0,40,0
2020-04-03,Azerbaijan,443,5,43,0,40,0
2020-04-04,Azerbaijan,521,5,78,0,48,0
2020-04-05,Azerbaijan,584,7,63,2,54,0
2020-04-06,Azerbaijan,641,7,57,0,53,0
2020-04-07,Azerbaijan,717,8,76,1,60,0
2020-04-08,Azerbaijan,822,8,105,0,66,0
2020-04-09,Azerbaijan,926,9,104,1,75,1
2020-04-10,Azerbaijan,991,10,65,1,78,1
2020-04-11,Azerbaijan,1058,11,67,1,77,1
2020-04-12,Azerbaijan,1098,11,40,0,73,1
2020-04-13,Azerbaijan,1148,12,50,1,72,1
2020-04-14,Azerbaijan,1197,13,49,1,69,1
2020-04-15,Azerbaijan,1253,13,56,0,62,1
2020-04-16,Azerbaijan,1283,15,30,2,51,1
2020-04-17,Azerbaijan,1340,15,57,0,50,1
2020-04-18,Azerbaijan,1373,18,33,3,45,1
2020-04-19,Azerbaijan,1398,19,25,1,43,1
2020-04-20,Azerbaijan,1436,19,38,0,41,1
2020-04-21,Azerbaijan,1480,20,44,1,40,1
2020-04-22,Azerbaijan,1518,20,38,0,38,1
2020-04-23,Azerbaijan,1548,20,30,0,38,1
2020-04-24,Azerbaijan,1592,21,44,1,36,1
2020-04-25,Azerbaijan,1617,21,25,0,35,0
2020-04-26,Azerbaijan,1645,21,28,0,35,0
