Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Bahamas,0,0,0,0,0,0
2020-01-23,Bahamas,0,0,0,0,0,0
2020-01-24,Bahamas,0,0,0,0,0,0
2020-01-25,Bahamas,0,0,0,0,0,0
2020-01-26,Bahamas,0,0,0,0,0,0
2020-01-27,Bahamas,0,0,0,0,0,0
2020-01-28,Bahamas,0,0,0,0,0,0
2020-01-29,Bahamas,0,0,0,0,0,0
2020-01-30,Bahamas,0,0,0,0,0,0
2020-01-31,Bahamas,0,0,0,0,0,0
2020-02-01,Bahamas,0,0,0,0,0,0
2020-02-02,Bahamas,0,0,0,0,0,0
2020-02-03,Bahamas,0,0,0,0,0,0
2020-02-04,Bahamas,0,0,0,0,0,0
2020-02-05,Bahamas,0,0,0,0,0,0
2020-02-06,Bahamas,0,0,0,0,0,0
2020-02-07,Bahamas,0,0,0,0,0,0
2020-02-08,Bahamas,0,0,0,0,0,0
2020-02-09,Bahamas,0,0,0,0,0,0
2020-02-10,Bahamas,0,0,0,0,0,0
2020-02-11,Bahamas,0,0,0,0,0,0
2020-02-12,Bahamas,0,0,0,0,0,0
2020-02-13,Bahamas,0,0,0,0,0,0
2020-02-14,Bahamas,0,0,0,0,0,0
2020-02-15,Bahamas,0,0,0,0,0,0
2020-02-16,Bahamas,0,0,0,0,0,0
2020-02-17,Bahamas,0,0,0,0,0,0
2020-02-18,Bahamas,0,0,0,0,0,0
2020-02-19,Bahamas,0,0,0,0,0,0
2020-02-20,Bahamas,0,0,0,0,0,0
2020-02-21,Bahamas,0,0,0,0,0,0
2020-02-22,Bahamas,0,0,0,0,0,0
2020-02-23,Bahamas,0,0,0,0,0,0
2020-02-24,Bahamas,0,0,0,0,0,0
2020-02-25,Bahamas,0,0,0,0,0,0
2020-02-26,Bahamas,0,0,0,0,0,0
2020-02-27,Bahamas,0,0,0,0,0,0
2020-02-28,Bahamas,0,0,0,0,0,0
2020-02-29,Bahamas,0,0,0,0,0,0
2020-03-01,Bahamas,0,0,0,0,0,0
2020-03-02,Bahamas,0,0,0,0,0,0
2020-03-03,Bahamas,0,0,0,0,0,0
2020-03-04,Bahamas,0,0,0,0,0,0
2020-03-05,Bahamas,0,0,0,0,0,0
2020-03-06,Bahamas,0,0,0,0,0,0
2020-03-07,Bahamas,0,0,0,0,0,0
2020-03-08,Bahamas,0,0,0,0,0,0
2020-03-09,Bahamas,0,0,0,0,0,0
2020-03-10,Bahamas,0,0,0,0,0,0
2020-03-11,Bahamas,0,0,0,0,0,0
2020-03-12,Bahamas,0,0,0,0,0,0
2020-03-13,Bahamas,0,0,0,0,0,0
2020-03-14,Bahamas,0,0,0,0,0,0
2020-03-15,Bahamas,0,0,0,0,0,0
2020-03-16,Bahamas,1,0,1,0,0,0
2020-03-17,Bahamas,1,0,0,0,0,0
2020-03-18,Bahamas,1,0,0,0,0,0
2020-03-19,Bahamas,3,0,2,0,0,0
2020-03-20,Bahamas,3,0,0,0,0,0
2020-03-21,Bahamas,4,0,1,0,1,0
2020-03-22,Bahamas,4,0,0,0,1,0
2020-03-23,Bahamas,4,0,0,0,0,0
2020-03-24,Bahamas,5,0,1,0,1,0
2020-03-25,Bahamas,5,0,0,0,1,0
2020-03-26,Bahamas,9,0,4,0,1,0
2020-03-27,Bahamas,10,0,1,0,1,0
2020-03-28,Bahamas,10,0,0,0,1,0
2020-03-29,Bahamas,11,0,1,0,1,0
2020-03-30,Bahamas,14,0,3,0,1,0
2020-03-31,Bahamas,14,0,0,0,1,0
2020-04-01,Bahamas,21,1,7,1,2,0
2020-04-02,Bahamas,24,1,3,0,2,0
2020-04-03,Bahamas,24,1,0,0,2,0
2020-04-04,Bahamas,28,4,4,3,3,1
2020-04-05,Bahamas,28,4,0,0,2,1
2020-04-06,Bahamas,29,5,1,1,2,1
2020-04-07,Bahamas,33,6,4,1,3,1
2020-04-08,Bahamas,40,7,7,1,3,1
2020-04-09,Bahamas,41,8,1,1,2,1
2020-04-10,Bahamas,42,8,1,0,3,1
2020-04-11,Bahamas,46,8,4,0,3,1
2020-04-12,Bahamas,46,8,0,0,3,1
2020-04-13,Bahamas,47,8,1,0,3,0
2020-04-14,Bahamas,49,8,2,0,2,0
2020-04-15,Bahamas,49,8,0,0,1,0
2020-04-16,Bahamas,53,8,4,0,2,0
2020-04-17,Bahamas,54,9,1,1,2,0
2020-04-18,Bahamas,55,9,1,0,1,0
2020-04-19,Bahamas,55,9,0,0,1,0
2020-04-20,Bahamas,60,9,5,0,2,0
2020-04-21,Bahamas,65,9,5,0,2,0
2020-04-22,Bahamas,65,9,0,0,2,0
2020-04-23,Bahamas,72,11,7,2,3,0
2020-04-24,Bahamas,73,11,1,0,3,0
2020-04-25,Bahamas,78,11,5,0,3,0
2020-04-26,Bahamas,80,11,2,0,4,0
2020-04-27,Bahamas,80,11,0,0,3,0
2020-04-28,Bahamas,80,11,0,0,2,0
2020-04-29,Bahamas,80,11,0,0,2,0
2020-04-30,Bahamas,81,11,1,0,1,0
2020-05-01,Bahamas,81,11,0,0,1,0
2020-05-02,Bahamas,83,11,2,0,1,0
2020-05-03,Bahamas,83,11,0,0,0,0
2020-05-04,Bahamas,83,11,0,0,0,0
2020-05-05,Bahamas,89,11,6,0,1,0
2020-05-06,Bahamas,92,11,3,0,2,0
2020-05-07,Bahamas,92,11,0,0,2,0
2020-05-08,Bahamas,92,11,0,0,2,0
2020-05-09,Bahamas,92,11,0,0,1,0
2020-05-10,Bahamas,92,11,0,0,1,0
2020-05-11,Bahamas,93,11,1,0,1,0
2020-05-12,Bahamas,93,11,0,0,1,0
2020-05-13,Bahamas,94,11,1,0,0,0
2020-05-14,Bahamas,96,11,2,0,1,0
2020-05-15,Bahamas,96,11,0,0,1,0
2020-05-16,Bahamas,96,11,0,0,1,0
2020-05-17,Bahamas,96,11,0,0,1,0
2020-05-18,Bahamas,96,11,0,0,0,0
2020-05-19,Bahamas,96,11,0,0,0,0
2020-05-20,Bahamas,97,11,1,0,0,0
2020-05-21,Bahamas,97,11,0,0,0,0
2020-05-22,Bahamas,97,11,0,0,0,0
2020-05-23,Bahamas,100,11,3,0,1,0
2020-05-24,Bahamas,100,11,0,0,1,0
2020-05-25,Bahamas,100,11,0,0,1,0
2020-05-26,Bahamas,100,11,0,0,1,0
2020-05-27,Bahamas,100,11,0,0,0,0
2020-05-28,Bahamas,101,11,1,0,1,0
2020-05-29,Bahamas,102,11,1,0,1,0
2020-05-30,Bahamas,102,11,0,0,0,0
2020-05-31,Bahamas,102,11,0,0,0,0
2020-06-01,Bahamas,102,11,0,0,0,0
2020-06-02,Bahamas,102,11,0,0,0,0
2020-06-03,Bahamas,102,11,0,0,0,0
2020-06-04,Bahamas,102,11,0,0,0,0
2020-06-05,Bahamas,102,11,0,0,0,0
2020-06-06,Bahamas,103,11,1,0,0,0
2020-06-07,Bahamas,103,11,0,0,0,0
2020-06-08,Bahamas,103,11,0,0,0,0
2020-06-09,Bahamas,103,11,0,0,0,0
2020-06-10,Bahamas,103,11,0,0,0,0
2020-06-11,Bahamas,103,11,0,0,0,0
2020-06-12,Bahamas,103,11,0,0,0,0
2020-06-13,Bahamas,103,11,0,0,0,0
2020-06-14,Bahamas,103,11,0,0,0,0
2020-06-15,Bahamas,103,11,0,0,0,0
2020-06-16,Bahamas,104,11,1,0,0,0
2020-06-17,Bahamas,104,11,0,0,0,0
2020-06-18,Bahamas,104,11,0,0,0,0
2020-06-19,Bahamas,104,11,0,0,0,0
2020-06-20,Bahamas,104,11,0,0,0,0
2020-06-21,Bahamas,104,11,0,0,0,0
2020-06-22,Bahamas,104,11,0,0,0,0
2020-06-23,Bahamas,104,11,0,0,0,0
2020-06-24,Bahamas,104,11,0,0,0,0
2020-06-25,Bahamas,104,11,0,0,0,0
2020-06-26,Bahamas,104,11,0,0,0,0
2020-06-27,Bahamas,104,11,0,0,0,0
2020-06-28,Bahamas,104,11,0,0,0,0
2020-06-29,Bahamas,104,11,0,0,0,0
2020-06-30,Bahamas,104,11,0,0,0,0
2020-07-01,Bahamas,104,11,0,0,0,0
2020-07-02,Bahamas,104,11,0,0,0,0
2020-07-03,Bahamas,104,11,0,0,0,0
2020-07-04,Bahamas,104,11,0,0,0,0
2020-07-05,Bahamas,104,11,0,0,0,0
2020-07-06,Bahamas,104,11,0,0,0,0
2020-07-07,Bahamas,104,11,0,0,0,0
2020-07-08,Bahamas,106,11,2,0,0,0
2020-07-09,Bahamas,107,11,1,0,0,0
2020-07-10,Bahamas,108,11,1,0,1,0
2020-07-11,Bahamas,111,11,3,0,1,0
2020-07-12,Bahamas,111,11,0,0,1,0
2020-07-13,Bahamas,113,11,2,0,1,0
2020-07-14,Bahamas,116,11,3,0,2,0
2020-07-15,Bahamas,119,11,3,0,2,0
2020-07-16,Bahamas,124,11,5,0,2,0
2020-07-17,Bahamas,129,11,5,0,3,0
2020-07-18,Bahamas,138,11,9,0,4,0
2020-07-19,Bahamas,153,11,15,0,6,0
2020-07-20,Bahamas,174,11,21,0,9,0
2020-07-21,Bahamas,194,11,20,0,11,0
2020-07-22,Bahamas,219,11,25,0,14,0
2020-07-23,Bahamas,274,11,55,0,21,0
2020-07-24,Bahamas,316,11,42,0,27,0
2020-07-25,Bahamas,326,11,10,0,27,0
2020-07-26,Bahamas,342,11,16,0,27,0
2020-07-27,Bahamas,382,11,40,0,30,0
2020-07-28,Bahamas,447,11,65,0,36,0
2020-07-29,Bahamas,484,11,37,0,38,0
2020-07-30,Bahamas,508,14,24,3,33,0
2020-07-31,Bahamas,574,14,66,0,37,0
2020-08-01,Bahamas,599,14,25,0,39,0
2020-08-02,Bahamas,648,14,49,0,44,0
2020-08-03,Bahamas,679,14,31,0,42,0
2020-08-04,Bahamas,715,14,36,0,38,0
2020-08-05,Bahamas,751,14,36,0,38,0
2020-08-06,Bahamas,761,14,10,0,36,0
2020-08-07,Bahamas,830,14,69,0,37,0
2020-08-08,Bahamas,878,14,48,0,40,0
2020-08-09,Bahamas,898,15,20,1,36,0
2020-08-10,Bahamas,945,15,47,0,38,0
2020-08-11,Bahamas,989,15,44,0,39,0
2020-08-12,Bahamas,1036,15,47,0,41,0
2020-08-13,Bahamas,1089,15,53,0,47,0
2020-08-14,Bahamas,1119,17,30,2,41,0
2020-08-15,Bahamas,1252,17,133,0,53,0
2020-08-16,Bahamas,1315,18,63,1,60,0
2020-08-17,Bahamas,1329,19,14,1,55,1
2020-08-18,Bahamas,1424,20,95,1,62,1
2020-08-19,Bahamas,1531,22,107,2,71,1
2020-08-20,Bahamas,1610,23,79,1,74,1
2020-08-21,Bahamas,1703,27,93,4,83,1
2020-08-22,Bahamas,1765,27,62,0,73,1
2020-08-23,Bahamas,1784,29,19,2,67,2
2020-08-24,Bahamas,1798,44,14,15,67,4
2020-08-25,Bahamas,1813,46,15,2,56,4
2020-08-26,Bahamas,1923,48,110,2,56,4
2020-08-27,Bahamas,2020,48,97,0,59,4
2020-08-28,Bahamas,2057,50,37,2,51,3
2020-08-29,Bahamas,2135,50,78,0,53,3
2020-08-30,Bahamas,2167,50,32,0,55,3
2020-08-31,Bahamas,2217,50,50,0,60,1
2020-09-01,Bahamas,2276,50,59,0,66,1
2020-09-02,Bahamas,2337,50,61,0,59,0
2020-09-03,Bahamas,2386,50,49,0,52,0
2020-09-04,Bahamas,2386,50,0,0,47,0
2020-09-05,Bahamas,2476,55,90,5,49,1
2020-09-06,Bahamas,2506,56,30,1,48,1
2020-09-07,Bahamas,2546,58,40,2,47,1
2020-09-08,Bahamas,2585,59,39,1,44,1
2020-09-09,Bahamas,2721,63,136,4,55,2
2020-09-10,Bahamas,2721,63,0,0,48,2
2020-09-11,Bahamas,2814,65,93,2,61,2
2020-09-12,Bahamas,2928,67,114,2,65,2
2020-09-13,Bahamas,2928,67,0,0,60,2
2020-09-14,Bahamas,3008,68,80,1,66,1
2020-09-15,Bahamas,3032,69,24,1,64,1
2020-09-16,Bahamas,3087,69,55,0,52,1
2020-09-17,Bahamas,3177,69,90,0,65,1
2020-09-18,Bahamas,3177,69,0,0,52,1
2020-09-19,Bahamas,3214,73,37,4,41,1
2020-09-20,Bahamas,3315,74,101,1,55,1
2020-09-21,Bahamas,3418,75,103,1,59,1
2020-09-22,Bahamas,3467,77,49,2,62,1
2020-09-23,Bahamas,3618,80,151,3,76,2
2020-09-24,Bahamas,3699,86,81,6,75,2
2020-09-25,Bahamas,3790,89,91,3,88,3
2020-09-26,Bahamas,3790,89,0,0,82,2
2020-09-27,Bahamas,3838,89,48,0,75,2
2020-09-28,Bahamas,3838,89,0,0,60,2
2020-09-29,Bahamas,3903,91,65,2,62,2
2020-09-30,Bahamas,4123,96,220,5,72,2
2020-10-01,Bahamas,4123,96,0,0,61,1
2020-10-02,Bahamas,4220,96,97,0,61,1
2020-10-03,Bahamas,4332,96,112,0,77,1
2020-10-04,Bahamas,4409,96,77,0,82,1
2020-10-05,Bahamas,4452,96,43,0,88,1
2020-10-06,Bahamas,4559,100,107,4,94,1
2020-10-07,Bahamas,4713,102,154,2,84,1
2020-10-08,Bahamas,4713,102,0,0,84,1
2020-10-09,Bahamas,4713,102,0,0,70,1
2020-10-10,Bahamas,5023,106,310,4,99,1
2020-10-11,Bahamas,5078,107,55,1,96,2
2020-10-12,Bahamas,5163,108,85,1,102,2
2020-10-13,Bahamas,5163,108,0,0,86,1
2020-10-14,Bahamas,5191,109,28,1,68,1
2020-10-15,Bahamas,5385,112,194,3,96,1
2020-10-16,Bahamas,5517,114,132,2,115,2
2020-10-17,Bahamas,5628,116,111,2,86,1
2020-10-18,Bahamas,5703,122,75,6,89,2
2020-10-19,Bahamas,5773,123,70,1,87,2
2020-10-20,Bahamas,5923,124,150,1,109,2
2020-10-21,Bahamas,6051,127,128,3,123,3
2020-10-22,Bahamas,6135,130,84,3,107,3
2020-10-23,Bahamas,6268,130,133,0,107,2
2020-10-24,Bahamas,6268,130,0,0,91,2
2020-10-25,Bahamas,6410,132,142,2,101,1
2020-10-26,Bahamas,6410,132,0,0,91,1
2020-10-27,Bahamas,6502,136,92,4,83,2
2020-10-28,Bahamas,6549,136,47,0,71,1
2020-10-29,Bahamas,6607,138,58,2,67,1
2020-10-30,Bahamas,6644,142,37,4,54,2
2020-10-31,Bahamas,6714,144,70,2,64,2
2020-11-01,Bahamas,6714,144,0,0,43,2
2020-11-02,Bahamas,6735,146,21,2,46,2
2020-11-03,Bahamas,6790,149,55,3,41,2
2020-11-04,Bahamas,6843,150,53,1,42,2
2020-11-05,Bahamas,6882,150,39,0,39,2
2020-11-06,Bahamas,6882,150,0,0,34,1
2020-11-07,Bahamas,6947,152,65,2,33,1
2020-11-08,Bahamas,6947,152,0,0,33,1
2020-11-09,Bahamas,6964,154,17,2,33,1
2020-11-10,Bahamas,7012,154,48,0,32,1
2020-11-11,Bahamas,7060,154,48,0,31,1
2020-11-12,Bahamas,7124,155,64,1,35,1
2020-11-13,Bahamas,7163,155,39,0,40,1
2020-11-14,Bahamas,7163,155,0,0,31,0
2020-11-15,Bahamas,7186,156,23,1,34,1
2020-11-16,Bahamas,7256,163,70,7,42,1
2020-11-17,Bahamas,7312,163,56,0,43,1
2020-11-18,Bahamas,7323,163,11,0,38,1
2020-11-19,Bahamas,7348,163,25,0,32,1
2020-11-20,Bahamas,7367,163,19,0,29,1
2020-11-21,Bahamas,7395,163,28,0,33,1
2020-11-22,Bahamas,7413,163,18,0,32,1
2020-11-23,Bahamas,7431,163,18,0,25,0
2020-11-24,Bahamas,7460,163,29,0,21,0
2020-11-25,Bahamas,7469,163,9,0,21,0
2020-11-26,Bahamas,7482,163,13,0,19,0
2020-11-27,Bahamas,7496,163,14,0,18,0
2020-11-28,Bahamas,7496,163,0,0,14,0
2020-11-29,Bahamas,7517,163,21,0,15,0
2020-11-30,Bahamas,7541,163,24,0,16,0
2020-12-01,Bahamas,7543,163,2,0,12,0
2020-12-02,Bahamas,7543,163,0,0,11,0
2020-12-03,Bahamas,7549,163,6,0,10,0
2020-12-04,Bahamas,7565,163,16,0,10,0
2020-12-05,Bahamas,7570,163,5,0,11,0
2020-12-06,Bahamas,7570,163,0,0,8,0
2020-12-07,Bahamas,7579,163,9,0,5,0
2020-12-08,Bahamas,7579,163,0,0,5,0
2020-12-09,Bahamas,7585,163,6,0,6,0
2020-12-10,Bahamas,7585,163,0,0,5,0
2020-12-11,Bahamas,7623,163,38,0,8,0
2020-12-12,Bahamas,7648,163,25,0,11,0
2020-12-13,Bahamas,7659,163,11,0,13,0
2020-12-14,Bahamas,7674,163,15,0,14,0
2020-12-15,Bahamas,7698,164,24,1,17,0
2020-12-16,Bahamas,7714,164,16,0,18,0
2020-12-17,Bahamas,7725,164,11,0,20,0
2020-12-18,Bahamas,7733,164,8,0,16,0
