Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Bahrain,0,0,0,0,0,0
2020-01-23,Bahrain,0,0,0,0,0,0
2020-01-24,Bahrain,0,0,0,0,0,0
2020-01-25,Bahrain,0,0,0,0,0,0
2020-01-26,Bahrain,0,0,0,0,0,0
2020-01-27,Bahrain,0,0,0,0,0,0
2020-01-28,Bahrain,0,0,0,0,0,0
2020-01-29,Bahrain,0,0,0,0,0,0
2020-01-30,Bahrain,0,0,0,0,0,0
2020-01-31,Bahrain,0,0,0,0,0,0
2020-02-01,Bahrain,0,0,0,0,0,0
2020-02-02,Bahrain,0,0,0,0,0,0
2020-02-03,Bahrain,0,0,0,0,0,0
2020-02-04,Bahrain,0,0,0,0,0,0
2020-02-05,Bahrain,0,0,0,0,0,0
2020-02-06,Bahrain,0,0,0,0,0,0
2020-02-07,Bahrain,0,0,0,0,0,0
2020-02-08,Bahrain,0,0,0,0,0,0
2020-02-09,Bahrain,0,0,0,0,0,0
2020-02-10,Bahrain,0,0,0,0,0,0
2020-02-11,Bahrain,0,0,0,0,0,0
2020-02-12,Bahrain,0,0,0,0,0,0
2020-02-13,Bahrain,0,0,0,0,0,0
2020-02-14,Bahrain,0,0,0,0,0,0
2020-02-15,Bahrain,0,0,0,0,0,0
2020-02-16,Bahrain,0,0,0,0,0,0
2020-02-17,Bahrain,0,0,0,0,0,0
2020-02-18,Bahrain,0,0,0,0,0,0
2020-02-19,Bahrain,0,0,0,0,0,0
2020-02-20,Bahrain,0,0,0,0,0,0
2020-02-21,Bahrain,0,0,0,0,0,0
2020-02-22,Bahrain,0,0,0,0,0,0
2020-02-23,Bahrain,0,0,0,0,0,0
2020-02-24,Bahrain,1,0,1,0,0,0
2020-02-25,Bahrain,23,0,22,0,3,0
2020-02-26,Bahrain,33,0,10,0,5,0
2020-02-27,Bahrain,33,0,0,0,5,0
2020-02-28,Bahrain,36,0,3,0,5,0
2020-02-29,Bahrain,41,0,5,0,6,0
2020-03-01,Bahrain,47,0,6,0,7,0
2020-03-02,Bahrain,49,0,2,0,7,0
2020-03-03,Bahrain,49,0,0,0,4,0
2020-03-04,Bahrain,52,0,3,0,3,0
2020-03-05,Bahrain,55,0,3,0,3,0
2020-03-06,Bahrain,60,0,5,0,3,0
2020-03-07,Bahrain,85,0,25,0,6,0
2020-03-08,Bahrain,85,0,0,0,5,0
2020-03-09,Bahrain,95,0,10,0,7,0
2020-03-10,Bahrain,110,0,15,0,9,0
2020-03-11,Bahrain,195,0,85,0,20,0
2020-03-12,Bahrain,195,0,0,0,20,0
2020-03-13,Bahrain,195,0,0,0,19,0
2020-03-14,Bahrain,210,0,15,0,18,0
2020-03-15,Bahrain,214,0,4,0,18,0
2020-03-16,Bahrain,214,1,0,1,17,0
2020-03-17,Bahrain,228,1,14,0,17,0
2020-03-18,Bahrain,256,1,28,0,9,0
2020-03-19,Bahrain,278,1,22,0,12,0
2020-03-20,Bahrain,285,1,7,0,13,0
2020-03-21,Bahrain,305,1,20,0,14,0
2020-03-22,Bahrain,334,2,29,1,17,0
2020-03-23,Bahrain,377,2,43,0,23,0
2020-03-24,Bahrain,392,3,15,1,23,0
2020-03-25,Bahrain,419,4,27,1,23,0
2020-03-26,Bahrain,458,4,39,0,26,0
2020-03-27,Bahrain,466,4,8,0,26,0
2020-03-28,Bahrain,476,4,10,0,24,0
2020-03-29,Bahrain,499,4,23,0,24,0
2020-03-30,Bahrain,515,4,16,0,20,0
2020-03-31,Bahrain,567,4,52,0,25,0
2020-04-01,Bahrain,569,4,2,0,21,0
2020-04-02,Bahrain,643,4,74,0,26,0
2020-04-03,Bahrain,672,4,29,0,29,0
2020-04-04,Bahrain,688,4,16,0,30,0
2020-04-05,Bahrain,700,4,12,0,29,0
2020-04-06,Bahrain,756,4,56,0,34,0
2020-04-07,Bahrain,811,5,55,1,35,0
2020-04-08,Bahrain,823,5,12,0,36,0
2020-04-09,Bahrain,887,5,64,0,35,0
2020-04-10,Bahrain,925,6,38,1,36,0
2020-04-11,Bahrain,1040,6,115,0,50,0
2020-04-12,Bahrain,1136,6,96,0,62,0
2020-04-13,Bahrain,1361,6,225,0,86,0
2020-04-14,Bahrain,1528,7,167,1,102,0
2020-04-15,Bahrain,1671,7,143,0,121,0
2020-04-16,Bahrain,1700,7,29,0,116,0
2020-04-17,Bahrain,1740,7,40,0,116,0
2020-04-18,Bahrain,1773,7,33,0,105,0
2020-04-19,Bahrain,1881,7,108,0,106,0
2020-04-20,Bahrain,1907,7,26,0,78,0
2020-04-21,Bahrain,1973,7,66,0,64,0
2020-04-22,Bahrain,2027,7,54,0,51,0
2020-04-23,Bahrain,2217,8,190,1,74,0
2020-04-24,Bahrain,2518,8,301,0,111,0
2020-04-25,Bahrain,2588,8,70,0,116,0
2020-04-26,Bahrain,2647,8,59,0,109,0
2020-04-27,Bahrain,2723,8,76,0,117,0
2020-04-28,Bahrain,2811,8,88,0,120,0
2020-04-29,Bahrain,2921,8,110,0,128,0
2020-04-30,Bahrain,3040,8,119,0,118,0
2020-05-01,Bahrain,3170,8,130,0,93,0
2020-05-02,Bahrain,3284,8,114,0,99,0
2020-05-03,Bahrain,3383,8,99,0,105,0
2020-05-04,Bahrain,3533,8,150,0,116,0
2020-05-05,Bahrain,3720,8,187,0,130,0
2020-05-06,Bahrain,3934,8,214,0,145,0
2020-05-07,Bahrain,4199,8,265,0,166,0
2020-05-08,Bahrain,4444,8,245,0,182,0
2020-05-09,Bahrain,4774,8,330,0,213,0
2020-05-10,Bahrain,4941,8,167,0,223,0
2020-05-11,Bahrain,5236,8,295,0,243,0
2020-05-12,Bahrain,5531,9,295,1,259,0
2020-05-13,Bahrain,5816,10,285,1,269,0
2020-05-14,Bahrain,6198,10,382,0,286,0
2020-05-15,Bahrain,6583,12,385,2,306,1
2020-05-16,Bahrain,6747,12,164,0,282,1
2020-05-17,Bahrain,6956,12,209,0,288,1
2020-05-18,Bahrain,7184,12,228,0,278,1
2020-05-19,Bahrain,7532,12,348,0,286,0
2020-05-20,Bahrain,7888,12,356,0,296,0
2020-05-21,Bahrain,8174,12,286,0,282,0
2020-05-22,Bahrain,8414,12,240,0,262,0
2020-05-23,Bahrain,8802,13,388,1,294,0
2020-05-24,Bahrain,9138,14,336,1,312,0
2020-05-25,Bahrain,9171,14,33,0,284,0
2020-05-26,Bahrain,9366,14,195,0,262,0
2020-05-27,Bahrain,9692,15,326,1,258,0
2020-05-28,Bahrain,10052,15,360,0,268,0
2020-05-29,Bahrain,10449,15,397,0,291,0
2020-05-30,Bahrain,10793,17,344,2,284,1
2020-05-31,Bahrain,11398,19,605,2,323,1
2020-06-01,Bahrain,11871,19,473,0,386,1
2020-06-02,Bahrain,12311,19,440,0,421,1
2020-06-03,Bahrain,12815,20,504,1,446,1
2020-06-04,Bahrain,13296,21,481,1,463,1
2020-06-05,Bahrain,13835,22,539,1,484,1
2020-06-06,Bahrain,14383,24,548,2,513,1
2020-06-07,Bahrain,14763,26,380,2,481,1
2020-06-08,Bahrain,15417,27,654,1,507,1
2020-06-09,Bahrain,15731,29,314,2,489,1
2020-06-10,Bahrain,16200,31,469,2,484,2
2020-06-11,Bahrain,16667,34,467,3,482,2
2020-06-12,Bahrain,17269,36,602,2,491,2
2020-06-13,Bahrain,17713,37,444,1,476,2
2020-06-14,Bahrain,18227,42,514,5,495,2
2020-06-15,Bahrain,19013,46,786,4,514,3
2020-06-16,Bahrain,19553,47,540,1,546,3
2020-06-17,Bahrain,19961,49,408,2,537,3
2020-06-18,Bahrain,20430,55,469,6,538,3
2020-06-19,Bahrain,20916,57,486,2,521,3
2020-06-20,Bahrain,21331,60,415,3,517,3
2020-06-21,Bahrain,21764,63,433,3,505,3
2020-06-22,Bahrain,22407,65,643,2,485,3
2020-06-23,Bahrain,23062,67,655,2,501,3
2020-06-24,Bahrain,23570,69,508,2,516,3
2020-06-25,Bahrain,24081,71,511,2,522,2
2020-06-26,Bahrain,24805,73,724,2,556,2
2020-06-27,Bahrain,25267,78,462,5,562,3
2020-06-28,Bahrain,25705,83,438,5,563,3
2020-06-29,Bahrain,26239,84,534,1,547,3
2020-06-30,Bahrain,26758,87,519,3,528,3
2020-07-01,Bahrain,27414,92,656,5,549,3
2020-07-02,Bahrain,27837,94,423,2,537,3
2020-07-03,Bahrain,28410,95,573,1,515,3
2020-07-04,Bahrain,28857,96,447,1,513,3
2020-07-05,Bahrain,29367,97,510,1,523,2
2020-07-06,Bahrain,29821,98,454,1,512,2
2020-07-07,Bahrain,30321,98,500,0,509,2
2020-07-08,Bahrain,30931,98,610,0,502,1
2020-07-09,Bahrain,31528,103,597,5,527,1
2020-07-10,Bahrain,32039,104,511,1,518,1
2020-07-11,Bahrain,32470,104,431,0,516,1
2020-07-12,Bahrain,32941,108,471,4,511,2
2020-07-13,Bahrain,33476,109,535,1,522,2
2020-07-14,Bahrain,34078,111,602,2,537,2
2020-07-15,Bahrain,34560,117,482,6,518,3
2020-07-16,Bahrain,35084,121,524,4,508,3
2020-07-17,Bahrain,35473,124,389,3,491,3
2020-07-18,Bahrain,36004,124,531,0,505,3
2020-07-19,Bahrain,36422,126,418,2,497,3
2020-07-20,Bahrain,36936,128,514,2,494,3
2020-07-21,Bahrain,37316,129,380,1,463,3
2020-07-22,Bahrain,37637,130,321,1,440,2
2020-07-23,Bahrain,37996,134,359,4,416,2
2020-07-24,Bahrain,38458,136,462,2,426,2
2020-07-25,Bahrain,38747,137,289,1,392,2
2020-07-26,Bahrain,39131,140,384,3,387,2
2020-07-27,Bahrain,39482,141,351,1,364,2
2020-07-28,Bahrain,39921,141,439,0,372,2
2020-07-29,Bahrain,40311,144,390,3,382,2
2020-07-30,Bahrain,40755,146,444,2,394,2
2020-07-31,Bahrain,40982,147,227,1,361,2
2020-08-01,Bahrain,41190,147,208,0,349,1
2020-08-02,Bahrain,41536,147,346,0,344,1
2020-08-03,Bahrain,41835,150,299,3,336,1
2020-08-04,Bahrain,42132,151,297,1,316,1
2020-08-05,Bahrain,42514,154,382,3,315,1
2020-08-06,Bahrain,42889,156,375,2,305,1
2020-08-07,Bahrain,43307,159,418,3,332,2
2020-08-08,Bahrain,43629,161,322,2,348,2
2020-08-09,Bahrain,44011,162,382,1,354,2
2020-08-10,Bahrain,44397,163,386,1,366,2
2020-08-11,Bahrain,44804,165,407,2,382,2
2020-08-12,Bahrain,45264,166,460,1,393,2
2020-08-13,Bahrain,45726,167,462,1,405,2
2020-08-14,Bahrain,46052,168,326,1,392,1
2020-08-15,Bahrain,46430,170,378,2,400,1
2020-08-16,Bahrain,46835,170,405,0,403,1
2020-08-17,Bahrain,47185,173,350,3,398,1
2020-08-18,Bahrain,47581,175,396,2,397,1
2020-08-19,Bahrain,47950,178,369,3,384,2
2020-08-20,Bahrain,48303,179,353,1,368,2
2020-08-21,Bahrain,48661,181,358,2,373,2
2020-08-22,Bahrain,49038,183,377,2,373,2
2020-08-23,Bahrain,49330,184,292,1,356,2
2020-08-24,Bahrain,49719,185,389,1,362,2
2020-08-25,Bahrain,50076,186,357,1,356,2
2020-08-26,Bahrain,50393,186,317,0,349,1
2020-08-27,Bahrain,50756,188,363,2,350,1
2020-08-28,Bahrain,51113,189,357,1,350,1
2020-08-29,Bahrain,51391,189,278,0,336,1
2020-08-30,Bahrain,51574,189,183,0,321,1
2020-08-31,Bahrain,51972,190,398,1,322,1
2020-09-01,Bahrain,52440,190,468,0,338,1
2020-09-02,Bahrain,52807,190,367,0,345,1
2020-09-03,Bahrain,53433,190,626,0,382,0
2020-09-04,Bahrain,54095,195,662,5,426,1
2020-09-05,Bahrain,54771,196,676,1,483,1
2020-09-06,Bahrain,55415,199,644,3,549,1
2020-09-07,Bahrain,56076,200,661,1,586,1
2020-09-08,Bahrain,56778,202,702,2,620,2
2020-09-09,Bahrain,57450,203,672,1,663,2
2020-09-10,Bahrain,58207,207,757,4,682,2
2020-09-11,Bahrain,58839,208,632,1,678,2
2020-09-12,Bahrain,59586,211,747,3,688,2
2020-09-13,Bahrain,60307,212,721,1,699,2
2020-09-14,Bahrain,60965,213,658,1,698,2
2020-09-15,Bahrain,61643,213,678,0,695,2
2020-09-16,Bahrain,62484,216,841,3,719,2
2020-09-17,Bahrain,63189,217,705,1,712,1
2020-09-18,Bahrain,63879,220,690,3,720,2
2020-09-19,Bahrain,64499,221,620,1,702,1
2020-09-20,Bahrain,65039,221,540,0,676,1
2020-09-21,Bahrain,65752,224,713,3,684,2
2020-09-22,Bahrain,66402,227,650,3,680,2
2020-09-23,Bahrain,67014,231,612,4,647,2
2020-09-24,Bahrain,67701,231,687,0,645,2
2020-09-25,Bahrain,68190,236,489,5,616,2
2020-09-26,Bahrain,68775,239,585,3,611,3
2020-09-27,Bahrain,69361,242,586,3,617,3
2020-09-28,Bahrain,69848,245,487,3,585,3
2020-09-29,Bahrain,70422,246,574,1,574,3
2020-09-30,Bahrain,70864,251,442,5,550,3
2020-10-01,Bahrain,71374,254,510,3,525,3
2020-10-02,Bahrain,71803,255,429,1,516,3
2020-10-03,Bahrain,72310,258,507,3,505,3
2020-10-04,Bahrain,72662,260,352,2,472,3
2020-10-05,Bahrain,73116,261,454,1,467,2
2020-10-06,Bahrain,73476,262,360,1,436,2
2020-10-07,Bahrain,73932,262,456,0,438,2
2020-10-08,Bahrain,74422,264,490,2,435,1
2020-10-09,Bahrain,74860,271,438,7,437,2
2020-10-10,Bahrain,75287,273,427,2,425,2
2020-10-11,Bahrain,75614,275,327,2,422,2
2020-10-12,Bahrain,75948,280,334,5,405,3
2020-10-13,Bahrain,76272,285,324,5,399,3
2020-10-14,Bahrain,76621,287,349,2,384,4
2020-10-15,Bahrain,76954,289,333,2,362,4
2020-10-16,Bahrain,77325,292,371,3,352,3
2020-10-17,Bahrain,77571,293,246,1,326,3
2020-10-18,Bahrain,77902,300,331,7,327,4
2020-10-19,Bahrain,78224,302,322,2,325,3
2020-10-20,Bahrain,78533,305,309,3,323,3
2020-10-21,Bahrain,78907,308,374,3,327,3
2020-10-22,Bahrain,79211,308,304,0,322,3
2020-10-23,Bahrain,79574,311,363,3,321,3
2020-10-24,Bahrain,79975,312,401,1,343,3
2020-10-25,Bahrain,80255,312,280,0,336,2
2020-10-26,Bahrain,80533,316,278,4,330,2
2020-10-27,Bahrain,80765,316,232,0,319,2
2020-10-28,Bahrain,81022,317,257,1,302,1
2020-10-29,Bahrain,81262,317,240,0,293,1
2020-10-30,Bahrain,81466,319,204,2,270,1
2020-10-31,Bahrain,81645,321,179,2,239,1
2020-11-01,Bahrain,81923,321,278,0,238,1
2020-11-02,Bahrain,82133,322,210,1,229,1
2020-11-03,Bahrain,82363,324,230,2,228,1
2020-11-04,Bahrain,82624,327,261,3,229,1
2020-11-05,Bahrain,82786,328,162,1,218,2
2020-11-06,Bahrain,83023,328,237,0,222,1
2020-11-07,Bahrain,83264,329,241,1,231,1
2020-11-08,Bahrain,83456,329,192,0,219,1
2020-11-09,Bahrain,83632,329,176,0,214,1
2020-11-10,Bahrain,83811,331,179,2,207,1
2020-11-11,Bahrain,84042,332,231,1,203,1
2020-11-12,Bahrain,84192,332,150,0,201,1
