Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Bangladesh,0,0,0,0,0,0
2020-01-23,Bangladesh,0,0,0,0,0,0
2020-01-24,Bangladesh,0,0,0,0,0,0
2020-01-25,Bangladesh,0,0,0,0,0,0
2020-01-26,Bangladesh,0,0,0,0,0,0
2020-01-27,Bangladesh,0,0,0,0,0,0
2020-01-28,Bangladesh,0,0,0,0,0,0
2020-01-29,Bangladesh,0,0,0,0,0,0
2020-01-30,Bangladesh,0,0,0,0,0,0
2020-01-31,Bangladesh,0,0,0,0,0,0
2020-02-01,Bangladesh,0,0,0,0,0,0
2020-02-02,Bangladesh,0,0,0,0,0,0
2020-02-03,Bangladesh,0,0,0,0,0,0
2020-02-04,Bangladesh,0,0,0,0,0,0
2020-02-05,Bangladesh,0,0,0,0,0,0
2020-02-06,Bangladesh,0,0,0,0,0,0
2020-02-07,Bangladesh,0,0,0,0,0,0
2020-02-08,Bangladesh,0,0,0,0,0,0
2020-02-09,Bangladesh,0,0,0,0,0,0
2020-02-10,Bangladesh,0,0,0,0,0,0
2020-02-11,Bangladesh,0,0,0,0,0,0
2020-02-12,Bangladesh,0,0,0,0,0,0
2020-02-13,Bangladesh,0,0,0,0,0,0
2020-02-14,Bangladesh,0,0,0,0,0,0
2020-02-15,Bangladesh,0,0,0,0,0,0
2020-02-16,Bangladesh,0,0,0,0,0,0
2020-02-17,Bangladesh,0,0,0,0,0,0
2020-02-18,Bangladesh,0,0,0,0,0,0
2020-02-19,Bangladesh,0,0,0,0,0,0
2020-02-20,Bangladesh,0,0,0,0,0,0
2020-02-21,Bangladesh,0,0,0,0,0,0
2020-02-22,Bangladesh,0,0,0,0,0,0
2020-02-23,Bangladesh,0,0,0,0,0,0
2020-02-24,Bangladesh,0,0,0,0,0,0
2020-02-25,Bangladesh,0,0,0,0,0,0
2020-02-26,Bangladesh,0,0,0,0,0,0
2020-02-27,Bangladesh,0,0,0,0,0,0
2020-02-28,Bangladesh,0,0,0,0,0,0
2020-02-29,Bangladesh,0,0,0,0,0,0
2020-03-01,Bangladesh,0,0,0,0,0,0
2020-03-02,Bangladesh,0,0,0,0,0,0
2020-03-03,Bangladesh,0,0,0,0,0,0
2020-03-04,Bangladesh,0,0,0,0,0,0
2020-03-05,Bangladesh,0,0,0,0,0,0
2020-03-06,Bangladesh,0,0,0,0,0,0
2020-03-07,Bangladesh,0,0,0,0,0,0
2020-03-08,Bangladesh,3,0,3,0,0,0
2020-03-09,Bangladesh,3,0,0,0,0,0
2020-03-10,Bangladesh,3,0,0,0,0,0
2020-03-11,Bangladesh,3,0,0,0,0,0
2020-03-12,Bangladesh,3,0,0,0,0,0
2020-03-13,Bangladesh,3,0,0,0,0,0
2020-03-14,Bangladesh,3,0,0,0,0,0
2020-03-15,Bangladesh,5,0,2,0,0,0
2020-03-16,Bangladesh,8,0,3,0,1,0
2020-03-17,Bangladesh,10,0,2,0,1,0
2020-03-18,Bangladesh,14,1,4,1,2,0
2020-03-19,Bangladesh,17,1,3,0,2,0
2020-03-20,Bangladesh,20,1,3,0,2,0
2020-03-21,Bangladesh,25,2,5,1,3,0
2020-03-22,Bangladesh,27,2,2,0,3,0
2020-03-23,Bangladesh,33,3,6,1,4,0
2020-03-24,Bangladesh,39,4,6,1,4,1
2020-03-25,Bangladesh,39,5,0,1,4,1
2020-03-26,Bangladesh,44,5,5,0,4,1
2020-03-27,Bangladesh,48,5,4,0,4,1
2020-03-28,Bangladesh,48,5,0,0,3,0
2020-03-29,Bangladesh,48,5,0,0,3,0
2020-03-30,Bangladesh,49,5,1,0,2,0
