Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Barbados,0,0,0,0,0,0
2020-01-23,Barbados,0,0,0,0,0,0
2020-01-24,Barbados,0,0,0,0,0,0
2020-01-25,Barbados,0,0,0,0,0,0
2020-01-26,Barbados,0,0,0,0,0,0
2020-01-27,Barbados,0,0,0,0,0,0
2020-01-28,Barbados,0,0,0,0,0,0
2020-01-29,Barbados,0,0,0,0,0,0
2020-01-30,Barbados,0,0,0,0,0,0
2020-01-31,Barbados,0,0,0,0,0,0
2020-02-01,Barbados,0,0,0,0,0,0
2020-02-02,Barbados,0,0,0,0,0,0
2020-02-03,Barbados,0,0,0,0,0,0
2020-02-04,Barbados,0,0,0,0,0,0
2020-02-05,Barbados,0,0,0,0,0,0
2020-02-06,Barbados,0,0,0,0,0,0
2020-02-07,Barbados,0,0,0,0,0,0
2020-02-08,Barbados,0,0,0,0,0,0
2020-02-09,Barbados,0,0,0,0,0,0
2020-02-10,Barbados,0,0,0,0,0,0
2020-02-11,Barbados,0,0,0,0,0,0
2020-02-12,Barbados,0,0,0,0,0,0
2020-02-13,Barbados,0,0,0,0,0,0
2020-02-14,Barbados,0,0,0,0,0,0
2020-02-15,Barbados,0,0,0,0,0,0
2020-02-16,Barbados,0,0,0,0,0,0
2020-02-17,Barbados,0,0,0,0,0,0
2020-02-18,Barbados,0,0,0,0,0,0
2020-02-19,Barbados,0,0,0,0,0,0
2020-02-20,Barbados,0,0,0,0,0,0
2020-02-21,Barbados,0,0,0,0,0,0
2020-02-22,Barbados,0,0,0,0,0,0
2020-02-23,Barbados,0,0,0,0,0,0
2020-02-24,Barbados,0,0,0,0,0,0
2020-02-25,Barbados,0,0,0,0,0,0
2020-02-26,Barbados,0,0,0,0,0,0
2020-02-27,Barbados,0,0,0,0,0,0
2020-02-28,Barbados,0,0,0,0,0,0
2020-02-29,Barbados,0,0,0,0,0,0
2020-03-01,Barbados,0,0,0,0,0,0
2020-03-02,Barbados,0,0,0,0,0,0
2020-03-03,Barbados,0,0,0,0,0,0
2020-03-04,Barbados,0,0,0,0,0,0
