Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Belarus,0,0,0,0,0,0
2020-01-23,Belarus,0,0,0,0,0,0
2020-01-24,Belarus,0,0,0,0,0,0
2020-01-25,Belarus,0,0,0,0,0,0
2020-01-26,Belarus,0,0,0,0,0,0
2020-01-27,Belarus,0,0,0,0,0,0
2020-01-28,Belarus,0,0,0,0,0,0
2020-01-29,Belarus,0,0,0,0,0,0
2020-01-30,Belarus,0,0,0,0,0,0
2020-01-31,Belarus,0,0,0,0,0,0
2020-02-01,Belarus,0,0,0,0,0,0
2020-02-02,Belarus,0,0,0,0,0,0
2020-02-03,Belarus,0,0,0,0,0,0
2020-02-04,Belarus,0,0,0,0,0,0
2020-02-05,Belarus,0,0,0,0,0,0
2020-02-06,Belarus,0,0,0,0,0,0
2020-02-07,Belarus,0,0,0,0,0,0
2020-02-08,Belarus,0,0,0,0,0,0
2020-02-09,Belarus,0,0,0,0,0,0
2020-02-10,Belarus,0,0,0,0,0,0
2020-02-11,Belarus,0,0,0,0,0,0
2020-02-12,Belarus,0,0,0,0,0,0
2020-02-13,Belarus,0,0,0,0,0,0
2020-02-14,Belarus,0,0,0,0,0,0
2020-02-15,Belarus,0,0,0,0,0,0
2020-02-16,Belarus,0,0,0,0,0,0
2020-02-17,Belarus,0,0,0,0,0,0
2020-02-18,Belarus,0,0,0,0,0,0
2020-02-19,Belarus,0,0,0,0,0,0
2020-02-20,Belarus,0,0,0,0,0,0
2020-02-21,Belarus,0,0,0,0,0,0
2020-02-22,Belarus,0,0,0,0,0,0
2020-02-23,Belarus,0,0,0,0,0,0
2020-02-24,Belarus,0,0,0,0,0,0
2020-02-25,Belarus,0,0,0,0,0,0
2020-02-26,Belarus,0,0,0,0,0,0
2020-02-27,Belarus,0,0,0,0,0,0
2020-02-28,Belarus,1,0,1,0,0,0
2020-02-29,Belarus,1,0,0,0,0,0
2020-03-01,Belarus,1,0,0,0,0,0
2020-03-02,Belarus,1,0,0,0,0,0
2020-03-03,Belarus,1,0,0,0,0,0
2020-03-04,Belarus,6,0,5,0,1,0
2020-03-05,Belarus,6,0,0,0,1,0
2020-03-06,Belarus,6,0,0,0,1,0
2020-03-07,Belarus,6,0,0,0,1,0
2020-03-08,Belarus,6,0,0,0,1,0
2020-03-09,Belarus,6,0,0,0,1,0
2020-03-10,Belarus,9,0,3,0,1,0
2020-03-11,Belarus,9,0,0,0,0,0
2020-03-12,Belarus,12,0,3,0,1,0
2020-03-13,Belarus,27,0,15,0,3,0
2020-03-14,Belarus,27,0,0,0,3,0
2020-03-15,Belarus,27,0,0,0,3,0
2020-03-16,Belarus,36,0,9,0,4,0
2020-03-17,Belarus,36,0,0,0,4,0
2020-03-18,Belarus,51,0,15,0,6,0
2020-03-19,Belarus,51,0,0,0,6,0
2020-03-20,Belarus,69,0,18,0,6,0
2020-03-21,Belarus,76,0,7,0,7,0
