Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Belgium,0,0,0,0,0,0
2020-01-23,Belgium,0,0,0,0,0,0
2020-01-24,Belgium,0,0,0,0,0,0
2020-01-25,Belgium,0,0,0,0,0,0
2020-01-26,Belgium,0,0,0,0,0,0
2020-01-27,Belgium,0,0,0,0,0,0
2020-01-28,Belgium,0,0,0,0,0,0
2020-01-29,Belgium,0,0,0,0,0,0
2020-01-30,Belgium,0,0,0,0,0,0
2020-01-31,Belgium,0,0,0,0,0,0
2020-02-01,Belgium,0,0,0,0,0,0
2020-02-02,Belgium,0,0,0,0,0,0
2020-02-03,Belgium,0,0,0,0,0,0
2020-02-04,Belgium,1,0,1,0,0,0
2020-02-05,Belgium,1,0,0,0,0,0
2020-02-06,Belgium,1,0,0,0,0,0
2020-02-07,Belgium,1,0,0,0,0,0
2020-02-08,Belgium,1,0,0,0,0,0
2020-02-09,Belgium,1,0,0,0,0,0
2020-02-10,Belgium,1,0,0,0,0,0
2020-02-11,Belgium,1,0,0,0,0,0
2020-02-12,Belgium,1,0,0,0,0,0
2020-02-13,Belgium,1,0,0,0,0,0
2020-02-14,Belgium,1,0,0,0,0,0
2020-02-15,Belgium,1,0,0,0,0,0
2020-02-16,Belgium,1,0,0,0,0,0
2020-02-17,Belgium,1,0,0,0,0,0
2020-02-18,Belgium,1,0,0,0,0,0
2020-02-19,Belgium,1,0,0,0,0,0
2020-02-20,Belgium,1,0,0,0,0,0
2020-02-21,Belgium,1,0,0,0,0,0
2020-02-22,Belgium,1,0,0,0,0,0
2020-02-23,Belgium,1,0,0,0,0,0
2020-02-24,Belgium,1,0,0,0,0,0
2020-02-25,Belgium,1,0,0,0,0,0
2020-02-26,Belgium,1,0,0,0,0,0
2020-02-27,Belgium,1,0,0,0,0,0
2020-02-28,Belgium,1,0,0,0,0,0
2020-02-29,Belgium,1,0,0,0,0,0
2020-03-01,Belgium,2,0,1,0,0,0
2020-03-02,Belgium,8,0,6,0,1,0
2020-03-03,Belgium,13,0,5,0,2,0
2020-03-04,Belgium,23,0,10,0,3,0
2020-03-05,Belgium,50,0,27,0,7,0
2020-03-06,Belgium,109,0,59,0,15,0
2020-03-07,Belgium,169,0,60,0,24,0
2020-03-08,Belgium,200,0,31,0,28,0
2020-03-09,Belgium,239,0,39,0,33,0
2020-03-10,Belgium,267,0,28,0,36,0
2020-03-11,Belgium,314,3,47,3,42,0
2020-03-12,Belgium,314,3,0,0,38,0
2020-03-13,Belgium,559,3,245,0,64,0
2020-03-14,Belgium,689,4,130,1,74,1
2020-03-15,Belgium,886,4,197,0,98,1
2020-03-16,Belgium,1058,5,172,1,117,1
2020-03-17,Belgium,1243,10,185,5,139,1
2020-03-18,Belgium,1486,14,243,4,167,2
2020-03-19,Belgium,1795,21,309,7,212,3
2020-03-20,Belgium,2257,37,462,16,243,5
2020-03-21,Belgium,2815,67,558,30,304,9
2020-03-22,Belgium,3401,75,586,8,359,10
2020-03-23,Belgium,3743,88,342,13,384,12
2020-03-24,Belgium,4269,122,526,34,432,16
2020-03-25,Belgium,4937,178,668,56,493,23
2020-03-26,Belgium,6235,220,1298,42,634,28
2020-03-27,Belgium,7284,289,1049,69,718,36
2020-03-28,Belgium,9134,353,1850,64,903,41
2020-03-29,Belgium,10836,431,1702,78,1062,51
2020-03-30,Belgium,11899,513,1063,82,1165,61
