Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Belize,0,0,0,0,0,0
2020-01-23,Belize,0,0,0,0,0,0
2020-01-24,Belize,0,0,0,0,0,0
2020-01-25,Belize,0,0,0,0,0,0
2020-01-26,Belize,0,0,0,0,0,0
2020-01-27,Belize,0,0,0,0,0,0
2020-01-28,Belize,0,0,0,0,0,0
2020-01-29,Belize,0,0,0,0,0,0
2020-01-30,Belize,0,0,0,0,0,0
2020-01-31,Belize,0,0,0,0,0,0
2020-02-01,Belize,0,0,0,0,0,0
2020-02-02,Belize,0,0,0,0,0,0
2020-02-03,Belize,0,0,0,0,0,0
2020-02-04,Belize,0,0,0,0,0,0
2020-02-05,Belize,0,0,0,0,0,0
2020-02-06,Belize,0,0,0,0,0,0
2020-02-07,Belize,0,0,0,0,0,0
2020-02-08,Belize,0,0,0,0,0,0
2020-02-09,Belize,0,0,0,0,0,0
2020-02-10,Belize,0,0,0,0,0,0
2020-02-11,Belize,0,0,0,0,0,0
2020-02-12,Belize,0,0,0,0,0,0
2020-02-13,Belize,0,0,0,0,0,0
2020-02-14,Belize,0,0,0,0,0,0
2020-02-15,Belize,0,0,0,0,0,0
2020-02-16,Belize,0,0,0,0,0,0
2020-02-17,Belize,0,0,0,0,0,0
2020-02-18,Belize,0,0,0,0,0,0
2020-02-19,Belize,0,0,0,0,0,0
2020-02-20,Belize,0,0,0,0,0,0
2020-02-21,Belize,0,0,0,0,0,0
2020-02-22,Belize,0,0,0,0,0,0
2020-02-23,Belize,0,0,0,0,0,0
2020-02-24,Belize,0,0,0,0,0,0
2020-02-25,Belize,0,0,0,0,0,0
2020-02-26,Belize,0,0,0,0,0,0
2020-02-27,Belize,0,0,0,0,0,0
2020-02-28,Belize,0,0,0,0,0,0
2020-02-29,Belize,0,0,0,0,0,0
2020-03-01,Belize,0,0,0,0,0,0
2020-03-02,Belize,0,0,0,0,0,0
2020-03-03,Belize,0,0,0,0,0,0
2020-03-04,Belize,0,0,0,0,0,0
2020-03-05,Belize,0,0,0,0,0,0
2020-03-06,Belize,0,0,0,0,0,0
2020-03-07,Belize,0,0,0,0,0,0
2020-03-08,Belize,0,0,0,0,0,0
2020-03-09,Belize,0,0,0,0,0,0
2020-03-10,Belize,0,0,0,0,0,0
2020-03-11,Belize,0,0,0,0,0,0
2020-03-12,Belize,0,0,0,0,0,0
2020-03-13,Belize,0,0,0,0,0,0
2020-03-14,Belize,0,0,0,0,0,0
2020-03-15,Belize,0,0,0,0,0,0
2020-03-16,Belize,0,0,0,0,0,0
2020-03-17,Belize,0,0,0,0,0,0
2020-03-18,Belize,0,0,0,0,0,0
2020-03-19,Belize,0,0,0,0,0,0
2020-03-20,Belize,0,0,0,0,0,0
2020-03-21,Belize,0,0,0,0,0,0
2020-03-22,Belize,0,0,0,0,0,0
2020-03-23,Belize,1,0,1,0,0,0
2020-03-24,Belize,1,0,0,0,0,0
2020-03-25,Belize,2,0,1,0,0,0
2020-03-26,Belize,2,0,0,0,0,0
2020-03-27,Belize,2,0,0,0,0,0
2020-03-28,Belize,2,0,0,0,0,0
2020-03-29,Belize,2,0,0,0,0,0
2020-03-30,Belize,3,0,1,0,0,0
2020-03-31,Belize,3,0,0,0,0,0
2020-04-01,Belize,3,0,0,0,0,0
2020-04-02,Belize,3,0,0,0,0,0
2020-04-03,Belize,4,0,1,0,0,0
2020-04-04,Belize,4,0,0,0,0,0
2020-04-05,Belize,5,0,1,0,0,0
2020-04-06,Belize,7,1,2,1,1,0
2020-04-07,Belize,7,1,0,0,1,0
2020-04-08,Belize,8,1,1,0,1,0
2020-04-09,Belize,9,1,1,0,1,0
2020-04-10,Belize,10,2,1,1,1,0
2020-04-11,Belize,13,2,3,0,1,0
2020-04-12,Belize,14,2,1,0,1,0
2020-04-13,Belize,18,2,4,0,2,0
2020-04-14,Belize,18,2,0,0,2,0
2020-04-15,Belize,18,2,0,0,1,0
2020-04-16,Belize,18,2,0,0,1,0
2020-04-17,Belize,18,2,0,0,1,0
2020-04-18,Belize,18,2,0,0,1,0
2020-04-19,Belize,18,2,0,0,1,0
2020-04-20,Belize,18,2,0,0,0,0
2020-04-21,Belize,18,2,0,0,0,0
2020-04-22,Belize,18,2,0,0,0,0
2020-04-23,Belize,18,2,0,0,0,0
2020-04-24,Belize,18,2,0,0,0,0
2020-04-25,Belize,18,2,0,0,0,0
2020-04-26,Belize,18,2,0,0,0,0
2020-04-27,Belize,18,2,0,0,0,0
2020-04-28,Belize,18,2,0,0,0,0
2020-04-29,Belize,18,2,0,0,0,0
2020-04-30,Belize,18,2,0,0,0,0
2020-05-01,Belize,18,2,0,0,0,0
2020-05-02,Belize,18,2,0,0,0,0
2020-05-03,Belize,18,2,0,0,0,0
2020-05-04,Belize,18,2,0,0,0,0
2020-05-05,Belize,18,2,0,0,0,0
2020-05-06,Belize,18,2,0,0,0,0
2020-05-07,Belize,18,2,0,0,0,0
2020-05-08,Belize,18,2,0,0,0,0
2020-05-09,Belize,18,2,0,0,0,0
2020-05-10,Belize,18,2,0,0,0,0
2020-05-11,Belize,18,2,0,0,0,0
2020-05-12,Belize,18,2,0,0,0,0
2020-05-13,Belize,18,2,0,0,0,0
2020-05-14,Belize,18,2,0,0,0,0
2020-05-15,Belize,18,2,0,0,0,0
2020-05-16,Belize,18,2,0,0,0,0
2020-05-17,Belize,18,2,0,0,0,0
2020-05-18,Belize,18,2,0,0,0,0
2020-05-19,Belize,18,2,0,0,0,0
2020-05-20,Belize,18,2,0,0,0,0
2020-05-21,Belize,18,2,0,0,0,0
2020-05-22,Belize,18,2,0,0,0,0
2020-05-23,Belize,18,2,0,0,0,0
2020-05-24,Belize,18,2,0,0,0,0
2020-05-25,Belize,18,2,0,0,0,0
2020-05-26,Belize,18,2,0,0,0,0
2020-05-27,Belize,18,2,0,0,0,0
2020-05-28,Belize,18,2,0,0,0,0
2020-05-29,Belize,18,2,0,0,0,0
2020-05-30,Belize,18,2,0,0,0,0
2020-05-31,Belize,18,2,0,0,0,0
2020-06-01,Belize,18,2,0,0,0,0
2020-06-02,Belize,18,2,0,0,0,0
2020-06-03,Belize,18,2,0,0,0,0
2020-06-04,Belize,18,2,0,0,0,0
2020-06-05,Belize,19,2,1,0,0,0
2020-06-06,Belize,19,2,0,0,0,0
2020-06-07,Belize,19,2,0,0,0,0
2020-06-08,Belize,19,2,0,0,0,0
2020-06-09,Belize,20,2,1,0,0,0
2020-06-10,Belize,20,2,0,0,0,0
2020-06-11,Belize,20,2,0,0,0,0
2020-06-12,Belize,20,2,0,0,0,0
2020-06-13,Belize,20,2,0,0,0,0
2020-06-14,Belize,20,2,0,0,0,0
2020-06-15,Belize,21,2,1,0,0,0
2020-06-16,Belize,22,2,1,0,0,0
2020-06-17,Belize,22,2,0,0,0,0
2020-06-18,Belize,22,2,0,0,0,0
2020-06-19,Belize,22,2,0,0,0,0
2020-06-20,Belize,22,2,0,0,0,0
2020-06-21,Belize,22,2,0,0,0,0
2020-06-22,Belize,23,2,1,0,0,0
2020-06-23,Belize,23,2,0,0,0,0
2020-06-24,Belize,23,2,0,0,0,0
2020-06-25,Belize,23,2,0,0,0,0
2020-06-26,Belize,24,2,1,0,0,0
2020-06-27,Belize,24,2,0,0,0,0
2020-06-28,Belize,24,2,0,0,0,0
2020-06-29,Belize,24,2,0,0,0,0
2020-06-30,Belize,24,2,0,0,0,0
2020-07-01,Belize,28,2,4,0,1,0
2020-07-02,Belize,28,2,0,0,1,0
