Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Benin,0,0,0,0,0,0
2020-01-23,Benin,0,0,0,0,0,0
2020-01-24,Benin,0,0,0,0,0,0
2020-01-25,Benin,0,0,0,0,0,0
2020-01-26,Benin,0,0,0,0,0,0
2020-01-27,Benin,0,0,0,0,0,0
2020-01-28,Benin,0,0,0,0,0,0
2020-01-29,Benin,0,0,0,0,0,0
2020-01-30,Benin,0,0,0,0,0,0
2020-01-31,Benin,0,0,0,0,0,0
2020-02-01,Benin,0,0,0,0,0,0
2020-02-02,Benin,0,0,0,0,0,0
2020-02-03,Benin,0,0,0,0,0,0
2020-02-04,Benin,0,0,0,0,0,0
2020-02-05,Benin,0,0,0,0,0,0
2020-02-06,Benin,0,0,0,0,0,0
2020-02-07,Benin,0,0,0,0,0,0
2020-02-08,Benin,0,0,0,0,0,0
2020-02-09,Benin,0,0,0,0,0,0
2020-02-10,Benin,0,0,0,0,0,0
2020-02-11,Benin,0,0,0,0,0,0
2020-02-12,Benin,0,0,0,0,0,0
2020-02-13,Benin,0,0,0,0,0,0
2020-02-14,Benin,0,0,0,0,0,0
2020-02-15,Benin,0,0,0,0,0,0
2020-02-16,Benin,0,0,0,0,0,0
2020-02-17,Benin,0,0,0,0,0,0
2020-02-18,Benin,0,0,0,0,0,0
2020-02-19,Benin,0,0,0,0,0,0
2020-02-20,Benin,0,0,0,0,0,0
2020-02-21,Benin,0,0,0,0,0,0
2020-02-22,Benin,0,0,0,0,0,0
2020-02-23,Benin,0,0,0,0,0,0
2020-02-24,Benin,0,0,0,0,0,0
2020-02-25,Benin,0,0,0,0,0,0
2020-02-26,Benin,0,0,0,0,0,0
2020-02-27,Benin,0,0,0,0,0,0
2020-02-28,Benin,0,0,0,0,0,0
2020-02-29,Benin,0,0,0,0,0,0
2020-03-01,Benin,0,0,0,0,0,0
2020-03-02,Benin,0,0,0,0,0,0
2020-03-03,Benin,0,0,0,0,0,0
2020-03-04,Benin,0,0,0,0,0,0
2020-03-05,Benin,0,0,0,0,0,0
2020-03-06,Benin,0,0,0,0,0,0
2020-03-07,Benin,0,0,0,0,0,0
2020-03-08,Benin,0,0,0,0,0,0
2020-03-09,Benin,0,0,0,0,0,0
2020-03-10,Benin,0,0,0,0,0,0
2020-03-11,Benin,0,0,0,0,0,0
2020-03-12,Benin,0,0,0,0,0,0
2020-03-13,Benin,0,0,0,0,0,0
2020-03-14,Benin,0,0,0,0,0,0
2020-03-15,Benin,0,0,0,0,0,0
2020-03-16,Benin,1,0,1,0,0,0
2020-03-17,Benin,1,0,0,0,0,0
2020-03-18,Benin,2,0,1,0,0,0
2020-03-19,Benin,2,0,0,0,0,0
2020-03-20,Benin,2,0,0,0,0,0
2020-03-21,Benin,2,0,0,0,0,0
2020-03-22,Benin,2,0,0,0,0,0
2020-03-23,Benin,5,0,3,0,1,0
2020-03-24,Benin,6,0,1,0,1,0
2020-03-25,Benin,6,0,0,0,1,0
2020-03-26,Benin,6,0,0,0,1,0
2020-03-27,Benin,6,0,0,0,1,0
2020-03-28,Benin,6,0,0,0,1,0
2020-03-29,Benin,6,0,0,0,1,0
2020-03-30,Benin,6,0,0,0,0,0
2020-03-31,Benin,9,0,3,0,0,0
2020-04-01,Benin,13,0,4,0,1,0
2020-04-02,Benin,13,0,0,0,1,0
2020-04-03,Benin,16,0,3,0,1,0
2020-04-04,Benin,16,0,0,0,1,0
2020-04-05,Benin,22,0,6,0,2,0
2020-04-06,Benin,26,1,4,1,3,0
2020-04-07,Benin,26,1,0,0,2,0
2020-04-08,Benin,26,1,0,0,2,0
2020-04-09,Benin,26,1,0,0,2,0
2020-04-10,Benin,35,1,9,0,3,0
2020-04-11,Benin,35,1,0,0,3,0
2020-04-12,Benin,35,1,0,0,2,0
2020-04-13,Benin,35,1,0,0,1,0
2020-04-14,Benin,35,1,0,0,1,0
2020-04-15,Benin,35,1,0,0,1,0
2020-04-16,Benin,35,1,0,0,1,0
2020-04-17,Benin,35,1,0,0,0,0
2020-04-18,Benin,35,1,0,0,0,0
2020-04-19,Benin,35,1,0,0,0,0
2020-04-20,Benin,54,1,19,0,3,0
2020-04-21,Benin,54,1,0,0,3,0
