Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Bolivia,0,0,0,0,0,0
2020-01-23,Bolivia,0,0,0,0,0,0
2020-01-24,Bolivia,0,0,0,0,0,0
2020-01-25,Bolivia,0,0,0,0,0,0
2020-01-26,Bolivia,0,0,0,0,0,0
2020-01-27,Bolivia,0,0,0,0,0,0
2020-01-28,Bolivia,0,0,0,0,0,0
2020-01-29,Bolivia,0,0,0,0,0,0
2020-01-30,Bolivia,0,0,0,0,0,0
2020-01-31,Bolivia,0,0,0,0,0,0
2020-02-01,Bolivia,0,0,0,0,0,0
2020-02-02,Bolivia,0,0,0,0,0,0
2020-02-03,Bolivia,0,0,0,0,0,0
2020-02-04,Bolivia,0,0,0,0,0,0
2020-02-05,Bolivia,0,0,0,0,0,0
2020-02-06,Bolivia,0,0,0,0,0,0
2020-02-07,Bolivia,0,0,0,0,0,0
2020-02-08,Bolivia,0,0,0,0,0,0
2020-02-09,Bolivia,0,0,0,0,0,0
2020-02-10,Bolivia,0,0,0,0,0,0
2020-02-11,Bolivia,0,0,0,0,0,0
2020-02-12,Bolivia,0,0,0,0,0,0
2020-02-13,Bolivia,0,0,0,0,0,0
2020-02-14,Bolivia,0,0,0,0,0,0
2020-02-15,Bolivia,0,0,0,0,0,0
2020-02-16,Bolivia,0,0,0,0,0,0
2020-02-17,Bolivia,0,0,0,0,0,0
2020-02-18,Bolivia,0,0,0,0,0,0
2020-02-19,Bolivia,0,0,0,0,0,0
2020-02-20,Bolivia,0,0,0,0,0,0
2020-02-21,Bolivia,0,0,0,0,0,0
2020-02-22,Bolivia,0,0,0,0,0,0
2020-02-23,Bolivia,0,0,0,0,0,0
2020-02-24,Bolivia,0,0,0,0,0,0
2020-02-25,Bolivia,0,0,0,0,0,0
2020-02-26,Bolivia,0,0,0,0,0,0
2020-02-27,Bolivia,0,0,0,0,0,0
2020-02-28,Bolivia,0,0,0,0,0,0
2020-02-29,Bolivia,0,0,0,0,0,0
2020-03-01,Bolivia,0,0,0,0,0,0
2020-03-02,Bolivia,0,0,0,0,0,0
2020-03-03,Bolivia,0,0,0,0,0,0
