Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Bosnia and Herzegovina,0,0,0,0,0,0
2020-01-23,Bosnia and Herzegovina,0,0,0,0,0,0
2020-01-24,Bosnia and Herzegovina,0,0,0,0,0,0
2020-01-25,Bosnia and Herzegovina,0,0,0,0,0,0
2020-01-26,Bosnia and Herzegovina,0,0,0,0,0,0
2020-01-27,Bosnia and Herzegovina,0,0,0,0,0,0
2020-01-28,Bosnia and Herzegovina,0,0,0,0,0,0
2020-01-29,Bosnia and Herzegovina,0,0,0,0,0,0
2020-01-30,Bosnia and Herzegovina,0,0,0,0,0,0
2020-01-31,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-01,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-02,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-03,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-04,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-05,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-06,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-07,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-08,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-09,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-10,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-11,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-12,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-13,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-14,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-15,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-16,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-17,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-18,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-19,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-20,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-21,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-22,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-23,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-24,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-25,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-26,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-27,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-28,Bosnia and Herzegovina,0,0,0,0,0,0
2020-02-29,Bosnia and Herzegovina,0,0,0,0,0,0
2020-03-01,Bosnia and Herzegovina,0,0,0,0,0,0
2020-03-02,Bosnia and Herzegovina,0,0,0,0,0,0
2020-03-03,Bosnia and Herzegovina,0,0,0,0,0,0
2020-03-04,Bosnia and Herzegovina,0,0,0,0,0,0
2020-03-05,Bosnia and Herzegovina,2,0,2,0,0,0
2020-03-06,Bosnia and Herzegovina,2,0,0,0,0,0
2020-03-07,Bosnia and Herzegovina,3,0,1,0,0,0
2020-03-08,Bosnia and Herzegovina,3,0,0,0,0,0
2020-03-09,Bosnia and Herzegovina,3,0,0,0,0,0
2020-03-10,Bosnia and Herzegovina,5,0,2,0,1,0
2020-03-11,Bosnia and Herzegovina,7,0,2,0,1,0
2020-03-12,Bosnia and Herzegovina,11,0,4,0,1,0
2020-03-13,Bosnia and Herzegovina,13,0,2,0,2,0
2020-03-14,Bosnia and Herzegovina,18,0,5,0,2,0
2020-03-15,Bosnia and Herzegovina,24,0,6,0,3,0
2020-03-16,Bosnia and Herzegovina,25,0,1,0,3,0
2020-03-17,Bosnia and Herzegovina,26,0,1,0,3,0
2020-03-18,Bosnia and Herzegovina,38,0,12,0,4,0
2020-03-19,Bosnia and Herzegovina,63,0,25,0,7,0
2020-03-20,Bosnia and Herzegovina,89,0,26,0,11,0
2020-03-21,Bosnia and Herzegovina,93,1,4,1,11,0
2020-03-22,Bosnia and Herzegovina,126,1,33,0,15,0
2020-03-23,Bosnia and Herzegovina,136,1,10,0,16,0
2020-03-24,Bosnia and Herzegovina,166,3,30,2,20,0
2020-03-25,Bosnia and Herzegovina,176,3,10,0,20,0
2020-03-26,Bosnia and Herzegovina,191,3,15,0,18,0
2020-03-27,Bosnia and Herzegovina,237,4,46,1,21,1
2020-03-28,Bosnia and Herzegovina,258,5,21,1,24,1
2020-03-29,Bosnia and Herzegovina,323,6,65,1,28,1
2020-03-30,Bosnia and Herzegovina,368,10,45,4,33,1
2020-03-31,Bosnia and Herzegovina,420,13,52,3,36,1
2020-04-01,Bosnia and Herzegovina,459,13,39,0,40,1
2020-04-02,Bosnia and Herzegovina,533,16,74,3,49,2
2020-04-03,Bosnia and Herzegovina,579,17,46,1,49,2
2020-04-04,Bosnia and Herzegovina,624,21,45,4,52,2
2020-04-05,Bosnia and Herzegovina,654,23,30,2,47,2
2020-04-06,Bosnia and Herzegovina,674,29,20,6,44,3
2020-04-07,Bosnia and Herzegovina,764,33,90,4,49,3
2020-04-08,Bosnia and Herzegovina,804,34,40,1,49,3
2020-04-09,Bosnia and Herzegovina,858,35,54,1,46,3
2020-04-10,Bosnia and Herzegovina,901,36,43,1,46,3
2020-04-11,Bosnia and Herzegovina,946,37,45,1,46,2
2020-04-12,Bosnia and Herzegovina,1009,39,63,2,51,2
2020-04-13,Bosnia and Herzegovina,1037,39,28,0,52,1
2020-04-14,Bosnia and Herzegovina,1083,40,46,1,46,1
2020-04-15,Bosnia and Herzegovina,1110,41,27,1,44,1
2020-04-16,Bosnia and Herzegovina,1167,43,57,2,44,1
2020-04-17,Bosnia and Herzegovina,1214,46,47,3,45,1
2020-04-18,Bosnia and Herzegovina,1268,47,54,1,46,1
2020-04-19,Bosnia and Herzegovina,1285,48,17,1,39,1
2020-04-20,Bosnia and Herzegovina,1309,49,24,1,39,1
2020-04-21,Bosnia and Herzegovina,1342,51,33,2,37,2
2020-04-22,Bosnia and Herzegovina,1368,53,26,2,37,2
2020-04-23,Bosnia and Herzegovina,1413,54,45,1,35,2
2020-04-24,Bosnia and Herzegovina,1421,55,8,1,30,1
2020-04-25,Bosnia and Herzegovina,1486,57,65,2,31,1
2020-04-26,Bosnia and Herzegovina,1516,59,30,2,33,2
2020-04-27,Bosnia and Herzegovina,1565,60,49,1,37,2
