Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Botswana,0,0,0,0,0,0
2020-01-23,Botswana,0,0,0,0,0,0
2020-01-24,Botswana,0,0,0,0,0,0
2020-01-25,Botswana,0,0,0,0,0,0
2020-01-26,Botswana,0,0,0,0,0,0
2020-01-27,Botswana,0,0,0,0,0,0
2020-01-28,Botswana,0,0,0,0,0,0
2020-01-29,Botswana,0,0,0,0,0,0
2020-01-30,Botswana,0,0,0,0,0,0
2020-01-31,Botswana,0,0,0,0,0,0
2020-02-01,Botswana,0,0,0,0,0,0
2020-02-02,Botswana,0,0,0,0,0,0
2020-02-03,Botswana,0,0,0,0,0,0
2020-02-04,Botswana,0,0,0,0,0,0
2020-02-05,Botswana,0,0,0,0,0,0
2020-02-06,Botswana,0,0,0,0,0,0
2020-02-07,Botswana,0,0,0,0,0,0
2020-02-08,Botswana,0,0,0,0,0,0
2020-02-09,Botswana,0,0,0,0,0,0
2020-02-10,Botswana,0,0,0,0,0,0
2020-02-11,Botswana,0,0,0,0,0,0
2020-02-12,Botswana,0,0,0,0,0,0
2020-02-13,Botswana,0,0,0,0,0,0
2020-02-14,Botswana,0,0,0,0,0,0
2020-02-15,Botswana,0,0,0,0,0,0
2020-02-16,Botswana,0,0,0,0,0,0
2020-02-17,Botswana,0,0,0,0,0,0
2020-02-18,Botswana,0,0,0,0,0,0
2020-02-19,Botswana,0,0,0,0,0,0
2020-02-20,Botswana,0,0,0,0,0,0
2020-02-21,Botswana,0,0,0,0,0,0
2020-02-22,Botswana,0,0,0,0,0,0
2020-02-23,Botswana,0,0,0,0,0,0
2020-02-24,Botswana,0,0,0,0,0,0
2020-02-25,Botswana,0,0,0,0,0,0
2020-02-26,Botswana,0,0,0,0,0,0
2020-02-27,Botswana,0,0,0,0,0,0
2020-02-28,Botswana,0,0,0,0,0,0
2020-02-29,Botswana,0,0,0,0,0,0
2020-03-01,Botswana,0,0,0,0,0,0
2020-03-02,Botswana,0,0,0,0,0,0
2020-03-03,Botswana,0,0,0,0,0,0
2020-03-04,Botswana,0,0,0,0,0,0
2020-03-05,Botswana,0,0,0,0,0,0
2020-03-06,Botswana,0,0,0,0,0,0
2020-03-07,Botswana,0,0,0,0,0,0
2020-03-08,Botswana,0,0,0,0,0,0
2020-03-09,Botswana,0,0,0,0,0,0
2020-03-10,Botswana,0,0,0,0,0,0
2020-03-11,Botswana,0,0,0,0,0,0
2020-03-12,Botswana,0,0,0,0,0,0
2020-03-13,Botswana,0,0,0,0,0,0
2020-03-14,Botswana,0,0,0,0,0,0
2020-03-15,Botswana,0,0,0,0,0,0
2020-03-16,Botswana,0,0,0,0,0,0
2020-03-17,Botswana,0,0,0,0,0,0
2020-03-18,Botswana,0,0,0,0,0,0
2020-03-19,Botswana,0,0,0,0,0,0
2020-03-20,Botswana,0,0,0,0,0,0
2020-03-21,Botswana,0,0,0,0,0,0
2020-03-22,Botswana,0,0,0,0,0,0
2020-03-23,Botswana,0,0,0,0,0,0
2020-03-24,Botswana,0,0,0,0,0,0
2020-03-25,Botswana,0,0,0,0,0,0
2020-03-26,Botswana,0,0,0,0,0,0
2020-03-27,Botswana,0,0,0,0,0,0
2020-03-28,Botswana,0,0,0,0,0,0
2020-03-29,Botswana,0,0,0,0,0,0
2020-03-30,Botswana,3,0,3,0,0,0
2020-03-31,Botswana,4,1,1,1,1,0
2020-04-01,Botswana,4,1,0,0,1,0
