Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Brazil,0,0,0,0,0,0
2020-01-23,Brazil,0,0,0,0,0,0
2020-01-24,Brazil,0,0,0,0,0,0
2020-01-25,Brazil,0,0,0,0,0,0
2020-01-26,Brazil,0,0,0,0,0,0
2020-01-27,Brazil,0,0,0,0,0,0
2020-01-28,Brazil,0,0,0,0,0,0
2020-01-29,Brazil,0,0,0,0,0,0
2020-01-30,Brazil,0,0,0,0,0,0
2020-01-31,Brazil,0,0,0,0,0,0
2020-02-01,Brazil,0,0,0,0,0,0
2020-02-02,Brazil,0,0,0,0,0,0
2020-02-03,Brazil,0,0,0,0,0,0
2020-02-04,Brazil,0,0,0,0,0,0
2020-02-05,Brazil,0,0,0,0,0,0
2020-02-06,Brazil,0,0,0,0,0,0
2020-02-07,Brazil,0,0,0,0,0,0
2020-02-08,Brazil,0,0,0,0,0,0
2020-02-09,Brazil,0,0,0,0,0,0
2020-02-10,Brazil,0,0,0,0,0,0
2020-02-11,Brazil,0,0,0,0,0,0
2020-02-12,Brazil,0,0,0,0,0,0
2020-02-13,Brazil,0,0,0,0,0,0
2020-02-14,Brazil,0,0,0,0,0,0
2020-02-15,Brazil,0,0,0,0,0,0
2020-02-16,Brazil,0,0,0,0,0,0
2020-02-17,Brazil,0,0,0,0,0,0
2020-02-18,Brazil,0,0,0,0,0,0
2020-02-19,Brazil,0,0,0,0,0,0
2020-02-20,Brazil,0,0,0,0,0,0
2020-02-21,Brazil,0,0,0,0,0,0
2020-02-22,Brazil,0,0,0,0,0,0
2020-02-23,Brazil,0,0,0,0,0,0
2020-02-24,Brazil,0,0,0,0,0,0
2020-02-25,Brazil,0,0,0,0,0,0
2020-02-26,Brazil,1,0,1,0,0,0
2020-02-27,Brazil,1,0,0,0,0,0
2020-02-28,Brazil,1,0,0,0,0,0
2020-02-29,Brazil,2,0,1,0,0,0
2020-03-01,Brazil,2,0,0,0,0,0
2020-03-02,Brazil,2,0,0,0,0,0
2020-03-03,Brazil,2,0,0,0,0,0
2020-03-04,Brazil,4,0,2,0,0,0
2020-03-05,Brazil,4,0,0,0,0,0
2020-03-06,Brazil,13,0,9,0,2,0
2020-03-07,Brazil,13,0,0,0,2,0
2020-03-08,Brazil,20,0,7,0,3,0
2020-03-09,Brazil,25,0,5,0,3,0
2020-03-10,Brazil,31,0,6,0,4,0
2020-03-11,Brazil,38,0,7,0,5,0
2020-03-12,Brazil,52,0,14,0,7,0
2020-03-13,Brazil,151,0,99,0,20,0
2020-03-14,Brazil,151,0,0,0,20,0
2020-03-15,Brazil,162,0,11,0,20,0
2020-03-16,Brazil,200,0,38,0,25,0
2020-03-17,Brazil,321,1,121,1,41,0
2020-03-18,Brazil,372,3,51,2,48,0
2020-03-19,Brazil,621,6,249,3,81,1
2020-03-20,Brazil,793,11,172,5,92,2
2020-03-21,Brazil,1021,15,228,4,124,2
2020-03-22,Brazil,1546,25,525,10,198,4
2020-03-23,Brazil,1924,34,378,9,246,5
2020-03-24,Brazil,2247,46,323,12,275,6
2020-03-25,Brazil,2554,59,307,13,312,8
2020-03-26,Brazil,2985,77,431,18,338,10
2020-03-27,Brazil,3417,92,432,15,375,12
2020-03-28,Brazil,3904,111,487,19,412,14
2020-03-29,Brazil,4256,136,352,25,387,16
2020-03-30,Brazil,4579,159,323,23,379,18
2020-03-31,Brazil,5717,201,1138,42,496,22
2020-04-01,Brazil,6836,240,1119,39,612,26
2020-04-02,Brazil,8044,324,1208,84,723,35
2020-04-03,Brazil,9056,359,1012,35,806,38
2020-04-04,Brazil,10360,445,1304,86,922,48
2020-04-05,Brazil,11130,486,770,41,982,50
2020-04-06,Brazil,12161,564,1031,78,1083,58
2020-04-07,Brazil,14034,686,1873,122,1188,69
2020-04-08,Brazil,16170,819,2136,133,1333,83
2020-04-09,Brazil,18092,950,1922,131,1435,89
2020-04-10,Brazil,19638,1057,1546,107,1512,100
2020-04-11,Brazil,20727,1124,1089,67,1481,97
2020-04-12,Brazil,22192,1223,1465,99,1580,105
2020-04-13,Brazil,23430,1328,1238,105,1610,109
2020-04-14,Brazil,25262,1532,1832,204,1604,121
2020-04-15,Brazil,28320,1736,3058,204,1736,131
2020-04-16,Brazil,30425,1924,2105,188,1762,139
2020-04-17,Brazil,33682,2141,3257,217,2006,155
2020-04-18,Brazil,36658,2354,2976,213,2276,176
2020-04-19,Brazil,38654,2462,1996,108,2352,177
2020-04-20,Brazil,40743,2587,2089,125,2473,180
2020-04-21,Brazil,43079,2741,2336,154,2545,173
2020-04-22,Brazil,45757,2906,2678,165,2491,167
2020-04-23,Brazil,50036,3331,4279,425,2802,201
2020-04-24,Brazil,54043,3704,4007,373,2909,223
2020-04-25,Brazil,59324,4057,5281,353,3238,243
2020-04-26,Brazil,63100,4286,3776,229,3492,261
2020-04-27,Brazil,67446,4603,4346,317,3815,288
2020-04-28,Brazil,73235,5083,5789,480,4308,335
2020-04-29,Brazil,79685,5513,6450,430,4847,372
2020-04-30,Brazil,87187,6006,7502,493,5307,382
2020-05-01,Brazil,92202,6412,5015,406,5451,387
2020-05-02,Brazil,97100,6761,4898,349,5397,386
2020-05-03,Brazil,101826,7051,4726,290,5532,395
2020-05-04,Brazil,108620,7367,6794,316,5882,395
2020-05-05,Brazil,115455,7938,6835,571,6031,408
2020-05-06,Brazil,126611,8588,11156,650,6704,439
