Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Brunei,0,0,0,0,0,0
2020-01-23,Brunei,0,0,0,0,0,0
2020-01-24,Brunei,0,0,0,0,0,0
2020-01-25,Brunei,0,0,0,0,0,0
2020-01-26,Brunei,0,0,0,0,0,0
2020-01-27,Brunei,0,0,0,0,0,0
2020-01-28,Brunei,0,0,0,0,0,0
2020-01-29,Brunei,0,0,0,0,0,0
2020-01-30,Brunei,0,0,0,0,0,0
2020-01-31,Brunei,0,0,0,0,0,0
2020-02-01,Brunei,0,0,0,0,0,0
2020-02-02,Brunei,0,0,0,0,0,0
2020-02-03,Brunei,0,0,0,0,0,0
2020-02-04,Brunei,0,0,0,0,0,0
2020-02-05,Brunei,0,0,0,0,0,0
2020-02-06,Brunei,0,0,0,0,0,0
2020-02-07,Brunei,0,0,0,0,0,0
2020-02-08,Brunei,0,0,0,0,0,0
2020-02-09,Brunei,0,0,0,0,0,0
2020-02-10,Brunei,0,0,0,0,0,0
2020-02-11,Brunei,0,0,0,0,0,0
2020-02-12,Brunei,0,0,0,0,0,0
2020-02-13,Brunei,0,0,0,0,0,0
2020-02-14,Brunei,0,0,0,0,0,0
2020-02-15,Brunei,0,0,0,0,0,0
2020-02-16,Brunei,0,0,0,0,0,0
2020-02-17,Brunei,0,0,0,0,0,0
2020-02-18,Brunei,0,0,0,0,0,0
2020-02-19,Brunei,0,0,0,0,0,0
2020-02-20,Brunei,0,0,0,0,0,0
2020-02-21,Brunei,0,0,0,0,0,0
2020-02-22,Brunei,0,0,0,0,0,0
2020-02-23,Brunei,0,0,0,0,0,0
2020-02-24,Brunei,0,0,0,0,0,0
2020-02-25,Brunei,0,0,0,0,0,0
2020-02-26,Brunei,0,0,0,0,0,0
2020-02-27,Brunei,0,0,0,0,0,0
2020-02-28,Brunei,0,0,0,0,0,0
2020-02-29,Brunei,0,0,0,0,0,0
2020-03-01,Brunei,0,0,0,0,0,0
2020-03-02,Brunei,0,0,0,0,0,0
2020-03-03,Brunei,0,0,0,0,0,0
2020-03-04,Brunei,0,0,0,0,0,0
2020-03-05,Brunei,0,0,0,0,0,0
2020-03-06,Brunei,0,0,0,0,0,0
2020-03-07,Brunei,0,0,0,0,0,0
2020-03-08,Brunei,0,0,0,0,0,0
2020-03-09,Brunei,1,0,1,0,0,0
2020-03-10,Brunei,1,0,0,0,0,0
2020-03-11,Brunei,11,0,10,0,2,0
2020-03-12,Brunei,11,0,0,0,2,0
2020-03-13,Brunei,37,0,26,0,5,0
2020-03-14,Brunei,40,0,3,0,6,0
2020-03-15,Brunei,50,0,10,0,7,0
2020-03-16,Brunei,54,0,4,0,8,0
2020-03-17,Brunei,56,0,2,0,8,0
2020-03-18,Brunei,68,0,12,0,8,0
2020-03-19,Brunei,75,0,7,0,9,0
2020-03-20,Brunei,78,0,3,0,6,0
2020-03-21,Brunei,83,0,5,0,6,0
2020-03-22,Brunei,88,0,5,0,5,0
2020-03-23,Brunei,91,0,3,0,5,0
2020-03-24,Brunei,104,0,13,0,7,0
2020-03-25,Brunei,109,0,5,0,6,0
2020-03-26,Brunei,114,0,5,0,6,0
2020-03-27,Brunei,115,0,1,0,5,0
2020-03-28,Brunei,120,1,5,1,5,0
2020-03-29,Brunei,126,1,6,0,5,0
2020-03-30,Brunei,127,1,1,0,5,0
2020-03-31,Brunei,129,1,2,0,4,0
2020-04-01,Brunei,131,1,2,0,3,0
2020-04-02,Brunei,133,1,2,0,3,0
2020-04-03,Brunei,134,1,1,0,3,0
2020-04-04,Brunei,135,1,1,0,2,0
2020-04-05,Brunei,135,1,0,0,1,0
2020-04-06,Brunei,135,1,0,0,1,0
2020-04-07,Brunei,135,1,0,0,1,0
2020-04-08,Brunei,135,1,0,0,1,0
2020-04-09,Brunei,135,1,0,0,0,0
2020-04-10,Brunei,136,1,1,0,0,0
2020-04-11,Brunei,136,1,0,0,0,0
2020-04-12,Brunei,136,1,0,0,0,0
2020-04-13,Brunei,136,1,0,0,0,0
2020-04-14,Brunei,136,1,0,0,0,0
2020-04-15,Brunei,136,1,0,0,0,0
2020-04-16,Brunei,136,1,0,0,0,0
2020-04-17,Brunei,136,1,0,0,0,0
2020-04-18,Brunei,137,1,1,0,0,0
