Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Bulgaria,0,0,0,0,0,0
2020-01-23,Bulgaria,0,0,0,0,0,0
2020-01-24,Bulgaria,0,0,0,0,0,0
2020-01-25,Bulgaria,0,0,0,0,0,0
2020-01-26,Bulgaria,0,0,0,0,0,0
2020-01-27,Bulgaria,0,0,0,0,0,0
2020-01-28,Bulgaria,0,0,0,0,0,0
2020-01-29,Bulgaria,0,0,0,0,0,0
2020-01-30,Bulgaria,0,0,0,0,0,0
2020-01-31,Bulgaria,0,0,0,0,0,0
2020-02-01,Bulgaria,0,0,0,0,0,0
2020-02-02,Bulgaria,0,0,0,0,0,0
2020-02-03,Bulgaria,0,0,0,0,0,0
2020-02-04,Bulgaria,0,0,0,0,0,0
2020-02-05,Bulgaria,0,0,0,0,0,0
2020-02-06,Bulgaria,0,0,0,0,0,0
2020-02-07,Bulgaria,0,0,0,0,0,0
2020-02-08,Bulgaria,0,0,0,0,0,0
2020-02-09,Bulgaria,0,0,0,0,0,0
2020-02-10,Bulgaria,0,0,0,0,0,0
2020-02-11,Bulgaria,0,0,0,0,0,0
2020-02-12,Bulgaria,0,0,0,0,0,0
2020-02-13,Bulgaria,0,0,0,0,0,0
2020-02-14,Bulgaria,0,0,0,0,0,0
2020-02-15,Bulgaria,0,0,0,0,0,0
2020-02-16,Bulgaria,0,0,0,0,0,0
2020-02-17,Bulgaria,0,0,0,0,0,0
2020-02-18,Bulgaria,0,0,0,0,0,0
2020-02-19,Bulgaria,0,0,0,0,0,0
2020-02-20,Bulgaria,0,0,0,0,0,0
2020-02-21,Bulgaria,0,0,0,0,0,0
2020-02-22,Bulgaria,0,0,0,0,0,0
2020-02-23,Bulgaria,0,0,0,0,0,0
2020-02-24,Bulgaria,0,0,0,0,0,0
2020-02-25,Bulgaria,0,0,0,0,0,0
2020-02-26,Bulgaria,0,0,0,0,0,0
2020-02-27,Bulgaria,0,0,0,0,0,0
2020-02-28,Bulgaria,0,0,0,0,0,0
2020-02-29,Bulgaria,0,0,0,0,0,0
2020-03-01,Bulgaria,0,0,0,0,0,0
2020-03-02,Bulgaria,0,0,0,0,0,0
2020-03-03,Bulgaria,0,0,0,0,0,0
2020-03-04,Bulgaria,0,0,0,0,0,0
2020-03-05,Bulgaria,0,0,0,0,0,0
2020-03-06,Bulgaria,0,0,0,0,0,0
2020-03-07,Bulgaria,0,0,0,0,0,0
2020-03-08,Bulgaria,4,0,4,0,1,0
2020-03-09,Bulgaria,4,0,0,0,1,0
2020-03-10,Bulgaria,4,0,0,0,1,0
2020-03-11,Bulgaria,7,1,3,1,1,0
2020-03-12,Bulgaria,7,1,0,0,1,0
2020-03-13,Bulgaria,23,1,16,0,3,0
2020-03-14,Bulgaria,41,2,18,1,6,0
2020-03-15,Bulgaria,51,2,10,0,7,0
2020-03-16,Bulgaria,52,2,1,0,7,0
2020-03-17,Bulgaria,67,2,15,0,9,0
2020-03-18,Bulgaria,92,2,25,0,12,0
2020-03-19,Bulgaria,94,3,2,1,12,0
2020-03-20,Bulgaria,127,3,33,0,15,0
2020-03-21,Bulgaria,163,3,36,0,17,0
2020-03-22,Bulgaria,187,3,24,0,19,0
2020-03-23,Bulgaria,201,3,14,0,21,0
2020-03-24,Bulgaria,218,3,17,0,22,0
2020-03-25,Bulgaria,242,3,24,0,21,0
2020-03-26,Bulgaria,264,3,22,0,24,0
2020-03-27,Bulgaria,293,3,29,0,24,0
2020-03-28,Bulgaria,331,7,38,4,24,1
2020-03-29,Bulgaria,346,8,15,1,23,1
2020-03-30,Bulgaria,359,8,13,0,23,1
2020-03-31,Bulgaria,399,8,40,0,26,1
2020-04-01,Bulgaria,422,10,23,2,26,1
2020-04-02,Bulgaria,457,10,35,0,28,1
2020-04-03,Bulgaria,485,14,28,4,27,2
2020-04-04,Bulgaria,503,17,18,3,25,1
2020-04-05,Bulgaria,531,20,28,3,26,2
2020-04-06,Bulgaria,549,22,18,2,27,2
2020-04-07,Bulgaria,577,23,28,1,25,2
2020-04-08,Bulgaria,593,24,16,1,24,2
2020-04-09,Bulgaria,618,24,25,0,23,2
2020-04-10,Bulgaria,635,25,17,1,21,2
2020-04-11,Bulgaria,661,28,26,3,23,2
2020-04-12,Bulgaria,675,29,14,1,21,1
2020-04-13,Bulgaria,685,32,10,3,19,1
2020-04-14,Bulgaria,713,35,28,3,19,2
2020-04-15,Bulgaria,747,36,34,1,22,2
2020-04-16,Bulgaria,800,38,53,2,26,2
2020-04-17,Bulgaria,846,41,46,3,30,2
2020-04-18,Bulgaria,878,41,32,0,31,2
2020-04-19,Bulgaria,894,42,16,1,31,2
2020-04-20,Bulgaria,929,43,35,1,35,2
2020-04-21,Bulgaria,975,45,46,2,37,1
2020-04-22,Bulgaria,1024,49,49,4,40,2
2020-04-23,Bulgaria,1097,52,73,3,42,2
2020-04-24,Bulgaria,1234,54,137,2,55,2
2020-04-25,Bulgaria,1247,55,13,1,53,2
2020-04-26,Bulgaria,1300,56,53,1,58,2
2020-04-27,Bulgaria,1363,58,63,2,62,2
2020-04-28,Bulgaria,1399,58,36,0,61,2
2020-04-29,Bulgaria,1447,64,48,6,60,2
2020-04-30,Bulgaria,1506,66,59,2,58,2
2020-05-01,Bulgaria,1555,68,49,2,46,2
2020-05-02,Bulgaria,1594,72,39,4,50,2
2020-05-03,Bulgaria,1618,73,24,1,45,2
2020-05-04,Bulgaria,1652,78,34,5,41,3
2020-05-05,Bulgaria,1704,80,52,2,44,3
2020-05-06,Bulgaria,1778,84,74,4,47,3
2020-05-07,Bulgaria,1829,84,51,0,46,3
2020-05-08,Bulgaria,1872,86,43,2,45,3
2020-05-09,Bulgaria,1921,90,49,4,47,3
2020-05-10,Bulgaria,1965,91,44,1,50,3
2020-05-11,Bulgaria,1990,93,25,2,48,2
2020-05-12,Bulgaria,2023,95,33,2,46,2
2020-05-13,Bulgaria,2069,96,46,1,42,2
2020-05-14,Bulgaria,2100,99,31,3,39,2
2020-05-15,Bulgaria,2138,102,38,3,38,2
2020-05-16,Bulgaria,2175,105,37,3,36,2
2020-05-17,Bulgaria,2211,108,36,3,35,2
2020-05-18,Bulgaria,2235,110,24,2,35,2
2020-05-19,Bulgaria,2259,112,24,2,34,2
2020-05-20,Bulgaria,2292,116,33,4,32,3
2020-05-21,Bulgaria,2331,120,39,4,33,3
2020-05-22,Bulgaria,2372,125,41,5,33,3
2020-05-23,Bulgaria,2408,126,36,1,33,3
2020-05-24,Bulgaria,2427,130,19,4,31,3
2020-05-25,Bulgaria,2433,130,6,0,28,3
2020-05-26,Bulgaria,2443,130,10,0,26,3
2020-05-27,Bulgaria,2460,133,17,3,24,2
2020-05-28,Bulgaria,2477,134,17,1,21,2
2020-05-29,Bulgaria,2485,136,8,2,16,2
2020-05-30,Bulgaria,2499,139,14,3,13,2
2020-05-31,Bulgaria,2513,140,14,1,12,1
2020-06-01,Bulgaria,2519,140,6,0,12,1
2020-06-02,Bulgaria,2538,144,19,4,14,2
2020-06-03,Bulgaria,2560,146,22,2,14,2
2020-06-04,Bulgaria,2585,147,25,1,15,2
2020-06-05,Bulgaria,2627,159,42,12,20,3
2020-06-06,Bulgaria,2711,160,84,1,30,3
2020-06-07,Bulgaria,2727,160,16,0,31,3
2020-06-08,Bulgaria,2810,164,83,4,42,3
2020-06-09,Bulgaria,2889,167,79,3,50,3
2020-06-10,Bulgaria,2993,167,104,0,62,3
2020-06-11,Bulgaria,3086,168,93,1,72,3
2020-06-12,Bulgaria,3191,172,105,4,81,2
2020-06-13,Bulgaria,3266,172,75,0,79,2
2020-06-14,Bulgaria,3290,174,24,2,80,2
2020-06-15,Bulgaria,3341,176,51,2,76,2
2020-06-16,Bulgaria,3453,181,112,5,81,2
2020-06-17,Bulgaria,3542,184,89,3,78,2
2020-06-18,Bulgaria,3674,190,132,6,84,3
2020-06-19,Bulgaria,3755,193,81,3,81,3
2020-06-20,Bulgaria,3872,199,117,6,87,4
2020-06-21,Bulgaria,3905,199,33,0,88,4
2020-06-22,Bulgaria,3984,207,79,8,92,4
2020-06-23,Bulgaria,4114,208,130,1,94,4
2020-06-24,Bulgaria,4242,209,128,1,100,4
2020-06-25,Bulgaria,4408,211,166,2,105,3
2020-06-26,Bulgaria,4513,215,105,4,108,3
2020-06-27,Bulgaria,4625,216,112,1,108,2
2020-06-28,Bulgaria,4691,219,66,3,112,3
2020-06-29,Bulgaria,4831,223,140,4,121,2
2020-06-30,Bulgaria,4989,230,158,7,125,3
2020-07-01,Bulgaria,5154,232,165,2,130,3
2020-07-02,Bulgaria,5315,232,161,0,130,3
2020-07-03,Bulgaria,5497,239,182,7,141,3
2020-07-04,Bulgaria,5677,241,180,2,150,4
2020-07-05,Bulgaria,5740,246,63,5,150,4
2020-07-06,Bulgaria,5914,250,174,4,155,4
2020-07-07,Bulgaria,6102,254,188,4,159,3
2020-07-08,Bulgaria,6342,259,240,5,170,4
2020-07-09,Bulgaria,6672,262,330,3,194,4
2020-07-10,Bulgaria,6964,267,292,5,210,4
2020-07-11,Bulgaria,7175,267,211,0,214,4
2020-07-12,Bulgaria,7252,268,77,1,216,3
2020-07-13,Bulgaria,7411,276,159,8,214,4
2020-07-14,Bulgaria,7645,283,234,7,220,4
2020-07-15,Bulgaria,7877,289,232,6,219,4
2020-07-16,Bulgaria,8144,293,267,4,210,4
2020-07-17,Bulgaria,8442,297,298,4,211,4
2020-07-18,Bulgaria,8638,299,196,2,209,5
2020-07-19,Bulgaria,8733,300,95,1,212,5
2020-07-20,Bulgaria,8929,308,196,8,217,5
2020-07-21,Bulgaria,9254,313,325,5,230,4
2020-07-22,Bulgaria,9584,321,330,8,244,5
2020-07-23,Bulgaria,9853,329,269,8,244,5
2020-07-24,Bulgaria,10123,337,270,8,240,6
2020-07-25,Bulgaria,10312,338,189,1,239,6
2020-07-26,Bulgaria,10427,340,115,2,242,6
2020-07-27,Bulgaria,10621,347,194,7,242,6
2020-07-28,Bulgaria,10871,355,250,8,231,6
2020-07-29,Bulgaria,11155,368,284,13,224,7
2020-07-30,Bulgaria,11420,374,265,6,224,6
2020-07-31,Bulgaria,11690,383,270,9,224,7
2020-08-01,Bulgaria,11836,385,146,2,218,7
2020-08-02,Bulgaria,11955,388,119,3,218,7
2020-08-03,Bulgaria,12159,404,204,16,220,8
2020-08-04,Bulgaria,12414,415,255,11,220,9
2020-08-05,Bulgaria,12717,424,303,9,223,8
2020-08-06,Bulgaria,13014,435,297,11,228,9
2020-08-07,Bulgaria,13209,442,195,7,217,8
2020-08-08,Bulgaria,13343,445,134,3,215,9
2020-08-09,Bulgaria,13396,447,53,2,206,8
2020-08-10,Bulgaria,13512,459,116,12,193,8
2020-08-11,Bulgaria,13722,471,210,12,187,8
2020-08-12,Bulgaria,13893,482,171,11,168,8
2020-08-13,Bulgaria,13893,482,0,0,126,7
2020-08-14,Bulgaria,14243,492,350,10,148,7
2020-08-15,Bulgaria,14333,495,90,3,141,7
2020-08-16,Bulgaria,14365,498,32,3,138,7
2020-08-17,Bulgaria,14500,512,135,14,141,8
2020-08-18,Bulgaria,14669,519,169,7,135,7
2020-08-19,Bulgaria,14820,527,151,8,132,6
2020-08-20,Bulgaria,14962,532,142,5,153,7
2020-08-21,Bulgaria,15131,539,169,7,127,7
2020-08-22,Bulgaria,15131,539,0,0,114,6
2020-08-23,Bulgaria,15287,545,156,6,132,7
2020-08-24,Bulgaria,15386,563,99,18,127,7
2020-08-25,Bulgaria,15589,572,203,9,131,8
2020-08-26,Bulgaria,15751,586,162,14,133,8
2020-08-27,Bulgaria,15908,594,157,8,135,9
2020-08-28,Bulgaria,16065,603,157,9,133,9
2020-08-29,Bulgaria,16164,605,99,2,148,9
2020-08-30,Bulgaria,16190,613,26,8,129,10
2020-08-31,Bulgaria,16266,629,76,16,126,9
2020-09-01,Bulgaria,16454,642,188,13,124,10
2020-09-02,Bulgaria,16617,648,163,6,124,9
2020-09-03,Bulgaria,16775,658,158,10,124,9
2020-09-04,Bulgaria,16954,665,179,7,127,9
2020-09-05,Bulgaria,17050,671,96,6,127,9
2020-09-06,Bulgaria,17089,676,39,5,128,9
2020-09-07,Bulgaria,17146,677,57,1,126,7
2020-09-08,Bulgaria,17313,692,167,15,123,7
2020-09-09,Bulgaria,17435,702,122,10,117,8
2020-09-10,Bulgaria,17598,706,163,4,118,7
2020-09-11,Bulgaria,17799,713,201,7,121,7
2020-09-12,Bulgaria,17891,717,92,4,120,7
2020-09-13,Bulgaria,17918,720,27,3,118,6
2020-09-14,Bulgaria,18061,729,143,9,131,7
2020-09-15,Bulgaria,18216,736,155,7,129,6
2020-09-16,Bulgaria,18390,739,174,3,136,5
2020-09-17,Bulgaria,18544,749,154,10,135,6
2020-09-18,Bulgaria,18733,753,189,4,133,6
2020-09-19,Bulgaria,18819,755,86,2,133,5
2020-09-20,Bulgaria,18863,761,44,6,135,6
2020-09-21,Bulgaria,19014,765,151,4,136,5
2020-09-22,Bulgaria,19123,767,109,2,130,4
2020-09-23,Bulgaria,19283,779,160,12,128,6
2020-09-24,Bulgaria,19573,785,290,6,147,5
2020-09-25,Bulgaria,19828,789,255,4,156,5
2020-09-26,Bulgaria,19997,789,169,0,168,5
2020-09-27,Bulgaria,20055,796,58,7,170,5
2020-09-28,Bulgaria,20271,807,216,11,180,6
2020-09-29,Bulgaria,20547,813,276,6,203,7
2020-09-30,Bulgaria,20833,825,286,12,221,7
2020-10-01,Bulgaria,20833,825,0,0,180,6
2020-10-02,Bulgaria,21336,838,503,13,215,7
2020-10-03,Bulgaria,21518,841,182,3,217,7
2020-10-04,Bulgaria,21587,844,69,3,219,7
2020-10-05,Bulgaria,21870,854,283,10,228,7
2020-10-06,Bulgaria,22306,862,436,8,251,7
2020-10-07,Bulgaria,22743,873,437,11,273,7
2020-10-08,Bulgaria,23259,880,516,7,347,8
2020-10-09,Bulgaria,23871,887,612,7,362,7
2020-10-10,Bulgaria,24319,891,448,4,400,7
2020-10-11,Bulgaria,24402,892,83,1,402,7
2020-10-12,Bulgaria,24989,915,587,23,446,9
2020-10-13,Bulgaria,25774,923,785,8,495,9
2020-10-14,Bulgaria,26593,929,819,6,550,8
