Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Burma,0,0,0,0,0,0
2020-01-23,Burma,0,0,0,0,0,0
2020-01-24,Burma,0,0,0,0,0,0
2020-01-25,Burma,0,0,0,0,0,0
2020-01-26,Burma,0,0,0,0,0,0
2020-01-27,Burma,0,0,0,0,0,0
2020-01-28,Burma,0,0,0,0,0,0
2020-01-29,Burma,0,0,0,0,0,0
2020-01-30,Burma,0,0,0,0,0,0
2020-01-31,Burma,0,0,0,0,0,0
2020-02-01,Burma,0,0,0,0,0,0
2020-02-02,Burma,0,0,0,0,0,0
2020-02-03,Burma,0,0,0,0,0,0
2020-02-04,Burma,0,0,0,0,0,0
2020-02-05,Burma,0,0,0,0,0,0
2020-02-06,Burma,0,0,0,0,0,0
2020-02-07,Burma,0,0,0,0,0,0
2020-02-08,Burma,0,0,0,0,0,0
2020-02-09,Burma,0,0,0,0,0,0
2020-02-10,Burma,0,0,0,0,0,0
2020-02-11,Burma,0,0,0,0,0,0
2020-02-12,Burma,0,0,0,0,0,0
2020-02-13,Burma,0,0,0,0,0,0
2020-02-14,Burma,0,0,0,0,0,0
2020-02-15,Burma,0,0,0,0,0,0
2020-02-16,Burma,0,0,0,0,0,0
2020-02-17,Burma,0,0,0,0,0,0
2020-02-18,Burma,0,0,0,0,0,0
2020-02-19,Burma,0,0,0,0,0,0
2020-02-20,Burma,0,0,0,0,0,0
2020-02-21,Burma,0,0,0,0,0,0
2020-02-22,Burma,0,0,0,0,0,0
2020-02-23,Burma,0,0,0,0,0,0
2020-02-24,Burma,0,0,0,0,0,0
2020-02-25,Burma,0,0,0,0,0,0
2020-02-26,Burma,0,0,0,0,0,0
2020-02-27,Burma,0,0,0,0,0,0
2020-02-28,Burma,0,0,0,0,0,0
2020-02-29,Burma,0,0,0,0,0,0
2020-03-01,Burma,0,0,0,0,0,0
2020-03-02,Burma,0,0,0,0,0,0
2020-03-03,Burma,0,0,0,0,0,0
2020-03-04,Burma,0,0,0,0,0,0
2020-03-05,Burma,0,0,0,0,0,0
2020-03-06,Burma,0,0,0,0,0,0
2020-03-07,Burma,0,0,0,0,0,0
2020-03-08,Burma,0,0,0,0,0,0
2020-03-09,Burma,0,0,0,0,0,0
2020-03-10,Burma,0,0,0,0,0,0
2020-03-11,Burma,0,0,0,0,0,0
2020-03-12,Burma,0,0,0,0,0,0
2020-03-13,Burma,0,0,0,0,0,0
2020-03-14,Burma,0,0,0,0,0,0
2020-03-15,Burma,0,0,0,0,0,0
2020-03-16,Burma,0,0,0,0,0,0
2020-03-17,Burma,0,0,0,0,0,0
2020-03-18,Burma,0,0,0,0,0,0
2020-03-19,Burma,0,0,0,0,0,0
2020-03-20,Burma,0,0,0,0,0,0
2020-03-21,Burma,0,0,0,0,0,0
2020-03-22,Burma,0,0,0,0,0,0
2020-03-23,Burma,0,0,0,0,0,0
2020-03-24,Burma,0,0,0,0,0,0
2020-03-25,Burma,0,0,0,0,0,0
2020-03-26,Burma,0,0,0,0,0,0
2020-03-27,Burma,8,0,8,0,1,0
2020-03-28,Burma,8,0,0,0,1,0
2020-03-29,Burma,10,0,2,0,1,0
2020-03-30,Burma,14,0,4,0,2,0
2020-03-31,Burma,15,1,1,1,2,0
2020-04-01,Burma,15,1,0,0,2,0
2020-04-02,Burma,20,1,5,0,3,0
2020-04-03,Burma,20,1,0,0,2,0
2020-04-04,Burma,21,1,1,0,2,0
2020-04-05,Burma,21,1,0,0,2,0
2020-04-06,Burma,22,1,1,0,1,0
2020-04-07,Burma,22,1,0,0,1,0
2020-04-08,Burma,22,3,0,2,1,0
2020-04-09,Burma,23,3,1,0,0,0
2020-04-10,Burma,27,3,4,0,1,0
2020-04-11,Burma,38,3,11,0,2,0
2020-04-12,Burma,41,4,3,1,3,0
2020-04-13,Burma,62,4,21,0,6,0
2020-04-14,Burma,63,4,1,0,6,0
2020-04-15,Burma,74,4,11,0,7,0
2020-04-16,Burma,85,4,11,0,9,0
2020-04-17,Burma,88,4,3,0,9,0
2020-04-18,Burma,98,5,10,1,9,0
2020-04-19,Burma,111,5,13,0,10,0
2020-04-20,Burma,119,5,8,0,8,0
2020-04-21,Burma,121,5,2,0,8,0
2020-04-22,Burma,123,5,2,0,7,0
2020-04-23,Burma,139,5,16,0,8,0
2020-04-24,Burma,144,5,5,0,8,0
2020-04-25,Burma,146,5,2,0,7,0
2020-04-26,Burma,146,5,0,0,5,0
2020-04-27,Burma,146,5,0,0,4,0
2020-04-28,Burma,150,5,4,0,4,0
2020-04-29,Burma,150,6,0,1,4,0
2020-04-30,Burma,151,6,1,0,2,0
2020-05-01,Burma,151,6,0,0,1,0
2020-05-02,Burma,151,6,0,0,1,0
2020-05-03,Burma,155,6,4,0,1,0
2020-05-04,Burma,161,6,6,0,2,0
2020-05-05,Burma,161,6,0,0,2,0
2020-05-06,Burma,161,6,0,0,2,0
2020-05-07,Burma,176,6,15,0,4,0
2020-05-08,Burma,177,6,1,0,4,0
2020-05-09,Burma,178,6,1,0,4,0
2020-05-10,Burma,180,6,2,0,4,0
2020-05-11,Burma,180,6,0,0,3,0
2020-05-12,Burma,180,6,0,0,3,0
2020-05-13,Burma,181,6,1,0,3,0
2020-05-14,Burma,181,6,0,0,1,0
2020-05-15,Burma,182,6,1,0,1,0
2020-05-16,Burma,182,6,0,0,1,0
2020-05-17,Burma,184,6,2,0,1,0
