Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Burundi,0,0,0,0,0,0
2020-01-23,Burundi,0,0,0,0,0,0
2020-01-24,Burundi,0,0,0,0,0,0
2020-01-25,Burundi,0,0,0,0,0,0
2020-01-26,Burundi,0,0,0,0,0,0
2020-01-27,Burundi,0,0,0,0,0,0
2020-01-28,Burundi,0,0,0,0,0,0
2020-01-29,Burundi,0,0,0,0,0,0
2020-01-30,Burundi,0,0,0,0,0,0
2020-01-31,Burundi,0,0,0,0,0,0
2020-02-01,Burundi,0,0,0,0,0,0
2020-02-02,Burundi,0,0,0,0,0,0
2020-02-03,Burundi,0,0,0,0,0,0
2020-02-04,Burundi,0,0,0,0,0,0
2020-02-05,Burundi,0,0,0,0,0,0
2020-02-06,Burundi,0,0,0,0,0,0
2020-02-07,Burundi,0,0,0,0,0,0
2020-02-08,Burundi,0,0,0,0,0,0
2020-02-09,Burundi,0,0,0,0,0,0
2020-02-10,Burundi,0,0,0,0,0,0
2020-02-11,Burundi,0,0,0,0,0,0
2020-02-12,Burundi,0,0,0,0,0,0
2020-02-13,Burundi,0,0,0,0,0,0
2020-02-14,Burundi,0,0,0,0,0,0
2020-02-15,Burundi,0,0,0,0,0,0
2020-02-16,Burundi,0,0,0,0,0,0
2020-02-17,Burundi,0,0,0,0,0,0
2020-02-18,Burundi,0,0,0,0,0,0
2020-02-19,Burundi,0,0,0,0,0,0
2020-02-20,Burundi,0,0,0,0,0,0
2020-02-21,Burundi,0,0,0,0,0,0
2020-02-22,Burundi,0,0,0,0,0,0
2020-02-23,Burundi,0,0,0,0,0,0
2020-02-24,Burundi,0,0,0,0,0,0
2020-02-25,Burundi,0,0,0,0,0,0
2020-02-26,Burundi,0,0,0,0,0,0
2020-02-27,Burundi,0,0,0,0,0,0
2020-02-28,Burundi,0,0,0,0,0,0
2020-02-29,Burundi,0,0,0,0,0,0
2020-03-01,Burundi,0,0,0,0,0,0
2020-03-02,Burundi,0,0,0,0,0,0
2020-03-03,Burundi,0,0,0,0,0,0
2020-03-04,Burundi,0,0,0,0,0,0
2020-03-05,Burundi,0,0,0,0,0,0
2020-03-06,Burundi,0,0,0,0,0,0
2020-03-07,Burundi,0,0,0,0,0,0
2020-03-08,Burundi,0,0,0,0,0,0
2020-03-09,Burundi,0,0,0,0,0,0
2020-03-10,Burundi,0,0,0,0,0,0
2020-03-11,Burundi,0,0,0,0,0,0
2020-03-12,Burundi,0,0,0,0,0,0
2020-03-13,Burundi,0,0,0,0,0,0
2020-03-14,Burundi,0,0,0,0,0,0
2020-03-15,Burundi,0,0,0,0,0,0
2020-03-16,Burundi,0,0,0,0,0,0
2020-03-17,Burundi,0,0,0,0,0,0
2020-03-18,Burundi,0,0,0,0,0,0
2020-03-19,Burundi,0,0,0,0,0,0
2020-03-20,Burundi,0,0,0,0,0,0
2020-03-21,Burundi,0,0,0,0,0,0
2020-03-22,Burundi,0,0,0,0,0,0
2020-03-23,Burundi,0,0,0,0,0,0
2020-03-24,Burundi,0,0,0,0,0,0
2020-03-25,Burundi,0,0,0,0,0,0
2020-03-26,Burundi,0,0,0,0,0,0
2020-03-27,Burundi,0,0,0,0,0,0
2020-03-28,Burundi,0,0,0,0,0,0
2020-03-29,Burundi,0,0,0,0,0,0
2020-03-30,Burundi,0,0,0,0,0,0
2020-03-31,Burundi,2,0,2,0,0,0
2020-04-01,Burundi,2,0,0,0,0,0
2020-04-02,Burundi,3,0,1,0,0,0
2020-04-03,Burundi,3,0,0,0,0,0
2020-04-04,Burundi,3,0,0,0,0,0
2020-04-05,Burundi,3,0,0,0,0,0
2020-04-06,Burundi,3,0,0,0,0,0
2020-04-07,Burundi,3,0,0,0,0,0
2020-04-08,Burundi,3,0,0,0,0,0
2020-04-09,Burundi,3,0,0,0,0,0
2020-04-10,Burundi,3,0,0,0,0,0
2020-04-11,Burundi,5,0,2,0,0,0
2020-04-12,Burundi,5,0,0,0,0,0
2020-04-13,Burundi,5,1,0,1,0,0
2020-04-14,Burundi,5,1,0,0,0,0
2020-04-15,Burundi,5,1,0,0,0,0
2020-04-16,Burundi,5,1,0,0,0,0
2020-04-17,Burundi,5,1,0,0,0,0
2020-04-18,Burundi,5,1,0,0,0,0
2020-04-19,Burundi,5,1,0,0,0,0
2020-04-20,Burundi,5,1,0,0,0,0
2020-04-21,Burundi,5,1,0,0,0,0
2020-04-22,Burundi,11,1,6,0,1,0
2020-04-23,Burundi,11,1,0,0,1,0
2020-04-24,Burundi,11,1,0,0,1,0
2020-04-25,Burundi,11,1,0,0,1,0
2020-04-26,Burundi,11,1,0,0,1,0
2020-04-27,Burundi,11,1,0,0,1,0
2020-04-28,Burundi,11,1,0,0,1,0
2020-04-29,Burundi,11,1,0,0,0,0
2020-04-30,Burundi,11,1,0,0,0,0
2020-05-01,Burundi,11,1,0,0,0,0
2020-05-02,Burundi,15,1,4,0,1,0
2020-05-03,Burundi,15,1,0,0,1,0
2020-05-04,Burundi,15,1,0,0,1,0
2020-05-05,Burundi,15,1,0,0,1,0
2020-05-06,Burundi,15,1,0,0,1,0
2020-05-07,Burundi,15,1,0,0,1,0
2020-05-08,Burundi,15,1,0,0,1,0
2020-05-09,Burundi,15,1,0,0,0,0
2020-05-10,Burundi,15,1,0,0,0,0
2020-05-11,Burundi,15,1,0,0,0,0
2020-05-12,Burundi,15,1,0,0,0,0
2020-05-13,Burundi,15,1,0,0,0,0
2020-05-14,Burundi,15,1,0,0,0,0
2020-05-15,Burundi,15,1,0,0,0,0
2020-05-16,Burundi,15,1,0,0,0,0
2020-05-17,Burundi,23,1,8,0,1,0
2020-05-18,Burundi,42,1,19,0,4,0
2020-05-19,Burundi,42,1,0,0,4,0
2020-05-20,Burundi,42,1,0,0,4,0
2020-05-21,Burundi,42,1,0,0,4,0
2020-05-22,Burundi,42,1,0,0,4,0
2020-05-23,Burundi,42,1,0,0,4,0
2020-05-24,Burundi,42,1,0,0,3,0
2020-05-25,Burundi,42,1,0,0,0,0
2020-05-26,Burundi,42,1,0,0,0,0
2020-05-27,Burundi,42,1,0,0,0,0
2020-05-28,Burundi,42,1,0,0,0,0
2020-05-29,Burundi,42,1,0,0,0,0
2020-05-30,Burundi,63,1,21,0,3,0
2020-05-31,Burundi,63,1,0,0,3,0
2020-06-01,Burundi,63,1,0,0,3,0
2020-06-02,Burundi,63,1,0,0,3,0
2020-06-03,Burundi,63,1,0,0,3,0
2020-06-04,Burundi,63,1,0,0,3,0
2020-06-05,Burundi,63,1,0,0,3,0
2020-06-06,Burundi,83,1,20,0,3,0
2020-06-07,Burundi,83,1,0,0,3,0
2020-06-08,Burundi,83,1,0,0,3,0
2020-06-09,Burundi,83,1,0,0,3,0
2020-06-10,Burundi,83,1,0,0,3,0
2020-06-11,Burundi,85,1,2,0,3,0
2020-06-12,Burundi,85,1,0,0,3,0
2020-06-13,Burundi,85,1,0,0,0,0
2020-06-14,Burundi,85,1,0,0,0,0
2020-06-15,Burundi,85,1,0,0,0,0
2020-06-16,Burundi,104,1,19,0,3,0
2020-06-17,Burundi,104,1,0,0,3,0
2020-06-18,Burundi,104,1,0,0,3,0
2020-06-19,Burundi,104,1,0,0,3,0
2020-06-20,Burundi,104,1,0,0,3,0
2020-06-21,Burundi,144,1,40,0,8,0
2020-06-22,Burundi,144,1,0,0,8,0
2020-06-23,Burundi,144,1,0,0,6,0
2020-06-24,Burundi,144,1,0,0,6,0
2020-06-25,Burundi,144,1,0,0,6,0
2020-06-26,Burundi,144,1,0,0,6,0
2020-06-27,Burundi,170,1,26,0,9,0
2020-06-28,Burundi,170,1,0,0,4,0
2020-06-29,Burundi,170,1,0,0,4,0
2020-06-30,Burundi,170,1,0,0,4,0
2020-07-01,Burundi,170,1,0,0,4,0
2020-07-02,Burundi,170,1,0,0,4,0
2020-07-03,Burundi,191,1,21,0,7,0
2020-07-04,Burundi,191,1,0,0,3,0
2020-07-05,Burundi,191,1,0,0,3,0
2020-07-06,Burundi,191,1,0,0,3,0
2020-07-07,Burundi,191,1,0,0,3,0
2020-07-08,Burundi,191,1,0,0,3,0
2020-07-09,Burundi,191,1,0,0,3,0
2020-07-10,Burundi,191,1,0,0,0,0
2020-07-11,Burundi,191,1,0,0,0,0
2020-07-12,Burundi,191,1,0,0,0,0
2020-07-13,Burundi,269,1,78,0,11,0
2020-07-14,Burundi,269,1,0,0,11,0
2020-07-15,Burundi,269,1,0,0,11,0
2020-07-16,Burundi,303,1,34,0,16,0
2020-07-17,Burundi,310,1,7,0,17,0
2020-07-18,Burundi,310,1,0,0,17,0
2020-07-19,Burundi,310,1,0,0,17,0
2020-07-20,Burundi,322,1,12,0,8,0
2020-07-21,Burundi,328,1,6,0,8,0
2020-07-22,Burundi,328,1,0,0,8,0
2020-07-23,Burundi,345,1,17,0,6,0
2020-07-24,Burundi,345,1,0,0,5,0
2020-07-25,Burundi,361,1,16,0,7,0
2020-07-26,Burundi,361,1,0,0,7,0
2020-07-27,Burundi,378,1,17,0,8,0
2020-07-28,Burundi,378,1,0,0,7,0
2020-07-29,Burundi,387,1,9,0,8,0
2020-07-30,Burundi,387,1,0,0,6,0
2020-07-31,Burundi,387,1,0,0,6,0
2020-08-01,Burundi,395,1,8,0,5,0
2020-08-02,Burundi,395,1,0,0,5,0
2020-08-03,Burundi,395,1,0,0,2,0
2020-08-04,Burundi,395,1,0,0,2,0
2020-08-05,Burundi,395,1,0,0,1,0
2020-08-06,Burundi,400,1,5,0,2,0
2020-08-07,Burundi,400,1,0,0,2,0
2020-08-08,Burundi,405,1,5,0,1,0
2020-08-09,Burundi,408,1,3,0,2,0
2020-08-10,Burundi,408,1,0,0,2,0
2020-08-11,Burundi,408,1,0,0,2,0
2020-08-12,Burundi,409,1,1,0,2,0
2020-08-13,Burundi,410,1,1,0,1,0
2020-08-14,Burundi,412,1,2,0,2,0
2020-08-15,Burundi,412,1,0,0,1,0
2020-08-16,Burundi,413,1,1,0,1,0
2020-08-17,Burundi,413,1,0,0,1,0
2020-08-18,Burundi,416,1,3,0,1,0
2020-08-19,Burundi,422,1,6,0,2,0
2020-08-20,Burundi,422,1,0,0,2,0
2020-08-21,Burundi,426,1,4,0,2,0
2020-08-22,Burundi,429,1,3,0,2,0
2020-08-23,Burundi,430,1,1,0,2,0
2020-08-24,Burundi,430,1,0,0,2,0
2020-08-25,Burundi,430,1,0,0,2,0
2020-08-26,Burundi,430,1,0,0,1,0
2020-08-27,Burundi,431,1,1,0,1,0
2020-08-28,Burundi,433,1,2,0,1,0
2020-08-29,Burundi,445,1,12,0,2,0
2020-08-30,Burundi,445,1,0,0,2,0
2020-08-31,Burundi,445,1,0,0,2,0
2020-09-01,Burundi,445,1,0,0,2,0
2020-09-02,Burundi,448,1,3,0,3,0
2020-09-03,Burundi,448,1,0,0,2,0
2020-09-04,Burundi,451,1,3,0,3,0
2020-09-05,Burundi,460,1,9,0,2,0
2020-09-06,Burundi,462,1,2,0,2,0
2020-09-07,Burundi,466,1,4,0,3,0
2020-09-08,Burundi,466,1,0,0,3,0
2020-09-09,Burundi,466,1,0,0,3,0
2020-09-10,Burundi,469,1,3,0,3,0
2020-09-11,Burundi,469,1,0,0,3,0
2020-09-12,Burundi,471,1,2,0,2,0
2020-09-13,Burundi,472,1,1,0,1,0
2020-09-14,Burundi,472,1,0,0,1,0
2020-09-15,Burundi,472,1,0,0,1,0
2020-09-16,Burundi,472,1,0,0,1,0
