Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Cabo Verde,0,0,0,0,0,0
2020-01-23,Cabo Verde,0,0,0,0,0,0
2020-01-24,Cabo Verde,0,0,0,0,0,0
2020-01-25,Cabo Verde,0,0,0,0,0,0
2020-01-26,Cabo Verde,0,0,0,0,0,0
2020-01-27,Cabo Verde,0,0,0,0,0,0
2020-01-28,Cabo Verde,0,0,0,0,0,0
2020-01-29,Cabo Verde,0,0,0,0,0,0
2020-01-30,Cabo Verde,0,0,0,0,0,0
2020-01-31,Cabo Verde,0,0,0,0,0,0
2020-02-01,Cabo Verde,0,0,0,0,0,0
2020-02-02,Cabo Verde,0,0,0,0,0,0
2020-02-03,Cabo Verde,0,0,0,0,0,0
2020-02-04,Cabo Verde,0,0,0,0,0,0
2020-02-05,Cabo Verde,0,0,0,0,0,0
2020-02-06,Cabo Verde,0,0,0,0,0,0
2020-02-07,Cabo Verde,0,0,0,0,0,0
2020-02-08,Cabo Verde,0,0,0,0,0,0
2020-02-09,Cabo Verde,0,0,0,0,0,0
2020-02-10,Cabo Verde,0,0,0,0,0,0
2020-02-11,Cabo Verde,0,0,0,0,0,0
2020-02-12,Cabo Verde,0,0,0,0,0,0
2020-02-13,Cabo Verde,0,0,0,0,0,0
2020-02-14,Cabo Verde,0,0,0,0,0,0
2020-02-15,Cabo Verde,0,0,0,0,0,0
2020-02-16,Cabo Verde,0,0,0,0,0,0
2020-02-17,Cabo Verde,0,0,0,0,0,0
2020-02-18,Cabo Verde,0,0,0,0,0,0
2020-02-19,Cabo Verde,0,0,0,0,0,0
2020-02-20,Cabo Verde,0,0,0,0,0,0
2020-02-21,Cabo Verde,0,0,0,0,0,0
2020-02-22,Cabo Verde,0,0,0,0,0,0
2020-02-23,Cabo Verde,0,0,0,0,0,0
2020-02-24,Cabo Verde,0,0,0,0,0,0
2020-02-25,Cabo Verde,0,0,0,0,0,0
2020-02-26,Cabo Verde,0,0,0,0,0,0
2020-02-27,Cabo Verde,0,0,0,0,0,0
2020-02-28,Cabo Verde,0,0,0,0,0,0
2020-02-29,Cabo Verde,0,0,0,0,0,0
2020-03-01,Cabo Verde,0,0,0,0,0,0
2020-03-02,Cabo Verde,0,0,0,0,0,0
2020-03-03,Cabo Verde,0,0,0,0,0,0
2020-03-04,Cabo Verde,0,0,0,0,0,0
2020-03-05,Cabo Verde,0,0,0,0,0,0
2020-03-06,Cabo Verde,0,0,0,0,0,0
2020-03-07,Cabo Verde,0,0,0,0,0,0
2020-03-08,Cabo Verde,0,0,0,0,0,0
2020-03-09,Cabo Verde,0,0,0,0,0,0
2020-03-10,Cabo Verde,0,0,0,0,0,0
2020-03-11,Cabo Verde,0,0,0,0,0,0
2020-03-12,Cabo Verde,0,0,0,0,0,0
2020-03-13,Cabo Verde,0,0,0,0,0,0
2020-03-14,Cabo Verde,0,0,0,0,0,0
2020-03-15,Cabo Verde,0,0,0,0,0,0
2020-03-16,Cabo Verde,0,0,0,0,0,0
2020-03-17,Cabo Verde,0,0,0,0,0,0
2020-03-18,Cabo Verde,0,0,0,0,0,0
2020-03-19,Cabo Verde,0,0,0,0,0,0
2020-03-20,Cabo Verde,1,0,1,0,0,0
2020-03-21,Cabo Verde,3,0,2,0,0,0
2020-03-22,Cabo Verde,3,0,0,0,0,0
2020-03-23,Cabo Verde,3,0,0,0,0,0
2020-03-24,Cabo Verde,3,1,0,1,0,0
2020-03-25,Cabo Verde,4,1,1,0,1,0
2020-03-26,Cabo Verde,4,1,0,0,1,0
2020-03-27,Cabo Verde,5,1,1,0,1,0
2020-03-28,Cabo Verde,5,1,0,0,0,0
2020-03-29,Cabo Verde,6,1,1,0,0,0
2020-03-30,Cabo Verde,6,1,0,0,0,0
2020-03-31,Cabo Verde,6,1,0,0,0,0
2020-04-01,Cabo Verde,6,1,0,0,0,0
2020-04-02,Cabo Verde,6,1,0,0,0,0
2020-04-03,Cabo Verde,6,1,0,0,0,0
2020-04-04,Cabo Verde,7,1,1,0,0,0
2020-04-05,Cabo Verde,7,1,0,0,0,0
2020-04-06,Cabo Verde,7,1,0,0,0,0
2020-04-07,Cabo Verde,7,1,0,0,0,0
2020-04-08,Cabo Verde,7,1,0,0,0,0
2020-04-09,Cabo Verde,7,1,0,0,0,0
2020-04-10,Cabo Verde,7,1,0,0,0,0
2020-04-11,Cabo Verde,8,1,1,0,0,0
2020-04-12,Cabo Verde,8,1,0,0,0,0
2020-04-13,Cabo Verde,10,1,2,0,0,0
2020-04-14,Cabo Verde,11,1,1,0,1,0
2020-04-15,Cabo Verde,56,1,45,0,7,0
2020-04-16,Cabo Verde,56,1,0,0,7,0
2020-04-17,Cabo Verde,56,1,0,0,7,0
2020-04-18,Cabo Verde,58,1,2,0,7,0
2020-04-19,Cabo Verde,61,1,3,0,8,0
2020-04-20,Cabo Verde,67,1,6,0,8,0
2020-04-21,Cabo Verde,68,1,1,0,8,0
2020-04-22,Cabo Verde,73,1,5,0,2,0
2020-04-23,Cabo Verde,82,1,9,0,4,0
2020-04-24,Cabo Verde,88,1,6,0,5,0
2020-04-25,Cabo Verde,90,1,2,0,5,0
2020-04-26,Cabo Verde,106,1,16,0,6,0
2020-04-27,Cabo Verde,109,1,3,0,6,0
2020-04-28,Cabo Verde,114,1,5,0,7,0
2020-04-29,Cabo Verde,114,1,0,0,6,0
2020-04-30,Cabo Verde,121,1,7,0,6,0
2020-05-01,Cabo Verde,122,1,1,0,5,0
2020-05-02,Cabo Verde,152,2,30,1,9,0
2020-05-03,Cabo Verde,165,2,13,0,8,0
2020-05-04,Cabo Verde,175,2,10,0,9,0
2020-05-05,Cabo Verde,186,2,11,0,10,0
2020-05-06,Cabo Verde,191,2,5,0,11,0
2020-05-07,Cabo Verde,218,2,27,0,14,0
2020-05-08,Cabo Verde,230,2,12,0,15,0
2020-05-09,Cabo Verde,236,2,6,0,12,0
2020-05-10,Cabo Verde,246,2,10,0,12,0
2020-05-11,Cabo Verde,260,2,14,0,12,0
2020-05-12,Cabo Verde,267,2,7,0,12,0
2020-05-13,Cabo Verde,289,2,22,0,14,0
2020-05-14,Cabo Verde,315,2,26,0,14,0
2020-05-15,Cabo Verde,326,2,11,0,14,0
2020-05-16,Cabo Verde,328,3,2,1,13,0
2020-05-17,Cabo Verde,328,3,0,0,12,0
2020-05-18,Cabo Verde,328,3,0,0,10,0
2020-05-19,Cabo Verde,335,3,7,0,10,0
2020-05-20,Cabo Verde,349,3,14,0,9,0
2020-05-21,Cabo Verde,356,3,7,0,6,0
2020-05-22,Cabo Verde,362,3,6,0,5,0
2020-05-23,Cabo Verde,371,3,9,0,6,0
2020-05-24,Cabo Verde,380,3,9,0,7,0
2020-05-25,Cabo Verde,390,3,10,0,9,0
2020-05-26,Cabo Verde,390,4,0,1,8,0
2020-05-27,Cabo Verde,390,4,0,0,6,0
2020-05-28,Cabo Verde,390,4,0,0,5,0
2020-05-29,Cabo Verde,405,4,15,0,6,0
2020-05-30,Cabo Verde,421,4,16,0,7,0
2020-05-31,Cabo Verde,435,4,14,0,8,0
2020-06-01,Cabo Verde,458,4,23,0,10,0
2020-06-02,Cabo Verde,466,5,8,1,11,0
2020-06-03,Cabo Verde,477,5,11,0,12,0
2020-06-04,Cabo Verde,502,5,25,0,16,0
2020-06-05,Cabo Verde,536,5,34,0,19,0
2020-06-06,Cabo Verde,542,5,6,0,17,0
2020-06-07,Cabo Verde,554,5,12,0,17,0
2020-06-08,Cabo Verde,567,5,13,0,16,0
2020-06-09,Cabo Verde,585,5,18,0,17,0
2020-06-10,Cabo Verde,615,5,30,0,20,0
2020-06-11,Cabo Verde,657,6,42,1,22,0
2020-06-12,Cabo Verde,697,6,40,0,23,0
2020-06-13,Cabo Verde,726,6,29,0,26,0
2020-06-14,Cabo Verde,750,6,24,0,28,0
2020-06-15,Cabo Verde,760,7,10,1,28,0
2020-06-16,Cabo Verde,781,7,21,0,28,0
2020-06-17,Cabo Verde,792,7,11,0,25,0
2020-06-18,Cabo Verde,823,7,31,0,24,0
2020-06-19,Cabo Verde,848,8,25,1,22,0
2020-06-20,Cabo Verde,863,8,15,0,20,0
2020-06-21,Cabo Verde,890,8,27,0,20,0
2020-06-22,Cabo Verde,944,8,54,0,26,0
2020-06-23,Cabo Verde,982,8,38,0,29,0
2020-06-24,Cabo Verde,999,8,17,0,30,0
2020-06-25,Cabo Verde,1003,8,4,0,26,0
2020-06-26,Cabo Verde,1027,10,24,2,26,0
2020-06-27,Cabo Verde,1091,12,64,2,33,1
2020-06-28,Cabo Verde,1155,12,64,0,38,1
2020-06-29,Cabo Verde,1165,12,10,0,32,1
2020-06-30,Cabo Verde,1227,15,62,3,35,1
2020-07-01,Cabo Verde,1267,15,40,0,38,1
2020-07-02,Cabo Verde,1301,15,34,0,43,1
2020-07-03,Cabo Verde,1382,15,81,0,51,1
2020-07-04,Cabo Verde,1421,16,39,1,47,1
2020-07-05,Cabo Verde,1451,17,30,1,42,1
2020-07-06,Cabo Verde,1463,17,12,0,43,1
2020-07-07,Cabo Verde,1499,18,36,1,39,0
2020-07-08,Cabo Verde,1542,18,43,0,39,0
2020-07-09,Cabo Verde,1552,18,10,0,36,0
2020-07-10,Cabo Verde,1591,19,39,1,30,1
2020-07-11,Cabo Verde,1623,19,32,0,29,0
2020-07-12,Cabo Verde,1623,19,0,0,25,0
2020-07-13,Cabo Verde,1698,19,75,0,34,0
2020-07-14,Cabo Verde,1722,19,24,0,32,0
2020-07-15,Cabo Verde,1780,19,58,0,34,0
2020-07-16,Cabo Verde,1894,19,114,0,49,0
2020-07-17,Cabo Verde,1939,19,45,0,50,0
2020-07-18,Cabo Verde,2014,21,75,2,56,0
2020-07-19,Cabo Verde,2045,21,31,0,60,0
2020-07-20,Cabo Verde,2071,21,26,0,53,0
2020-07-21,Cabo Verde,2107,21,36,0,55,0
2020-07-22,Cabo Verde,2154,21,47,0,53,0
2020-07-23,Cabo Verde,2190,21,36,0,42,0
2020-07-24,Cabo Verde,2220,22,30,1,40,0
2020-07-25,Cabo Verde,2258,22,38,0,35,0
2020-07-26,Cabo Verde,2307,22,49,0,37,0
2020-07-27,Cabo Verde,2328,22,21,0,37,0
2020-07-28,Cabo Verde,2354,22,26,0,35,0
2020-07-29,Cabo Verde,2373,23,19,1,31,0
2020-07-30,Cabo Verde,2418,23,45,0,33,0
2020-07-31,Cabo Verde,2451,23,33,0,33,0
2020-08-01,Cabo Verde,2480,24,29,1,32,0
2020-08-02,Cabo Verde,2547,24,67,0,34,0
2020-08-03,Cabo Verde,2583,25,36,1,36,0
2020-08-04,Cabo Verde,2631,26,48,1,40,1
2020-08-05,Cabo Verde,2689,27,58,1,45,1
2020-08-06,Cabo Verde,2734,27,45,0,45,1
2020-08-07,Cabo Verde,2780,29,46,2,47,1
2020-08-08,Cabo Verde,2835,32,55,3,51,1
2020-08-09,Cabo Verde,2858,32,23,0,44,1
2020-08-10,Cabo Verde,2883,32,25,0,43,1
2020-08-11,Cabo Verde,2920,33,37,1,41,1
2020-08-12,Cabo Verde,3000,33,80,0,44,1
2020-08-13,Cabo Verde,3073,33,73,0,48,1
2020-08-14,Cabo Verde,3136,33,63,0,51,1
2020-08-15,Cabo Verde,3163,34,27,1,47,0
2020-08-16,Cabo Verde,3179,35,16,1,46,0
2020-08-17,Cabo Verde,3203,36,24,1,46,1
2020-08-18,Cabo Verde,3253,36,50,0,48,0
2020-08-19,Cabo Verde,3321,36,68,0,46,0
2020-08-20,Cabo Verde,3368,37,47,1,42,1
2020-08-21,Cabo Verde,3412,37,44,0,39,1
2020-08-22,Cabo Verde,3455,37,43,0,42,0
2020-08-23,Cabo Verde,3509,37,54,0,47,0
2020-08-24,Cabo Verde,3532,37,23,0,47,0
2020-08-25,Cabo Verde,3568,37,36,0,45,0
2020-08-26,Cabo Verde,3630,38,62,1,44,0
2020-08-27,Cabo Verde,3699,38,69,0,47,0
2020-08-28,Cabo Verde,3745,38,46,0,48,0
2020-08-29,Cabo Verde,3778,39,33,1,46,0
2020-08-30,Cabo Verde,3852,40,74,1,49,0
2020-08-31,Cabo Verde,3884,40,32,0,50,0
2020-09-01,Cabo Verde,3970,40,86,0,57,0
2020-09-02,Cabo Verde,4048,41,78,1,60,0
2020-09-03,Cabo Verde,4125,41,77,0,61,0
2020-09-04,Cabo Verde,4200,41,75,0,65,0
2020-09-05,Cabo Verde,4275,42,75,1,71,0
2020-09-06,Cabo Verde,4330,42,55,0,68,0
2020-09-07,Cabo Verde,4358,42,28,0,68,0
2020-09-08,Cabo Verde,4400,42,42,0,61,0
2020-09-09,Cabo Verde,4473,43,73,1,61,0
2020-09-10,Cabo Verde,4557,43,84,0,62,0
2020-09-11,Cabo Verde,4651,44,94,1,64,0
2020-09-12,Cabo Verde,4711,44,60,0,62,0
2020-09-13,Cabo Verde,4813,44,102,0,69,0
2020-09-14,Cabo Verde,4839,45,26,1,69,0
2020-09-15,Cabo Verde,4904,46,65,1,72,1
2020-09-16,Cabo Verde,4978,47,74,1,72,1
2020-09-17,Cabo Verde,5063,49,85,2,72,1
2020-09-18,Cabo Verde,5141,50,78,1,70,1
2020-09-19,Cabo Verde,5186,50,45,0,68,1
2020-09-20,Cabo Verde,5257,51,71,1,63,1
2020-09-21,Cabo Verde,5281,52,24,1,63,1
2020-09-22,Cabo Verde,5337,52,56,0,62,1
2020-09-23,Cabo Verde,5412,54,75,2,62,1
2020-09-24,Cabo Verde,5479,55,67,1,59,1
2020-09-25,Cabo Verde,5628,55,149,0,70,1
2020-09-26,Cabo Verde,5701,56,73,1,74,1
2020-09-27,Cabo Verde,5771,57,70,1,73,1
2020-09-28,Cabo Verde,5817,59,46,2,77,1
2020-09-29,Cabo Verde,5900,59,83,0,80,1
2020-09-30,Cabo Verde,6024,60,124,1,87,1
2020-10-01,Cabo Verde,6126,61,102,1,92,1
2020-10-02,Cabo Verde,6205,62,79,1,82,1
2020-10-03,Cabo Verde,6296,62,91,0,85,1
2020-10-04,Cabo Verde,6360,65,64,3,84,1
2020-10-05,Cabo Verde,6433,68,73,3,88,1
2020-10-06,Cabo Verde,6518,69,85,1,88,1
2020-10-07,Cabo Verde,6624,71,106,2,86,2
2020-10-08,Cabo Verde,6717,71,93,0,84,1
2020-10-09,Cabo Verde,6809,73,92,2,86,2
2020-10-10,Cabo Verde,6913,74,104,1,88,2
2020-10-11,Cabo Verde,7072,75,159,1,102,1
2020-10-12,Cabo Verde,7155,75,83,0,103,1
2020-10-13,Cabo Verde,7254,77,99,2,105,1
2020-10-14,Cabo Verde,7371,79,117,2,107,1
2020-10-15,Cabo Verde,7444,79,73,0,104,1
2020-10-16,Cabo Verde,7526,82,82,3,102,1
