Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Cameroon,0,0,0,0,0,0
2020-01-23,Cameroon,0,0,0,0,0,0
2020-01-24,Cameroon,0,0,0,0,0,0
2020-01-25,Cameroon,0,0,0,0,0,0
2020-01-26,Cameroon,0,0,0,0,0,0
2020-01-27,Cameroon,0,0,0,0,0,0
2020-01-28,Cameroon,0,0,0,0,0,0
2020-01-29,Cameroon,0,0,0,0,0,0
2020-01-30,Cameroon,0,0,0,0,0,0
2020-01-31,Cameroon,0,0,0,0,0,0
2020-02-01,Cameroon,0,0,0,0,0,0
2020-02-02,Cameroon,0,0,0,0,0,0
2020-02-03,Cameroon,0,0,0,0,0,0
2020-02-04,Cameroon,0,0,0,0,0,0
2020-02-05,Cameroon,0,0,0,0,0,0
2020-02-06,Cameroon,0,0,0,0,0,0
2020-02-07,Cameroon,0,0,0,0,0,0
2020-02-08,Cameroon,0,0,0,0,0,0
2020-02-09,Cameroon,0,0,0,0,0,0
2020-02-10,Cameroon,0,0,0,0,0,0
2020-02-11,Cameroon,0,0,0,0,0,0
2020-02-12,Cameroon,0,0,0,0,0,0
2020-02-13,Cameroon,0,0,0,0,0,0
2020-02-14,Cameroon,0,0,0,0,0,0
2020-02-15,Cameroon,0,0,0,0,0,0
2020-02-16,Cameroon,0,0,0,0,0,0
2020-02-17,Cameroon,0,0,0,0,0,0
2020-02-18,Cameroon,0,0,0,0,0,0
2020-02-19,Cameroon,0,0,0,0,0,0
2020-02-20,Cameroon,0,0,0,0,0,0
2020-02-21,Cameroon,0,0,0,0,0,0
2020-02-22,Cameroon,0,0,0,0,0,0
2020-02-23,Cameroon,0,0,0,0,0,0
2020-02-24,Cameroon,0,0,0,0,0,0
2020-02-25,Cameroon,0,0,0,0,0,0
2020-02-26,Cameroon,0,0,0,0,0,0
2020-02-27,Cameroon,0,0,0,0,0,0
2020-02-28,Cameroon,0,0,0,0,0,0
2020-02-29,Cameroon,0,0,0,0,0,0
2020-03-01,Cameroon,0,0,0,0,0,0
2020-03-02,Cameroon,0,0,0,0,0,0
2020-03-03,Cameroon,0,0,0,0,0,0
2020-03-04,Cameroon,0,0,0,0,0,0
2020-03-05,Cameroon,0,0,0,0,0,0
2020-03-06,Cameroon,1,0,1,0,0,0
2020-03-07,Cameroon,1,0,0,0,0,0
2020-03-08,Cameroon,2,0,1,0,0,0
2020-03-09,Cameroon,2,0,0,0,0,0
2020-03-10,Cameroon,2,0,0,0,0,0
2020-03-11,Cameroon,2,0,0,0,0,0
2020-03-12,Cameroon,2,0,0,0,0,0
2020-03-13,Cameroon,2,0,0,0,0,0
2020-03-14,Cameroon,2,0,0,0,0,0
2020-03-15,Cameroon,2,0,0,0,0,0
2020-03-16,Cameroon,4,0,2,0,0,0
2020-03-17,Cameroon,10,0,6,0,1,0
2020-03-18,Cameroon,10,0,0,0,1,0
2020-03-19,Cameroon,13,0,3,0,2,0
2020-03-20,Cameroon,20,0,7,0,3,0
2020-03-21,Cameroon,27,0,7,0,4,0
2020-03-22,Cameroon,40,0,13,0,5,0
2020-03-23,Cameroon,56,0,16,0,7,0
2020-03-24,Cameroon,66,0,10,0,8,0
2020-03-25,Cameroon,75,1,9,1,9,0
2020-03-26,Cameroon,75,1,0,0,9,0
2020-03-27,Cameroon,91,2,16,1,10,0
2020-03-28,Cameroon,91,2,0,0,9,0
2020-03-29,Cameroon,139,6,48,4,14,1
2020-03-30,Cameroon,139,6,0,0,12,1
2020-03-31,Cameroon,193,6,54,0,18,1
2020-04-01,Cameroon,233,6,40,0,23,1
2020-04-02,Cameroon,306,7,73,1,33,1
2020-04-03,Cameroon,509,8,203,1,60,1
2020-04-04,Cameroon,555,9,46,1,66,1
2020-04-05,Cameroon,650,9,95,0,73,0
2020-04-06,Cameroon,658,9,8,0,74,0
2020-04-07,Cameroon,658,9,0,0,66,0
2020-04-08,Cameroon,730,10,72,1,71,1
2020-04-09,Cameroon,730,10,0,0,61,0
2020-04-10,Cameroon,820,12,90,2,44,1
2020-04-11,Cameroon,820,12,0,0,38,0
2020-04-12,Cameroon,820,12,0,0,24,0
2020-04-13,Cameroon,820,12,0,0,23,0
2020-04-14,Cameroon,848,14,28,2,27,1
2020-04-15,Cameroon,848,17,0,3,17,1
2020-04-16,Cameroon,996,22,148,5,38,2
2020-04-17,Cameroon,996,22,0,0,25,1
2020-04-18,Cameroon,1017,22,21,0,28,1
2020-04-19,Cameroon,1017,42,0,20,28,4
2020-04-20,Cameroon,1163,42,146,0,49,4
2020-04-21,Cameroon,1163,43,0,1,45,4
2020-04-22,Cameroon,1163,43,0,0,45,4
2020-04-23,Cameroon,1334,43,171,0,48,3
2020-04-24,Cameroon,1430,43,96,0,62,3
2020-04-25,Cameroon,1518,53,88,10,72,4
2020-04-26,Cameroon,1621,56,103,3,86,2
2020-04-27,Cameroon,1705,58,84,2,77,2
2020-04-28,Cameroon,1705,58,0,0,77,2
2020-04-29,Cameroon,1832,61,127,3,96,3
2020-04-30,Cameroon,1832,61,0,0,71,3
2020-05-01,Cameroon,1832,61,0,0,57,3
2020-05-02,Cameroon,2077,64,245,3,80,2
2020-05-03,Cameroon,2077,64,0,0,65,1
2020-05-04,Cameroon,2104,64,27,0,57,1
2020-05-05,Cameroon,2104,64,0,0,57,1
2020-05-06,Cameroon,2265,108,161,44,62,7
2020-05-07,Cameroon,2267,108,2,0,62,7
2020-05-08,Cameroon,2267,108,0,0,62,7
2020-05-09,Cameroon,2274,108,7,0,28,6
2020-05-10,Cameroon,2579,114,305,6,72,7
2020-05-11,Cameroon,2689,125,110,11,84,9
2020-05-12,Cameroon,2689,125,0,0,84,9
2020-05-13,Cameroon,2800,136,111,11,76,4
2020-05-14,Cameroon,2954,139,154,3,98,4
2020-05-15,Cameroon,3105,140,151,1,120,5
2020-05-16,Cameroon,3105,140,0,0,119,5
2020-05-17,Cameroon,3105,140,0,0,75,4
2020-05-18,Cameroon,3529,140,424,0,120,2
2020-05-19,Cameroon,3529,140,0,0,120,2
2020-05-20,Cameroon,3733,146,204,6,133,1
2020-05-21,Cameroon,4288,156,555,10,191,2
2020-05-22,Cameroon,4400,159,112,3,185,3
2020-05-23,Cameroon,4400,159,0,0,185,3
2020-05-24,Cameroon,4890,165,490,6,255,4
2020-05-25,Cameroon,4890,165,0,0,194,4
2020-05-26,Cameroon,5436,175,546,10,272,5
2020-05-27,Cameroon,5436,175,0,0,243,4
2020-05-28,Cameroon,5436,175,0,0,164,3
2020-05-29,Cameroon,5436,177,0,2,148,3
2020-05-30,Cameroon,5904,191,468,14,215,5
2020-05-31,Cameroon,5904,191,0,0,145,4
2020-06-01,Cameroon,6397,199,493,8,215,5
2020-06-02,Cameroon,6585,200,188,1,164,4
2020-06-03,Cameroon,6585,200,0,0,164,4
2020-06-04,Cameroon,6789,203,204,3,193,4
2020-06-05,Cameroon,7392,205,603,2,279,4
2020-06-06,Cameroon,7599,212,207,7,242,3
2020-06-07,Cameroon,7908,212,309,0,286,3
2020-06-08,Cameroon,8060,212,152,0,238,2
2020-06-09,Cameroon,8312,212,252,0,247,2
2020-06-10,Cameroon,8681,212,369,0,299,2
2020-06-11,Cameroon,8681,212,0,0,270,1
2020-06-12,Cameroon,8681,212,0,0,184,1
2020-06-13,Cameroon,8681,212,0,0,155,0
2020-06-14,Cameroon,8681,212,0,0,110,0
2020-06-15,Cameroon,9864,276,1183,64,258,9
2020-06-16,Cameroon,9864,276,0,0,222,9
2020-06-17,Cameroon,9864,276,0,0,169,9
2020-06-18,Cameroon,9864,276,0,0,169,9
2020-06-19,Cameroon,10638,282,774,6,280,10
2020-06-20,Cameroon,11610,301,972,19,418,13
2020-06-21,Cameroon,11892,303,282,2,459,13
2020-06-22,Cameroon,12041,308,149,5,311,5
2020-06-23,Cameroon,12270,313,229,5,344,5
2020-06-24,Cameroon,12592,313,322,0,390,5
2020-06-25,Cameroon,12592,313,0,0,390,5
2020-06-26,Cameroon,12592,313,0,0,279,4
2020-06-27,Cameroon,12592,313,0,0,140,2
2020-06-28,Cameroon,12592,313,0,0,100,1
2020-06-29,Cameroon,12592,313,0,0,79,1
2020-06-30,Cameroon,12592,313,0,0,46,0
2020-07-01,Cameroon,12592,313,0,0,0,0
2020-07-02,Cameroon,12592,313,0,0,0,0
2020-07-03,Cameroon,12592,313,0,0,0,0
2020-07-04,Cameroon,12592,313,0,0,0,0
2020-07-05,Cameroon,12592,313,0,0,0,0
2020-07-06,Cameroon,12592,313,0,0,0,0
2020-07-07,Cameroon,14916,359,2324,46,332,7
2020-07-08,Cameroon,14916,359,0,0,332,7
2020-07-09,Cameroon,14916,359,0,0,332,7
2020-07-10,Cameroon,14916,359,0,0,332,7
2020-07-11,Cameroon,15173,359,257,0,369,7
2020-07-12,Cameroon,15173,359,0,0,369,7
2020-07-13,Cameroon,15173,359,0,0,369,7
2020-07-14,Cameroon,15173,359,0,0,37,0
2020-07-15,Cameroon,15173,359,0,0,37,0
2020-07-16,Cameroon,16157,373,984,14,177,2
2020-07-17,Cameroon,16157,373,0,0,177,2
2020-07-18,Cameroon,16157,373,0,0,141,2
2020-07-19,Cameroon,16157,373,0,0,141,2
2020-07-20,Cameroon,16157,373,0,0,141,2
2020-07-21,Cameroon,16522,382,365,9,193,3
2020-07-22,Cameroon,16522,382,0,0,193,3
2020-07-23,Cameroon,16522,382,0,0,52,1
2020-07-24,Cameroon,16708,385,186,3,79,2
2020-07-25,Cameroon,16708,385,0,0,79,2
2020-07-26,Cameroon,16708,385,0,0,79,2
2020-07-27,Cameroon,17110,391,402,6,136,3
2020-07-28,Cameroon,17179,391,69,0,94,1
2020-07-29,Cameroon,17255,391,76,0,105,1
2020-07-30,Cameroon,17255,391,0,0,105,1
2020-07-31,Cameroon,17255,391,0,0,78,1
2020-08-01,Cameroon,17255,391,0,0,78,1
2020-08-02,Cameroon,17255,391,0,0,78,1
2020-08-03,Cameroon,17255,391,0,0,21,0
2020-08-04,Cameroon,17718,391,463,0,77,0
