Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Canada,0,0,0,0,0,0
2020-01-23,Canada,2,0,2,0,0,0
2020-01-24,Canada,3,0,1,0,0,0
2020-01-25,Canada,3,0,0,0,0,0
2020-01-26,Canada,3,0,0,0,0,0
2020-01-27,Canada,3,0,0,0,0,0
2020-01-28,Canada,4,0,1,0,1,0
2020-01-29,Canada,4,0,0,0,1,0
2020-01-30,Canada,4,0,0,0,0,0
2020-01-31,Canada,4,0,0,0,0,0
2020-02-01,Canada,4,0,0,0,0,0
2020-02-02,Canada,4,0,0,0,0,0
2020-02-03,Canada,4,0,0,0,0,0
2020-02-04,Canada,5,0,1,0,0,0
2020-02-05,Canada,6,0,1,0,0,0
2020-02-06,Canada,6,0,0,0,0,0
2020-02-07,Canada,8,0,2,0,1,0
2020-02-08,Canada,8,0,0,0,1,0
2020-02-09,Canada,8,0,0,0,1,0
2020-02-10,Canada,9,0,1,0,1,0
2020-02-11,Canada,9,0,0,0,1,0
2020-02-12,Canada,9,0,0,0,0,0
2020-02-13,Canada,9,0,0,0,0,0
2020-02-14,Canada,9,0,0,0,0,0
2020-02-15,Canada,9,0,0,0,0,0
2020-02-16,Canada,9,0,0,0,0,0
2020-02-17,Canada,10,0,1,0,0,0
2020-02-18,Canada,10,0,0,0,0,0
2020-02-19,Canada,10,0,0,0,0,0
2020-02-20,Canada,11,0,1,0,0,0
2020-02-21,Canada,13,0,2,0,1,0
2020-02-22,Canada,14,0,1,0,1,0
2020-02-23,Canada,15,0,1,0,1,0
2020-02-24,Canada,16,0,1,0,1,0
2020-02-25,Canada,19,0,3,0,1,0
2020-02-26,Canada,20,0,1,0,1,0
2020-02-27,Canada,22,0,2,0,2,0
2020-02-28,Canada,28,0,6,0,2,0
2020-02-29,Canada,33,0,5,0,3,0
2020-03-01,Canada,38,0,5,0,3,0
2020-03-02,Canada,45,0,7,0,4,0
2020-03-03,Canada,51,0,6,0,5,0
2020-03-04,Canada,59,0,8,0,6,0
2020-03-05,Canada,71,0,12,0,7,0
2020-03-06,Canada,90,0,19,0,9,0
2020-03-07,Canada,98,0,8,0,9,0
2020-03-08,Canada,120,1,22,1,12,0
2020-03-09,Canada,144,2,24,1,14,0
2020-03-10,Canada,165,2,21,0,16,0
2020-03-11,Canada,228,2,63,0,24,0
2020-03-12,Canada,289,3,61,1,31,0
2020-03-13,Canada,386,5,97,2,42,1
2020-03-14,Canada,453,5,67,0,51,1
2020-03-15,Canada,549,5,96,0,61,1
2020-03-16,Canada,700,9,151,4,79,1
2020-03-17,Canada,854,12,154,3,98,1
2020-03-18,Canada,1097,19,243,7,124,2
2020-03-19,Canada,1349,21,252,2,151,3
2020-03-20,Canada,1692,28,343,7,187,3
2020-03-21,Canada,2195,40,503,12,249,5
2020-03-22,Canada,2651,46,456,6,300,6
2020-03-23,Canada,3297,59,646,13,371,7
2020-03-24,Canada,3996,70,699,11,449,8
2020-03-25,Canada,4569,89,573,19,496,10
2020-03-26,Canada,5511,110,942,21,595,13
2020-03-27,Canada,6380,131,869,21,670,15
2020-03-28,Canada,7310,166,930,35,731,18
2020-03-29,Canada,8246,203,936,37,799,22
2020-03-30,Canada,9478,244,1232,41,883,26
2020-03-31,Canada,10711,303,1233,59,959,33
2020-04-01,Canada,12023,353,1312,50,1065,38
2020-04-02,Canada,13742,439,1719,86,1176,47
2020-04-03,Canada,15072,555,1330,116,1242,61
2020-04-04,Canada,16410,652,1338,97,1300,69
2020-04-05,Canada,17599,747,1189,95,1336,78
2020-04-06,Canada,19100,884,1501,137,1375,91
2020-04-07,Canada,20488,1011,1388,127,1397,101
2020-04-08,Canada,21724,1145,1236,134,1386,113
2020-04-09,Canada,23104,1274,1380,129,1337,119
2020-04-10,Canada,24248,1406,1144,132,1311,122
2020-04-11,Canada,25624,1556,1376,150,1316,129
2020-04-12,Canada,26966,1724,1342,168,1338,140
2020-04-13,Canada,28763,1920,1797,196,1380,148
2020-04-14,Canada,30452,2091,1689,171,1423,154
2020-04-15,Canada,32199,2277,1747,186,1496,162
2020-04-16,Canada,33965,2464,1766,187,1552,170
2020-04-17,Canada,36091,2660,2126,196,1692,179
2020-04-18,Canada,37617,2846,1526,186,1713,184
2020-04-19,Canada,39317,3038,1700,192,1764,188
2020-04-20,Canada,41029,3205,1712,167,1752,184
2020-04-21,Canada,42619,3386,1590,181,1738,185
2020-04-22,Canada,44465,3578,1846,192,1752,186
2020-04-23,Canada,46274,3764,1809,186,1758,186
2020-04-24,Canada,47914,3934,1640,170,1689,182
2020-04-25,Canada,49496,4128,1582,194,1697,183
2020-04-26,Canada,50707,4283,1211,155,1627,178
2020-04-27,Canada,52363,4447,1656,164,1619,177
2020-04-28,Canada,53886,4634,1523,187,1610,178
2020-04-29,Canada,55575,4848,1689,214,1587,181
2020-04-30,Canada,57214,5023,1639,175,1563,180
2020-05-01,Canada,59025,5218,1811,195,1587,183
2020-05-02,Canada,60381,5370,1356,152,1555,177
2020-05-03,Canada,61640,5510,1259,140,1562,175
2020-05-04,Canada,63016,5656,1376,146,1522,173
2020-05-05,Canada,64411,5796,1395,140,1504,166
2020-05-06,Canada,65927,5936,1516,140,1479,155
2020-05-07,Canada,67198,6057,1271,121,1426,148
2020-05-08,Canada,68398,6175,1200,118,1339,137
2020-05-09,Canada,69544,6309,1146,134,1309,134
2020-05-10,Canada,70582,6432,1038,123,1277,132
2020-05-11,Canada,71606,6548,1024,116,1227,127
2020-05-12,Canada,72723,6664,1117,116,1187,124
2020-05-13,Canada,73950,6762,1227,98,1146,118
2020-05-14,Canada,75060,6880,1110,118,1123,118
2020-05-15,Canada,76331,7005,1271,125,1133,119
2020-05-16,Canada,77486,7111,1155,106,1135,115
2020-05-17,Canada,78694,7204,1208,93,1159,110
2020-05-18,Canada,79780,7301,1086,97,1168,108
2020-05-19,Canada,80782,7386,1002,85,1151,103
2020-05-20,Canada,82038,7486,1256,100,1155,103
2020-05-21,Canada,83153,7575,1115,89,1156,99
2020-05-22,Canada,84243,7673,1090,98,1130,95
2020-05-23,Canada,85150,7761,907,88,1095,93
2020-05-24,Canada,86103,7836,953,75,1058,90
2020-05-25,Canada,87067,7919,964,83,1041,88
2020-05-26,Canada,87834,7998,767,79,1007,87
2020-05-27,Canada,88719,8069,885,71,954,83
2020-05-28,Canada,89506,8165,787,96,908,84
2020-05-29,Canada,90575,8243,1069,78,905,81
2020-05-30,Canada,91337,8295,762,52,884,76
2020-05-31,Canada,92067,8342,730,47,852,72
2020-06-01,Canada,92863,8390,796,48,828,67
2020-06-02,Canada,93490,8428,627,38,808,61
2020-06-03,Canada,94172,8473,682,45,779,58
2020-06-04,Canada,94754,8501,582,28,750,48
2020-06-05,Canada,95281,8538,527,37,672,42
2020-06-06,Canada,95805,8571,524,33,638,39
2020-06-07,Canada,96217,8595,412,24,593,36
2020-06-08,Canada,96668,8623,451,28,544,33
2020-06-09,Canada,97102,8650,434,27,516,32
2020-06-10,Canada,97592,8675,490,25,489,29
2020-06-11,Canada,98004,8703,412,28,464,29
2020-06-12,Canada,98465,8724,461,21,455,27
2020-06-13,Canada,98806,8746,341,22,429,25
2020-06-14,Canada,99108,8757,302,11,413,23
2020-06-15,Canada,99485,8778,377,21,402,22
2020-06-16,Canada,99844,8791,359,13,392,20
2020-06-17,Canada,100232,8803,388,12,377,18
2020-06-18,Canada,100638,8816,406,13,376,16
2020-06-19,Canada,101026,8832,388,16,366,15
2020-06-20,Canada,101341,8838,315,6,362,13
2020-06-21,Canada,101649,8854,308,16,363,14
2020-06-22,Canada,102004,8868,355,14,360,13
2020-06-23,Canada,102322,8884,318,16,354,13
2020-06-24,Canada,102642,8903,320,19,344,14
2020-06-25,Canada,102936,8915,294,12,328,14
2020-06-26,Canada,103263,8924,327,9,320,13
2020-06-27,Canada,103665,8930,402,6,332,13
2020-06-28,Canada,103978,8939,313,9,333,12
2020-06-29,Canada,104274,8951,296,12,324,12
2020-06-30,Canada,104608,8960,334,9,327,11
2020-07-01,Canada,104830,8968,222,8,313,9
2020-07-02,Canada,105179,8985,349,17,320,10
2020-07-03,Canada,105497,8989,318,4,319,9
2020-07-04,Canada,105725,8995,228,6,294,9
2020-07-05,Canada,105882,8998,157,3,272,8
2020-07-06,Canada,106234,9011,352,13,280,9
2020-07-07,Canada,106547,9024,313,13,277,9
2020-07-08,Canada,106868,9035,321,11,291,10
2020-07-09,Canada,107202,9047,334,12,289,9
2020-07-10,Canada,107550,9053,348,6,293,9
2020-07-11,Canada,107790,9057,240,4,295,9
