Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Central African Republic,0,0,0,0,0,0
2020-01-23,Central African Republic,0,0,0,0,0,0
2020-01-24,Central African Republic,0,0,0,0,0,0
2020-01-25,Central African Republic,0,0,0,0,0,0
2020-01-26,Central African Republic,0,0,0,0,0,0
2020-01-27,Central African Republic,0,0,0,0,0,0
2020-01-28,Central African Republic,0,0,0,0,0,0
2020-01-29,Central African Republic,0,0,0,0,0,0
2020-01-30,Central African Republic,0,0,0,0,0,0
2020-01-31,Central African Republic,0,0,0,0,0,0
2020-02-01,Central African Republic,0,0,0,0,0,0
2020-02-02,Central African Republic,0,0,0,0,0,0
2020-02-03,Central African Republic,0,0,0,0,0,0
2020-02-04,Central African Republic,0,0,0,0,0,0
2020-02-05,Central African Republic,0,0,0,0,0,0
2020-02-06,Central African Republic,0,0,0,0,0,0
2020-02-07,Central African Republic,0,0,0,0,0,0
2020-02-08,Central African Republic,0,0,0,0,0,0
2020-02-09,Central African Republic,0,0,0,0,0,0
2020-02-10,Central African Republic,0,0,0,0,0,0
2020-02-11,Central African Republic,0,0,0,0,0,0
2020-02-12,Central African Republic,0,0,0,0,0,0
2020-02-13,Central African Republic,0,0,0,0,0,0
2020-02-14,Central African Republic,0,0,0,0,0,0
2020-02-15,Central African Republic,0,0,0,0,0,0
2020-02-16,Central African Republic,0,0,0,0,0,0
2020-02-17,Central African Republic,0,0,0,0,0,0
2020-02-18,Central African Republic,0,0,0,0,0,0
2020-02-19,Central African Republic,0,0,0,0,0,0
2020-02-20,Central African Republic,0,0,0,0,0,0
2020-02-21,Central African Republic,0,0,0,0,0,0
2020-02-22,Central African Republic,0,0,0,0,0,0
2020-02-23,Central African Republic,0,0,0,0,0,0
2020-02-24,Central African Republic,0,0,0,0,0,0
2020-02-25,Central African Republic,0,0,0,0,0,0
2020-02-26,Central African Republic,0,0,0,0,0,0
2020-02-27,Central African Republic,0,0,0,0,0,0
2020-02-28,Central African Republic,0,0,0,0,0,0
2020-02-29,Central African Republic,0,0,0,0,0,0
2020-03-01,Central African Republic,0,0,0,0,0,0
2020-03-02,Central African Republic,0,0,0,0,0,0
2020-03-03,Central African Republic,0,0,0,0,0,0
2020-03-04,Central African Republic,0,0,0,0,0,0
2020-03-05,Central African Republic,0,0,0,0,0,0
2020-03-06,Central African Republic,0,0,0,0,0,0
2020-03-07,Central African Republic,0,0,0,0,0,0
2020-03-08,Central African Republic,0,0,0,0,0,0
2020-03-09,Central African Republic,0,0,0,0,0,0
2020-03-10,Central African Republic,0,0,0,0,0,0
2020-03-11,Central African Republic,0,0,0,0,0,0
2020-03-12,Central African Republic,0,0,0,0,0,0
2020-03-13,Central African Republic,0,0,0,0,0,0
2020-03-14,Central African Republic,0,0,0,0,0,0
2020-03-15,Central African Republic,1,0,1,0,0,0
2020-03-16,Central African Republic,1,0,0,0,0,0
