Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Chad,0,0,0,0,0,0
2020-01-23,Chad,0,0,0,0,0,0
2020-01-24,Chad,0,0,0,0,0,0
2020-01-25,Chad,0,0,0,0,0,0
2020-01-26,Chad,0,0,0,0,0,0
2020-01-27,Chad,0,0,0,0,0,0
2020-01-28,Chad,0,0,0,0,0,0
2020-01-29,Chad,0,0,0,0,0,0
2020-01-30,Chad,0,0,0,0,0,0
2020-01-31,Chad,0,0,0,0,0,0
2020-02-01,Chad,0,0,0,0,0,0
2020-02-02,Chad,0,0,0,0,0,0
2020-02-03,Chad,0,0,0,0,0,0
2020-02-04,Chad,0,0,0,0,0,0
2020-02-05,Chad,0,0,0,0,0,0
2020-02-06,Chad,0,0,0,0,0,0
2020-02-07,Chad,0,0,0,0,0,0
2020-02-08,Chad,0,0,0,0,0,0
2020-02-09,Chad,0,0,0,0,0,0
2020-02-10,Chad,0,0,0,0,0,0
2020-02-11,Chad,0,0,0,0,0,0
2020-02-12,Chad,0,0,0,0,0,0
2020-02-13,Chad,0,0,0,0,0,0
2020-02-14,Chad,0,0,0,0,0,0
2020-02-15,Chad,0,0,0,0,0,0
2020-02-16,Chad,0,0,0,0,0,0
2020-02-17,Chad,0,0,0,0,0,0
2020-02-18,Chad,0,0,0,0,0,0
2020-02-19,Chad,0,0,0,0,0,0
2020-02-20,Chad,0,0,0,0,0,0
2020-02-21,Chad,0,0,0,0,0,0
2020-02-22,Chad,0,0,0,0,0,0
2020-02-23,Chad,0,0,0,0,0,0
2020-02-24,Chad,0,0,0,0,0,0
2020-02-25,Chad,0,0,0,0,0,0
2020-02-26,Chad,0,0,0,0,0,0
2020-02-27,Chad,0,0,0,0,0,0
2020-02-28,Chad,0,0,0,0,0,0
2020-02-29,Chad,0,0,0,0,0,0
2020-03-01,Chad,0,0,0,0,0,0
2020-03-02,Chad,0,0,0,0,0,0
2020-03-03,Chad,0,0,0,0,0,0
2020-03-04,Chad,0,0,0,0,0,0
2020-03-05,Chad,0,0,0,0,0,0
2020-03-06,Chad,0,0,0,0,0,0
2020-03-07,Chad,0,0,0,0,0,0
2020-03-08,Chad,0,0,0,0,0,0
2020-03-09,Chad,0,0,0,0,0,0
2020-03-10,Chad,0,0,0,0,0,0
2020-03-11,Chad,0,0,0,0,0,0
2020-03-12,Chad,0,0,0,0,0,0
2020-03-13,Chad,0,0,0,0,0,0
2020-03-14,Chad,0,0,0,0,0,0
2020-03-15,Chad,0,0,0,0,0,0
2020-03-16,Chad,0,0,0,0,0,0
2020-03-17,Chad,0,0,0,0,0,0
2020-03-18,Chad,0,0,0,0,0,0
2020-03-19,Chad,1,0,1,0,0,0
2020-03-20,Chad,1,0,0,0,0,0
2020-03-21,Chad,1,0,0,0,0,0
2020-03-22,Chad,1,0,0,0,0,0
2020-03-23,Chad,1,0,0,0,0,0
2020-03-24,Chad,3,0,2,0,0,0
2020-03-25,Chad,3,0,0,0,0,0
2020-03-26,Chad,3,0,0,0,0,0
2020-03-27,Chad,3,0,0,0,0,0
2020-03-28,Chad,3,0,0,0,0,0
2020-03-29,Chad,3,0,0,0,0,0
2020-03-30,Chad,5,0,2,0,1,0
2020-03-31,Chad,7,0,2,0,1,0
2020-04-01,Chad,7,0,0,0,1,0
2020-04-02,Chad,8,0,1,0,1,0
2020-04-03,Chad,8,0,0,0,1,0
2020-04-04,Chad,9,0,1,0,1,0
2020-04-05,Chad,9,0,0,0,1,0
2020-04-06,Chad,9,0,0,0,1,0
2020-04-07,Chad,10,0,1,0,0,0
2020-04-08,Chad,10,0,0,0,0,0
2020-04-09,Chad,11,0,1,0,0,0
2020-04-10,Chad,11,0,0,0,0,0
2020-04-11,Chad,11,0,0,0,0,0
2020-04-12,Chad,18,0,7,0,1,0
2020-04-13,Chad,23,0,5,0,2,0
2020-04-14,Chad,23,0,0,0,2,0
2020-04-15,Chad,23,0,0,0,2,0
2020-04-16,Chad,27,0,4,0,2,0
2020-04-17,Chad,27,0,0,0,2,0
2020-04-18,Chad,33,0,6,0,3,0
2020-04-19,Chad,33,0,0,0,2,0
2020-04-20,Chad,33,0,0,0,1,0
2020-04-21,Chad,33,0,0,0,1,0
2020-04-22,Chad,33,0,0,0,1,0
2020-04-23,Chad,33,0,0,0,1,0
2020-04-24,Chad,40,0,7,0,2,0
2020-04-25,Chad,46,0,6,0,2,0
2020-04-26,Chad,46,0,0,0,2,0
2020-04-27,Chad,46,0,0,0,2,0
2020-04-28,Chad,52,2,6,2,3,0
2020-04-29,Chad,52,2,0,0,3,0
2020-04-30,Chad,73,5,21,3,6,1
2020-05-01,Chad,73,5,0,0,5,1
2020-05-02,Chad,117,10,44,5,10,1
2020-05-03,Chad,117,10,0,0,10,1
2020-05-04,Chad,117,10,0,0,10,1
2020-05-05,Chad,170,17,53,7,17,2
2020-05-06,Chad,170,17,0,0,17,2
2020-05-07,Chad,253,27,83,10,26,3
2020-05-08,Chad,260,28,7,1,27,3
2020-05-09,Chad,322,31,62,3,29,3
2020-05-10,Chad,322,31,0,0,29,3
2020-05-11,Chad,322,31,0,0,29,3
2020-05-12,Chad,357,40,35,9,27,3
2020-05-13,Chad,372,42,15,2,29,4
2020-05-14,Chad,399,46,27,4,21,3
2020-05-15,Chad,428,48,29,2,24,3
2020-05-16,Chad,474,50,46,2,22,3
2020-05-17,Chad,503,53,29,3,26,3
2020-05-18,Chad,519,53,16,0,28,3
2020-05-19,Chad,545,56,26,3,27,2
2020-05-20,Chad,565,57,20,1,28,2
2020-05-21,Chad,588,58,23,1,27,2
2020-05-22,Chad,611,58,23,0,26,1
2020-05-23,Chad,648,60,37,2,25,1
2020-05-24,Chad,675,60,27,0,25,1
2020-05-25,Chad,687,61,12,1,24,1
2020-05-26,Chad,700,62,13,1,22,1
2020-05-27,Chad,715,64,15,2,21,1
2020-05-28,Chad,726,65,11,1,20,1
2020-05-29,Chad,759,65,33,0,21,1
2020-05-30,Chad,759,65,0,0,16,1
2020-05-31,Chad,778,65,19,0,15,1
2020-06-01,Chad,790,66,12,1,15,1
2020-06-02,Chad,803,66,13,0,15,1
2020-06-03,Chad,820,66,17,0,15,0
2020-06-04,Chad,828,66,8,0,15,0
2020-06-05,Chad,836,68,8,2,11,0
2020-06-06,Chad,836,69,0,1,11,1
2020-06-07,Chad,837,69,1,0,8,1
2020-06-08,Chad,839,70,2,1,7,1
2020-06-09,Chad,844,71,5,1,6,1
2020-06-10,Chad,846,72,2,1,4,1
2020-06-11,Chad,848,72,2,0,3,1
2020-06-12,Chad,848,72,0,0,2,1
2020-06-13,Chad,848,72,0,0,2,0
2020-06-14,Chad,850,73,2,1,2,1
2020-06-15,Chad,850,73,0,0,2,0
2020-06-16,Chad,853,74,3,1,1,0
2020-06-17,Chad,854,74,1,0,1,0
2020-06-18,Chad,854,74,0,0,1,0
2020-06-19,Chad,858,74,4,0,1,0
2020-06-20,Chad,858,74,0,0,1,0
2020-06-21,Chad,858,74,0,0,1,0
2020-06-22,Chad,858,74,0,0,1,0
2020-06-23,Chad,860,74,2,0,1,0
2020-06-24,Chad,860,74,0,0,1,0
2020-06-25,Chad,863,74,3,0,1,0
2020-06-26,Chad,865,74,2,0,1,0
2020-06-27,Chad,865,74,0,0,1,0
2020-06-28,Chad,866,74,1,0,1,0
2020-06-29,Chad,866,74,0,0,1,0
2020-06-30,Chad,866,74,0,0,1,0
2020-07-01,Chad,866,74,0,0,1,0
2020-07-02,Chad,868,74,2,0,1,0
2020-07-03,Chad,871,74,3,0,1,0
2020-07-04,Chad,871,74,0,0,1,0
2020-07-05,Chad,872,74,1,0,1,0
2020-07-06,Chad,872,74,0,0,1,0
2020-07-07,Chad,873,74,1,0,1,0
2020-07-08,Chad,873,74,0,0,1,0
2020-07-09,Chad,873,74,0,0,1,0
2020-07-10,Chad,874,74,1,0,0,0
2020-07-11,Chad,874,74,0,0,0,0
2020-07-12,Chad,880,75,6,1,1,0
2020-07-13,Chad,880,75,0,0,1,0
2020-07-14,Chad,884,75,4,0,2,0
2020-07-15,Chad,885,75,1,0,2,0
2020-07-16,Chad,886,75,1,0,2,0
2020-07-17,Chad,887,75,1,0,2,0
2020-07-18,Chad,889,75,2,0,2,0
2020-07-19,Chad,889,75,0,0,1,0
2020-07-20,Chad,889,75,0,0,1,0
2020-07-21,Chad,889,75,0,0,1,0
2020-07-22,Chad,889,75,0,0,1,0
2020-07-23,Chad,915,75,26,0,4,0
2020-07-24,Chad,915,75,0,0,4,0
2020-07-25,Chad,915,75,0,0,4,0
2020-07-26,Chad,915,75,0,0,4,0
2020-07-27,Chad,922,75,7,0,5,0
2020-07-28,Chad,926,75,4,0,5,0
2020-07-29,Chad,926,75,0,0,5,0
2020-07-30,Chad,935,75,9,0,3,0
2020-07-31,Chad,936,75,1,0,3,0
2020-08-01,Chad,936,75,0,0,3,0
2020-08-02,Chad,936,75,0,0,3,0
2020-08-03,Chad,936,75,0,0,2,0
2020-08-04,Chad,938,75,2,0,2,0
2020-08-05,Chad,939,75,1,0,2,0
2020-08-06,Chad,942,76,3,1,1,0
2020-08-07,Chad,942,76,0,0,1,0
2020-08-08,Chad,942,76,0,0,1,0
2020-08-09,Chad,944,76,2,0,1,0
2020-08-10,Chad,945,76,1,0,1,0
2020-08-11,Chad,946,76,1,0,1,0
2020-08-12,Chad,949,76,3,0,1,0
2020-08-13,Chad,949,76,0,0,1,0
2020-08-14,Chad,951,76,2,0,1,0
2020-08-15,Chad,952,76,1,0,1,0
2020-08-16,Chad,956,76,4,0,2,0
2020-08-17,Chad,959,76,3,0,2,0
2020-08-18,Chad,970,76,11,0,3,0
2020-08-19,Chad,971,76,1,0,3,0
2020-08-20,Chad,972,76,1,0,3,0
2020-08-21,Chad,981,76,9,0,4,0
2020-08-22,Chad,982,76,1,0,4,0
2020-08-23,Chad,986,76,4,0,4,0
2020-08-24,Chad,987,76,1,0,4,0
2020-08-25,Chad,995,77,8,1,4,0
2020-08-26,Chad,998,77,3,0,4,0
2020-08-27,Chad,1004,77,6,0,5,0
2020-08-28,Chad,1008,77,4,0,4,0
2020-08-29,Chad,1008,77,0,0,4,0
2020-08-30,Chad,1012,77,4,0,4,0
2020-08-31,Chad,1013,77,1,0,4,0
2020-09-01,Chad,1017,77,4,0,3,0
2020-09-02,Chad,1017,77,0,0,3,0
2020-09-03,Chad,1018,77,1,0,2,0
2020-09-04,Chad,1023,77,5,0,2,0
2020-09-05,Chad,1034,77,11,0,4,0
2020-09-06,Chad,1039,79,5,2,4,0
2020-09-07,Chad,1040,79,1,0,4,0
2020-09-08,Chad,1045,79,5,0,4,0
2020-09-09,Chad,1048,79,3,0,4,0
2020-09-10,Chad,1051,79,3,0,5,0
2020-09-11,Chad,1081,79,30,0,8,0
2020-09-12,Chad,1083,80,2,1,7,0
2020-09-13,Chad,1084,80,1,0,6,0
2020-09-14,Chad,1085,81,1,1,6,0
2020-09-15,Chad,1087,81,2,0,6,0
2020-09-16,Chad,1090,81,3,0,6,0
2020-09-17,Chad,1115,81,25,0,9,0
2020-09-18,Chad,1147,81,32,0,9,0
2020-09-19,Chad,1149,81,2,0,9,0
2020-09-20,Chad,1151,81,2,0,10,0
2020-09-21,Chad,1153,81,2,0,10,0
2020-09-22,Chad,1155,81,2,0,10,0
2020-09-23,Chad,1164,82,9,1,11,0
2020-09-24,Chad,1171,82,7,0,8,0
2020-09-25,Chad,1175,83,4,1,4,0
2020-09-26,Chad,1177,83,2,0,4,0
2020-09-27,Chad,1178,84,1,1,4,0
2020-09-28,Chad,1185,85,7,1,5,1
2020-09-29,Chad,1193,85,8,0,5,1
2020-09-30,Chad,1200,85,7,0,5,0
2020-10-01,Chad,1203,85,3,0,5,0
2020-10-02,Chad,1211,85,8,0,5,0
2020-10-03,Chad,1214,85,3,0,5,0
2020-10-04,Chad,1217,86,3,1,6,0
2020-10-05,Chad,1223,86,6,0,5,0
2020-10-06,Chad,1238,88,15,2,6,0
2020-10-07,Chad,1251,89,13,1,7,1
2020-10-08,Chad,1262,89,11,0,8,1
2020-10-09,Chad,1274,90,12,1,9,1
2020-10-10,Chad,1291,92,17,2,11,1
2020-10-11,Chad,1304,92,13,0,12,1
2020-10-12,Chad,1308,92,4,0,12,1
2020-10-13,Chad,1321,92,13,0,12,1
2020-10-14,Chad,1329,92,8,0,11,0
2020-10-15,Chad,1350,92,21,0,13,0
2020-10-16,Chad,1361,93,11,1,12,0
2020-10-17,Chad,1365,93,4,0,11,0
2020-10-18,Chad,1379,93,14,0,11,0
2020-10-19,Chad,1390,93,11,0,12,0
2020-10-20,Chad,1399,93,9,0,11,0
2020-10-21,Chad,1404,96,5,3,11,1
2020-10-22,Chad,1410,96,6,0,9,1
2020-10-23,Chad,1423,96,13,0,9,0
2020-10-24,Chad,1434,96,11,0,10,0
2020-10-25,Chad,1437,96,3,0,8,0
2020-10-26,Chad,1441,96,4,0,7,0
2020-10-27,Chad,1460,96,19,0,9,0
2020-10-28,Chad,1468,97,8,1,9,0
2020-10-29,Chad,1473,97,5,0,9,0
2020-10-30,Chad,1483,98,10,1,9,0
2020-10-31,Chad,1483,98,0,0,7,0
2020-11-01,Chad,1498,98,15,0,9,0
2020-11-02,Chad,1499,98,1,0,8,0
2020-11-03,Chad,1513,98,14,0,8,0
2020-11-04,Chad,1517,99,4,1,7,0
2020-11-05,Chad,1529,99,12,0,8,0
2020-11-06,Chad,1538,99,9,0,8,0
2020-11-07,Chad,1543,99,5,0,9,0
2020-11-08,Chad,1547,99,4,0,7,0
2020-11-09,Chad,1551,99,4,0,7,0
2020-11-10,Chad,1561,99,10,0,7,0
2020-11-11,Chad,1565,99,4,0,7,0
2020-11-12,Chad,1578,100,13,1,7,0
2020-11-13,Chad,1589,100,11,0,7,0
2020-11-14,Chad,1591,100,2,0,7,0
2020-11-15,Chad,1597,101,6,1,7,0
2020-11-16,Chad,1603,101,6,0,7,0
2020-11-17,Chad,1608,101,5,0,7,0
2020-11-18,Chad,1616,101,8,0,7,0
2020-11-19,Chad,1620,101,4,0,6,0
2020-11-20,Chad,1626,101,6,0,5,0
2020-11-21,Chad,1633,101,7,0,6,0
2020-11-22,Chad,1642,101,9,0,6,0
2020-11-23,Chad,1648,101,6,0,6,0
2020-11-24,Chad,1649,101,1,0,6,0
2020-11-25,Chad,1655,101,6,0,6,0
2020-11-26,Chad,1661,101,6,0,6,0
2020-11-27,Chad,1663,101,2,0,5,0
2020-11-28,Chad,1663,101,0,0,4,0
2020-11-29,Chad,1682,101,19,0,6,0
2020-11-30,Chad,1688,101,6,0,6,0
2020-12-01,Chad,1700,102,12,1,7,0
2020-12-02,Chad,1705,102,5,0,7,0
2020-12-03,Chad,1708,102,3,0,7,0
2020-12-04,Chad,1719,102,11,0,8,0
2020-12-05,Chad,1722,102,3,0,8,0
2020-12-06,Chad,1725,102,3,0,6,0
2020-12-07,Chad,1728,102,3,0,6,0
2020-12-08,Chad,1729,102,1,0,4,0
2020-12-09,Chad,1732,102,3,0,4,0
2020-12-10,Chad,1739,102,7,0,4,0
2020-12-11,Chad,1745,102,6,0,4,0
2020-12-12,Chad,1751,102,6,0,4,0
2020-12-13,Chad,1770,102,19,0,6,0
2020-12-14,Chad,1771,102,1,0,6,0
2020-12-15,Chad,1784,102,13,0,8,0
2020-12-16,Chad,1800,102,16,0,10,0
2020-12-17,Chad,1818,102,18,0,11,0
2020-12-18,Chad,1839,102,21,0,13,0
2020-12-19,Chad,1867,102,28,0,17,0
2020-12-20,Chad,1890,102,23,0,17,0
2020-12-21,Chad,1902,102,12,0,19,0
2020-12-22,Chad,1916,102,14,0,19,0
2020-12-23,Chad,1938,102,22,0,20,0
2020-12-24,Chad,1958,102,20,0,20,0
2020-12-25,Chad,1971,102,13,0,19,0
2020-12-26,Chad,1986,103,15,1,17,0
2020-12-27,Chad,2005,104,19,1,16,0
2020-12-28,Chad,2015,104,10,0,16,0
2020-12-29,Chad,2048,104,33,0,19,0
2020-12-30,Chad,2077,104,29,0,20,0
2020-12-31,Chad,2113,104,36,0,22,0
2021-01-01,Chad,2141,104,28,0,24,0
2021-01-02,Chad,2169,104,28,0,26,0
2021-01-03,Chad,2213,104,44,0,30,0
2021-01-04,Chad,2229,104,16,0,31,0
2021-01-05,Chad,2289,105,60,1,34,0
2021-01-06,Chad,2328,105,39,0,36,0
2021-01-07,Chad,2358,105,30,0,35,0
2021-01-08,Chad,2419,106,61,1,40,0
2021-01-09,Chad,2510,107,91,1,49,0
2021-01-10,Chad,2537,107,27,0,46,0
2021-01-11,Chad,2589,107,52,0,51,0
2021-01-12,Chad,2668,108,79,1,54,0
2021-01-13,Chad,2709,109,41,1,54,1
2021-01-14,Chad,2773,110,64,1,59,1
2021-01-15,Chad,2807,111,34,1,55,1
2021-01-16,Chad,2855,111,48,0,49,1
2021-01-17,Chad,2895,111,40,0,51,1
2021-01-18,Chad,2919,113,24,2,47,1
2021-01-19,Chad,2977,114,58,1,44,1
2021-01-20,Chad,3012,114,35,0,43,1
2021-01-21,Chad,3065,114,53,0,42,1
2021-01-22,Chad,3104,115,39,1,42,1
2021-01-23,Chad,3137,115,33,0,40,1
2021-01-24,Chad,3161,116,24,1,38,1
2021-01-25,Chad,3182,116,21,0,38,0
2021-01-26,Chad,3225,116,43,0,35,0
2021-01-27,Chad,3269,117,44,1,37,0
2021-01-28,Chad,3296,118,27,1,33,1
2021-01-29,Chad,3321,118,25,0,31,0
2021-01-30,Chad,3347,118,26,0,30,0
2021-01-31,Chad,3376,118,29,0,31,0
2021-02-01,Chad,3385,121,9,3,29,1
2021-02-02,Chad,3404,121,19,0,26,1
2021-02-03,Chad,3419,121,15,0,21,1
2021-02-04,Chad,3433,121,14,0,20,0
2021-02-05,Chad,3450,124,17,3,18,1
2021-02-06,Chad,3473,125,23,1,18,1
2021-02-07,Chad,3497,125,24,0,17,1
2021-02-08,Chad,3508,125,11,0,18,1
2021-02-09,Chad,3539,125,31,0,19,1
2021-02-10,Chad,3568,126,29,1,21,1
2021-02-11,Chad,3581,126,13,0,21,1
2021-02-12,Chad,3597,128,16,2,21,1
2021-02-13,Chad,3622,128,25,0,21,0
2021-02-14,Chad,3645,129,23,1,21,1
2021-02-15,Chad,3664,131,19,2,22,1
2021-02-16,Chad,3689,131,25,0,21,1
2021-02-17,Chad,3724,132,35,1,22,1
2021-02-18,Chad,3751,132,27,0,24,1
2021-02-19,Chad,3776,132,25,0,26,1
2021-02-20,Chad,3794,133,18,1,25,1
2021-02-21,Chad,3849,134,55,1,29,1
2021-02-22,Chad,3868,135,19,1,29,1
2021-02-23,Chad,3882,136,14,1,28,1
2021-02-24,Chad,3904,136,22,0,26,1
2021-02-25,Chad,3934,137,30,1,26,1
2021-02-26,Chad,3957,138,23,1,26,1
2021-02-27,Chad,3973,140,16,2,26,1
2021-02-28,Chad,3973,140,0,0,18,1
2021-03-01,Chad,3986,140,13,0,17,1
2021-03-02,Chad,3999,140,13,0,17,1
2021-03-03,Chad,4056,140,57,0,22,1
2021-03-04,Chad,4089,140,33,0,22,0
2021-03-05,Chad,4089,140,0,0,19,0
2021-03-06,Chad,4161,140,72,0,27,0
2021-03-07,Chad,4177,140,16,0,29,0
2021-03-08,Chad,4193,146,16,6,30,1
2021-03-09,Chad,4214,148,21,2,31,1
2021-03-10,Chad,4231,149,17,1,25,1
2021-03-11,Chad,4246,151,15,2,22,2
2021-03-12,Chad,4274,152,28,1,26,2
2021-03-13,Chad,4288,153,14,1,18,2
2021-03-14,Chad,4309,154,21,1,19,2
2021-03-15,Chad,4328,155,19,1,19,1
2021-03-16,Chad,4344,155,16,0,19,1
2021-03-17,Chad,4357,156,13,1,18,1
2021-03-18,Chad,4380,157,23,1,19,1
2021-03-19,Chad,4395,157,15,0,17,1
2021-03-20,Chad,4410,157,15,0,17,1
2021-03-21,Chad,4420,157,10,0,16,0
2021-03-22,Chad,4427,157,7,0,14,0
2021-03-23,Chad,4440,158,13,1,14,0
2021-03-24,Chad,4453,158,13,0,14,0
2021-03-25,Chad,4465,158,12,0,12,0
2021-03-26,Chad,4480,158,15,0,12,0
2021-03-27,Chad,4501,160,21,2,13,0
2021-03-28,Chad,4506,162,5,2,12,1
2021-03-29,Chad,4510,164,4,2,12,1
2021-03-30,Chad,4523,164,13,0,12,1
2021-03-31,Chad,4533,164,10,0,11,1
2021-04-01,Chad,4552,164,19,0,12,1
2021-04-02,Chad,4573,164,21,0,13,1
2021-04-03,Chad,4589,164,16,0,13,1
2021-04-04,Chad,4595,165,6,1,13,0
2021-04-05,Chad,4595,166,0,1,12,0
2021-04-06,Chad,4603,166,8,0,11,0
2021-04-07,Chad,4606,166,3,0,10,0
2021-04-08,Chad,4616,167,10,1,9,0
2021-04-09,Chad,4619,167,3,0,7,0
2021-04-10,Chad,4625,167,6,0,5,0
2021-04-11,Chad,4636,167,11,0,6,0
2021-04-12,Chad,4641,167,5,0,7,0
2021-04-13,Chad,4652,167,11,0,7,0
2021-04-14,Chad,4662,167,10,0,8,0
2021-04-15,Chad,4673,168,11,1,8,0
2021-04-16,Chad,4686,168,13,0,10,0
2021-04-17,Chad,4691,168,5,0,9,0
2021-04-18,Chad,4706,169,15,1,10,0
2021-04-19,Chad,4708,169,2,0,10,0
2021-04-20,Chad,4723,169,15,0,10,0
2021-04-21,Chad,4731,169,8,0,10,0
2021-04-22,Chad,4735,169,4,0,9,0
2021-04-23,Chad,4747,169,12,0,9,0
2021-04-24,Chad,4752,169,5,0,9,0
2021-04-25,Chad,4770,169,18,0,9,0
2021-04-26,Chad,4772,169,2,0,9,0
2021-04-27,Chad,4779,170,7,1,8,0
2021-04-28,Chad,4789,170,10,0,8,0
2021-04-29,Chad,4810,170,21,0,11,0
2021-04-30,Chad,4817,170,7,0,10,0
2021-05-01,Chad,4824,170,7,0,10,0
2021-05-02,Chad,4828,170,4,0,8,0
2021-05-03,Chad,4828,170,0,0,8,0
2021-05-04,Chad,4835,170,7,0,8,0
2021-05-05,Chad,4847,170,12,0,8,0
2021-05-06,Chad,4854,170,7,0,6,0
2021-05-07,Chad,4862,170,8,0,6,0
2021-05-08,Chad,4874,171,12,1,7,0
2021-05-09,Chad,4877,171,3,0,7,0
2021-05-10,Chad,4882,171,5,0,8,0
2021-05-11,Chad,4888,172,6,1,8,0
2021-05-12,Chad,4891,172,3,0,6,0
2021-05-13,Chad,4895,172,4,0,6,0
2021-05-14,Chad,4897,173,2,1,5,0
2021-05-15,Chad,4901,173,4,0,4,0
2021-05-16,Chad,4904,173,3,0,4,0
2021-05-17,Chad,4904,173,0,0,3,0
2021-05-18,Chad,4905,173,1,0,2,0
2021-05-19,Chad,4914,173,9,0,3,0
2021-05-20,Chad,4918,173,4,0,3,0
2021-05-21,Chad,4919,173,1,0,3,0
2021-05-22,Chad,4923,173,4,0,3,0
2021-05-23,Chad,4924,173,1,0,3,0
2021-05-24,Chad,4924,173,0,0,3,0
2021-05-25,Chad,4924,173,0,0,3,0
2021-05-26,Chad,4925,173,1,0,2,0
2021-05-27,Chad,4926,173,1,0,1,0
2021-05-28,Chad,4927,173,1,0,1,0
2021-05-29,Chad,4928,173,1,0,1,0
2021-05-30,Chad,4929,173,1,0,1,0
2021-05-31,Chad,4931,173,2,0,1,0
2021-06-01,Chad,4934,173,3,0,1,0
2021-06-02,Chad,4935,173,1,0,1,0
2021-06-03,Chad,4935,173,0,0,1,0
2021-06-04,Chad,4938,174,3,1,2,0
2021-06-05,Chad,4939,174,1,0,2,0
2021-06-06,Chad,4939,174,0,0,1,0
2021-06-07,Chad,4940,174,1,0,1,0
2021-06-08,Chad,4942,174,2,0,1,0
2021-06-09,Chad,4942,174,0,0,1,0
2021-06-10,Chad,4942,174,0,0,1,0
2021-06-11,Chad,4942,174,0,0,1,0
2021-06-12,Chad,4942,174,0,0,0,0
2021-06-13,Chad,4942,174,0,0,0,0
2021-06-14,Chad,4943,174,1,0,0,0
2021-06-15,Chad,4943,174,0,0,0,0
2021-06-16,Chad,4943,174,0,0,0,0
2021-06-17,Chad,4944,174,1,0,0,0
2021-06-18,Chad,4945,174,1,0,0,0
2021-06-19,Chad,4946,174,1,0,1,0
2021-06-20,Chad,4946,174,0,0,1,0
2021-06-21,Chad,4947,174,1,0,1,0
