Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Chile,0,0,0,0,0,0
2020-01-23,Chile,0,0,0,0,0,0
2020-01-24,Chile,0,0,0,0,0,0
2020-01-25,Chile,0,0,0,0,0,0
2020-01-26,Chile,0,0,0,0,0,0
2020-01-27,Chile,0,0,0,0,0,0
2020-01-28,Chile,0,0,0,0,0,0
2020-01-29,Chile,0,0,0,0,0,0
2020-01-30,Chile,0,0,0,0,0,0
2020-01-31,Chile,0,0,0,0,0,0
2020-02-01,Chile,0,0,0,0,0,0
2020-02-02,Chile,0,0,0,0,0,0
2020-02-03,Chile,0,0,0,0,0,0
2020-02-04,Chile,0,0,0,0,0,0
2020-02-05,Chile,0,0,0,0,0,0
2020-02-06,Chile,0,0,0,0,0,0
2020-02-07,Chile,0,0,0,0,0,0
2020-02-08,Chile,0,0,0,0,0,0
2020-02-09,Chile,0,0,0,0,0,0
2020-02-10,Chile,0,0,0,0,0,0
2020-02-11,Chile,0,0,0,0,0,0
2020-02-12,Chile,0,0,0,0,0,0
2020-02-13,Chile,0,0,0,0,0,0
2020-02-14,Chile,0,0,0,0,0,0
2020-02-15,Chile,0,0,0,0,0,0
2020-02-16,Chile,0,0,0,0,0,0
2020-02-17,Chile,0,0,0,0,0,0
2020-02-18,Chile,0,0,0,0,0,0
2020-02-19,Chile,0,0,0,0,0,0
2020-02-20,Chile,0,0,0,0,0,0
2020-02-21,Chile,0,0,0,0,0,0
2020-02-22,Chile,0,0,0,0,0,0
2020-02-23,Chile,2,0,2,0,0,0
2020-02-24,Chile,2,0,0,0,0,0
2020-02-25,Chile,2,0,0,0,0,0
2020-02-26,Chile,2,0,0,0,0,0
2020-02-27,Chile,2,0,0,0,0,0
2020-02-28,Chile,2,0,0,0,0,0
2020-02-29,Chile,2,0,0,0,0,0
2020-03-01,Chile,9,0,7,0,1,0
2020-03-02,Chile,9,0,0,0,1,0
2020-03-03,Chile,10,0,1,0,1,0
2020-03-04,Chile,10,0,0,0,1,0
2020-03-05,Chile,13,0,3,0,2,0
2020-03-06,Chile,13,0,0,0,2,0
2020-03-07,Chile,13,0,0,0,2,0
2020-03-08,Chile,20,0,7,0,2,0
2020-03-09,Chile,20,0,0,0,2,0
2020-03-10,Chile,25,0,5,0,2,0
2020-03-11,Chile,35,0,10,0,4,0
2020-03-12,Chile,35,0,0,0,3,0
2020-03-13,Chile,55,0,20,0,6,0
2020-03-14,Chile,88,0,33,0,11,0
2020-03-15,Chile,101,0,13,0,12,0
2020-03-16,Chile,182,0,81,0,23,0
2020-03-17,Chile,228,0,46,0,29,0
2020-03-18,Chile,265,0,37,0,33,0
2020-03-19,Chile,265,0,0,0,33,0
2020-03-20,Chile,461,0,196,0,58,0
2020-03-21,Chile,592,0,131,0,72,0
2020-03-22,Chile,687,1,95,1,84,0
2020-03-23,Chile,801,2,114,1,88,0
2020-03-24,Chile,977,2,176,0,107,0
