Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,China,548,17,0,0,0,0
2020-01-23,China,643,18,95,1,0,0
2020-01-24,China,920,26,277,8,0,0
2020-01-25,China,1406,42,486,16,0,0
2020-01-26,China,2075,56,669,14,0,0
2020-01-27,China,2877,82,802,26,0,0
2020-01-28,China,5509,131,2632,49,709,16
2020-01-29,China,6087,133,578,2,791,17
2020-01-30,China,8141,171,2054,38,1071,22
2020-01-31,China,9802,213,1661,42,1269,27
2020-02-01,China,11891,259,2089,46,1498,31
2020-02-02,China,16630,361,4739,102,2079,44
2020-02-03,China,19716,425,3086,64,2406,49
2020-02-04,China,23707,491,3991,66,2600,51
2020-02-05,China,27440,563,3733,72,3050,61
2020-02-06,China,30587,633,3147,70,3207,66
2020-02-07,China,34110,718,3523,85,3473,72
2020-02-08,China,36814,805,2704,87,3560,78
2020-02-09,China,39829,905,3015,100,3314,78
2020-02-10,China,42354,1012,2525,107,3234,84
2020-02-11,China,44386,1112,2032,100,2954,89
2020-02-12,China,44759,1117,373,5,2474,79
2020-02-13,China,59895,1369,15136,252,4187,105
2020-02-14,China,66358,1521,6463,152,4607,115
2020-02-15,China,68413,1663,2055,142,4514,123
2020-02-16,China,70513,1766,2100,103,4383,123
2020-02-17,China,72434,1864,1921,98,4297,122
2020-02-18,China,74211,2003,1777,139,4261,127
2020-02-19,China,74619,2116,408,113,4266,143
2020-02-20,China,75077,2238,458,122,2169,124
2020-02-21,China,75550,2238,473,0,1313,102
2020-02-22,China,77001,2443,1451,205,1227,111
2020-02-23,China,77022,2445,21,2,930,97
2020-02-24,China,77241,2595,219,150,687,104
2020-02-25,China,77754,2665,513,70,506,95
2020-02-26,China,78166,2717,412,52,507,86
2020-02-27,China,78600,2746,434,29,503,73
2020-02-28,China,78928,2790,328,44,483,79
2020-02-29,China,79356,2837,428,47,336,56
2020-03-01,China,79932,2872,576,35,416,61
2020-03-02,China,80136,2914,204,42,414,46
2020-03-03,China,80261,2947,125,33,358,40
2020-03-04,China,80386,2983,125,36,317,38
2020-03-05,China,80537,3015,151,32,277,38
2020-03-06,China,80690,3044,153,29,252,36
2020-03-07,China,80770,3072,80,28,202,34
2020-03-08,China,80823,3100,53,28,127,33
2020-03-09,China,80860,3123,37,23,103,30
2020-03-10,China,80887,3139,27,16,89,27
2020-03-11,China,80921,3161,34,22,76,25
2020-03-12,China,80932,3172,11,11,56,22
2020-03-13,China,80945,3180,13,8,36,19
2020-03-14,China,80977,3193,32,13,30,17
2020-03-15,China,81003,3203,26,10,26,15
2020-03-16,China,81033,3217,30,14,25,13
2020-03-17,China,81058,3230,25,13,24,13
2020-03-18,China,81102,3241,44,11,26,11
2020-03-19,China,81156,3249,54,8,32,11
2020-03-20,China,81250,3253,94,4,44,10
2020-03-21,China,81305,3259,55,6,47,9
2020-03-22,China,81435,3274,130,15,62,10
2020-03-23,China,81493,3274,58,0,66,8
2020-03-24,China,81587,3281,94,7,76,7
2020-03-25,China,81658,3285,71,4,79,6
