Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Colombia,0,0,0,0,0,0
2020-01-23,Colombia,0,0,0,0,0,0
2020-01-24,Colombia,0,0,0,0,0,0
2020-01-25,Colombia,0,0,0,0,0,0
2020-01-26,Colombia,0,0,0,0,0,0
2020-01-27,Colombia,0,0,0,0,0,0
2020-01-28,Colombia,0,0,0,0,0,0
2020-01-29,Colombia,0,0,0,0,0,0
2020-01-30,Colombia,0,0,0,0,0,0
2020-01-31,Colombia,0,0,0,0,0,0
2020-02-01,Colombia,0,0,0,0,0,0
2020-02-02,Colombia,0,0,0,0,0,0
2020-02-03,Colombia,0,0,0,0,0,0
2020-02-04,Colombia,0,0,0,0,0,0
2020-02-05,Colombia,0,0,0,0,0,0
2020-02-06,Colombia,0,0,0,0,0,0
2020-02-07,Colombia,0,0,0,0,0,0
2020-02-08,Colombia,0,0,0,0,0,0
2020-02-09,Colombia,0,0,0,0,0,0
2020-02-10,Colombia,0,0,0,0,0,0
2020-02-11,Colombia,0,0,0,0,0,0
2020-02-12,Colombia,0,0,0,0,0,0
2020-02-13,Colombia,0,0,0,0,0,0
2020-02-14,Colombia,0,0,0,0,0,0
2020-02-15,Colombia,0,0,0,0,0,0
2020-02-16,Colombia,0,0,0,0,0,0
2020-02-17,Colombia,0,0,0,0,0,0
2020-02-18,Colombia,0,0,0,0,0,0
2020-02-19,Colombia,0,0,0,0,0,0
2020-02-20,Colombia,0,0,0,0,0,0
2020-02-21,Colombia,0,0,0,0,0,0
2020-02-22,Colombia,0,0,0,0,0,0
2020-02-23,Colombia,0,0,0,0,0,0
2020-02-24,Colombia,0,0,0,0,0,0
2020-02-25,Colombia,0,0,0,0,0,0
2020-02-26,Colombia,0,0,0,0,0,0
2020-02-27,Colombia,0,0,0,0,0,0
2020-02-28,Colombia,0,0,0,0,0,0
2020-02-29,Colombia,0,0,0,0,0,0
2020-03-01,Colombia,0,0,0,0,0,0
2020-03-02,Colombia,0,0,0,0,0,0
2020-03-03,Colombia,0,0,0,0,0,0
2020-03-04,Colombia,0,0,0,0,0,0
2020-03-05,Colombia,0,0,0,0,0,0
2020-03-06,Colombia,1,0,1,0,0,0
2020-03-07,Colombia,1,0,0,0,0,0
2020-03-08,Colombia,1,0,0,0,0,0
2020-03-09,Colombia,1,0,0,0,0,0
2020-03-10,Colombia,3,0,2,0,0,0
2020-03-11,Colombia,9,0,6,0,1,0
2020-03-12,Colombia,9,0,0,0,1,0
2020-03-13,Colombia,13,0,4,0,2,0
2020-03-14,Colombia,22,0,9,0,3,0
2020-03-15,Colombia,34,0,12,0,5,0
2020-03-16,Colombia,57,0,23,0,8,0
2020-03-17,Colombia,75,0,18,0,10,0
2020-03-18,Colombia,102,0,27,0,13,0
2020-03-19,Colombia,108,0,6,0,14,0
2020-03-20,Colombia,158,0,50,0,21,0
2020-03-21,Colombia,196,0,38,0,25,0
2020-03-22,Colombia,231,2,35,2,28,0
2020-03-23,Colombia,277,3,46,1,31,0
2020-03-24,Colombia,378,3,101,0,43,0
2020-03-25,Colombia,470,4,92,1,53,1
2020-03-26,Colombia,491,6,21,2,55,1
2020-03-27,Colombia,539,6,48,0,54,1
2020-03-28,Colombia,608,6,69,0,59,1
2020-03-29,Colombia,702,10,94,4,67,1
2020-03-30,Colombia,798,12,96,2,74,1
2020-03-31,Colombia,906,16,108,4,75,2
2020-04-01,Colombia,1065,17,159,1,85,2
2020-04-02,Colombia,1161,19,96,2,96,2
2020-04-03,Colombia,1267,25,106,6,104,3
2020-04-04,Colombia,1406,32,139,7,114,4
2020-04-05,Colombia,1485,35,79,3,112,4
2020-04-06,Colombia,1579,46,94,11,112,5
2020-04-07,Colombia,1780,50,201,4,125,5
2020-04-08,Colombia,2054,54,274,4,141,5
2020-04-09,Colombia,2223,69,169,15,152,7
2020-04-10,Colombia,2473,80,250,11,172,8
2020-04-11,Colombia,2709,100,236,20,186,10
2020-04-12,Colombia,2776,109,67,9,184,11
2020-04-13,Colombia,2852,112,76,3,182,9
2020-04-14,Colombia,2979,127,127,15,171,11
2020-04-15,Colombia,3105,131,126,4,150,11
2020-04-16,Colombia,3233,144,128,13,144,11
2020-04-17,Colombia,3439,153,206,9,138,10
2020-04-18,Colombia,3621,166,182,13,130,9
2020-04-19,Colombia,3792,179,171,13,145,10
2020-04-20,Colombia,3977,189,185,10,161,11
2020-04-21,Colombia,4149,196,172,7,167,10
2020-04-22,Colombia,4356,206,207,10,179,11
2020-04-23,Colombia,4561,215,205,9,190,10
2020-04-24,Colombia,4881,225,320,10,206,10
2020-04-25,Colombia,5142,233,261,8,217,10
2020-04-26,Colombia,5379,244,237,11,227,9
2020-04-27,Colombia,5597,253,218,9,231,9
2020-04-28,Colombia,5949,269,352,16,257,10
2020-04-29,Colombia,6207,278,258,9,264,10
2020-04-30,Colombia,6507,293,300,15,278,11
2020-05-01,Colombia,7006,314,499,21,304,13
2020-05-02,Colombia,7285,324,279,10,306,13
2020-05-03,Colombia,7668,340,383,16,327,14
2020-05-04,Colombia,7973,358,305,18,339,15
2020-05-05,Colombia,8613,378,640,20,381,16
2020-05-06,Colombia,8959,397,346,19,393,17
2020-05-07,Colombia,9456,407,497,10,421,16
2020-05-08,Colombia,10051,428,595,21,435,16
2020-05-09,Colombia,10495,445,444,17,459,17
2020-05-10,Colombia,11063,463,568,18,485,18
2020-05-11,Colombia,11613,479,550,16,520,17
2020-05-12,Colombia,12272,493,659,14,523,16
2020-05-13,Colombia,12930,509,658,16,567,16
2020-05-14,Colombia,13610,525,680,16,593,17
2020-05-15,Colombia,14216,546,606,21,595,17
2020-05-16,Colombia,14939,562,723,16,635,17
2020-05-17,Colombia,15574,574,635,12,644,16
2020-05-18,Colombia,16295,592,721,18,669,16
2020-05-19,Colombia,16935,613,640,21,666,17
