Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Comoros,0,0,0,0,0,0
2020-01-23,Comoros,0,0,0,0,0,0
2020-01-24,Comoros,0,0,0,0,0,0
2020-01-25,Comoros,0,0,0,0,0,0
2020-01-26,Comoros,0,0,0,0,0,0
2020-01-27,Comoros,0,0,0,0,0,0
2020-01-28,Comoros,0,0,0,0,0,0
2020-01-29,Comoros,0,0,0,0,0,0
2020-01-30,Comoros,0,0,0,0,0,0
2020-01-31,Comoros,0,0,0,0,0,0
2020-02-01,Comoros,0,0,0,0,0,0
2020-02-02,Comoros,0,0,0,0,0,0
2020-02-03,Comoros,0,0,0,0,0,0
2020-02-04,Comoros,0,0,0,0,0,0
2020-02-05,Comoros,0,0,0,0,0,0
2020-02-06,Comoros,0,0,0,0,0,0
2020-02-07,Comoros,0,0,0,0,0,0
2020-02-08,Comoros,0,0,0,0,0,0
2020-02-09,Comoros,0,0,0,0,0,0
2020-02-10,Comoros,0,0,0,0,0,0
2020-02-11,Comoros,0,0,0,0,0,0
2020-02-12,Comoros,0,0,0,0,0,0
2020-02-13,Comoros,0,0,0,0,0,0
2020-02-14,Comoros,0,0,0,0,0,0
2020-02-15,Comoros,0,0,0,0,0,0
2020-02-16,Comoros,0,0,0,0,0,0
2020-02-17,Comoros,0,0,0,0,0,0
2020-02-18,Comoros,0,0,0,0,0,0
2020-02-19,Comoros,0,0,0,0,0,0
2020-02-20,Comoros,0,0,0,0,0,0
2020-02-21,Comoros,0,0,0,0,0,0
2020-02-22,Comoros,0,0,0,0,0,0
2020-02-23,Comoros,0,0,0,0,0,0
2020-02-24,Comoros,0,0,0,0,0,0
2020-02-25,Comoros,0,0,0,0,0,0
2020-02-26,Comoros,0,0,0,0,0,0
2020-02-27,Comoros,0,0,0,0,0,0
2020-02-28,Comoros,0,0,0,0,0,0
2020-02-29,Comoros,0,0,0,0,0,0
2020-03-01,Comoros,0,0,0,0,0,0
2020-03-02,Comoros,0,0,0,0,0,0
2020-03-03,Comoros,0,0,0,0,0,0
2020-03-04,Comoros,0,0,0,0,0,0
2020-03-05,Comoros,0,0,0,0,0,0
2020-03-06,Comoros,0,0,0,0,0,0
2020-03-07,Comoros,0,0,0,0,0,0
2020-03-08,Comoros,0,0,0,0,0,0
2020-03-09,Comoros,0,0,0,0,0,0
2020-03-10,Comoros,0,0,0,0,0,0
2020-03-11,Comoros,0,0,0,0,0,0
2020-03-12,Comoros,0,0,0,0,0,0
2020-03-13,Comoros,0,0,0,0,0,0
2020-03-14,Comoros,0,0,0,0,0,0
2020-03-15,Comoros,0,0,0,0,0,0
2020-03-16,Comoros,0,0,0,0,0,0
2020-03-17,Comoros,0,0,0,0,0,0
2020-03-18,Comoros,0,0,0,0,0,0
2020-03-19,Comoros,0,0,0,0,0,0
2020-03-20,Comoros,0,0,0,0,0,0
2020-03-21,Comoros,0,0,0,0,0,0
2020-03-22,Comoros,0,0,0,0,0,0
2020-03-23,Comoros,0,0,0,0,0,0
2020-03-24,Comoros,0,0,0,0,0,0
2020-03-25,Comoros,0,0,0,0,0,0
2020-03-26,Comoros,0,0,0,0,0,0
2020-03-27,Comoros,0,0,0,0,0,0
2020-03-28,Comoros,0,0,0,0,0,0
2020-03-29,Comoros,0,0,0,0,0,0
2020-03-30,Comoros,0,0,0,0,0,0
2020-03-31,Comoros,0,0,0,0,0,0
2020-04-01,Comoros,0,0,0,0,0,0
2020-04-02,Comoros,0,0,0,0,0,0
2020-04-03,Comoros,0,0,0,0,0,0
2020-04-04,Comoros,0,0,0,0,0,0
2020-04-05,Comoros,0,0,0,0,0,0
2020-04-06,Comoros,0,0,0,0,0,0
2020-04-07,Comoros,0,0,0,0,0,0
2020-04-08,Comoros,0,0,0,0,0,0
2020-04-09,Comoros,0,0,0,0,0,0
2020-04-10,Comoros,0,0,0,0,0,0
2020-04-11,Comoros,0,0,0,0,0,0
2020-04-12,Comoros,0,0,0,0,0,0
2020-04-13,Comoros,0,0,0,0,0,0
2020-04-14,Comoros,0,0,0,0,0,0
2020-04-15,Comoros,0,0,0,0,0,0
2020-04-16,Comoros,0,0,0,0,0,0
2020-04-17,Comoros,0,0,0,0,0,0
2020-04-18,Comoros,0,0,0,0,0,0
2020-04-19,Comoros,0,0,0,0,0,0
2020-04-20,Comoros,0,0,0,0,0,0
2020-04-21,Comoros,0,0,0,0,0,0
2020-04-22,Comoros,0,0,0,0,0,0
2020-04-23,Comoros,0,0,0,0,0,0
2020-04-24,Comoros,0,0,0,0,0,0
2020-04-25,Comoros,0,0,0,0,0,0
2020-04-26,Comoros,0,0,0,0,0,0
2020-04-27,Comoros,0,0,0,0,0,0
2020-04-28,Comoros,0,0,0,0,0,0
2020-04-29,Comoros,0,0,0,0,0,0
2020-04-30,Comoros,1,0,1,0,0,0
2020-05-01,Comoros,1,0,0,0,0,0
2020-05-02,Comoros,3,0,2,0,0,0
2020-05-03,Comoros,3,0,0,0,0,0
2020-05-04,Comoros,3,0,0,0,0,0
2020-05-05,Comoros,3,0,0,0,0,0
2020-05-06,Comoros,8,1,5,1,1,0
2020-05-07,Comoros,8,1,0,0,1,0
2020-05-08,Comoros,8,1,0,0,1,0
2020-05-09,Comoros,11,1,3,0,1,0
2020-05-10,Comoros,11,1,0,0,1,0
2020-05-11,Comoros,11,1,0,0,1,0
2020-05-12,Comoros,11,1,0,0,1,0
2020-05-13,Comoros,11,1,0,0,0,0
2020-05-14,Comoros,11,1,0,0,0,0
2020-05-15,Comoros,11,1,0,0,0,0
2020-05-16,Comoros,11,1,0,0,0,0
2020-05-17,Comoros,11,1,0,0,0,0
2020-05-18,Comoros,11,1,0,0,0,0
2020-05-19,Comoros,11,1,0,0,0,0
2020-05-20,Comoros,34,1,23,0,3,0
2020-05-21,Comoros,34,1,0,0,3,0
2020-05-22,Comoros,78,1,44,0,10,0
2020-05-23,Comoros,78,1,0,0,10,0
2020-05-24,Comoros,87,1,9,0,11,0
2020-05-25,Comoros,87,1,0,0,11,0
2020-05-26,Comoros,87,1,0,0,11,0
2020-05-27,Comoros,87,2,0,1,8,0
