Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Congo (Brazzaville),0,0,0,0,0,0
2020-01-23,Congo (Brazzaville),0,0,0,0,0,0
2020-01-24,Congo (Brazzaville),0,0,0,0,0,0
2020-01-25,Congo (Brazzaville),0,0,0,0,0,0
2020-01-26,Congo (Brazzaville),0,0,0,0,0,0
2020-01-27,Congo (Brazzaville),0,0,0,0,0,0
2020-01-28,Congo (Brazzaville),0,0,0,0,0,0
2020-01-29,Congo (Brazzaville),0,0,0,0,0,0
2020-01-30,Congo (Brazzaville),0,0,0,0,0,0
2020-01-31,Congo (Brazzaville),0,0,0,0,0,0
2020-02-01,Congo (Brazzaville),0,0,0,0,0,0
2020-02-02,Congo (Brazzaville),0,0,0,0,0,0
2020-02-03,Congo (Brazzaville),0,0,0,0,0,0
2020-02-04,Congo (Brazzaville),0,0,0,0,0,0
2020-02-05,Congo (Brazzaville),0,0,0,0,0,0
2020-02-06,Congo (Brazzaville),0,0,0,0,0,0
2020-02-07,Congo (Brazzaville),0,0,0,0,0,0
2020-02-08,Congo (Brazzaville),0,0,0,0,0,0
2020-02-09,Congo (Brazzaville),0,0,0,0,0,0
2020-02-10,Congo (Brazzaville),0,0,0,0,0,0
2020-02-11,Congo (Brazzaville),0,0,0,0,0,0
2020-02-12,Congo (Brazzaville),0,0,0,0,0,0
2020-02-13,Congo (Brazzaville),0,0,0,0,0,0
2020-02-14,Congo (Brazzaville),0,0,0,0,0,0
2020-02-15,Congo (Brazzaville),0,0,0,0,0,0
2020-02-16,Congo (Brazzaville),0,0,0,0,0,0
2020-02-17,Congo (Brazzaville),0,0,0,0,0,0
2020-02-18,Congo (Brazzaville),0,0,0,0,0,0
2020-02-19,Congo (Brazzaville),0,0,0,0,0,0
2020-02-20,Congo (Brazzaville),0,0,0,0,0,0
2020-02-21,Congo (Brazzaville),0,0,0,0,0,0
2020-02-22,Congo (Brazzaville),0,0,0,0,0,0
2020-02-23,Congo (Brazzaville),0,0,0,0,0,0
2020-02-24,Congo (Brazzaville),0,0,0,0,0,0
2020-02-25,Congo (Brazzaville),0,0,0,0,0,0
2020-02-26,Congo (Brazzaville),0,0,0,0,0,0
2020-02-27,Congo (Brazzaville),0,0,0,0,0,0
2020-02-28,Congo (Brazzaville),0,0,0,0,0,0
2020-02-29,Congo (Brazzaville),0,0,0,0,0,0
2020-03-01,Congo (Brazzaville),0,0,0,0,0,0
2020-03-02,Congo (Brazzaville),0,0,0,0,0,0
2020-03-03,Congo (Brazzaville),0,0,0,0,0,0
2020-03-04,Congo (Brazzaville),0,0,0,0,0,0
2020-03-05,Congo (Brazzaville),0,0,0,0,0,0
2020-03-06,Congo (Brazzaville),0,0,0,0,0,0
2020-03-07,Congo (Brazzaville),0,0,0,0,0,0
2020-03-08,Congo (Brazzaville),0,0,0,0,0,0
2020-03-09,Congo (Brazzaville),0,0,0,0,0,0
2020-03-10,Congo (Brazzaville),0,0,0,0,0,0
2020-03-11,Congo (Brazzaville),0,0,0,0,0,0
2020-03-12,Congo (Brazzaville),0,0,0,0,0,0
2020-03-13,Congo (Brazzaville),0,0,0,0,0,0
2020-03-14,Congo (Brazzaville),0,0,0,0,0,0
2020-03-15,Congo (Brazzaville),1,0,1,0,0,0
2020-03-16,Congo (Brazzaville),1,0,0,0,0,0
2020-03-17,Congo (Brazzaville),1,0,0,0,0,0
2020-03-18,Congo (Brazzaville),1,0,0,0,0,0
2020-03-19,Congo (Brazzaville),3,0,2,0,0,0
2020-03-20,Congo (Brazzaville),3,0,0,0,0,0
2020-03-21,Congo (Brazzaville),3,0,0,0,0,0
2020-03-22,Congo (Brazzaville),3,0,0,0,0,0
2020-03-23,Congo (Brazzaville),4,0,1,0,0,0
2020-03-24,Congo (Brazzaville),4,0,0,0,0,0
2020-03-25,Congo (Brazzaville),4,0,0,0,0,0
2020-03-26,Congo (Brazzaville),4,0,0,0,0,0
2020-03-27,Congo (Brazzaville),4,0,0,0,0,0
2020-03-28,Congo (Brazzaville),4,0,0,0,0,0
2020-03-29,Congo (Brazzaville),19,0,15,0,2,0
2020-03-30,Congo (Brazzaville),19,0,0,0,2,0
2020-03-31,Congo (Brazzaville),19,0,0,0,2,0
2020-04-01,Congo (Brazzaville),19,0,0,0,2,0
2020-04-02,Congo (Brazzaville),22,2,3,2,3,0
2020-04-03,Congo (Brazzaville),22,2,0,0,3,0
2020-04-04,Congo (Brazzaville),22,2,0,0,3,0
2020-04-05,Congo (Brazzaville),45,5,23,3,4,1
2020-04-06,Congo (Brazzaville),45,5,0,0,4,1
2020-04-07,Congo (Brazzaville),45,5,0,0,4,1
2020-04-08,Congo (Brazzaville),45,5,0,0,4,1
2020-04-09,Congo (Brazzaville),60,5,15,0,5,0
2020-04-10,Congo (Brazzaville),60,5,0,0,5,0
2020-04-11,Congo (Brazzaville),60,5,0,0,5,0
2020-04-12,Congo (Brazzaville),60,5,0,0,2,0
2020-04-13,Congo (Brazzaville),60,5,0,0,2,0
2020-04-14,Congo (Brazzaville),60,5,0,0,2,0
2020-04-15,Congo (Brazzaville),117,5,57,0,10,0
2020-04-16,Congo (Brazzaville),117,5,0,0,8,0
2020-04-17,Congo (Brazzaville),143,6,26,1,12,0
2020-04-18,Congo (Brazzaville),143,6,0,0,12,0
2020-04-19,Congo (Brazzaville),143,6,0,0,12,0
2020-04-20,Congo (Brazzaville),160,6,17,0,14,0
2020-04-21,Congo (Brazzaville),165,6,5,0,15,0
2020-04-22,Congo (Brazzaville),186,6,21,0,10,0
2020-04-23,Congo (Brazzaville),186,6,0,0,10,0
2020-04-24,Congo (Brazzaville),200,6,14,0,8,0
2020-04-25,Congo (Brazzaville),200,6,0,0,8,0
2020-04-26,Congo (Brazzaville),200,6,0,0,8,0
2020-04-27,Congo (Brazzaville),200,6,0,0,6,0
2020-04-28,Congo (Brazzaville),207,8,7,2,6,0
2020-04-29,Congo (Brazzaville),207,8,0,0,3,0
2020-04-30,Congo (Brazzaville),220,9,13,1,5,0
2020-05-01,Congo (Brazzaville),229,9,9,0,4,0
2020-05-02,Congo (Brazzaville),229,9,0,0,4,0
2020-05-03,Congo (Brazzaville),229,9,0,0,4,0
2020-05-04,Congo (Brazzaville),236,10,7,1,5,1
2020-05-05,Congo (Brazzaville),236,10,0,0,4,0
2020-05-06,Congo (Brazzaville),264,10,28,0,8,0
2020-05-07,Congo (Brazzaville),264,10,0,0,6,0
2020-05-08,Congo (Brazzaville),274,10,10,0,6,0
2020-05-09,Congo (Brazzaville),274,10,0,0,6,0
2020-05-10,Congo (Brazzaville),274,10,0,0,6,0
2020-05-11,Congo (Brazzaville),333,11,59,1,14,0
2020-05-12,Congo (Brazzaville),333,11,0,0,14,0
2020-05-13,Congo (Brazzaville),333,11,0,0,10,0
2020-05-14,Congo (Brazzaville),391,15,58,4,18,1
2020-05-15,Congo (Brazzaville),391,15,0,0,17,1
2020-05-16,Congo (Brazzaville),391,15,0,0,17,1
2020-05-17,Congo (Brazzaville),391,15,0,0,17,1
2020-05-18,Congo (Brazzaville),412,15,21,0,11,1
2020-05-19,Congo (Brazzaville),420,15,8,0,12,1
2020-05-20,Congo (Brazzaville),420,15,0,0,12,1
2020-05-21,Congo (Brazzaville),469,16,49,1,11,0
2020-05-22,Congo (Brazzaville),469,16,0,0,11,0
2020-05-23,Congo (Brazzaville),487,16,18,0,14,0
2020-05-24,Congo (Brazzaville),487,16,0,0,14,0
2020-05-25,Congo (Brazzaville),487,16,0,0,11,0
2020-05-26,Congo (Brazzaville),487,16,0,0,10,0
2020-05-27,Congo (Brazzaville),571,19,84,3,22,1
2020-05-28,Congo (Brazzaville),571,19,0,0,15,0
2020-05-29,Congo (Brazzaville),571,19,0,0,15,0
2020-05-30,Congo (Brazzaville),571,19,0,0,12,0
2020-05-31,Congo (Brazzaville),611,20,40,1,18,1
2020-06-01,Congo (Brazzaville),611,20,0,0,18,1
2020-06-02,Congo (Brazzaville),611,20,0,0,18,1
2020-06-03,Congo (Brazzaville),611,20,0,0,6,0
2020-06-04,Congo (Brazzaville),611,20,0,0,6,0
2020-06-05,Congo (Brazzaville),635,20,24,0,9,0
2020-06-06,Congo (Brazzaville),683,22,48,2,16,0
2020-06-07,Congo (Brazzaville),683,22,0,0,10,0
2020-06-08,Congo (Brazzaville),683,22,0,0,10,0
2020-06-09,Congo (Brazzaville),728,24,45,2,17,1
2020-06-10,Congo (Brazzaville),728,24,0,0,17,1
2020-06-11,Congo (Brazzaville),728,24,0,0,17,1
2020-06-12,Congo (Brazzaville),728,24,0,0,13,1
2020-06-13,Congo (Brazzaville),728,24,0,0,6,0
2020-06-14,Congo (Brazzaville),728,24,0,0,6,0
2020-06-15,Congo (Brazzaville),883,27,155,3,29,1
2020-06-16,Congo (Brazzaville),883,27,0,0,22,0
2020-06-17,Congo (Brazzaville),883,27,0,0,22,0
2020-06-18,Congo (Brazzaville),883,27,0,0,22,0
2020-06-19,Congo (Brazzaville),883,27,0,0,22,0
2020-06-20,Congo (Brazzaville),883,27,0,0,22,0
2020-06-21,Congo (Brazzaville),883,27,0,0,22,0
2020-06-22,Congo (Brazzaville),1087,37,204,10,29,1
2020-06-23,Congo (Brazzaville),1087,37,0,0,29,1
2020-06-24,Congo (Brazzaville),1087,37,0,0,29,1
2020-06-25,Congo (Brazzaville),1087,37,0,0,29,1
2020-06-26,Congo (Brazzaville),1087,37,0,0,29,1
2020-06-27,Congo (Brazzaville),1087,37,0,0,29,1
2020-06-28,Congo (Brazzaville),1087,37,0,0,29,1
2020-06-29,Congo (Brazzaville),1087,37,0,0,0,0
2020-06-30,Congo (Brazzaville),1087,37,0,0,0,0
2020-07-01,Congo (Brazzaville),1382,41,295,4,42,1
2020-07-02,Congo (Brazzaville),1382,41,0,0,42,1
2020-07-03,Congo (Brazzaville),1557,44,175,3,67,1
2020-07-04,Congo (Brazzaville),1557,44,0,0,67,1
2020-07-05,Congo (Brazzaville),1557,44,0,0,67,1
2020-07-06,Congo (Brazzaville),1557,44,0,0,67,1
2020-07-07,Congo (Brazzaville),1557,44,0,0,67,1
2020-07-08,Congo (Brazzaville),1821,47,264,3,63,1
2020-07-09,Congo (Brazzaville),1821,47,0,0,63,1
2020-07-10,Congo (Brazzaville),2028,47,207,0,67,0
2020-07-11,Congo (Brazzaville),2028,47,0,0,67,0
2020-07-12,Congo (Brazzaville),2028,47,0,0,67,0
2020-07-13,Congo (Brazzaville),2028,47,0,0,67,0
2020-07-14,Congo (Brazzaville),2028,47,0,0,67,0
2020-07-15,Congo (Brazzaville),2222,47,194,0,57,0
