Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Congo (Kinshasa),0,0,0,0,0,0
2020-01-23,Congo (Kinshasa),0,0,0,0,0,0
2020-01-24,Congo (Kinshasa),0,0,0,0,0,0
2020-01-25,Congo (Kinshasa),0,0,0,0,0,0
2020-01-26,Congo (Kinshasa),0,0,0,0,0,0
2020-01-27,Congo (Kinshasa),0,0,0,0,0,0
2020-01-28,Congo (Kinshasa),0,0,0,0,0,0
2020-01-29,Congo (Kinshasa),0,0,0,0,0,0
2020-01-30,Congo (Kinshasa),0,0,0,0,0,0
2020-01-31,Congo (Kinshasa),0,0,0,0,0,0
2020-02-01,Congo (Kinshasa),0,0,0,0,0,0
2020-02-02,Congo (Kinshasa),0,0,0,0,0,0
2020-02-03,Congo (Kinshasa),0,0,0,0,0,0
2020-02-04,Congo (Kinshasa),0,0,0,0,0,0
2020-02-05,Congo (Kinshasa),0,0,0,0,0,0
2020-02-06,Congo (Kinshasa),0,0,0,0,0,0
2020-02-07,Congo (Kinshasa),0,0,0,0,0,0
2020-02-08,Congo (Kinshasa),0,0,0,0,0,0
2020-02-09,Congo (Kinshasa),0,0,0,0,0,0
2020-02-10,Congo (Kinshasa),0,0,0,0,0,0
2020-02-11,Congo (Kinshasa),0,0,0,0,0,0
2020-02-12,Congo (Kinshasa),0,0,0,0,0,0
2020-02-13,Congo (Kinshasa),0,0,0,0,0,0
2020-02-14,Congo (Kinshasa),0,0,0,0,0,0
2020-02-15,Congo (Kinshasa),0,0,0,0,0,0
2020-02-16,Congo (Kinshasa),0,0,0,0,0,0
2020-02-17,Congo (Kinshasa),0,0,0,0,0,0
2020-02-18,Congo (Kinshasa),0,0,0,0,0,0
2020-02-19,Congo (Kinshasa),0,0,0,0,0,0
2020-02-20,Congo (Kinshasa),0,0,0,0,0,0
2020-02-21,Congo (Kinshasa),0,0,0,0,0,0
2020-02-22,Congo (Kinshasa),0,0,0,0,0,0
2020-02-23,Congo (Kinshasa),0,0,0,0,0,0
2020-02-24,Congo (Kinshasa),0,0,0,0,0,0
2020-02-25,Congo (Kinshasa),0,0,0,0,0,0
2020-02-26,Congo (Kinshasa),0,0,0,0,0,0
2020-02-27,Congo (Kinshasa),0,0,0,0,0,0
2020-02-28,Congo (Kinshasa),0,0,0,0,0,0
2020-02-29,Congo (Kinshasa),0,0,0,0,0,0
2020-03-01,Congo (Kinshasa),0,0,0,0,0,0
2020-03-02,Congo (Kinshasa),0,0,0,0,0,0
2020-03-03,Congo (Kinshasa),0,0,0,0,0,0
2020-03-04,Congo (Kinshasa),0,0,0,0,0,0
2020-03-05,Congo (Kinshasa),0,0,0,0,0,0
2020-03-06,Congo (Kinshasa),0,0,0,0,0,0
2020-03-07,Congo (Kinshasa),0,0,0,0,0,0
2020-03-08,Congo (Kinshasa),0,0,0,0,0,0
2020-03-09,Congo (Kinshasa),0,0,0,0,0,0
2020-03-10,Congo (Kinshasa),0,0,0,0,0,0
2020-03-11,Congo (Kinshasa),1,0,1,0,0,0
2020-03-12,Congo (Kinshasa),1,0,0,0,0,0
2020-03-13,Congo (Kinshasa),2,0,1,0,0,0
2020-03-14,Congo (Kinshasa),2,0,0,0,0,0
2020-03-15,Congo (Kinshasa),2,0,0,0,0,0
2020-03-16,Congo (Kinshasa),2,0,0,0,0,0
2020-03-17,Congo (Kinshasa),3,0,1,0,0,0
2020-03-18,Congo (Kinshasa),4,0,1,0,0,0
2020-03-19,Congo (Kinshasa),14,0,10,0,2,0
2020-03-20,Congo (Kinshasa),18,0,4,0,2,0
2020-03-21,Congo (Kinshasa),23,1,5,1,3,0
2020-03-22,Congo (Kinshasa),30,1,7,0,4,0
2020-03-23,Congo (Kinshasa),36,1,6,0,5,0
2020-03-24,Congo (Kinshasa),45,2,9,1,6,0
2020-03-25,Congo (Kinshasa),48,2,3,0,6,0
2020-03-26,Congo (Kinshasa),51,3,3,1,5,0
2020-03-27,Congo (Kinshasa),51,3,0,0,5,0
2020-03-28,Congo (Kinshasa),65,6,14,3,6,1
2020-03-29,Congo (Kinshasa),65,6,0,0,5,1
2020-03-30,Congo (Kinshasa),81,8,16,2,6,1
2020-03-31,Congo (Kinshasa),98,8,17,0,8,1
2020-04-01,Congo (Kinshasa),109,9,11,1,9,1
2020-04-02,Congo (Kinshasa),134,13,25,4,12,1
2020-04-03,Congo (Kinshasa),134,13,0,0,12,1
2020-04-04,Congo (Kinshasa),154,18,20,5,13,2
