Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Costa Rica,0,0,0,0,0,0
2020-01-23,Costa Rica,0,0,0,0,0,0
2020-01-24,Costa Rica,0,0,0,0,0,0
2020-01-25,Costa Rica,0,0,0,0,0,0
2020-01-26,Costa Rica,0,0,0,0,0,0
2020-01-27,Costa Rica,0,0,0,0,0,0
2020-01-28,Costa Rica,0,0,0,0,0,0
2020-01-29,Costa Rica,0,0,0,0,0,0
2020-01-30,Costa Rica,0,0,0,0,0,0
2020-01-31,Costa Rica,0,0,0,0,0,0
2020-02-01,Costa Rica,0,0,0,0,0,0
2020-02-02,Costa Rica,0,0,0,0,0,0
2020-02-03,Costa Rica,0,0,0,0,0,0
2020-02-04,Costa Rica,0,0,0,0,0,0
2020-02-05,Costa Rica,0,0,0,0,0,0
2020-02-06,Costa Rica,0,0,0,0,0,0
2020-02-07,Costa Rica,0,0,0,0,0,0
2020-02-08,Costa Rica,0,0,0,0,0,0
2020-02-09,Costa Rica,0,0,0,0,0,0
2020-02-10,Costa Rica,0,0,0,0,0,0
2020-02-11,Costa Rica,0,0,0,0,0,0
2020-02-12,Costa Rica,0,0,0,0,0,0
2020-02-13,Costa Rica,0,0,0,0,0,0
2020-02-14,Costa Rica,0,0,0,0,0,0
2020-02-15,Costa Rica,0,0,0,0,0,0
2020-02-16,Costa Rica,0,0,0,0,0,0
2020-02-17,Costa Rica,0,0,0,0,0,0
2020-02-18,Costa Rica,0,0,0,0,0,0
2020-02-19,Costa Rica,0,0,0,0,0,0
2020-02-20,Costa Rica,0,0,0,0,0,0
2020-02-21,Costa Rica,0,0,0,0,0,0
2020-02-22,Costa Rica,0,0,0,0,0,0
2020-02-23,Costa Rica,0,0,0,0,0,0
2020-02-24,Costa Rica,0,0,0,0,0,0
2020-02-25,Costa Rica,0,0,0,0,0,0
2020-02-26,Costa Rica,0,0,0,0,0,0
2020-02-27,Costa Rica,0,0,0,0,0,0
2020-02-28,Costa Rica,0,0,0,0,0,0
2020-02-29,Costa Rica,0,0,0,0,0,0
2020-03-01,Costa Rica,0,0,0,0,0,0
2020-03-02,Costa Rica,0,0,0,0,0,0
2020-03-03,Costa Rica,0,0,0,0,0,0
2020-03-04,Costa Rica,0,0,0,0,0,0
2020-03-05,Costa Rica,0,0,0,0,0,0
2020-03-06,Costa Rica,1,0,1,0,0,0
2020-03-07,Costa Rica,1,0,0,0,0,0
2020-03-08,Costa Rica,5,0,4,0,1,0
2020-03-09,Costa Rica,9,0,4,0,1,0
2020-03-10,Costa Rica,9,0,0,0,1,0
2020-03-11,Costa Rica,13,0,4,0,2,0
2020-03-12,Costa Rica,22,0,9,0,3,0
2020-03-13,Costa Rica,23,0,1,0,3,0
2020-03-14,Costa Rica,26,0,3,0,4,0
2020-03-15,Costa Rica,27,0,1,0,3,0
2020-03-16,Costa Rica,35,0,8,0,4,0
2020-03-17,Costa Rica,41,0,6,0,5,0
2020-03-18,Costa Rica,50,0,9,0,5,0
2020-03-19,Costa Rica,69,1,19,1,7,0
2020-03-20,Costa Rica,89,1,20,0,9,0
2020-03-21,Costa Rica,117,2,28,1,13,0
2020-03-22,Costa Rica,134,2,17,0,15,0
2020-03-23,Costa Rica,158,2,24,0,18,0
2020-03-24,Costa Rica,177,2,19,0,19,0
2020-03-25,Costa Rica,201,2,24,0,22,0
2020-03-26,Costa Rica,231,2,30,0,23,0
2020-03-27,Costa Rica,263,2,32,0,25,0
2020-03-28,Costa Rica,295,2,32,0,25,0
2020-03-29,Costa Rica,314,2,19,0,26,0
2020-03-30,Costa Rica,330,2,16,0,25,0
2020-03-31,Costa Rica,347,2,17,0,24,0
2020-04-01,Costa Rica,375,2,28,0,25,0
2020-04-02,Costa Rica,396,2,21,0,24,0
2020-04-03,Costa Rica,416,2,20,0,22,0
2020-04-04,Costa Rica,435,2,19,0,20,0
2020-04-05,Costa Rica,454,2,19,0,20,0
2020-04-06,Costa Rica,467,2,13,0,20,0
2020-04-07,Costa Rica,483,2,16,0,19,0
2020-04-08,Costa Rica,502,3,19,1,18,0
2020-04-09,Costa Rica,539,3,37,0,20,0
2020-04-10,Costa Rica,558,3,19,0,20,0
2020-04-11,Costa Rica,577,3,19,0,20,0
2020-04-12,Costa Rica,595,3,18,0,20,0
2020-04-13,Costa Rica,612,3,17,0,21,0
2020-04-14,Costa Rica,618,3,6,0,19,0
2020-04-15,Costa Rica,626,4,8,1,18,0
2020-04-16,Costa Rica,642,4,16,0,15,0
2020-04-17,Costa Rica,649,4,7,0,13,0
2020-04-18,Costa Rica,655,4,6,0,11,0
2020-04-19,Costa Rica,660,5,5,1,9,0
2020-04-20,Costa Rica,662,6,2,1,7,0
2020-04-21,Costa Rica,669,6,7,0,7,0
2020-04-22,Costa Rica,681,6,12,0,8,0
2020-04-23,Costa Rica,686,6,5,0,6,0
2020-04-24,Costa Rica,687,6,1,0,5,0
2020-04-25,Costa Rica,693,6,6,0,5,0
2020-04-26,Costa Rica,695,6,2,0,5,0
2020-04-27,Costa Rica,697,6,2,0,5,0
2020-04-28,Costa Rica,705,6,8,0,5,0
