Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Cote d'Ivoire,0,0,0,0,0,0
2020-01-23,Cote d'Ivoire,0,0,0,0,0,0
2020-01-24,Cote d'Ivoire,0,0,0,0,0,0
2020-01-25,Cote d'Ivoire,0,0,0,0,0,0
2020-01-26,Cote d'Ivoire,0,0,0,0,0,0
2020-01-27,Cote d'Ivoire,0,0,0,0,0,0
2020-01-28,Cote d'Ivoire,0,0,0,0,0,0
2020-01-29,Cote d'Ivoire,0,0,0,0,0,0
2020-01-30,Cote d'Ivoire,0,0,0,0,0,0
2020-01-31,Cote d'Ivoire,0,0,0,0,0,0
2020-02-01,Cote d'Ivoire,0,0,0,0,0,0
2020-02-02,Cote d'Ivoire,0,0,0,0,0,0
2020-02-03,Cote d'Ivoire,0,0,0,0,0,0
2020-02-04,Cote d'Ivoire,0,0,0,0,0,0
2020-02-05,Cote d'Ivoire,0,0,0,0,0,0
2020-02-06,Cote d'Ivoire,0,0,0,0,0,0
2020-02-07,Cote d'Ivoire,0,0,0,0,0,0
2020-02-08,Cote d'Ivoire,0,0,0,0,0,0
2020-02-09,Cote d'Ivoire,0,0,0,0,0,0
2020-02-10,Cote d'Ivoire,0,0,0,0,0,0
2020-02-11,Cote d'Ivoire,0,0,0,0,0,0
2020-02-12,Cote d'Ivoire,0,0,0,0,0,0
2020-02-13,Cote d'Ivoire,0,0,0,0,0,0
2020-02-14,Cote d'Ivoire,0,0,0,0,0,0
2020-02-15,Cote d'Ivoire,0,0,0,0,0,0
2020-02-16,Cote d'Ivoire,0,0,0,0,0,0
2020-02-17,Cote d'Ivoire,0,0,0,0,0,0
2020-02-18,Cote d'Ivoire,0,0,0,0,0,0
2020-02-19,Cote d'Ivoire,0,0,0,0,0,0
2020-02-20,Cote d'Ivoire,0,0,0,0,0,0
2020-02-21,Cote d'Ivoire,0,0,0,0,0,0
2020-02-22,Cote d'Ivoire,0,0,0,0,0,0
