Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Croatia,0,0,0,0,0,0
2020-01-23,Croatia,0,0,0,0,0,0
2020-01-24,Croatia,0,0,0,0,0,0
2020-01-25,Croatia,0,0,0,0,0,0
2020-01-26,Croatia,0,0,0,0,0,0
2020-01-27,Croatia,0,0,0,0,0,0
2020-01-28,Croatia,0,0,0,0,0,0
2020-01-29,Croatia,0,0,0,0,0,0
2020-01-30,Croatia,0,0,0,0,0,0
2020-01-31,Croatia,0,0,0,0,0,0
2020-02-01,Croatia,0,0,0,0,0,0
2020-02-02,Croatia,0,0,0,0,0,0
2020-02-03,Croatia,0,0,0,0,0,0
2020-02-04,Croatia,0,0,0,0,0,0
2020-02-05,Croatia,0,0,0,0,0,0
2020-02-06,Croatia,0,0,0,0,0,0
2020-02-07,Croatia,0,0,0,0,0,0
2020-02-08,Croatia,0,0,0,0,0,0
2020-02-09,Croatia,0,0,0,0,0,0
2020-02-10,Croatia,0,0,0,0,0,0
2020-02-11,Croatia,0,0,0,0,0,0
2020-02-12,Croatia,0,0,0,0,0,0
2020-02-13,Croatia,0,0,0,0,0,0
2020-02-14,Croatia,0,0,0,0,0,0
2020-02-15,Croatia,0,0,0,0,0,0
2020-02-16,Croatia,0,0,0,0,0,0
2020-02-17,Croatia,0,0,0,0,0,0
2020-02-18,Croatia,0,0,0,0,0,0
2020-02-19,Croatia,0,0,0,0,0,0
2020-02-20,Croatia,0,0,0,0,0,0
2020-02-21,Croatia,0,0,0,0,0,0
2020-02-22,Croatia,0,0,0,0,0,0
2020-02-23,Croatia,0,0,0,0,0,0
2020-02-24,Croatia,0,0,0,0,0,0
2020-02-25,Croatia,1,0,1,0,0,0
2020-02-26,Croatia,3,0,2,0,0,0
2020-02-27,Croatia,3,0,0,0,0,0
2020-02-28,Croatia,5,0,2,0,1,0
2020-02-29,Croatia,6,0,1,0,1,0
2020-03-01,Croatia,7,0,1,0,1,0
2020-03-02,Croatia,7,0,0,0,1,0
2020-03-03,Croatia,9,0,2,0,1,0
2020-03-04,Croatia,10,0,1,0,1,0
2020-03-05,Croatia,10,0,0,0,1,0
2020-03-06,Croatia,11,0,1,0,1,0
2020-03-07,Croatia,12,0,1,0,1,0
2020-03-08,Croatia,12,0,0,0,1,0
2020-03-09,Croatia,12,0,0,0,1,0
2020-03-10,Croatia,14,0,2,0,1,0
2020-03-11,Croatia,19,0,5,0,1,0
2020-03-12,Croatia,19,0,0,0,1,0
2020-03-13,Croatia,32,0,13,0,3,0
2020-03-14,Croatia,38,0,6,0,4,0
2020-03-15,Croatia,49,0,11,0,5,0
2020-03-16,Croatia,57,0,8,0,6,0
2020-03-17,Croatia,65,0,8,0,7,0
2020-03-18,Croatia,81,0,16,0,9,0
2020-03-19,Croatia,105,1,24,1,12,0
2020-03-20,Croatia,128,1,23,0,14,0
2020-03-21,Croatia,206,1,78,0,24,0
2020-03-22,Croatia,254,1,48,0,29,0
2020-03-23,Croatia,315,1,61,0,37,0
2020-03-24,Croatia,382,1,67,0,45,0
2020-03-25,Croatia,442,1,60,0,52,0
2020-03-26,Croatia,495,3,53,2,56,0
2020-03-27,Croatia,586,3,91,0,65,0
2020-03-28,Croatia,657,5,71,2,64,1
2020-03-29,Croatia,713,6,56,1,66,1
2020-03-30,Croatia,790,6,77,0,68,1
2020-03-31,Croatia,867,6,77,0,69,1
2020-04-01,Croatia,963,6,96,0,74,1
2020-04-02,Croatia,1011,7,48,1,74,1
2020-04-03,Croatia,1079,8,68,1,70,1
2020-04-04,Croatia,1126,12,47,4,67,1
2020-04-05,Croatia,1182,15,56,3,67,1
2020-04-06,Croatia,1222,16,40,1,62,1
2020-04-07,Croatia,1282,18,60,2,59,2
2020-04-08,Croatia,1343,19,61,1,54,2
2020-04-09,Croatia,1407,20,64,1,57,2
2020-04-10,Croatia,1495,21,88,1,59,2
2020-04-11,Croatia,1534,21,39,0,58,1
2020-04-12,Croatia,1600,23,66,2,60,1
2020-04-13,Croatia,1650,25,50,2,61,1
2020-04-14,Croatia,1704,31,54,6,60,2
2020-04-15,Croatia,1741,33,37,2,57,2
2020-04-16,Croatia,1791,35,50,2,55,2
2020-04-17,Croatia,1814,36,23,1,46,2
2020-04-18,Croatia,1832,39,18,3,43,3
2020-04-19,Croatia,1871,47,39,8,39,3
2020-04-20,Croatia,1881,47,10,0,33,3
2020-04-21,Croatia,1908,48,27,1,29,2
2020-04-22,Croatia,1950,48,42,0,30,2
2020-04-23,Croatia,1981,50,31,2,27,2
2020-04-24,Croatia,2009,51,28,1,28,2
2020-04-25,Croatia,2016,54,7,3,26,2
2020-04-26,Croatia,2030,55,14,1,23,1
2020-04-27,Croatia,2039,59,9,4,23,2
2020-04-28,Croatia,2047,63,8,4,20,2
2020-04-29,Croatia,2062,67,15,4,16,3
2020-04-30,Croatia,2076,69,14,2,14,3
2020-05-01,Croatia,2085,75,9,6,11,3
2020-05-02,Croatia,2088,77,3,2,10,3
2020-05-03,Croatia,2096,79,8,2,9,3
2020-05-04,Croatia,2101,80,5,1,9,3
2020-05-05,Croatia,2112,83,11,3,9,3
