Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Cuba,0,0,0,0,0,0
2020-01-23,Cuba,0,0,0,0,0,0
2020-01-24,Cuba,0,0,0,0,0,0
2020-01-25,Cuba,0,0,0,0,0,0
2020-01-26,Cuba,0,0,0,0,0,0
2020-01-27,Cuba,0,0,0,0,0,0
2020-01-28,Cuba,0,0,0,0,0,0
2020-01-29,Cuba,0,0,0,0,0,0
2020-01-30,Cuba,0,0,0,0,0,0
2020-01-31,Cuba,0,0,0,0,0,0
2020-02-01,Cuba,0,0,0,0,0,0
2020-02-02,Cuba,0,0,0,0,0,0
2020-02-03,Cuba,0,0,0,0,0,0
2020-02-04,Cuba,0,0,0,0,0,0
2020-02-05,Cuba,0,0,0,0,0,0
2020-02-06,Cuba,0,0,0,0,0,0
2020-02-07,Cuba,0,0,0,0,0,0
2020-02-08,Cuba,0,0,0,0,0,0
2020-02-09,Cuba,0,0,0,0,0,0
2020-02-10,Cuba,0,0,0,0,0,0
2020-02-11,Cuba,0,0,0,0,0,0
2020-02-12,Cuba,0,0,0,0,0,0
2020-02-13,Cuba,0,0,0,0,0,0
2020-02-14,Cuba,0,0,0,0,0,0
2020-02-15,Cuba,0,0,0,0,0,0
2020-02-16,Cuba,0,0,0,0,0,0
2020-02-17,Cuba,0,0,0,0,0,0
2020-02-18,Cuba,0,0,0,0,0,0
2020-02-19,Cuba,0,0,0,0,0,0
2020-02-20,Cuba,0,0,0,0,0,0
2020-02-21,Cuba,0,0,0,0,0,0
2020-02-22,Cuba,0,0,0,0,0,0
2020-02-23,Cuba,0,0,0,0,0,0
2020-02-24,Cuba,0,0,0,0,0,0
2020-02-25,Cuba,0,0,0,0,0,0
2020-02-26,Cuba,0,0,0,0,0,0
2020-02-27,Cuba,0,0,0,0,0,0
2020-02-28,Cuba,0,0,0,0,0,0
2020-02-29,Cuba,0,0,0,0,0,0
2020-03-01,Cuba,0,0,0,0,0,0
2020-03-02,Cuba,0,0,0,0,0,0
2020-03-03,Cuba,0,0,0,0,0,0
2020-03-04,Cuba,0,0,0,0,0,0
2020-03-05,Cuba,0,0,0,0,0,0
2020-03-06,Cuba,0,0,0,0,0,0
2020-03-07,Cuba,0,0,0,0,0,0
2020-03-08,Cuba,0,0,0,0,0,0
2020-03-09,Cuba,0,0,0,0,0,0
2020-03-10,Cuba,0,0,0,0,0,0
2020-03-11,Cuba,0,0,0,0,0,0
2020-03-12,Cuba,3,0,3,0,0,0
2020-03-13,Cuba,4,0,1,0,1,0
2020-03-14,Cuba,4,0,0,0,1,0
2020-03-15,Cuba,4,0,0,0,1,0
2020-03-16,Cuba,4,0,0,0,1,0
2020-03-17,Cuba,5,0,1,0,1,0
2020-03-18,Cuba,7,1,2,1,1,0
