Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Cyprus,0,0,0,0,0,0
2020-01-23,Cyprus,0,0,0,0,0,0
2020-01-24,Cyprus,0,0,0,0,0,0
2020-01-25,Cyprus,0,0,0,0,0,0
2020-01-26,Cyprus,0,0,0,0,0,0
2020-01-27,Cyprus,0,0,0,0,0,0
2020-01-28,Cyprus,0,0,0,0,0,0
2020-01-29,Cyprus,0,0,0,0,0,0
2020-01-30,Cyprus,0,0,0,0,0,0
2020-01-31,Cyprus,0,0,0,0,0,0
2020-02-01,Cyprus,0,0,0,0,0,0
2020-02-02,Cyprus,0,0,0,0,0,0
2020-02-03,Cyprus,0,0,0,0,0,0
2020-02-04,Cyprus,0,0,0,0,0,0
2020-02-05,Cyprus,0,0,0,0,0,0
2020-02-06,Cyprus,0,0,0,0,0,0
2020-02-07,Cyprus,0,0,0,0,0,0
2020-02-08,Cyprus,0,0,0,0,0,0
2020-02-09,Cyprus,0,0,0,0,0,0
2020-02-10,Cyprus,0,0,0,0,0,0
2020-02-11,Cyprus,0,0,0,0,0,0
2020-02-12,Cyprus,0,0,0,0,0,0
2020-02-13,Cyprus,0,0,0,0,0,0
2020-02-14,Cyprus,0,0,0,0,0,0
2020-02-15,Cyprus,0,0,0,0,0,0
2020-02-16,Cyprus,0,0,0,0,0,0
2020-02-17,Cyprus,0,0,0,0,0,0
2020-02-18,Cyprus,0,0,0,0,0,0
2020-02-19,Cyprus,0,0,0,0,0,0
2020-02-20,Cyprus,0,0,0,0,0,0
2020-02-21,Cyprus,0,0,0,0,0,0
2020-02-22,Cyprus,0,0,0,0,0,0
2020-02-23,Cyprus,0,0,0,0,0,0
2020-02-24,Cyprus,0,0,0,0,0,0
2020-02-25,Cyprus,0,0,0,0,0,0
2020-02-26,Cyprus,0,0,0,0,0,0
2020-02-27,Cyprus,0,0,0,0,0,0
2020-02-28,Cyprus,0,0,0,0,0,0
2020-02-29,Cyprus,0,0,0,0,0,0
2020-03-01,Cyprus,0,0,0,0,0,0
2020-03-02,Cyprus,0,0,0,0,0,0
2020-03-03,Cyprus,0,0,0,0,0,0
2020-03-04,Cyprus,0,0,0,0,0,0
2020-03-05,Cyprus,0,0,0,0,0,0
2020-03-06,Cyprus,0,0,0,0,0,0
2020-03-07,Cyprus,0,0,0,0,0,0
2020-03-08,Cyprus,0,0,0,0,0,0
2020-03-09,Cyprus,0,0,0,0,0,0
2020-03-10,Cyprus,2,0,2,0,0,0
2020-03-11,Cyprus,2,0,0,0,0,0
2020-03-12,Cyprus,6,0,4,0,1,0
2020-03-13,Cyprus,6,0,0,0,1,0
2020-03-14,Cyprus,14,0,8,0,2,0
2020-03-15,Cyprus,21,0,7,0,3,0
2020-03-16,Cyprus,30,0,9,0,4,0
2020-03-17,Cyprus,40,0,10,0,5,0
2020-03-18,Cyprus,40,0,0,0,5,0
2020-03-19,Cyprus,58,0,18,0,7,0
2020-03-20,Cyprus,58,0,0,0,7,0
2020-03-21,Cyprus,67,0,9,0,8,0
2020-03-22,Cyprus,84,0,17,0,9,0
2020-03-23,Cyprus,95,0,11,0,9,0
2020-03-24,Cyprus,116,0,21,0,11,0
2020-03-25,Cyprus,124,3,8,3,12,0
2020-03-26,Cyprus,132,3,8,0,11,0
2020-03-27,Cyprus,146,3,14,0,13,0
2020-03-28,Cyprus,162,5,16,2,14,1
2020-03-29,Cyprus,179,5,17,0,14,1
2020-03-30,Cyprus,214,6,35,1,17,1
2020-03-31,Cyprus,230,7,16,1,16,1
2020-04-01,Cyprus,262,8,32,1,20,1
2020-04-02,Cyprus,320,9,58,1,27,1
2020-04-03,Cyprus,356,9,36,0,30,1
2020-04-04,Cyprus,396,9,40,0,33,1
2020-04-05,Cyprus,426,9,30,0,35,1
2020-04-06,Cyprus,446,9,20,0,33,0
2020-04-07,Cyprus,465,9,19,0,34,0
2020-04-08,Cyprus,494,9,29,0,33,0
2020-04-09,Cyprus,526,9,32,0,29,0
2020-04-10,Cyprus,564,10,38,1,30,0
2020-04-11,Cyprus,595,10,31,0,28,0
2020-04-12,Cyprus,616,10,21,0,27,0
2020-04-13,Cyprus,633,11,17,1,27,0
2020-04-14,Cyprus,662,12,29,1,28,0
2020-04-15,Cyprus,695,12,33,0,29,0
2020-04-16,Cyprus,715,12,20,0,27,0
2020-04-17,Cyprus,735,12,20,0,24,0
2020-04-18,Cyprus,735,12,0,0,20,0
2020-04-19,Cyprus,761,12,26,0,21,0
2020-04-20,Cyprus,767,12,6,0,19,0
2020-04-21,Cyprus,772,12,5,0,16,0
2020-04-22,Cyprus,784,12,12,0,13,0
2020-04-23,Cyprus,790,14,6,2,11,0
2020-04-24,Cyprus,795,14,5,0,9,0
2020-04-25,Cyprus,804,14,9,0,10,0
2020-04-26,Cyprus,810,14,6,0,7,0
2020-04-27,Cyprus,817,14,7,0,7,0
2020-04-28,Cyprus,822,15,5,1,7,0
2020-04-29,Cyprus,837,15,15,0,8,0
2020-04-30,Cyprus,843,15,6,0,8,0
2020-05-01,Cyprus,850,15,7,0,8,0
2020-05-02,Cyprus,857,15,7,0,8,0
2020-05-03,Cyprus,864,15,7,0,8,0
2020-05-04,Cyprus,872,15,8,0,8,0
2020-05-05,Cyprus,874,15,2,0,7,0
2020-05-06,Cyprus,878,15,4,0,6,0
2020-05-07,Cyprus,883,15,5,0,6,0
2020-05-08,Cyprus,889,15,6,0,6,0
2020-05-09,Cyprus,891,15,2,0,5,0
2020-05-10,Cyprus,892,15,1,0,4,0
2020-05-11,Cyprus,898,16,6,1,4,0
2020-05-12,Cyprus,901,16,3,0,4,0
2020-05-13,Cyprus,903,16,2,0,4,0
2020-05-14,Cyprus,905,17,2,1,3,0
2020-05-15,Cyprus,907,17,2,0,3,0
2020-05-16,Cyprus,910,17,3,0,3,0
2020-05-17,Cyprus,914,17,4,0,3,0
2020-05-18,Cyprus,916,17,2,0,3,0
2020-05-19,Cyprus,917,17,1,0,2,0
2020-05-20,Cyprus,918,17,1,0,2,0
2020-05-21,Cyprus,922,17,4,0,2,0
2020-05-22,Cyprus,923,17,1,0,2,0
2020-05-23,Cyprus,927,17,4,0,2,0
2020-05-24,Cyprus,927,17,0,0,2,0
2020-05-25,Cyprus,935,17,8,0,3,0
2020-05-26,Cyprus,937,17,2,0,3,0
2020-05-27,Cyprus,939,17,2,0,3,0
2020-05-28,Cyprus,939,17,0,0,2,0
2020-05-29,Cyprus,941,17,2,0,3,0
2020-05-30,Cyprus,941,17,0,0,2,0
2020-05-31,Cyprus,943,17,2,0,2,0
2020-06-01,Cyprus,944,17,1,0,1,0
2020-06-02,Cyprus,949,17,5,0,2,0
2020-06-03,Cyprus,952,17,3,0,2,0
2020-06-04,Cyprus,958,17,6,0,3,0
2020-06-05,Cyprus,958,17,0,0,2,0
2020-06-06,Cyprus,960,17,2,0,3,0
2020-06-07,Cyprus,960,18,0,1,2,0
2020-06-08,Cyprus,964,18,4,0,3,0
2020-06-09,Cyprus,970,18,6,0,3,0
2020-06-10,Cyprus,972,18,2,0,3,0
2020-06-11,Cyprus,974,18,2,0,2,0
