Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Denmark,0,0,0,0,0,0
2020-01-23,Denmark,0,0,0,0,0,0
2020-01-24,Denmark,0,0,0,0,0,0
2020-01-25,Denmark,0,0,0,0,0,0
2020-01-26,Denmark,0,0,0,0,0,0
2020-01-27,Denmark,0,0,0,0,0,0
2020-01-28,Denmark,0,0,0,0,0,0
2020-01-29,Denmark,0,0,0,0,0,0
2020-01-30,Denmark,0,0,0,0,0,0
2020-01-31,Denmark,0,0,0,0,0,0
2020-02-01,Denmark,0,0,0,0,0,0
2020-02-02,Denmark,0,0,0,0,0,0
2020-02-03,Denmark,0,0,0,0,0,0
2020-02-04,Denmark,0,0,0,0,0,0
2020-02-05,Denmark,0,0,0,0,0,0
2020-02-06,Denmark,0,0,0,0,0,0
2020-02-07,Denmark,0,0,0,0,0,0
2020-02-08,Denmark,0,0,0,0,0,0
2020-02-09,Denmark,0,0,0,0,0,0
2020-02-10,Denmark,0,0,0,0,0,0
2020-02-11,Denmark,0,0,0,0,0,0
2020-02-12,Denmark,0,0,0,0,0,0
2020-02-13,Denmark,0,0,0,0,0,0
2020-02-14,Denmark,0,0,0,0,0,0
2020-02-15,Denmark,0,0,0,0,0,0
2020-02-16,Denmark,0,0,0,0,0,0
2020-02-17,Denmark,0,0,0,0,0,0
2020-02-18,Denmark,0,0,0,0,0,0
2020-02-19,Denmark,0,0,0,0,0,0
2020-02-20,Denmark,0,0,0,0,0,0
2020-02-21,Denmark,0,0,0,0,0,0
2020-02-22,Denmark,0,0,0,0,0,0
2020-02-23,Denmark,0,0,0,0,0,0
2020-02-24,Denmark,0,0,0,0,0,0
2020-02-25,Denmark,0,0,0,0,0,0
2020-02-26,Denmark,0,0,0,0,0,0
2020-02-27,Denmark,1,0,1,0,0,0
2020-02-28,Denmark,1,0,0,0,0,0
2020-02-29,Denmark,3,0,2,0,0,0
2020-03-01,Denmark,4,0,1,0,1,0
2020-03-02,Denmark,4,0,0,0,1,0
2020-03-03,Denmark,6,0,2,0,1,0
2020-03-04,Denmark,11,0,5,0,2,0
2020-03-05,Denmark,11,0,0,0,1,0
2020-03-06,Denmark,24,0,13,0,3,0
2020-03-07,Denmark,24,0,0,0,3,0
2020-03-08,Denmark,37,0,13,0,5,0
2020-03-09,Denmark,92,0,55,0,13,0
2020-03-10,Denmark,264,0,172,0,37,0
2020-03-11,Denmark,444,0,180,0,62,0
2020-03-12,Denmark,617,0,173,0,87,0
2020-03-13,Denmark,804,0,187,0,111,0
2020-03-14,Denmark,836,1,32,1,116,0
2020-03-15,Denmark,875,2,39,1,120,0
2020-03-16,Denmark,933,3,58,1,120,0
2020-03-17,Denmark,1025,4,92,1,109,1
2020-03-18,Denmark,1116,4,91,0,96,1
2020-03-19,Denmark,1225,6,109,2,87,1
2020-03-20,Denmark,1337,9,112,3,76,1
2020-03-21,Denmark,1420,13,83,4,83,2
2020-03-22,Denmark,1514,13,94,0,91,2
2020-03-23,Denmark,1572,24,58,11,91,3
2020-03-24,Denmark,1718,32,146,8,99,4
2020-03-25,Denmark,1862,34,144,2,107,4
2020-03-26,Denmark,2023,41,161,7,114,5
2020-03-27,Denmark,2200,52,177,11,123,6
2020-03-28,Denmark,2366,65,166,13,135,7
2020-03-29,Denmark,2564,72,198,7,150,8
2020-03-30,Denmark,2755,77,191,5,169,8
2020-03-31,Denmark,3039,90,284,13,189,8
2020-04-01,Denmark,3290,104,251,14,204,10
2020-04-02,Denmark,3573,123,283,19,221,12
2020-04-03,Denmark,3946,139,373,16,249,12
2020-04-04,Denmark,4269,161,323,22,272,14
2020-04-05,Denmark,4561,179,292,18,285,15
2020-04-06,Denmark,4875,187,314,8,303,16
2020-04-07,Denmark,5266,203,391,16,318,16
2020-04-08,Denmark,5597,218,331,15,330,16
2020-04-09,Denmark,5830,237,233,19,322,16
2020-04-10,Denmark,6014,247,184,10,295,15
2020-04-11,Denmark,6191,260,177,13,275,14
2020-04-12,Denmark,6369,273,178,13,258,13
2020-04-13,Denmark,6513,285,144,12,234,14
2020-04-14,Denmark,6706,299,193,14,206,14
2020-04-15,Denmark,6876,309,170,10,183,13
2020-04-16,Denmark,7074,321,198,12,178,12
2020-04-17,Denmark,7268,336,194,15,179,13
2020-04-18,Denmark,7437,346,169,10,178,12
2020-04-19,Denmark,7580,355,143,9,173,12
2020-04-20,Denmark,7711,364,131,9,171,11
2020-04-21,Denmark,7891,370,180,6,169,10
2020-04-22,Denmark,8108,384,217,14,176,11
2020-04-23,Denmark,8271,394,163,10,171,10
2020-04-24,Denmark,8408,403,137,9,163,10
2020-04-25,Denmark,8643,418,235,15,172,10
2020-04-26,Denmark,8773,422,130,4,170,10
2020-04-27,Denmark,8896,427,123,5,169,9
2020-04-28,Denmark,9049,434,153,7,165,9
2020-04-29,Denmark,9206,443,157,9,157,8
2020-04-30,Denmark,9356,452,150,9,155,8
2020-05-01,Denmark,9509,460,153,8,157,8
2020-05-02,Denmark,9605,475,96,15,137,8
2020-05-03,Denmark,9721,484,116,9,135,9
2020-05-04,Denmark,9868,493,147,9,139,9
2020-05-05,Denmark,10019,503,151,10,139,10
2020-05-06,Denmark,10136,506,117,3,133,9
2020-05-07,Denmark,10281,514,145,8,132,9
2020-05-08,Denmark,10416,522,135,8,130,9
2020-05-09,Denmark,10517,526,101,4,130,7
2020-05-10,Denmark,10627,529,110,3,129,6
2020-05-11,Denmark,10711,533,84,4,120,6
2020-05-12,Denmark,10789,527,78,-6,110,3
2020-05-13,Denmark,10865,533,76,6,104,4
2020-05-14,Denmark,10911,537,46,4,90,3
2020-05-15,Denmark,10989,537,78,0,82,2
2020-05-16,Denmark,11056,543,67,6,77,2
2020-05-17,Denmark,11125,547,69,4,71,3
2020-05-18,Denmark,11166,548,41,1,65,2
2020-05-19,Denmark,11242,551,76,3,65,3
2020-05-20,Denmark,11315,554,73,3,64,3
2020-05-21,Denmark,11380,561,65,7,67,3
2020-05-22,Denmark,11428,561,48,0,63,3
2020-05-23,Denmark,11487,561,59,0,62,3
2020-05-24,Denmark,11559,562,72,1,62,2
2020-05-25,Denmark,11586,563,27,1,60,2
2020-05-26,Denmark,11627,563,41,0,55,2
2020-05-27,Denmark,11680,565,53,2,52,2
2020-05-28,Denmark,11712,568,32,3,47,1
2020-05-29,Denmark,11793,568,81,0,52,1
2020-05-30,Denmark,11833,571,40,3,49,1
2020-05-31,Denmark,11869,574,36,3,44,2
2020-06-01,Denmark,11899,576,30,2,45,2
2020-06-02,Denmark,11934,580,35,4,44,2
2020-06-03,Denmark,11971,580,37,0,42,2
2020-06-04,Denmark,12011,582,40,2,43,2
2020-06-05,Denmark,12075,586,64,4,40,3
2020-06-06,Denmark,12124,587,49,1,42,2
2020-06-07,Denmark,12148,589,24,2,40,2
2020-06-08,Denmark,12162,593,14,4,38,2
2020-06-09,Denmark,12201,593,39,0,38,2
2020-06-10,Denmark,12216,593,15,0,35,2
2020-06-11,Denmark,12235,593,19,0,32,2
2020-06-12,Denmark,12299,594,64,1,32,1
2020-06-13,Denmark,12339,597,40,3,31,1
2020-06-14,Denmark,12393,597,54,0,35,1
2020-06-15,Denmark,12417,598,24,1,36,1
2020-06-16,Denmark,12450,598,33,0,36,1
2020-06-17,Denmark,12494,598,44,0,40,1
2020-06-18,Denmark,12544,600,50,2,44,1
2020-06-19,Denmark,12591,600,47,0,42,1
2020-06-20,Denmark,12591,600,0,0,36,0
2020-06-21,Denmark,12591,600,0,0,28,0
2020-06-22,Denmark,12727,602,136,2,44,1
2020-06-23,Denmark,12761,603,34,1,44,1
2020-06-24,Denmark,12815,603,54,0,46,1
2020-06-25,Denmark,12836,603,21,0,42,0
2020-06-26,Denmark,12875,604,39,1,41,1
2020-06-27,Denmark,12875,604,0,0,41,1
2020-06-28,Denmark,12875,604,0,0,41,1
2020-06-29,Denmark,12951,605,76,1,32,0
2020-06-30,Denmark,12968,605,17,0,30,0
2020-07-01,Denmark,12994,606,26,1,26,0
2020-07-02,Denmark,13015,606,21,0,26,0
2020-07-03,Denmark,13032,606,17,0,22,0
2020-07-04,Denmark,13032,606,0,0,22,0
2020-07-05,Denmark,13033,606,1,0,23,0
2020-07-06,Denmark,13079,607,46,1,18,0
2020-07-07,Denmark,13089,609,10,2,17,1
2020-07-08,Denmark,13101,609,12,0,15,0
2020-07-09,Denmark,13117,609,16,0,15,0
