Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Diamond Princess,0,0,0,0,0,0
2020-01-23,Diamond Princess,0,0,0,0,0,0
2020-01-24,Diamond Princess,0,0,0,0,0,0
2020-01-25,Diamond Princess,0,0,0,0,0,0
2020-01-26,Diamond Princess,0,0,0,0,0,0
2020-01-27,Diamond Princess,0,0,0,0,0,0
2020-01-28,Diamond Princess,0,0,0,0,0,0
2020-01-29,Diamond Princess,0,0,0,0,0,0
2020-01-30,Diamond Princess,0,0,0,0,0,0
2020-01-31,Diamond Princess,0,0,0,0,0,0
2020-02-01,Diamond Princess,0,0,0,0,0,0
2020-02-02,Diamond Princess,0,0,0,0,0,0
2020-02-03,Diamond Princess,0,0,0,0,0,0
2020-02-04,Diamond Princess,0,0,0,0,0,0
2020-02-05,Diamond Princess,0,0,0,0,0,0
2020-02-06,Diamond Princess,0,0,0,0,0,0
2020-02-07,Diamond Princess,61,0,61,0,9,0
2020-02-08,Diamond Princess,61,0,0,0,9,0
2020-02-09,Diamond Princess,64,0,3,0,9,0
2020-02-10,Diamond Princess,135,0,71,0,19,0
2020-02-11,Diamond Princess,135,0,0,0,19,0
2020-02-12,Diamond Princess,175,0,40,0,25,0
2020-02-13,Diamond Princess,175,0,0,0,25,0
2020-02-14,Diamond Princess,218,0,43,0,22,0
2020-02-15,Diamond Princess,285,0,67,0,32,0
2020-02-16,Diamond Princess,355,0,70,0,42,0
2020-02-17,Diamond Princess,454,0,99,0,46,0
2020-02-18,Diamond Princess,542,0,88,0,58,0
2020-02-19,Diamond Princess,621,0,79,0,64,0
2020-02-20,Diamond Princess,634,2,13,2,66,0
2020-02-21,Diamond Princess,634,2,0,0,59,0
2020-02-22,Diamond Princess,634,2,0,0,50,0
2020-02-23,Diamond Princess,691,3,57,1,48,0
2020-02-24,Diamond Princess,691,3,0,0,34,0
2020-02-25,Diamond Princess,691,3,0,0,21,0
2020-02-26,Diamond Princess,705,4,14,1,12,1
2020-02-27,Diamond Princess,705,4,0,0,10,0
2020-02-28,Diamond Princess,705,6,0,2,10,1
2020-02-29,Diamond Princess,705,6,0,0,10,1
2020-03-01,Diamond Princess,705,6,0,0,2,0
2020-03-02,Diamond Princess,705,6,0,0,2,0
2020-03-03,Diamond Princess,706,6,1,0,2,0
2020-03-04,Diamond Princess,706,6,0,0,0,0
2020-03-05,Diamond Princess,706,6,0,0,0,0
2020-03-06,Diamond Princess,706,6,0,0,0,0
2020-03-07,Diamond Princess,706,6,0,0,0,0
2020-03-08,Diamond Princess,706,6,0,0,0,0
