Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Djibouti,0,0,0,0,0,0
2020-01-23,Djibouti,0,0,0,0,0,0
2020-01-24,Djibouti,0,0,0,0,0,0
2020-01-25,Djibouti,0,0,0,0,0,0
2020-01-26,Djibouti,0,0,0,0,0,0
2020-01-27,Djibouti,0,0,0,0,0,0
2020-01-28,Djibouti,0,0,0,0,0,0
2020-01-29,Djibouti,0,0,0,0,0,0
2020-01-30,Djibouti,0,0,0,0,0,0
2020-01-31,Djibouti,0,0,0,0,0,0
2020-02-01,Djibouti,0,0,0,0,0,0
2020-02-02,Djibouti,0,0,0,0,0,0
2020-02-03,Djibouti,0,0,0,0,0,0
2020-02-04,Djibouti,0,0,0,0,0,0
2020-02-05,Djibouti,0,0,0,0,0,0
2020-02-06,Djibouti,0,0,0,0,0,0
2020-02-07,Djibouti,0,0,0,0,0,0
2020-02-08,Djibouti,0,0,0,0,0,0
2020-02-09,Djibouti,0,0,0,0,0,0
2020-02-10,Djibouti,0,0,0,0,0,0
2020-02-11,Djibouti,0,0,0,0,0,0
2020-02-12,Djibouti,0,0,0,0,0,0
2020-02-13,Djibouti,0,0,0,0,0,0
2020-02-14,Djibouti,0,0,0,0,0,0
2020-02-15,Djibouti,0,0,0,0,0,0
2020-02-16,Djibouti,0,0,0,0,0,0
2020-02-17,Djibouti,0,0,0,0,0,0
2020-02-18,Djibouti,0,0,0,0,0,0
2020-02-19,Djibouti,0,0,0,0,0,0
2020-02-20,Djibouti,0,0,0,0,0,0
2020-02-21,Djibouti,0,0,0,0,0,0
2020-02-22,Djibouti,0,0,0,0,0,0
2020-02-23,Djibouti,0,0,0,0,0,0
2020-02-24,Djibouti,0,0,0,0,0,0
2020-02-25,Djibouti,0,0,0,0,0,0
2020-02-26,Djibouti,0,0,0,0,0,0
2020-02-27,Djibouti,0,0,0,0,0,0
2020-02-28,Djibouti,0,0,0,0,0,0
2020-02-29,Djibouti,0,0,0,0,0,0
2020-03-01,Djibouti,0,0,0,0,0,0
2020-03-02,Djibouti,0,0,0,0,0,0
2020-03-03,Djibouti,0,0,0,0,0,0
2020-03-04,Djibouti,0,0,0,0,0,0
2020-03-05,Djibouti,0,0,0,0,0,0
2020-03-06,Djibouti,0,0,0,0,0,0
2020-03-07,Djibouti,0,0,0,0,0,0
2020-03-08,Djibouti,0,0,0,0,0,0
2020-03-09,Djibouti,0,0,0,0,0,0
2020-03-10,Djibouti,0,0,0,0,0,0
2020-03-11,Djibouti,0,0,0,0,0,0
2020-03-12,Djibouti,0,0,0,0,0,0
2020-03-13,Djibouti,0,0,0,0,0,0
2020-03-14,Djibouti,0,0,0,0,0,0
2020-03-15,Djibouti,0,0,0,0,0,0
2020-03-16,Djibouti,0,0,0,0,0,0
2020-03-17,Djibouti,0,0,0,0,0,0
2020-03-18,Djibouti,1,0,1,0,0,0
2020-03-19,Djibouti,1,0,0,0,0,0
2020-03-20,Djibouti,1,0,0,0,0,0
2020-03-21,Djibouti,1,0,0,0,0,0
2020-03-22,Djibouti,1,0,0,0,0,0
2020-03-23,Djibouti,3,0,2,0,0,0
2020-03-24,Djibouti,3,0,0,0,0,0
2020-03-25,Djibouti,11,0,8,0,1,0
2020-03-26,Djibouti,11,0,0,0,1,0
2020-03-27,Djibouti,12,0,1,0,2,0
2020-03-28,Djibouti,14,0,2,0,2,0
2020-03-29,Djibouti,18,0,4,0,2,0
2020-03-30,Djibouti,18,0,0,0,2,0
2020-03-31,Djibouti,30,0,12,0,4,0
2020-04-01,Djibouti,33,0,3,0,3,0
2020-04-02,Djibouti,40,0,7,0,4,0
2020-04-03,Djibouti,49,0,9,0,5,0
2020-04-04,Djibouti,50,0,1,0,5,0
2020-04-05,Djibouti,59,0,9,0,6,0
2020-04-06,Djibouti,90,0,31,0,10,0
2020-04-07,Djibouti,90,0,0,0,9,0
2020-04-08,Djibouti,135,0,45,0,15,0
2020-04-09,Djibouti,135,0,0,0,14,0
2020-04-10,Djibouti,150,1,15,1,14,0
2020-04-11,Djibouti,187,2,37,1,20,0
2020-04-12,Djibouti,214,2,27,0,22,0
2020-04-13,Djibouti,298,2,84,0,30,0
2020-04-14,Djibouti,363,2,65,0,39,0
2020-04-15,Djibouti,435,2,72,0,43,0
2020-04-16,Djibouti,591,2,156,0,65,0
2020-04-17,Djibouti,732,2,141,0,83,0
2020-04-18,Djibouti,732,2,0,0,78,0
2020-04-19,Djibouti,846,2,114,0,90,0
2020-04-20,Djibouti,846,2,0,0,78,0
2020-04-21,Djibouti,945,2,99,0,83,0
2020-04-22,Djibouti,974,2,29,0,77,0
2020-04-23,Djibouti,986,2,12,0,56,0
2020-04-24,Djibouti,999,2,13,0,38,0
2020-04-25,Djibouti,1008,2,9,0,39,0
2020-04-26,Djibouti,1023,2,15,0,25,0
2020-04-27,Djibouti,1035,2,12,0,27,0
2020-04-28,Djibouti,1072,2,37,0,18,0
2020-04-29,Djibouti,1077,2,5,0,15,0
2020-04-30,Djibouti,1089,2,12,0,15,0
2020-05-01,Djibouti,1097,2,8,0,14,0
2020-05-02,Djibouti,1112,2,15,0,15,0
2020-05-03,Djibouti,1112,2,0,0,13,0
2020-05-04,Djibouti,1116,2,4,0,12,0
2020-05-05,Djibouti,1120,2,4,0,7,0
