Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Dominica,0,0,0,0,0,0
2020-01-23,Dominica,0,0,0,0,0,0
2020-01-24,Dominica,0,0,0,0,0,0
2020-01-25,Dominica,0,0,0,0,0,0
2020-01-26,Dominica,0,0,0,0,0,0
2020-01-27,Dominica,0,0,0,0,0,0
2020-01-28,Dominica,0,0,0,0,0,0
2020-01-29,Dominica,0,0,0,0,0,0
2020-01-30,Dominica,0,0,0,0,0,0
2020-01-31,Dominica,0,0,0,0,0,0
2020-02-01,Dominica,0,0,0,0,0,0
2020-02-02,Dominica,0,0,0,0,0,0
2020-02-03,Dominica,0,0,0,0,0,0
2020-02-04,Dominica,0,0,0,0,0,0
2020-02-05,Dominica,0,0,0,0,0,0
2020-02-06,Dominica,0,0,0,0,0,0
2020-02-07,Dominica,0,0,0,0,0,0
2020-02-08,Dominica,0,0,0,0,0,0
2020-02-09,Dominica,0,0,0,0,0,0
2020-02-10,Dominica,0,0,0,0,0,0
2020-02-11,Dominica,0,0,0,0,0,0
2020-02-12,Dominica,0,0,0,0,0,0
2020-02-13,Dominica,0,0,0,0,0,0
2020-02-14,Dominica,0,0,0,0,0,0
2020-02-15,Dominica,0,0,0,0,0,0
2020-02-16,Dominica,0,0,0,0,0,0
2020-02-17,Dominica,0,0,0,0,0,0
2020-02-18,Dominica,0,0,0,0,0,0
2020-02-19,Dominica,0,0,0,0,0,0
2020-02-20,Dominica,0,0,0,0,0,0
2020-02-21,Dominica,0,0,0,0,0,0
2020-02-22,Dominica,0,0,0,0,0,0
2020-02-23,Dominica,0,0,0,0,0,0
2020-02-24,Dominica,0,0,0,0,0,0
2020-02-25,Dominica,0,0,0,0,0,0
2020-02-26,Dominica,0,0,0,0,0,0
2020-02-27,Dominica,0,0,0,0,0,0
2020-02-28,Dominica,0,0,0,0,0,0
2020-02-29,Dominica,0,0,0,0,0,0
2020-03-01,Dominica,0,0,0,0,0,0
2020-03-02,Dominica,0,0,0,0,0,0
2020-03-03,Dominica,0,0,0,0,0,0
2020-03-04,Dominica,0,0,0,0,0,0
2020-03-05,Dominica,0,0,0,0,0,0
2020-03-06,Dominica,0,0,0,0,0,0
2020-03-07,Dominica,0,0,0,0,0,0
2020-03-08,Dominica,0,0,0,0,0,0
2020-03-09,Dominica,0,0,0,0,0,0
2020-03-10,Dominica,0,0,0,0,0,0
2020-03-11,Dominica,0,0,0,0,0,0
2020-03-12,Dominica,0,0,0,0,0,0
2020-03-13,Dominica,0,0,0,0,0,0
2020-03-14,Dominica,0,0,0,0,0,0
2020-03-15,Dominica,0,0,0,0,0,0
2020-03-16,Dominica,0,0,0,0,0,0
2020-03-17,Dominica,0,0,0,0,0,0
2020-03-18,Dominica,0,0,0,0,0,0
2020-03-19,Dominica,0,0,0,0,0,0
2020-03-20,Dominica,0,0,0,0,0,0
2020-03-21,Dominica,0,0,0,0,0,0
2020-03-22,Dominica,1,0,1,0,0,0
2020-03-23,Dominica,2,0,1,0,0,0
2020-03-24,Dominica,2,0,0,0,0,0
2020-03-25,Dominica,7,0,5,0,1,0
2020-03-26,Dominica,11,0,4,0,2,0
2020-03-27,Dominica,11,0,0,0,2,0
2020-03-28,Dominica,11,0,0,0,2,0
2020-03-29,Dominica,11,0,0,0,1,0
2020-03-30,Dominica,11,0,0,0,1,0
2020-03-31,Dominica,12,0,1,0,1,0
2020-04-01,Dominica,12,0,0,0,1,0
2020-04-02,Dominica,12,0,0,0,0,0
2020-04-03,Dominica,12,0,0,0,0,0
2020-04-04,Dominica,14,0,2,0,0,0
2020-04-05,Dominica,14,0,0,0,0,0
