Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Dominican Republic,0,0,0,0,0,0
2020-01-23,Dominican Republic,0,0,0,0,0,0
2020-01-24,Dominican Republic,0,0,0,0,0,0
2020-01-25,Dominican Republic,0,0,0,0,0,0
2020-01-26,Dominican Republic,0,0,0,0,0,0
2020-01-27,Dominican Republic,0,0,0,0,0,0
2020-01-28,Dominican Republic,0,0,0,0,0,0
2020-01-29,Dominican Republic,0,0,0,0,0,0
2020-01-30,Dominican Republic,0,0,0,0,0,0
2020-01-31,Dominican Republic,0,0,0,0,0,0
2020-02-01,Dominican Republic,0,0,0,0,0,0
2020-02-02,Dominican Republic,0,0,0,0,0,0
2020-02-03,Dominican Republic,0,0,0,0,0,0
2020-02-04,Dominican Republic,0,0,0,0,0,0
2020-02-05,Dominican Republic,0,0,0,0,0,0
2020-02-06,Dominican Republic,0,0,0,0,0,0
2020-02-07,Dominican Republic,0,0,0,0,0,0
2020-02-08,Dominican Republic,0,0,0,0,0,0
2020-02-09,Dominican Republic,0,0,0,0,0,0
2020-02-10,Dominican Republic,0,0,0,0,0,0
2020-02-11,Dominican Republic,0,0,0,0,0,0
2020-02-12,Dominican Republic,0,0,0,0,0,0
2020-02-13,Dominican Republic,0,0,0,0,0,0
2020-02-14,Dominican Republic,0,0,0,0,0,0
2020-02-15,Dominican Republic,0,0,0,0,0,0
2020-02-16,Dominican Republic,0,0,0,0,0,0
2020-02-17,Dominican Republic,0,0,0,0,0,0
2020-02-18,Dominican Republic,0,0,0,0,0,0
2020-02-19,Dominican Republic,0,0,0,0,0,0
2020-02-20,Dominican Republic,0,0,0,0,0,0
2020-02-21,Dominican Republic,0,0,0,0,0,0
2020-02-22,Dominican Republic,0,0,0,0,0,0
2020-02-23,Dominican Republic,0,0,0,0,0,0
2020-02-24,Dominican Republic,0,0,0,0,0,0
2020-02-25,Dominican Republic,0,0,0,0,0,0
2020-02-26,Dominican Republic,0,0,0,0,0,0
2020-02-27,Dominican Republic,0,0,0,0,0,0
2020-02-28,Dominican Republic,0,0,0,0,0,0
2020-02-29,Dominican Republic,0,0,0,0,0,0
2020-03-01,Dominican Republic,1,0,1,0,0,0
2020-03-02,Dominican Republic,1,0,0,0,0,0
2020-03-03,Dominican Republic,1,0,0,0,0,0
2020-03-04,Dominican Republic,1,0,0,0,0,0
2020-03-05,Dominican Republic,1,0,0,0,0,0
2020-03-06,Dominican Republic,2,0,1,0,0,0
2020-03-07,Dominican Republic,2,0,0,0,0,0
2020-03-08,Dominican Republic,5,0,3,0,1,0
2020-03-09,Dominican Republic,5,0,0,0,1,0
2020-03-10,Dominican Republic,5,0,0,0,1,0
2020-03-11,Dominican Republic,5,0,0,0,1,0
2020-03-12,Dominican Republic,5,0,0,0,1,0
2020-03-13,Dominican Republic,5,0,0,0,0,0
2020-03-14,Dominican Republic,11,0,6,0,1,0
2020-03-15,Dominican Republic,11,0,0,0,1,0
2020-03-16,Dominican Republic,11,0,0,0,1,0
2020-03-17,Dominican Republic,21,1,10,1,2,0
2020-03-18,Dominican Republic,21,1,0,0,2,0
2020-03-19,Dominican Republic,34,2,13,1,4,0
2020-03-20,Dominican Republic,72,2,38,0,10,0
