Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Ecuador,0,0,0,0,0,0
2020-01-23,Ecuador,0,0,0,0,0,0
2020-01-24,Ecuador,0,0,0,0,0,0
2020-01-25,Ecuador,0,0,0,0,0,0
2020-01-26,Ecuador,0,0,0,0,0,0
2020-01-27,Ecuador,0,0,0,0,0,0
2020-01-28,Ecuador,0,0,0,0,0,0
2020-01-29,Ecuador,0,0,0,0,0,0
2020-01-30,Ecuador,0,0,0,0,0,0
2020-01-31,Ecuador,0,0,0,0,0,0
2020-02-01,Ecuador,0,0,0,0,0,0
2020-02-02,Ecuador,0,0,0,0,0,0
2020-02-03,Ecuador,0,0,0,0,0,0
2020-02-04,Ecuador,0,0,0,0,0,0
2020-02-05,Ecuador,0,0,0,0,0,0
2020-02-06,Ecuador,0,0,0,0,0,0
2020-02-07,Ecuador,0,0,0,0,0,0
2020-02-08,Ecuador,0,0,0,0,0,0
2020-02-09,Ecuador,0,0,0,0,0,0
2020-02-10,Ecuador,0,0,0,0,0,0
2020-02-11,Ecuador,0,0,0,0,0,0
2020-02-12,Ecuador,0,0,0,0,0,0
2020-02-13,Ecuador,0,0,0,0,0,0
2020-02-14,Ecuador,0,0,0,0,0,0
2020-02-15,Ecuador,0,0,0,0,0,0
2020-02-16,Ecuador,0,0,0,0,0,0
2020-02-17,Ecuador,0,0,0,0,0,0
2020-02-18,Ecuador,0,0,0,0,0,0
2020-02-19,Ecuador,0,0,0,0,0,0
2020-02-20,Ecuador,0,0,0,0,0,0
2020-02-21,Ecuador,0,0,0,0,0,0
2020-02-22,Ecuador,0,0,0,0,0,0
2020-02-23,Ecuador,0,0,0,0,0,0
2020-02-24,Ecuador,0,0,0,0,0,0
2020-02-25,Ecuador,0,0,0,0,0,0
2020-02-26,Ecuador,0,0,0,0,0,0
2020-02-27,Ecuador,0,0,0,0,0,0
2020-02-28,Ecuador,0,0,0,0,0,0
2020-02-29,Ecuador,0,0,0,0,0,0
2020-03-01,Ecuador,6,0,6,0,1,0
2020-03-02,Ecuador,6,0,0,0,1,0
2020-03-03,Ecuador,7,0,1,0,1,0
2020-03-04,Ecuador,10,0,3,0,1,0
2020-03-05,Ecuador,13,0,3,0,2,0
2020-03-06,Ecuador,13,0,0,0,2,0
2020-03-07,Ecuador,13,0,0,0,2,0
2020-03-08,Ecuador,14,0,1,0,1,0
2020-03-09,Ecuador,15,0,1,0,1,0
2020-03-10,Ecuador,15,0,0,0,1,0
2020-03-11,Ecuador,17,0,2,0,1,0
2020-03-12,Ecuador,17,0,0,0,1,0
2020-03-13,Ecuador,17,0,0,0,1,0
2020-03-14,Ecuador,28,2,11,2,2,0
2020-03-15,Ecuador,28,2,0,0,2,0
2020-03-16,Ecuador,37,2,9,0,3,0
2020-03-17,Ecuador,58,2,21,0,6,0
2020-03-18,Ecuador,111,2,53,0,13,0
2020-03-19,Ecuador,199,3,88,1,26,0
2020-03-20,Ecuador,367,5,168,2,50,1
2020-03-21,Ecuador,506,7,139,2,68,1
2020-03-22,Ecuador,789,14,283,7,109,2
2020-03-23,Ecuador,981,18,192,4,135,2
2020-03-24,Ecuador,1082,27,101,9,146,4
2020-03-25,Ecuador,1173,28,91,1,152,4
2020-03-26,Ecuador,1403,34,230,6,172,4
2020-03-27,Ecuador,1595,36,192,2,175,4
2020-03-28,Ecuador,1823,48,228,12,188,6
2020-03-29,Ecuador,1924,58,101,10,162,6
2020-03-30,Ecuador,1962,60,38,2,140,6
2020-03-31,Ecuador,2240,75,278,15,165,7
2020-04-01,Ecuador,2748,93,508,18,225,9
2020-04-02,Ecuador,3163,120,415,27,251,12
2020-04-03,Ecuador,3368,145,205,25,253,16
2020-04-04,Ecuador,3465,172,97,27,235,18
2020-04-05,Ecuador,3646,180,181,8,246,17
2020-04-06,Ecuador,3747,191,101,11,255,19
2020-04-07,Ecuador,3747,191,0,0,215,17
2020-04-08,Ecuador,4450,242,703,51,243,21
