Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Egypt,0,0,0,0,0,0
2020-01-23,Egypt,0,0,0,0,0,0
2020-01-24,Egypt,0,0,0,0,0,0
2020-01-25,Egypt,0,0,0,0,0,0
2020-01-26,Egypt,0,0,0,0,0,0
2020-01-27,Egypt,0,0,0,0,0,0
2020-01-28,Egypt,0,0,0,0,0,0
2020-01-29,Egypt,0,0,0,0,0,0
2020-01-30,Egypt,0,0,0,0,0,0
2020-01-31,Egypt,0,0,0,0,0,0
2020-02-01,Egypt,0,0,0,0,0,0
2020-02-02,Egypt,0,0,0,0,0,0
2020-02-03,Egypt,0,0,0,0,0,0
2020-02-04,Egypt,0,0,0,0,0,0
2020-02-05,Egypt,0,0,0,0,0,0
2020-02-06,Egypt,0,0,0,0,0,0
2020-02-07,Egypt,0,0,0,0,0,0
2020-02-08,Egypt,0,0,0,0,0,0
2020-02-09,Egypt,0,0,0,0,0,0
2020-02-10,Egypt,0,0,0,0,0,0
2020-02-11,Egypt,0,0,0,0,0,0
2020-02-12,Egypt,0,0,0,0,0,0
2020-02-13,Egypt,0,0,0,0,0,0
2020-02-14,Egypt,1,0,1,0,0,0
2020-02-15,Egypt,1,0,0,0,0,0
2020-02-16,Egypt,1,0,0,0,0,0
2020-02-17,Egypt,1,0,0,0,0,0
2020-02-18,Egypt,1,0,0,0,0,0
2020-02-19,Egypt,1,0,0,0,0,0
2020-02-20,Egypt,1,0,0,0,0,0
2020-02-21,Egypt,1,0,0,0,0,0
2020-02-22,Egypt,1,0,0,0,0,0
2020-02-23,Egypt,1,0,0,0,0,0
2020-02-24,Egypt,1,0,0,0,0,0
2020-02-25,Egypt,1,0,0,0,0,0
2020-02-26,Egypt,1,0,0,0,0,0
2020-02-27,Egypt,1,0,0,0,0,0
2020-02-28,Egypt,1,0,0,0,0,0
2020-02-29,Egypt,1,0,0,0,0,0
2020-03-01,Egypt,2,0,1,0,0,0
2020-03-02,Egypt,2,0,0,0,0,0
2020-03-03,Egypt,2,0,0,0,0,0
2020-03-04,Egypt,2,0,0,0,0,0
2020-03-05,Egypt,3,0,1,0,0,0
2020-03-06,Egypt,15,0,12,0,2,0
2020-03-07,Egypt,15,0,0,0,2,0
2020-03-08,Egypt,49,1,34,1,7,0
2020-03-09,Egypt,55,1,6,0,8,0
2020-03-10,Egypt,59,1,4,0,8,0
2020-03-11,Egypt,60,1,1,0,8,0
2020-03-12,Egypt,67,1,7,0,9,0
2020-03-13,Egypt,80,2,13,1,9,0
2020-03-14,Egypt,109,2,29,0,13,0
2020-03-15,Egypt,110,2,1,0,9,0
2020-03-16,Egypt,150,2,40,0,14,0
2020-03-17,Egypt,196,4,46,2,20,0
2020-03-18,Egypt,196,6,0,2,19,1
2020-03-19,Egypt,256,6,60,0,27,1
2020-03-20,Egypt,285,8,29,2,29,1
2020-03-21,Egypt,294,10,9,2,26,1
2020-03-22,Egypt,327,14,33,4,31,2
2020-03-23,Egypt,366,19,39,5,31,2
2020-03-24,Egypt,402,20,36,1,29,2
2020-03-25,Egypt,456,21,54,1,37,2
2020-03-26,Egypt,495,24,39,3,34,3
2020-03-27,Egypt,536,30,41,6,36,3
2020-03-28,Egypt,576,36,40,6,40,4
2020-03-29,Egypt,609,40,33,4,40,4
2020-03-30,Egypt,656,41,47,1,41,3
2020-03-31,Egypt,710,46,54,5,44,4
2020-04-01,Egypt,779,52,69,6,46,4
2020-04-02,Egypt,865,58,86,6,53,5
2020-04-03,Egypt,985,66,120,8,64,5
2020-04-04,Egypt,1070,71,85,5,71,5
2020-04-05,Egypt,1173,78,103,7,81,5
2020-04-06,Egypt,1322,85,149,7,95,6
2020-04-07,Egypt,1450,94,128,9,106,7
2020-04-08,Egypt,1560,103,110,9,112,7
2020-04-09,Egypt,1699,118,139,15,119,9
2020-04-10,Egypt,1794,135,95,17,116,10
2020-04-11,Egypt,1939,146,145,11,124,11
2020-04-12,Egypt,2065,159,126,13,127,12
2020-04-13,Egypt,2190,164,125,5,124,11
2020-04-14,Egypt,2350,178,160,14,129,12
2020-04-15,Egypt,2505,183,155,5,135,11
2020-04-16,Egypt,2673,196,168,13,139,11
2020-04-17,Egypt,2844,205,171,9,150,10
2020-04-18,Egypt,3032,224,188,19,156,11
2020-04-19,Egypt,3144,239,112,15,154,11
2020-04-20,Egypt,3333,250,189,11,163,12
2020-04-21,Egypt,3490,264,157,14,163,12
2020-04-22,Egypt,3659,276,169,12,165,13
2020-04-23,Egypt,3891,287,232,11,174,13
2020-04-24,Egypt,4092,294,201,7,178,13
2020-04-25,Egypt,4319,307,227,13,184,12
2020-04-26,Egypt,4534,317,215,10,199,11
2020-04-27,Egypt,4782,337,248,20,207,12
2020-04-28,Egypt,5042,359,260,22,222,14
2020-04-29,Egypt,5268,380,226,21,230,15
2020-04-30,Egypt,5537,392,269,12,235,15
2020-05-01,Egypt,5895,406,358,14,258,16
2020-05-02,Egypt,6193,415,298,9,268,15
2020-05-03,Egypt,6465,429,272,14,276,16
2020-05-04,Egypt,6813,436,348,7,290,14
2020-05-05,Egypt,7201,452,388,16,308,13
2020-05-06,Egypt,7588,469,387,17,331,13
2020-05-07,Egypt,7981,482,393,13,349,13
2020-05-08,Egypt,8476,503,495,21,369,14
2020-05-09,Egypt,8964,514,488,11,396,14
2020-05-10,Egypt,9400,525,436,11,419,14
2020-05-11,Egypt,9746,533,346,8,419,14
2020-05-12,Egypt,10093,544,347,11,413,13
2020-05-13,Egypt,10431,556,338,12,406,12
2020-05-14,Egypt,10829,571,398,15,407,13
2020-05-15,Egypt,11228,592,399,21,393,13
2020-05-16,Egypt,11719,612,491,20,394,14
2020-05-17,Egypt,12229,630,510,18,404,15
2020-05-18,Egypt,12764,645,535,15,431,16
2020-05-19,Egypt,13484,659,720,14,484,16
2020-05-20,Egypt,14229,680,745,21,543,18
2020-05-21,Egypt,15003,696,774,16,596,18
2020-05-22,Egypt,15786,707,783,11,651,16
2020-05-23,Egypt,16513,735,727,28,685,18
2020-05-24,Egypt,17265,764,752,29,719,19
2020-05-25,Egypt,17967,783,702,19,743,20
2020-05-26,Egypt,18756,797,789,14,753,20
2020-05-27,Egypt,19666,816,910,19,777,19
2020-05-28,Egypt,20793,845,1127,29,827,21
2020-05-29,Egypt,22082,879,1289,34,899,25
2020-05-30,Egypt,23449,913,1367,34,991,25
2020-05-31,Egypt,24985,959,1536,46,1103,28
2020-06-01,Egypt,26384,1005,1399,46,1202,32
2020-06-02,Egypt,27536,1052,1152,47,1254,36
2020-06-03,Egypt,28615,1088,1079,36,1278,39
2020-06-04,Egypt,29767,1126,1152,38,1282,40
2020-06-05,Egypt,31115,1166,1348,40,1290,41
2020-06-06,Egypt,32612,1198,1497,32,1309,41
2020-06-07,Egypt,34079,1237,1467,39,1299,40
2020-06-08,Egypt,35444,1271,1365,34,1294,38
2020-06-09,Egypt,36829,1306,1385,35,1328,36
2020-06-10,Egypt,38284,1342,1455,36,1381,36
2020-06-11,Egypt,39726,1377,1442,35,1423,36
2020-06-12,Egypt,41303,1422,1577,45,1455,37
2020-06-13,Egypt,42980,1484,1677,62,1481,41
2020-06-14,Egypt,44598,1575,1618,91,1503,48
2020-06-15,Egypt,46289,1672,1691,97,1549,57
2020-06-16,Egypt,47856,1766,1567,94,1575,66
2020-06-17,Egypt,49219,1850,1363,84,1562,73
2020-06-18,Egypt,50437,1938,1218,88,1530,80
2020-06-19,Egypt,52211,2017,1774,79,1558,85
2020-06-20,Egypt,53758,2106,1547,89,1540,89
2020-06-21,Egypt,55233,2193,1475,87,1519,88
2020-06-22,Egypt,56809,2278,1576,85,1503,87
2020-06-23,Egypt,58141,2365,1332,87,1469,86
2020-06-24,Egypt,59561,2450,1420,85,1477,86
2020-06-25,Egypt,61130,2533,1569,83,1528,85
2020-06-26,Egypt,62755,2620,1625,87,1506,86
2020-06-27,Egypt,63923,2708,1168,88,1452,86
2020-06-28,Egypt,65188,2789,1265,81,1422,85
2020-06-29,Egypt,66754,2872,1566,83,1421,85
2020-06-30,Egypt,68311,2953,1557,81,1453,84
2020-07-01,Egypt,69814,3034,1503,81,1465,83
2020-07-02,Egypt,71299,3120,1485,86,1453,84
2020-07-03,Egypt,72711,3201,1412,81,1422,83
2020-07-04,Egypt,74035,3280,1324,79,1445,82
2020-07-05,Egypt,75253,3343,1218,63,1438,79
2020-07-06,Egypt,76222,3422,969,79,1353,79
2020-07-07,Egypt,77279,3489,1057,67,1281,77
2020-07-08,Egypt,78304,3564,1025,75,1213,76
2020-07-09,Egypt,79254,3617,950,53,1136,71
2020-07-10,Egypt,80235,3702,981,85,1075,72
2020-07-11,Egypt,81158,3769,923,67,1018,70
2020-07-12,Egypt,82070,3858,912,89,974,74
2020-07-13,Egypt,83001,3935,931,77,968,73
2020-07-14,Egypt,83930,4008,929,73,950,74
2020-07-15,Egypt,84843,4067,913,59,934,72
2020-07-16,Egypt,85771,4120,928,53,931,72
2020-07-17,Egypt,86474,4188,703,68,891,69
2020-07-18,Egypt,87172,4251,698,63,859,69
2020-07-19,Egypt,87775,4302,603,51,815,63
2020-07-20,Egypt,88402,4352,627,50,772,60
2020-07-21,Egypt,89078,4399,676,47,735,56
2020-07-22,Egypt,89745,4440,667,41,700,53
2020-07-23,Egypt,90413,4480,668,40,663,51
2020-07-24,Egypt,91072,4518,659,38,657,47
2020-07-25,Egypt,91583,4558,511,40,630,44
2020-07-26,Egypt,92062,4606,479,48,612,43
2020-07-27,Egypt,92482,4652,420,46,583,43
2020-07-28,Egypt,92947,4691,465,39,553,42
2020-07-29,Egypt,93356,4728,409,37,516,41
2020-07-30,Egypt,93757,4774,401,46,478,42
2020-07-31,Egypt,94078,4805,321,31,429,41
2020-08-01,Egypt,94316,4834,238,29,390,39
2020-08-02,Egypt,94483,4865,167,31,346,37
2020-08-03,Egypt,94640,4888,157,23,308,34
2020-08-04,Egypt,94752,4912,112,24,258,32
2020-08-05,Egypt,94875,4930,123,18,217,29
2020-08-06,Egypt,95006,4951,131,21,178,25
2020-08-07,Egypt,95147,4971,141,20,153,24
2020-08-08,Egypt,95314,4992,167,21,143,23
2020-08-09,Egypt,95492,5009,178,17,144,21
2020-08-10,Egypt,95666,5035,174,26,147,21
2020-08-11,Egypt,95834,5059,168,24,155,21
2020-08-12,Egypt,95963,5085,129,26,155,22
2020-08-13,Egypt,96108,5107,145,22,157,22
2020-08-14,Egypt,96220,5124,112,17,153,22
2020-08-15,Egypt,96336,5141,116,17,146,21
2020-08-16,Egypt,96475,5160,139,19,140,22
2020-08-17,Egypt,96590,5173,115,13,132,20
2020-08-18,Egypt,96753,5184,163,11,131,18
2020-08-19,Egypt,96914,5197,161,13,136,16
2020-08-20,Egypt,97025,5212,111,15,131,15
2020-08-21,Egypt,97148,5231,123,19,133,15
2020-08-22,Egypt,97237,5243,89,12,129,15
2020-08-23,Egypt,97340,5262,103,19,124,15
2020-08-24,Egypt,97478,5280,138,18,127,15
2020-08-25,Egypt,97619,5298,141,18,124,16
2020-08-26,Egypt,97825,5317,206,19,130,17
2020-08-27,Egypt,98062,5342,237,25,148,19
2020-08-28,Egypt,98285,5362,223,20,162,19
2020-08-29,Egypt,98497,5376,212,14,180,19
2020-08-30,Egypt,98727,5399,230,23,198,20
2020-08-31,Egypt,98939,5421,212,22,209,20
2020-09-01,Egypt,99115,5440,176,19,214,20
