Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,El Salvador,0,0,0,0,0,0
2020-01-23,El Salvador,0,0,0,0,0,0
2020-01-24,El Salvador,0,0,0,0,0,0
2020-01-25,El Salvador,0,0,0,0,0,0
2020-01-26,El Salvador,0,0,0,0,0,0
2020-01-27,El Salvador,0,0,0,0,0,0
2020-01-28,El Salvador,0,0,0,0,0,0
2020-01-29,El Salvador,0,0,0,0,0,0
2020-01-30,El Salvador,0,0,0,0,0,0
2020-01-31,El Salvador,0,0,0,0,0,0
2020-02-01,El Salvador,0,0,0,0,0,0
2020-02-02,El Salvador,0,0,0,0,0,0
2020-02-03,El Salvador,0,0,0,0,0,0
2020-02-04,El Salvador,0,0,0,0,0,0
2020-02-05,El Salvador,0,0,0,0,0,0
2020-02-06,El Salvador,0,0,0,0,0,0
2020-02-07,El Salvador,0,0,0,0,0,0
2020-02-08,El Salvador,0,0,0,0,0,0
2020-02-09,El Salvador,0,0,0,0,0,0
2020-02-10,El Salvador,0,0,0,0,0,0
2020-02-11,El Salvador,0,0,0,0,0,0
2020-02-12,El Salvador,0,0,0,0,0,0
2020-02-13,El Salvador,0,0,0,0,0,0
2020-02-14,El Salvador,0,0,0,0,0,0
2020-02-15,El Salvador,0,0,0,0,0,0
2020-02-16,El Salvador,0,0,0,0,0,0
2020-02-17,El Salvador,0,0,0,0,0,0
2020-02-18,El Salvador,0,0,0,0,0,0
2020-02-19,El Salvador,0,0,0,0,0,0
2020-02-20,El Salvador,0,0,0,0,0,0
2020-02-21,El Salvador,0,0,0,0,0,0
2020-02-22,El Salvador,0,0,0,0,0,0
2020-02-23,El Salvador,0,0,0,0,0,0
2020-02-24,El Salvador,0,0,0,0,0,0
2020-02-25,El Salvador,0,0,0,0,0,0
2020-02-26,El Salvador,0,0,0,0,0,0
2020-02-27,El Salvador,0,0,0,0,0,0
2020-02-28,El Salvador,0,0,0,0,0,0
2020-02-29,El Salvador,0,0,0,0,0,0
2020-03-01,El Salvador,0,0,0,0,0,0
2020-03-02,El Salvador,0,0,0,0,0,0
2020-03-03,El Salvador,0,0,0,0,0,0
2020-03-04,El Salvador,0,0,0,0,0,0
2020-03-05,El Salvador,0,0,0,0,0,0
2020-03-06,El Salvador,0,0,0,0,0,0
2020-03-07,El Salvador,0,0,0,0,0,0
2020-03-08,El Salvador,0,0,0,0,0,0
2020-03-09,El Salvador,0,0,0,0,0,0
2020-03-10,El Salvador,0,0,0,0,0,0
2020-03-11,El Salvador,0,0,0,0,0,0
2020-03-12,El Salvador,0,0,0,0,0,0
2020-03-13,El Salvador,0,0,0,0,0,0
2020-03-14,El Salvador,0,0,0,0,0,0
2020-03-15,El Salvador,0,0,0,0,0,0
2020-03-16,El Salvador,0,0,0,0,0,0
2020-03-17,El Salvador,0,0,0,0,0,0
2020-03-18,El Salvador,0,0,0,0,0,0
2020-03-19,El Salvador,1,0,1,0,0,0
2020-03-20,El Salvador,1,0,0,0,0,0
2020-03-21,El Salvador,3,0,2,0,0,0
2020-03-22,El Salvador,3,0,0,0,0,0
2020-03-23,El Salvador,3,0,0,0,0,0
2020-03-24,El Salvador,5,0,2,0,1,0
2020-03-25,El Salvador,9,0,4,0,1,0
2020-03-26,El Salvador,13,0,4,0,2,0
2020-03-27,El Salvador,13,0,0,0,2,0
2020-03-28,El Salvador,19,0,6,0,2,0
2020-03-29,El Salvador,24,0,5,0,3,0
2020-03-30,El Salvador,30,0,6,0,4,0
2020-03-31,El Salvador,32,1,2,1,4,0
2020-04-01,El Salvador,32,1,0,0,3,0
2020-04-02,El Salvador,41,2,9,1,4,0
2020-04-03,El Salvador,46,2,5,0,5,0
2020-04-04,El Salvador,56,3,10,1,5,0
2020-04-05,El Salvador,62,3,6,0,5,0
2020-04-06,El Salvador,69,4,7,1,6,1
2020-04-07,El Salvador,78,4,9,0,7,0
2020-04-08,El Salvador,93,5,15,1,9,1
2020-04-09,El Salvador,103,6,10,1,9,1
2020-04-10,El Salvador,117,6,14,0,10,1
2020-04-11,El Salvador,118,6,1,0,9,0
2020-04-12,El Salvador,125,6,7,0,9,0
2020-04-13,El Salvador,137,6,12,0,10,0
2020-04-14,El Salvador,149,6,12,0,10,0
2020-04-15,El Salvador,159,6,10,0,9,0
2020-04-16,El Salvador,164,6,5,0,9,0
2020-04-17,El Salvador,177,7,13,1,9,0
2020-04-18,El Salvador,190,7,13,0,10,0
2020-04-19,El Salvador,201,7,11,0,11,0
2020-04-20,El Salvador,218,7,17,0,12,0
2020-04-21,El Salvador,225,7,7,0,11,0
2020-04-22,El Salvador,237,7,12,0,11,0
2020-04-23,El Salvador,250,8,13,1,12,0
2020-04-24,El Salvador,274,8,24,0,14,0
2020-04-25,El Salvador,274,8,0,0,12,0
2020-04-26,El Salvador,298,8,24,0,14,0
2020-04-27,El Salvador,323,8,25,0,15,0
2020-04-28,El Salvador,345,8,22,0,17,0
2020-04-29,El Salvador,377,9,32,1,20,0
2020-04-30,El Salvador,395,10,18,1,21,0
2020-05-01,El Salvador,424,10,29,0,21,0
2020-05-02,El Salvador,446,11,22,1,25,0
2020-05-03,El Salvador,490,11,44,0,27,0
2020-05-04,El Salvador,555,13,65,2,33,1
2020-05-05,El Salvador,587,14,32,1,35,1
2020-05-06,El Salvador,633,15,46,1,37,1
2020-05-07,El Salvador,695,15,62,0,43,1
2020-05-08,El Salvador,742,16,47,1,45,1
2020-05-09,El Salvador,784,17,42,1,48,1
2020-05-10,El Salvador,889,17,105,0,57,1
2020-05-11,El Salvador,958,18,69,1,58,1
2020-05-12,El Salvador,998,20,40,2,59,1
2020-05-13,El Salvador,1037,20,39,0,58,1
2020-05-14,El Salvador,1112,23,75,3,60,1
2020-05-15,El Salvador,1210,25,98,2,67,1
2020-05-16,El Salvador,1265,26,55,1,69,1
2020-05-17,El Salvador,1338,30,73,4,64,2
2020-05-18,El Salvador,1413,30,75,0,65,2
2020-05-19,El Salvador,1498,30,85,0,71,1
2020-05-20,El Salvador,1571,31,73,1,76,2
2020-05-21,El Salvador,1640,33,69,2,75,1
2020-05-22,El Salvador,1725,33,85,0,74,1
2020-05-23,El Salvador,1819,33,94,0,79,1
2020-05-24,El Salvador,1915,35,96,2,82,1
2020-05-25,El Salvador,1983,35,68,0,81,1
2020-05-26,El Salvador,2042,36,59,1,78,1
2020-05-27,El Salvador,2109,39,67,3,77,1
2020-05-28,El Salvador,2194,39,85,0,79,1
2020-05-29,El Salvador,2278,42,84,3,79,1
2020-05-30,El Salvador,2395,46,117,4,82,2
2020-05-31,El Salvador,2517,46,122,0,86,2
2020-06-01,El Salvador,2582,46,65,0,86,2
2020-06-02,El Salvador,2653,49,71,3,87,2
2020-06-03,El Salvador,2705,51,52,2,85,2
2020-06-04,El Salvador,2781,52,76,1,84,2
2020-06-05,El Salvador,2849,53,68,1,82,2
2020-06-06,El Salvador,2934,53,85,0,77,1
2020-06-07,El Salvador,3015,53,81,0,71,1
2020-06-08,El Salvador,3104,56,89,3,75,1
2020-06-09,El Salvador,3191,60,87,4,77,2
2020-06-10,El Salvador,3274,64,83,4,81,2
2020-06-11,El Salvador,3373,68,99,4,85,2
2020-06-12,El Salvador,3481,68,108,0,90,2
2020-06-13,El Salvador,3603,72,122,4,96,3
2020-06-14,El Salvador,3720,74,117,2,101,3
2020-06-15,El Salvador,3826,74,106,0,103,3
2020-06-16,El Salvador,3941,76,115,2,107,2
2020-06-17,El Salvador,4066,79,125,3,113,2
2020-06-18,El Salvador,4200,82,134,3,118,2
2020-06-19,El Salvador,4329,86,129,4,121,3
2020-06-20,El Salvador,4475,93,146,7,125,3
2020-06-21,El Salvador,4626,98,151,5,129,3
2020-06-22,El Salvador,4808,107,182,9,140,5
2020-06-23,El Salvador,4973,113,165,6,147,5
2020-06-24,El Salvador,5150,119,177,6,155,6
2020-06-25,El Salvador,5336,126,186,7,162,6
2020-06-26,El Salvador,5517,133,181,7,170,7
2020-06-27,El Salvador,5727,143,210,10,179,7
2020-06-28,El Salvador,5934,152,207,9,187,8
2020-06-29,El Salvador,6173,164,239,12,195,8
2020-06-30,El Salvador,6438,174,265,10,209,9
2020-07-01,El Salvador,6736,182,298,8,227,9
2020-07-02,El Salvador,7000,191,264,9,238,9
2020-07-03,El Salvador,7267,202,267,11,250,10
2020-07-04,El Salvador,7507,210,240,8,254,10
2020-07-05,El Salvador,7777,217,270,7,263,9
2020-07-06,El Salvador,8027,223,250,6,265,8
2020-07-07,El Salvador,8307,229,280,6,267,8
2020-07-08,El Salvador,8566,235,259,6,261,8
2020-07-09,El Salvador,8844,243,278,8,263,7
2020-07-10,El Salvador,9142,249,298,6,268,7
2020-07-11,El Salvador,9391,254,249,5,269,6
2020-07-12,El Salvador,9674,260,283,6,271,6
2020-07-13,El Salvador,9978,267,304,7,279,6
2020-07-14,El Salvador,10303,278,325,11,285,7
2020-07-15,El Salvador,10645,286,342,8,297,7
2020-07-16,El Salvador,10957,298,312,12,302,8
2020-07-17,El Salvador,11207,309,250,11,295,9
2020-07-18,El Salvador,11508,324,301,15,302,10
2020-07-19,El Salvador,11846,335,338,11,310,11
2020-07-20,El Salvador,12207,344,361,9,318,11
2020-07-21,El Salvador,12582,352,375,8,326,11
2020-07-22,El Salvador,12975,363,393,11,333,11
2020-07-23,El Salvador,13377,372,402,9,346,11
2020-07-24,El Salvador,13792,379,415,7,369,10
2020-07-25,El Salvador,14221,390,429,11,388,9
2020-07-26,El Salvador,14630,400,409,10,398,9
2020-07-27,El Salvador,15035,408,405,8,404,9
2020-07-28,El Salvador,15446,417,411,9,409,9
2020-07-29,El Salvador,15841,430,395,13,409,10
2020-07-30,El Salvador,16230,439,389,9,408,10
2020-07-31,El Salvador,16632,448,402,9,406,10
2020-08-01,El Salvador,17050,459,418,11,404,10
2020-08-02,El Salvador,17448,467,398,8,403,10
