Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Equatorial Guinea,0,0,0,0,0,0
2020-01-23,Equatorial Guinea,0,0,0,0,0,0
2020-01-24,Equatorial Guinea,0,0,0,0,0,0
2020-01-25,Equatorial Guinea,0,0,0,0,0,0
2020-01-26,Equatorial Guinea,0,0,0,0,0,0
2020-01-27,Equatorial Guinea,0,0,0,0,0,0
2020-01-28,Equatorial Guinea,0,0,0,0,0,0
2020-01-29,Equatorial Guinea,0,0,0,0,0,0
2020-01-30,Equatorial Guinea,0,0,0,0,0,0
2020-01-31,Equatorial Guinea,0,0,0,0,0,0
2020-02-01,Equatorial Guinea,0,0,0,0,0,0
2020-02-02,Equatorial Guinea,0,0,0,0,0,0
2020-02-03,Equatorial Guinea,0,0,0,0,0,0
2020-02-04,Equatorial Guinea,0,0,0,0,0,0
2020-02-05,Equatorial Guinea,0,0,0,0,0,0
2020-02-06,Equatorial Guinea,0,0,0,0,0,0
2020-02-07,Equatorial Guinea,0,0,0,0,0,0
2020-02-08,Equatorial Guinea,0,0,0,0,0,0
2020-02-09,Equatorial Guinea,0,0,0,0,0,0
2020-02-10,Equatorial Guinea,0,0,0,0,0,0
2020-02-11,Equatorial Guinea,0,0,0,0,0,0
2020-02-12,Equatorial Guinea,0,0,0,0,0,0
2020-02-13,Equatorial Guinea,0,0,0,0,0,0
2020-02-14,Equatorial Guinea,0,0,0,0,0,0
2020-02-15,Equatorial Guinea,0,0,0,0,0,0
2020-02-16,Equatorial Guinea,0,0,0,0,0,0
2020-02-17,Equatorial Guinea,0,0,0,0,0,0
2020-02-18,Equatorial Guinea,0,0,0,0,0,0
2020-02-19,Equatorial Guinea,0,0,0,0,0,0
2020-02-20,Equatorial Guinea,0,0,0,0,0,0
2020-02-21,Equatorial Guinea,0,0,0,0,0,0
2020-02-22,Equatorial Guinea,0,0,0,0,0,0
2020-02-23,Equatorial Guinea,0,0,0,0,0,0
2020-02-24,Equatorial Guinea,0,0,0,0,0,0
2020-02-25,Equatorial Guinea,0,0,0,0,0,0
2020-02-26,Equatorial Guinea,0,0,0,0,0,0
2020-02-27,Equatorial Guinea,0,0,0,0,0,0
2020-02-28,Equatorial Guinea,0,0,0,0,0,0
2020-02-29,Equatorial Guinea,0,0,0,0,0,0
2020-03-01,Equatorial Guinea,0,0,0,0,0,0
2020-03-02,Equatorial Guinea,0,0,0,0,0,0
2020-03-03,Equatorial Guinea,0,0,0,0,0,0
2020-03-04,Equatorial Guinea,0,0,0,0,0,0
2020-03-05,Equatorial Guinea,0,0,0,0,0,0
2020-03-06,Equatorial Guinea,0,0,0,0,0,0
2020-03-07,Equatorial Guinea,0,0,0,0,0,0
2020-03-08,Equatorial Guinea,0,0,0,0,0,0
2020-03-09,Equatorial Guinea,0,0,0,0,0,0
2020-03-10,Equatorial Guinea,0,0,0,0,0,0
2020-03-11,Equatorial Guinea,0,0,0,0,0,0
2020-03-12,Equatorial Guinea,0,0,0,0,0,0
2020-03-13,Equatorial Guinea,0,0,0,0,0,0
2020-03-14,Equatorial Guinea,0,0,0,0,0,0
2020-03-15,Equatorial Guinea,1,0,1,0,0,0
2020-03-16,Equatorial Guinea,1,0,0,0,0,0
2020-03-17,Equatorial Guinea,1,0,0,0,0,0
2020-03-18,Equatorial Guinea,4,0,3,0,1,0
2020-03-19,Equatorial Guinea,6,0,2,0,1,0
2020-03-20,Equatorial Guinea,6,0,0,0,1,0
2020-03-21,Equatorial Guinea,6,0,0,0,1,0
2020-03-22,Equatorial Guinea,6,0,0,0,1,0
2020-03-23,Equatorial Guinea,9,0,3,0,1,0
2020-03-24,Equatorial Guinea,9,0,0,0,1,0
2020-03-25,Equatorial Guinea,9,0,0,0,1,0
2020-03-26,Equatorial Guinea,12,0,3,0,1,0
2020-03-27,Equatorial Guinea,12,0,0,0,1,0
2020-03-28,Equatorial Guinea,12,0,0,0,1,0
2020-03-29,Equatorial Guinea,12,0,0,0,1,0
2020-03-30,Equatorial Guinea,12,0,0,0,0,0
2020-03-31,Equatorial Guinea,12,0,0,0,0,0
2020-04-01,Equatorial Guinea,15,0,3,0,1,0
2020-04-02,Equatorial Guinea,15,0,0,0,0,0
2020-04-03,Equatorial Guinea,16,0,1,0,1,0
2020-04-04,Equatorial Guinea,16,0,0,0,1,0
2020-04-05,Equatorial Guinea,16,0,0,0,1,0
2020-04-06,Equatorial Guinea,16,0,0,0,1,0
2020-04-07,Equatorial Guinea,16,0,0,0,1,0
2020-04-08,Equatorial Guinea,18,0,2,0,0,0
2020-04-09,Equatorial Guinea,18,0,0,0,0,0
2020-04-10,Equatorial Guinea,18,0,0,0,0,0
2020-04-11,Equatorial Guinea,18,0,0,0,0,0
2020-04-12,Equatorial Guinea,21,0,3,0,1,0
2020-04-13,Equatorial Guinea,21,0,0,0,1,0
2020-04-14,Equatorial Guinea,41,0,20,0,4,0
2020-04-15,Equatorial Guinea,51,0,10,0,5,0
2020-04-16,Equatorial Guinea,51,0,0,0,5,0
2020-04-17,Equatorial Guinea,79,0,28,0,9,0
2020-04-18,Equatorial Guinea,79,0,0,0,9,0
2020-04-19,Equatorial Guinea,79,0,0,0,8,0
2020-04-20,Equatorial Guinea,79,0,0,0,8,0
2020-04-21,Equatorial Guinea,83,0,4,0,6,0
2020-04-22,Equatorial Guinea,84,1,1,1,5,0
2020-04-23,Equatorial Guinea,84,1,0,0,5,0
2020-04-24,Equatorial Guinea,214,1,130,0,19,0
2020-04-25,Equatorial Guinea,258,1,44,0,26,0
2020-04-26,Equatorial Guinea,258,1,0,0,26,0
2020-04-27,Equatorial Guinea,258,1,0,0,26,0
2020-04-28,Equatorial Guinea,315,1,57,0,33,0
2020-04-29,Equatorial Guinea,315,1,0,0,33,0
2020-04-30,Equatorial Guinea,315,1,0,0,33,0
2020-05-01,Equatorial Guinea,315,1,0,0,14,0
2020-05-02,Equatorial Guinea,315,1,0,0,8,0
2020-05-03,Equatorial Guinea,315,1,0,0,8,0
2020-05-04,Equatorial Guinea,315,3,0,2,8,0
2020-05-05,Equatorial Guinea,315,3,0,0,0,0
2020-05-06,Equatorial Guinea,439,4,124,1,18,0
