Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Eritrea,0,0,0,0,0,0
2020-01-23,Eritrea,0,0,0,0,0,0
2020-01-24,Eritrea,0,0,0,0,0,0
2020-01-25,Eritrea,0,0,0,0,0,0
2020-01-26,Eritrea,0,0,0,0,0,0
2020-01-27,Eritrea,0,0,0,0,0,0
2020-01-28,Eritrea,0,0,0,0,0,0
2020-01-29,Eritrea,0,0,0,0,0,0
2020-01-30,Eritrea,0,0,0,0,0,0
2020-01-31,Eritrea,0,0,0,0,0,0
2020-02-01,Eritrea,0,0,0,0,0,0
2020-02-02,Eritrea,0,0,0,0,0,0
2020-02-03,Eritrea,0,0,0,0,0,0
2020-02-04,Eritrea,0,0,0,0,0,0
2020-02-05,Eritrea,0,0,0,0,0,0
2020-02-06,Eritrea,0,0,0,0,0,0
2020-02-07,Eritrea,0,0,0,0,0,0
2020-02-08,Eritrea,0,0,0,0,0,0
2020-02-09,Eritrea,0,0,0,0,0,0
2020-02-10,Eritrea,0,0,0,0,0,0
2020-02-11,Eritrea,0,0,0,0,0,0
2020-02-12,Eritrea,0,0,0,0,0,0
2020-02-13,Eritrea,0,0,0,0,0,0
2020-02-14,Eritrea,0,0,0,0,0,0
2020-02-15,Eritrea,0,0,0,0,0,0
2020-02-16,Eritrea,0,0,0,0,0,0
2020-02-17,Eritrea,0,0,0,0,0,0
2020-02-18,Eritrea,0,0,0,0,0,0
2020-02-19,Eritrea,0,0,0,0,0,0
2020-02-20,Eritrea,0,0,0,0,0,0
2020-02-21,Eritrea,0,0,0,0,0,0
2020-02-22,Eritrea,0,0,0,0,0,0
2020-02-23,Eritrea,0,0,0,0,0,0
2020-02-24,Eritrea,0,0,0,0,0,0
2020-02-25,Eritrea,0,0,0,0,0,0
2020-02-26,Eritrea,0,0,0,0,0,0
2020-02-27,Eritrea,0,0,0,0,0,0
2020-02-28,Eritrea,0,0,0,0,0,0
2020-02-29,Eritrea,0,0,0,0,0,0
2020-03-01,Eritrea,0,0,0,0,0,0
2020-03-02,Eritrea,0,0,0,0,0,0
2020-03-03,Eritrea,0,0,0,0,0,0
2020-03-04,Eritrea,0,0,0,0,0,0
2020-03-05,Eritrea,0,0,0,0,0,0
2020-03-06,Eritrea,0,0,0,0,0,0
2020-03-07,Eritrea,0,0,0,0,0,0
2020-03-08,Eritrea,0,0,0,0,0,0
2020-03-09,Eritrea,0,0,0,0,0,0
2020-03-10,Eritrea,0,0,0,0,0,0
2020-03-11,Eritrea,0,0,0,0,0,0
2020-03-12,Eritrea,0,0,0,0,0,0
2020-03-13,Eritrea,0,0,0,0,0,0
2020-03-14,Eritrea,0,0,0,0,0,0
2020-03-15,Eritrea,0,0,0,0,0,0
2020-03-16,Eritrea,0,0,0,0,0,0
2020-03-17,Eritrea,0,0,0,0,0,0
2020-03-18,Eritrea,0,0,0,0,0,0
2020-03-19,Eritrea,0,0,0,0,0,0
2020-03-20,Eritrea,0,0,0,0,0,0
2020-03-21,Eritrea,1,0,1,0,0,0
2020-03-22,Eritrea,1,0,0,0,0,0
2020-03-23,Eritrea,1,0,0,0,0,0
2020-03-24,Eritrea,1,0,0,0,0,0
2020-03-25,Eritrea,4,0,3,0,1,0
2020-03-26,Eritrea,6,0,2,0,1,0
2020-03-27,Eritrea,6,0,0,0,1,0
2020-03-28,Eritrea,6,0,0,0,1,0
2020-03-29,Eritrea,12,0,6,0,2,0
2020-03-30,Eritrea,12,0,0,0,2,0
2020-03-31,Eritrea,15,0,3,0,2,0
2020-04-01,Eritrea,15,0,0,0,2,0
2020-04-02,Eritrea,22,0,7,0,2,0
2020-04-03,Eritrea,22,0,0,0,2,0
2020-04-04,Eritrea,29,0,7,0,3,0
2020-04-05,Eritrea,29,0,0,0,2,0
2020-04-06,Eritrea,31,0,2,0,3,0
2020-04-07,Eritrea,31,0,0,0,2,0
2020-04-08,Eritrea,33,0,2,0,3,0
2020-04-09,Eritrea,33,0,0,0,2,0
2020-04-10,Eritrea,34,0,1,0,2,0
2020-04-11,Eritrea,34,0,0,0,1,0
2020-04-12,Eritrea,34,0,0,0,1,0
2020-04-13,Eritrea,34,0,0,0,0,0
2020-04-14,Eritrea,34,0,0,0,0,0
2020-04-15,Eritrea,35,0,1,0,0,0
2020-04-16,Eritrea,35,0,0,0,0,0
2020-04-17,Eritrea,35,0,0,0,0,0
2020-04-18,Eritrea,39,0,4,0,1,0
