Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Eswatini,0,0,0,0,0,0
2020-01-23,Eswatini,0,0,0,0,0,0
2020-01-24,Eswatini,0,0,0,0,0,0
2020-01-25,Eswatini,0,0,0,0,0,0
2020-01-26,Eswatini,0,0,0,0,0,0
2020-01-27,Eswatini,0,0,0,0,0,0
2020-01-28,Eswatini,0,0,0,0,0,0
2020-01-29,Eswatini,0,0,0,0,0,0
2020-01-30,Eswatini,0,0,0,0,0,0
2020-01-31,Eswatini,0,0,0,0,0,0
2020-02-01,Eswatini,0,0,0,0,0,0
2020-02-02,Eswatini,0,0,0,0,0,0
2020-02-03,Eswatini,0,0,0,0,0,0
2020-02-04,Eswatini,0,0,0,0,0,0
2020-02-05,Eswatini,0,0,0,0,0,0
2020-02-06,Eswatini,0,0,0,0,0,0
2020-02-07,Eswatini,0,0,0,0,0,0
2020-02-08,Eswatini,0,0,0,0,0,0
2020-02-09,Eswatini,0,0,0,0,0,0
2020-02-10,Eswatini,0,0,0,0,0,0
2020-02-11,Eswatini,0,0,0,0,0,0
2020-02-12,Eswatini,0,0,0,0,0,0
2020-02-13,Eswatini,0,0,0,0,0,0
2020-02-14,Eswatini,0,0,0,0,0,0
2020-02-15,Eswatini,0,0,0,0,0,0
2020-02-16,Eswatini,0,0,0,0,0,0
2020-02-17,Eswatini,0,0,0,0,0,0
2020-02-18,Eswatini,0,0,0,0,0,0
2020-02-19,Eswatini,0,0,0,0,0,0
2020-02-20,Eswatini,0,0,0,0,0,0
2020-02-21,Eswatini,0,0,0,0,0,0
2020-02-22,Eswatini,0,0,0,0,0,0
2020-02-23,Eswatini,0,0,0,0,0,0
2020-02-24,Eswatini,0,0,0,0,0,0
2020-02-25,Eswatini,0,0,0,0,0,0
2020-02-26,Eswatini,0,0,0,0,0,0
2020-02-27,Eswatini,0,0,0,0,0,0
2020-02-28,Eswatini,0,0,0,0,0,0
2020-02-29,Eswatini,0,0,0,0,0,0
2020-03-01,Eswatini,0,0,0,0,0,0
2020-03-02,Eswatini,0,0,0,0,0,0
2020-03-03,Eswatini,0,0,0,0,0,0
2020-03-04,Eswatini,0,0,0,0,0,0
2020-03-05,Eswatini,0,0,0,0,0,0
2020-03-06,Eswatini,0,0,0,0,0,0
2020-03-07,Eswatini,0,0,0,0,0,0
2020-03-08,Eswatini,0,0,0,0,0,0
2020-03-09,Eswatini,0,0,0,0,0,0
2020-03-10,Eswatini,0,0,0,0,0,0
2020-03-11,Eswatini,0,0,0,0,0,0
2020-03-12,Eswatini,0,0,0,0,0,0
2020-03-13,Eswatini,0,0,0,0,0,0
2020-03-14,Eswatini,1,0,1,0,0,0
2020-03-15,Eswatini,1,0,0,0,0,0
2020-03-16,Eswatini,1,0,0,0,0,0
2020-03-17,Eswatini,1,0,0,0,0,0
2020-03-18,Eswatini,1,0,0,0,0,0
2020-03-19,Eswatini,1,0,0,0,0,0
2020-03-20,Eswatini,1,0,0,0,0,0
2020-03-21,Eswatini,1,0,0,0,0,0
2020-03-22,Eswatini,4,0,3,0,0,0
2020-03-23,Eswatini,4,0,0,0,0,0
2020-03-24,Eswatini,4,0,0,0,0,0
2020-03-25,Eswatini,4,0,0,0,0,0
2020-03-26,Eswatini,6,0,2,0,1,0
2020-03-27,Eswatini,9,0,3,0,1,0
2020-03-28,Eswatini,9,0,0,0,1,0
2020-03-29,Eswatini,9,0,0,0,1,0
2020-03-30,Eswatini,9,0,0,0,1,0
2020-03-31,Eswatini,9,0,0,0,1,0
2020-04-01,Eswatini,9,0,0,0,1,0
2020-04-02,Eswatini,9,0,0,0,0,0
2020-04-03,Eswatini,9,0,0,0,0,0
2020-04-04,Eswatini,9,0,0,0,0,0
2020-04-05,Eswatini,9,0,0,0,0,0
2020-04-06,Eswatini,10,0,1,0,0,0
2020-04-07,Eswatini,10,0,0,0,0,0
2020-04-08,Eswatini,12,0,2,0,0,0
2020-04-09,Eswatini,12,0,0,0,0,0
2020-04-10,Eswatini,12,0,0,0,0,0
2020-04-11,Eswatini,12,0,0,0,0,0
2020-04-12,Eswatini,14,0,2,0,1,0
2020-04-13,Eswatini,15,0,1,0,1,0
2020-04-14,Eswatini,15,0,0,0,1,0
2020-04-15,Eswatini,15,0,0,0,0,0
2020-04-16,Eswatini,16,1,1,1,1,0
2020-04-17,Eswatini,16,1,0,0,1,0
2020-04-18,Eswatini,22,1,6,0,1,0
2020-04-19,Eswatini,22,1,0,0,1,0
2020-04-20,Eswatini,24,1,2,0,1,0
2020-04-21,Eswatini,31,1,7,0,2,0
2020-04-22,Eswatini,31,1,0,0,2,0
2020-04-23,Eswatini,31,1,0,0,2,0
2020-04-24,Eswatini,36,1,5,0,3,0
2020-04-25,Eswatini,56,1,20,0,5,0
2020-04-26,Eswatini,59,1,3,0,5,0
2020-04-27,Eswatini,65,1,6,0,6,0
2020-04-28,Eswatini,71,1,6,0,6,0
2020-04-29,Eswatini,91,1,20,0,9,0
2020-04-30,Eswatini,100,1,9,0,10,0
2020-05-01,Eswatini,106,1,6,0,10,0
2020-05-02,Eswatini,108,1,2,0,7,0
2020-05-03,Eswatini,112,1,4,0,8,0
2020-05-04,Eswatini,116,1,4,0,7,0
2020-05-05,Eswatini,119,1,3,0,7,0
2020-05-06,Eswatini,123,2,4,1,5,0
2020-05-07,Eswatini,153,2,30,0,8,0
2020-05-08,Eswatini,159,2,6,0,8,0
2020-05-09,Eswatini,163,2,4,0,8,0
2020-05-10,Eswatini,172,2,9,0,9,0
2020-05-11,Eswatini,175,2,3,0,8,0
2020-05-12,Eswatini,184,2,9,0,9,0
2020-05-13,Eswatini,187,2,3,0,9,0
2020-05-14,Eswatini,187,2,0,0,5,0
2020-05-15,Eswatini,190,2,3,0,4,0
2020-05-16,Eswatini,202,2,12,0,6,0
2020-05-17,Eswatini,203,2,1,0,4,0
2020-05-18,Eswatini,205,2,2,0,4,0
2020-05-19,Eswatini,208,2,3,0,3,0
2020-05-20,Eswatini,217,2,9,0,4,0
2020-05-21,Eswatini,220,2,3,0,5,0
2020-05-22,Eswatini,225,2,5,0,5,0
2020-05-23,Eswatini,238,2,13,0,5,0
2020-05-24,Eswatini,250,2,12,0,7,0
2020-05-25,Eswatini,256,2,6,0,7,0
2020-05-26,Eswatini,261,2,5,0,8,0
2020-05-27,Eswatini,272,2,11,0,8,0
2020-05-28,Eswatini,279,2,7,0,8,0
2020-05-29,Eswatini,279,2,0,0,8,0
2020-05-30,Eswatini,283,2,4,0,6,0
2020-05-31,Eswatini,285,2,2,0,5,0
2020-06-01,Eswatini,293,3,8,1,5,0
2020-06-02,Eswatini,294,3,1,0,5,0
2020-06-03,Eswatini,295,3,1,0,3,0
2020-06-04,Eswatini,300,3,5,0,3,0
2020-06-05,Eswatini,305,3,5,0,4,0
2020-06-06,Eswatini,322,3,17,0,6,0
2020-06-07,Eswatini,333,3,11,0,7,0
2020-06-08,Eswatini,340,3,7,0,7,0
2020-06-09,Eswatini,371,3,31,0,11,0
2020-06-10,Eswatini,398,3,27,0,15,0
2020-06-11,Eswatini,449,3,51,0,21,0
2020-06-12,Eswatini,472,3,23,0,24,0
2020-06-13,Eswatini,486,3,14,0,23,0
2020-06-14,Eswatini,490,4,4,1,22,0
2020-06-15,Eswatini,506,4,16,0,24,0
2020-06-16,Eswatini,520,4,14,0,21,0
2020-06-17,Eswatini,563,4,43,0,24,0
2020-06-18,Eswatini,586,4,23,0,20,0
2020-06-19,Eswatini,623,4,37,0,22,0
2020-06-20,Eswatini,627,5,4,1,20,0
2020-06-21,Eswatini,635,5,8,0,21,0
2020-06-22,Eswatini,643,6,8,1,20,0
2020-06-23,Eswatini,674,7,31,1,22,0
2020-06-24,Eswatini,690,7,16,0,18,0
2020-06-25,Eswatini,706,8,16,1,17,1
2020-06-26,Eswatini,728,8,22,0,15,1
2020-06-27,Eswatini,745,8,17,0,17,0
2020-06-28,Eswatini,781,11,36,3,21,1
2020-06-29,Eswatini,795,11,14,0,22,1
2020-06-30,Eswatini,812,11,17,0,20,1
2020-07-01,Eswatini,840,11,28,0,21,1
2020-07-02,Eswatini,873,11,33,0,24,0
2020-07-03,Eswatini,909,13,36,2,26,1
2020-07-04,Eswatini,954,13,45,0,30,1
