Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Ethiopia,0,0,0,0,0,0
2020-01-23,Ethiopia,0,0,0,0,0,0
2020-01-24,Ethiopia,0,0,0,0,0,0
2020-01-25,Ethiopia,0,0,0,0,0,0
2020-01-26,Ethiopia,0,0,0,0,0,0
2020-01-27,Ethiopia,0,0,0,0,0,0
2020-01-28,Ethiopia,0,0,0,0,0,0
2020-01-29,Ethiopia,0,0,0,0,0,0
2020-01-30,Ethiopia,0,0,0,0,0,0
2020-01-31,Ethiopia,0,0,0,0,0,0
2020-02-01,Ethiopia,0,0,0,0,0,0
2020-02-02,Ethiopia,0,0,0,0,0,0
2020-02-03,Ethiopia,0,0,0,0,0,0
2020-02-04,Ethiopia,0,0,0,0,0,0
2020-02-05,Ethiopia,0,0,0,0,0,0
2020-02-06,Ethiopia,0,0,0,0,0,0
2020-02-07,Ethiopia,0,0,0,0,0,0
2020-02-08,Ethiopia,0,0,0,0,0,0
2020-02-09,Ethiopia,0,0,0,0,0,0
2020-02-10,Ethiopia,0,0,0,0,0,0
2020-02-11,Ethiopia,0,0,0,0,0,0
2020-02-12,Ethiopia,0,0,0,0,0,0
2020-02-13,Ethiopia,0,0,0,0,0,0
2020-02-14,Ethiopia,0,0,0,0,0,0
2020-02-15,Ethiopia,0,0,0,0,0,0
2020-02-16,Ethiopia,0,0,0,0,0,0
2020-02-17,Ethiopia,0,0,0,0,0,0
2020-02-18,Ethiopia,0,0,0,0,0,0
2020-02-19,Ethiopia,0,0,0,0,0,0
2020-02-20,Ethiopia,0,0,0,0,0,0
2020-02-21,Ethiopia,0,0,0,0,0,0
2020-02-22,Ethiopia,0,0,0,0,0,0
2020-02-23,Ethiopia,0,0,0,0,0,0
2020-02-24,Ethiopia,0,0,0,0,0,0
2020-02-25,Ethiopia,0,0,0,0,0,0
2020-02-26,Ethiopia,0,0,0,0,0,0
2020-02-27,Ethiopia,0,0,0,0,0,0
2020-02-28,Ethiopia,0,0,0,0,0,0
2020-02-29,Ethiopia,0,0,0,0,0,0
2020-03-01,Ethiopia,0,0,0,0,0,0
2020-03-02,Ethiopia,0,0,0,0,0,0
2020-03-03,Ethiopia,0,0,0,0,0,0
2020-03-04,Ethiopia,0,0,0,0,0,0
2020-03-05,Ethiopia,0,0,0,0,0,0
2020-03-06,Ethiopia,0,0,0,0,0,0
2020-03-07,Ethiopia,0,0,0,0,0,0
2020-03-08,Ethiopia,0,0,0,0,0,0
2020-03-09,Ethiopia,0,0,0,0,0,0
2020-03-10,Ethiopia,0,0,0,0,0,0
2020-03-11,Ethiopia,0,0,0,0,0,0
2020-03-12,Ethiopia,0,0,0,0,0,0
2020-03-13,Ethiopia,1,0,1,0,0,0
2020-03-14,Ethiopia,1,0,0,0,0,0
2020-03-15,Ethiopia,1,0,0,0,0,0
2020-03-16,Ethiopia,5,0,4,0,1,0
2020-03-17,Ethiopia,5,0,0,0,1,0
2020-03-18,Ethiopia,6,0,1,0,1,0
2020-03-19,Ethiopia,6,0,0,0,1,0
2020-03-20,Ethiopia,9,0,3,0,1,0
2020-03-21,Ethiopia,9,0,0,0,1,0
