Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Fiji,0,0,0,0,0,0
2020-01-23,Fiji,0,0,0,0,0,0
2020-01-24,Fiji,0,0,0,0,0,0
2020-01-25,Fiji,0,0,0,0,0,0
2020-01-26,Fiji,0,0,0,0,0,0
2020-01-27,Fiji,0,0,0,0,0,0
2020-01-28,Fiji,0,0,0,0,0,0
2020-01-29,Fiji,0,0,0,0,0,0
2020-01-30,Fiji,0,0,0,0,0,0
2020-01-31,Fiji,0,0,0,0,0,0
2020-02-01,Fiji,0,0,0,0,0,0
2020-02-02,Fiji,0,0,0,0,0,0
2020-02-03,Fiji,0,0,0,0,0,0
2020-02-04,Fiji,0,0,0,0,0,0
2020-02-05,Fiji,0,0,0,0,0,0
2020-02-06,Fiji,0,0,0,0,0,0
2020-02-07,Fiji,0,0,0,0,0,0
2020-02-08,Fiji,0,0,0,0,0,0
2020-02-09,Fiji,0,0,0,0,0,0
2020-02-10,Fiji,0,0,0,0,0,0
2020-02-11,Fiji,0,0,0,0,0,0
2020-02-12,Fiji,0,0,0,0,0,0
2020-02-13,Fiji,0,0,0,0,0,0
2020-02-14,Fiji,0,0,0,0,0,0
2020-02-15,Fiji,0,0,0,0,0,0
2020-02-16,Fiji,0,0,0,0,0,0
2020-02-17,Fiji,0,0,0,0,0,0
2020-02-18,Fiji,0,0,0,0,0,0
2020-02-19,Fiji,0,0,0,0,0,0
2020-02-20,Fiji,0,0,0,0,0,0
2020-02-21,Fiji,0,0,0,0,0,0
2020-02-22,Fiji,0,0,0,0,0,0
2020-02-23,Fiji,0,0,0,0,0,0
2020-02-24,Fiji,0,0,0,0,0,0
2020-02-25,Fiji,0,0,0,0,0,0
2020-02-26,Fiji,0,0,0,0,0,0
2020-02-27,Fiji,0,0,0,0,0,0
2020-02-28,Fiji,0,0,0,0,0,0
2020-02-29,Fiji,0,0,0,0,0,0
2020-03-01,Fiji,0,0,0,0,0,0
2020-03-02,Fiji,0,0,0,0,0,0
2020-03-03,Fiji,0,0,0,0,0,0
2020-03-04,Fiji,0,0,0,0,0,0
2020-03-05,Fiji,0,0,0,0,0,0
2020-03-06,Fiji,0,0,0,0,0,0
2020-03-07,Fiji,0,0,0,0,0,0
2020-03-08,Fiji,0,0,0,0,0,0
2020-03-09,Fiji,0,0,0,0,0,0
2020-03-10,Fiji,0,0,0,0,0,0
2020-03-11,Fiji,0,0,0,0,0,0
2020-03-12,Fiji,0,0,0,0,0,0
2020-03-13,Fiji,0,0,0,0,0,0
2020-03-14,Fiji,0,0,0,0,0,0
2020-03-15,Fiji,0,0,0,0,0,0
2020-03-16,Fiji,0,0,0,0,0,0
2020-03-17,Fiji,0,0,0,0,0,0
2020-03-18,Fiji,0,0,0,0,0,0
2020-03-19,Fiji,1,0,1,0,0,0
2020-03-20,Fiji,1,0,0,0,0,0
2020-03-21,Fiji,1,0,0,0,0,0
2020-03-22,Fiji,2,0,1,0,0,0
2020-03-23,Fiji,3,0,1,0,0,0
2020-03-24,Fiji,4,0,1,0,1,0
2020-03-25,Fiji,5,0,1,0,1,0
2020-03-26,Fiji,5,0,0,0,1,0
2020-03-27,Fiji,5,0,0,0,1,0
2020-03-28,Fiji,5,0,0,0,1,0
2020-03-29,Fiji,5,0,0,0,0,0
2020-03-30,Fiji,5,0,0,0,0,0
2020-03-31,Fiji,5,0,0,0,0,0
2020-04-01,Fiji,5,0,0,0,0,0
2020-04-02,Fiji,7,0,2,0,0,0
2020-04-03,Fiji,7,0,0,0,0,0
2020-04-04,Fiji,12,0,5,0,1,0
2020-04-05,Fiji,12,0,0,0,1,0
2020-04-06,Fiji,14,0,2,0,1,0
2020-04-07,Fiji,15,0,1,0,1,0
2020-04-08,Fiji,15,0,0,0,1,0
2020-04-09,Fiji,15,0,0,0,1,0
2020-04-10,Fiji,16,0,1,0,1,0
2020-04-11,Fiji,16,0,0,0,1,0
2020-04-12,Fiji,16,0,0,0,1,0
2020-04-13,Fiji,16,0,0,0,0,0
2020-04-14,Fiji,16,0,0,0,0,0
2020-04-15,Fiji,16,0,0,0,0,0
2020-04-16,Fiji,17,0,1,0,0,0
2020-04-17,Fiji,17,0,0,0,0,0
2020-04-18,Fiji,17,0,0,0,0,0
2020-04-19,Fiji,17,0,0,0,0,0
2020-04-20,Fiji,18,0,1,0,0,0
2020-04-21,Fiji,18,0,0,0,0,0
2020-04-22,Fiji,18,0,0,0,0,0
2020-04-23,Fiji,18,0,0,0,0,0
2020-04-24,Fiji,18,0,0,0,0,0
2020-04-25,Fiji,18,0,0,0,0,0
2020-04-26,Fiji,18,0,0,0,0,0
2020-04-27,Fiji,18,0,0,0,0,0
2020-04-28,Fiji,18,0,0,0,0,0
2020-04-29,Fiji,18,0,0,0,0,0
2020-04-30,Fiji,18,0,0,0,0,0
2020-05-01,Fiji,18,0,0,0,0,0
2020-05-02,Fiji,18,0,0,0,0,0
2020-05-03,Fiji,18,0,0,0,0,0
2020-05-04,Fiji,18,0,0,0,0,0
2020-05-05,Fiji,18,0,0,0,0,0
2020-05-06,Fiji,18,0,0,0,0,0
2020-05-07,Fiji,18,0,0,0,0,0
2020-05-08,Fiji,18,0,0,0,0,0
2020-05-09,Fiji,18,0,0,0,0,0
2020-05-10,Fiji,18,0,0,0,0,0
2020-05-11,Fiji,18,0,0,0,0,0
2020-05-12,Fiji,18,0,0,0,0,0
2020-05-13,Fiji,18,0,0,0,0,0
2020-05-14,Fiji,18,0,0,0,0,0
2020-05-15,Fiji,18,0,0,0,0,0
2020-05-16,Fiji,18,0,0,0,0,0
2020-05-17,Fiji,18,0,0,0,0,0
2020-05-18,Fiji,18,0,0,0,0,0
2020-05-19,Fiji,18,0,0,0,0,0
2020-05-20,Fiji,18,0,0,0,0,0
2020-05-21,Fiji,18,0,0,0,0,0
2020-05-22,Fiji,18,0,0,0,0,0
2020-05-23,Fiji,18,0,0,0,0,0
2020-05-24,Fiji,18,0,0,0,0,0
2020-05-25,Fiji,18,0,0,0,0,0
2020-05-26,Fiji,18,0,0,0,0,0
2020-05-27,Fiji,18,0,0,0,0,0
2020-05-28,Fiji,18,0,0,0,0,0
2020-05-29,Fiji,18,0,0,0,0,0
2020-05-30,Fiji,18,0,0,0,0,0
2020-05-31,Fiji,18,0,0,0,0,0
2020-06-01,Fiji,18,0,0,0,0,0
2020-06-02,Fiji,18,0,0,0,0,0
2020-06-03,Fiji,18,0,0,0,0,0
2020-06-04,Fiji,18,0,0,0,0,0
2020-06-05,Fiji,18,0,0,0,0,0
2020-06-06,Fiji,18,0,0,0,0,0
2020-06-07,Fiji,18,0,0,0,0,0
2020-06-08,Fiji,18,0,0,0,0,0
2020-06-09,Fiji,18,0,0,0,0,0
2020-06-10,Fiji,18,0,0,0,0,0
2020-06-11,Fiji,18,0,0,0,0,0
2020-06-12,Fiji,18,0,0,0,0,0
2020-06-13,Fiji,18,0,0,0,0,0
2020-06-14,Fiji,18,0,0,0,0,0
2020-06-15,Fiji,18,0,0,0,0,0
