Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Finland,0,0,0,0,0,0
2020-01-23,Finland,0,0,0,0,0,0
2020-01-24,Finland,0,0,0,0,0,0
2020-01-25,Finland,0,0,0,0,0,0
2020-01-26,Finland,0,0,0,0,0,0
2020-01-27,Finland,0,0,0,0,0,0
2020-01-28,Finland,0,0,0,0,0,0
2020-01-29,Finland,1,0,1,0,0,0
2020-01-30,Finland,1,0,0,0,0,0
2020-01-31,Finland,1,0,0,0,0,0
2020-02-01,Finland,1,0,0,0,0,0
2020-02-02,Finland,1,0,0,0,0,0
2020-02-03,Finland,1,0,0,0,0,0
2020-02-04,Finland,1,0,0,0,0,0
2020-02-05,Finland,1,0,0,0,0,0
2020-02-06,Finland,1,0,0,0,0,0
2020-02-07,Finland,1,0,0,0,0,0
2020-02-08,Finland,1,0,0,0,0,0
2020-02-09,Finland,1,0,0,0,0,0
2020-02-10,Finland,1,0,0,0,0,0
2020-02-11,Finland,2,0,1,0,0,0
2020-02-12,Finland,2,0,0,0,0,0
2020-02-13,Finland,2,0,0,0,0,0
2020-02-14,Finland,2,0,0,0,0,0
2020-02-15,Finland,2,0,0,0,0,0
2020-02-16,Finland,2,0,0,0,0,0
2020-02-17,Finland,2,0,0,0,0,0
2020-02-18,Finland,2,0,0,0,0,0
2020-02-19,Finland,2,0,0,0,0,0
2020-02-20,Finland,2,0,0,0,0,0
2020-02-21,Finland,2,0,0,0,0,0
2020-02-22,Finland,2,0,0,0,0,0
2020-02-23,Finland,3,0,1,0,0,0
2020-02-24,Finland,3,0,0,0,0,0
2020-02-25,Finland,3,0,0,0,0,0
2020-02-26,Finland,4,0,1,0,0,0
2020-02-27,Finland,4,0,0,0,0,0
2020-02-28,Finland,5,0,1,0,0,0
2020-02-29,Finland,8,0,3,0,1,0
2020-03-01,Finland,9,0,1,0,1,0
2020-03-02,Finland,10,0,1,0,1,0
2020-03-03,Finland,10,0,0,0,1,0
2020-03-04,Finland,14,0,4,0,1,0
2020-03-05,Finland,20,0,6,0,2,0
2020-03-06,Finland,21,0,1,0,2,0
2020-03-07,Finland,28,1,7,1,3,0
2020-03-08,Finland,35,1,7,0,4,0
2020-03-09,Finland,44,1,9,0,5,0
2020-03-10,Finland,61,1,17,0,7,0
2020-03-11,Finland,115,1,54,0,14,0
2020-03-12,Finland,191,1,76,0,24,0
2020-03-13,Finland,251,1,60,0,33,0
2020-03-14,Finland,279,2,28,1,36,0
2020-03-15,Finland,308,3,29,1,39,0
2020-03-16,Finland,361,3,53,0,45,0
2020-03-17,Finland,413,4,52,1,50,0
2020-03-18,Finland,460,6,47,2,49,1
2020-03-19,Finland,550,6,90,0,51,1
2020-03-20,Finland,649,7,99,1,57,1
2020-03-21,Finland,736,8,87,1,65,1
2020-03-22,Finland,823,10,87,2,74,1
2020-03-23,Finland,901,11,78,1,77,1
2020-03-24,Finland,985,15,84,4,82,2
2020-03-25,Finland,1084,16,99,1,89,1
2020-03-26,Finland,1188,21,104,5,91,2
2020-03-27,Finland,1301,25,113,4,93,3
2020-03-28,Finland,1396,27,95,2,94,3
2020-03-29,Finland,1473,31,77,4,93,3
2020-03-30,Finland,1543,41,70,10,92,4
2020-03-31,Finland,1672,51,129,10,98,5
2020-04-01,Finland,1797,58,125,7,102,6
2020-04-02,Finland,1946,62,149,4,108,6
2020-04-03,Finland,2107,68,161,6,115,6
2020-04-04,Finland,2306,73,199,5,130,7
2020-04-05,Finland,2387,80,81,7,131,7
2020-04-06,Finland,2509,84,122,4,138,6
2020-04-07,Finland,2718,94,209,10,149,6
