Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,France,0,0,0,0,0,0
2020-01-23,France,0,0,0,0,0,0
2020-01-24,France,2,0,2,0,0,0
2020-01-25,France,3,0,1,0,0,0
2020-01-26,France,3,0,0,0,0,0
2020-01-27,France,3,0,0,0,0,0
2020-01-28,France,4,0,1,0,1,0
2020-01-29,France,5,0,1,0,1,0
2020-01-30,France,5,0,0,0,1,0
2020-01-31,France,5,0,0,0,0,0
2020-02-01,France,6,0,1,0,0,0
2020-02-02,France,6,0,0,0,0,0
2020-02-03,France,6,0,0,0,0,0
2020-02-04,France,6,0,0,0,0,0
2020-02-05,France,6,0,0,0,0,0
2020-02-06,France,6,0,0,0,0,0
2020-02-07,France,6,0,0,0,0,0
2020-02-08,France,11,0,5,0,1,0
2020-02-09,France,11,0,0,0,1,0
2020-02-10,France,11,0,0,0,1,0
2020-02-11,France,11,0,0,0,1,0
2020-02-12,France,11,0,0,0,1,0
2020-02-13,France,11,0,0,0,1,0
2020-02-14,France,11,0,0,0,1,0
2020-02-15,France,12,1,1,1,0,0
2020-02-16,France,12,1,0,0,0,0
2020-02-17,France,12,1,0,0,0,0
2020-02-18,France,12,1,0,0,0,0
2020-02-19,France,12,1,0,0,0,0
2020-02-20,France,12,1,0,0,0,0
2020-02-21,France,12,1,0,0,0,0
2020-02-22,France,12,1,0,0,0,0
2020-02-23,France,12,1,0,0,0,0
2020-02-24,France,12,1,0,0,0,0
2020-02-25,France,14,1,2,0,0,0
2020-02-26,France,18,2,4,1,1,0
2020-02-27,France,38,2,20,0,4,0
2020-02-28,France,57,2,19,0,6,0
2020-02-29,France,100,2,43,0,13,0
2020-03-01,France,130,2,30,0,17,0
2020-03-02,France,191,3,61,1,26,0
2020-03-03,France,212,4,21,1,28,0
2020-03-04,France,288,4,76,0,39,0
2020-03-05,France,426,7,138,3,55,1
2020-03-06,France,616,9,190,2,80,1
2020-03-07,France,948,16,332,7,121,2
2020-03-08,France,1125,19,177,3,142,2
2020-03-09,France,1411,25,286,6,174,3
2020-03-10,France,1783,33,372,8,224,4
2020-03-11,France,2293,48,510,15,286,6
2020-03-12,France,2293,48,0,0,267,6
2020-03-13,France,3681,79,1388,31,438,10
2020-03-14,France,4496,91,815,12,507,11
2020-03-15,France,4532,91,36,0,487,10
2020-03-16,France,6683,149,2151,58,753,18
2020-03-17,France,7715,149,1032,0,847,17
2020-03-18,France,9124,149,1409,0,976,14
2020-03-19,France,10970,244,1846,95,1240,28
2020-03-20,France,12758,451,1788,207,1297,53
2020-03-21,France,14463,563,1705,112,1424,67
2020-03-22,France,16761,676,2298,113,1747,84
2020-03-23,France,20120,862,3359,186,1920,102
2020-03-24,France,22372,1102,2252,240,2094,136
2020-03-25,France,25331,1333,2959,231,2315,169
2020-03-26,France,29252,1697,3921,364,2612,208
2020-03-27,France,33045,1996,3793,299,2898,221
2020-03-28,France,37693,2314,4648,318,3319,250
2020-03-29,France,40296,2608,2603,294,3362,276
2020-03-30,France,44645,3025,4349,417,3504,309
2020-03-31,France,52281,3526,7636,501,4273,346
2020-04-01,France,57125,4779,4844,1253,4542,492
2020-04-02,France,59227,5388,2102,609,4282,527
2020-04-03,France,64452,6510,5225,1122,4487,645
