Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Gabon,0,0,0,0,0,0
2020-01-23,Gabon,0,0,0,0,0,0
2020-01-24,Gabon,0,0,0,0,0,0
2020-01-25,Gabon,0,0,0,0,0,0
2020-01-26,Gabon,0,0,0,0,0,0
2020-01-27,Gabon,0,0,0,0,0,0
2020-01-28,Gabon,0,0,0,0,0,0
2020-01-29,Gabon,0,0,0,0,0,0
2020-01-30,Gabon,0,0,0,0,0,0
2020-01-31,Gabon,0,0,0,0,0,0
2020-02-01,Gabon,0,0,0,0,0,0
2020-02-02,Gabon,0,0,0,0,0,0
2020-02-03,Gabon,0,0,0,0,0,0
2020-02-04,Gabon,0,0,0,0,0,0
2020-02-05,Gabon,0,0,0,0,0,0
2020-02-06,Gabon,0,0,0,0,0,0
2020-02-07,Gabon,0,0,0,0,0,0
2020-02-08,Gabon,0,0,0,0,0,0
2020-02-09,Gabon,0,0,0,0,0,0
2020-02-10,Gabon,0,0,0,0,0,0
2020-02-11,Gabon,0,0,0,0,0,0
2020-02-12,Gabon,0,0,0,0,0,0
2020-02-13,Gabon,0,0,0,0,0,0
2020-02-14,Gabon,0,0,0,0,0,0
2020-02-15,Gabon,0,0,0,0,0,0
2020-02-16,Gabon,0,0,0,0,0,0
2020-02-17,Gabon,0,0,0,0,0,0
2020-02-18,Gabon,0,0,0,0,0,0
2020-02-19,Gabon,0,0,0,0,0,0
2020-02-20,Gabon,0,0,0,0,0,0
2020-02-21,Gabon,0,0,0,0,0,0
2020-02-22,Gabon,0,0,0,0,0,0
2020-02-23,Gabon,0,0,0,0,0,0
2020-02-24,Gabon,0,0,0,0,0,0
2020-02-25,Gabon,0,0,0,0,0,0
2020-02-26,Gabon,0,0,0,0,0,0
2020-02-27,Gabon,0,0,0,0,0,0
2020-02-28,Gabon,0,0,0,0,0,0
2020-02-29,Gabon,0,0,0,0,0,0
2020-03-01,Gabon,0,0,0,0,0,0
2020-03-02,Gabon,0,0,0,0,0,0
2020-03-03,Gabon,0,0,0,0,0,0
2020-03-04,Gabon,0,0,0,0,0,0
2020-03-05,Gabon,0,0,0,0,0,0
2020-03-06,Gabon,0,0,0,0,0,0
2020-03-07,Gabon,0,0,0,0,0,0
2020-03-08,Gabon,0,0,0,0,0,0
2020-03-09,Gabon,0,0,0,0,0,0
2020-03-10,Gabon,0,0,0,0,0,0
2020-03-11,Gabon,0,0,0,0,0,0
2020-03-12,Gabon,0,0,0,0,0,0
2020-03-13,Gabon,0,0,0,0,0,0
2020-03-14,Gabon,1,0,1,0,0,0
2020-03-15,Gabon,1,0,0,0,0,0
2020-03-16,Gabon,1,0,0,0,0,0
2020-03-17,Gabon,1,0,0,0,0,0
2020-03-18,Gabon,1,0,0,0,0,0
2020-03-19,Gabon,1,0,0,0,0,0
2020-03-20,Gabon,3,1,2,1,0,0
2020-03-21,Gabon,4,1,1,0,0,0
2020-03-22,Gabon,5,1,1,0,1,0
