Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Gambia,0,0,0,0,0,0
2020-01-23,Gambia,0,0,0,0,0,0
2020-01-24,Gambia,0,0,0,0,0,0
2020-01-25,Gambia,0,0,0,0,0,0
2020-01-26,Gambia,0,0,0,0,0,0
2020-01-27,Gambia,0,0,0,0,0,0
2020-01-28,Gambia,0,0,0,0,0,0
2020-01-29,Gambia,0,0,0,0,0,0
2020-01-30,Gambia,0,0,0,0,0,0
2020-01-31,Gambia,0,0,0,0,0,0
2020-02-01,Gambia,0,0,0,0,0,0
2020-02-02,Gambia,0,0,0,0,0,0
2020-02-03,Gambia,0,0,0,0,0,0
2020-02-04,Gambia,0,0,0,0,0,0
2020-02-05,Gambia,0,0,0,0,0,0
2020-02-06,Gambia,0,0,0,0,0,0
2020-02-07,Gambia,0,0,0,0,0,0
2020-02-08,Gambia,0,0,0,0,0,0
2020-02-09,Gambia,0,0,0,0,0,0
2020-02-10,Gambia,0,0,0,0,0,0
2020-02-11,Gambia,0,0,0,0,0,0
2020-02-12,Gambia,0,0,0,0,0,0
2020-02-13,Gambia,0,0,0,0,0,0
2020-02-14,Gambia,0,0,0,0,0,0
2020-02-15,Gambia,0,0,0,0,0,0
2020-02-16,Gambia,0,0,0,0,0,0
2020-02-17,Gambia,0,0,0,0,0,0
2020-02-18,Gambia,0,0,0,0,0,0
2020-02-19,Gambia,0,0,0,0,0,0
2020-02-20,Gambia,0,0,0,0,0,0
2020-02-21,Gambia,0,0,0,0,0,0
2020-02-22,Gambia,0,0,0,0,0,0
2020-02-23,Gambia,0,0,0,0,0,0
2020-02-24,Gambia,0,0,0,0,0,0
2020-02-25,Gambia,0,0,0,0,0,0
2020-02-26,Gambia,0,0,0,0,0,0
2020-02-27,Gambia,0,0,0,0,0,0
2020-02-28,Gambia,0,0,0,0,0,0
2020-02-29,Gambia,0,0,0,0,0,0
2020-03-01,Gambia,0,0,0,0,0,0
2020-03-02,Gambia,0,0,0,0,0,0
2020-03-03,Gambia,0,0,0,0,0,0
2020-03-04,Gambia,0,0,0,0,0,0
2020-03-05,Gambia,0,0,0,0,0,0
2020-03-06,Gambia,0,0,0,0,0,0
2020-03-07,Gambia,0,0,0,0,0,0
2020-03-08,Gambia,0,0,0,0,0,0
2020-03-09,Gambia,0,0,0,0,0,0
2020-03-10,Gambia,0,0,0,0,0,0
2020-03-11,Gambia,0,0,0,0,0,0
2020-03-12,Gambia,0,0,0,0,0,0
2020-03-13,Gambia,0,0,0,0,0,0
2020-03-14,Gambia,0,0,0,0,0,0
2020-03-15,Gambia,0,0,0,0,0,0
2020-03-16,Gambia,0,0,0,0,0,0
2020-03-17,Gambia,1,0,1,0,0,0
2020-03-18,Gambia,1,0,0,0,0,0
2020-03-19,Gambia,1,0,0,0,0,0
2020-03-20,Gambia,1,0,0,0,0,0
