Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Georgia,0,0,0,0,0,0
2020-01-23,Georgia,0,0,0,0,0,0
2020-01-24,Georgia,0,0,0,0,0,0
2020-01-25,Georgia,0,0,0,0,0,0
2020-01-26,Georgia,0,0,0,0,0,0
2020-01-27,Georgia,0,0,0,0,0,0
2020-01-28,Georgia,0,0,0,0,0,0
2020-01-29,Georgia,0,0,0,0,0,0
2020-01-30,Georgia,0,0,0,0,0,0
2020-01-31,Georgia,0,0,0,0,0,0
2020-02-01,Georgia,0,0,0,0,0,0
2020-02-02,Georgia,0,0,0,0,0,0
2020-02-03,Georgia,0,0,0,0,0,0
2020-02-04,Georgia,0,0,0,0,0,0
2020-02-05,Georgia,0,0,0,0,0,0
2020-02-06,Georgia,0,0,0,0,0,0
2020-02-07,Georgia,0,0,0,0,0,0
2020-02-08,Georgia,0,0,0,0,0,0
2020-02-09,Georgia,0,0,0,0,0,0
2020-02-10,Georgia,0,0,0,0,0,0
2020-02-11,Georgia,0,0,0,0,0,0
2020-02-12,Georgia,0,0,0,0,0,0
2020-02-13,Georgia,0,0,0,0,0,0
2020-02-14,Georgia,0,0,0,0,0,0
2020-02-15,Georgia,0,0,0,0,0,0
2020-02-16,Georgia,0,0,0,0,0,0
2020-02-17,Georgia,0,0,0,0,0,0
2020-02-18,Georgia,0,0,0,0,0,0
2020-02-19,Georgia,0,0,0,0,0,0
2020-02-20,Georgia,0,0,0,0,0,0
2020-02-21,Georgia,0,0,0,0,0,0
2020-02-22,Georgia,0,0,0,0,0,0
2020-02-23,Georgia,0,0,0,0,0,0
2020-02-24,Georgia,0,0,0,0,0,0
2020-02-25,Georgia,0,0,0,0,0,0
2020-02-26,Georgia,1,0,1,0,0,0
2020-02-27,Georgia,1,0,0,0,0,0
2020-02-28,Georgia,1,0,0,0,0,0
2020-02-29,Georgia,1,0,0,0,0,0
2020-03-01,Georgia,3,0,2,0,0,0
2020-03-02,Georgia,3,0,0,0,0,0
2020-03-03,Georgia,3,0,0,0,0,0
2020-03-04,Georgia,3,0,0,0,0,0
2020-03-05,Georgia,4,0,1,0,0,0
2020-03-06,Georgia,4,0,0,0,0,0
2020-03-07,Georgia,4,0,0,0,0,0
2020-03-08,Georgia,13,0,9,0,1,0
2020-03-09,Georgia,15,0,2,0,2,0
2020-03-10,Georgia,15,0,0,0,2,0
2020-03-11,Georgia,24,0,9,0,3,0
2020-03-12,Georgia,24,0,0,0,3,0
2020-03-13,Georgia,25,0,1,0,3,0
2020-03-14,Georgia,30,0,5,0,4,0
2020-03-15,Georgia,33,0,3,0,3,0
2020-03-16,Georgia,33,0,0,0,3,0
2020-03-17,Georgia,34,0,1,0,3,0
2020-03-18,Georgia,38,0,4,0,2,0
2020-03-19,Georgia,40,0,2,0,2,0
2020-03-20,Georgia,43,0,3,0,3,0
2020-03-21,Georgia,49,0,6,0,3,0
2020-03-22,Georgia,54,0,5,0,3,0
2020-03-23,Georgia,61,0,7,0,4,0
2020-03-24,Georgia,70,0,9,0,5,0
2020-03-25,Georgia,75,0,5,0,5,0
2020-03-26,Georgia,79,0,4,0,6,0
2020-03-27,Georgia,83,0,4,0,6,0
2020-03-28,Georgia,90,0,7,0,6,0
2020-03-29,Georgia,91,0,1,0,5,0
2020-03-30,Georgia,103,0,12,0,6,0
2020-03-31,Georgia,110,0,7,0,6,0
2020-04-01,Georgia,117,0,7,0,6,0
2020-04-02,Georgia,134,0,17,0,8,0
2020-04-03,Georgia,155,0,21,0,10,0
2020-04-04,Georgia,162,1,7,1,10,0
2020-04-05,Georgia,174,2,12,1,12,0
2020-04-06,Georgia,188,2,14,0,12,0
2020-04-07,Georgia,196,3,8,1,12,0
2020-04-08,Georgia,211,3,15,0,13,0
2020-04-09,Georgia,218,3,7,0,12,0
2020-04-10,Georgia,234,3,16,0,11,0
2020-04-11,Georgia,242,3,8,0,11,0
