Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Germany,0,0,0,0,0,0
2020-01-23,Germany,0,0,0,0,0,0
2020-01-24,Germany,0,0,0,0,0,0
2020-01-25,Germany,0,0,0,0,0,0
2020-01-26,Germany,0,0,0,0,0,0
2020-01-27,Germany,1,0,1,0,0,0
2020-01-28,Germany,4,0,3,0,1,0
2020-01-29,Germany,4,0,0,0,1,0
2020-01-30,Germany,4,0,0,0,1,0
2020-01-31,Germany,5,0,1,0,1,0
2020-02-01,Germany,8,0,3,0,1,0
2020-02-02,Germany,10,0,2,0,1,0
2020-02-03,Germany,12,0,2,0,2,0
2020-02-04,Germany,12,0,0,0,1,0
2020-02-05,Germany,12,0,0,0,1,0
2020-02-06,Germany,12,0,0,0,1,0
2020-02-07,Germany,13,0,1,0,1,0
2020-02-08,Germany,13,0,0,0,1,0
2020-02-09,Germany,14,0,1,0,1,0
2020-02-10,Germany,14,0,0,0,0,0
2020-02-11,Germany,16,0,2,0,1,0
2020-02-12,Germany,16,0,0,0,1,0
2020-02-13,Germany,16,0,0,0,1,0
2020-02-14,Germany,16,0,0,0,0,0
2020-02-15,Germany,16,0,0,0,0,0
2020-02-16,Germany,16,0,0,0,0,0
2020-02-17,Germany,16,0,0,0,0,0
2020-02-18,Germany,16,0,0,0,0,0
2020-02-19,Germany,16,0,0,0,0,0
2020-02-20,Germany,16,0,0,0,0,0
2020-02-21,Germany,16,0,0,0,0,0
2020-02-22,Germany,16,0,0,0,0,0
2020-02-23,Germany,16,0,0,0,0,0
2020-02-24,Germany,16,0,0,0,0,0
2020-02-25,Germany,16,0,0,0,0,0
2020-02-26,Germany,21,0,5,0,1,0
2020-02-27,Germany,26,0,5,0,1,0
2020-02-28,Germany,53,0,27,0,5,0
2020-02-29,Germany,66,0,13,0,7,0
2020-03-01,Germany,117,0,51,0,14,0
2020-03-02,Germany,150,0,33,0,19,0
2020-03-03,Germany,188,0,38,0,25,0
2020-03-04,Germany,240,0,52,0,31,0
2020-03-05,Germany,349,0,109,0,46,0
2020-03-06,Germany,534,0,185,0,69,0
2020-03-07,Germany,684,0,150,0,88,0
2020-03-08,Germany,847,0,163,0,104,0
2020-03-09,Germany,1112,2,265,2,137,0
2020-03-10,Germany,1296,2,184,0,158,0
2020-03-11,Germany,1567,3,271,1,190,0
2020-03-12,Germany,2369,5,802,2,289,1
2020-03-13,Germany,3062,5,693,0,361,1
2020-03-14,Germany,3795,8,733,3,444,1
2020-03-15,Germany,4838,12,1043,4,570,2
2020-03-16,Germany,6012,12,1174,0,700,1
2020-03-17,Germany,7156,12,1144,0,837,1
2020-03-18,Germany,8198,12,1042,0,947,1
2020-03-19,Germany,10999,20,2801,8,1233,2
2020-03-20,Germany,13957,31,2958,11,1556,4
2020-03-21,Germany,16662,47,2705,16,1838,6
2020-03-22,Germany,18610,55,1948,8,1967,6
2020-03-23,Germany,22672,86,4062,31,2380,11
2020-03-24,Germany,27436,114,4764,28,2897,15
2020-03-25,Germany,31554,149,4118,35,3337,20
2020-03-26,Germany,36508,198,4954,49,3644,25
2020-03-27,Germany,42288,253,5780,55,4047,32
2020-03-28,Germany,48582,325,6294,72,4560,40
