Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Ghana,0,0,0,0,0,0
2020-01-23,Ghana,0,0,0,0,0,0
2020-01-24,Ghana,0,0,0,0,0,0
2020-01-25,Ghana,0,0,0,0,0,0
2020-01-26,Ghana,0,0,0,0,0,0
2020-01-27,Ghana,0,0,0,0,0,0
2020-01-28,Ghana,0,0,0,0,0,0
2020-01-29,Ghana,0,0,0,0,0,0
2020-01-30,Ghana,0,0,0,0,0,0
2020-01-31,Ghana,0,0,0,0,0,0
2020-02-01,Ghana,0,0,0,0,0,0
2020-02-02,Ghana,0,0,0,0,0,0
2020-02-03,Ghana,0,0,0,0,0,0
2020-02-04,Ghana,0,0,0,0,0,0
2020-02-05,Ghana,0,0,0,0,0,0
2020-02-06,Ghana,0,0,0,0,0,0
2020-02-07,Ghana,0,0,0,0,0,0
2020-02-08,Ghana,0,0,0,0,0,0
2020-02-09,Ghana,0,0,0,0,0,0
2020-02-10,Ghana,0,0,0,0,0,0
2020-02-11,Ghana,0,0,0,0,0,0
2020-02-12,Ghana,0,0,0,0,0,0
2020-02-13,Ghana,0,0,0,0,0,0
2020-02-14,Ghana,0,0,0,0,0,0
2020-02-15,Ghana,0,0,0,0,0,0
2020-02-16,Ghana,0,0,0,0,0,0
2020-02-17,Ghana,0,0,0,0,0,0
2020-02-18,Ghana,0,0,0,0,0,0
2020-02-19,Ghana,0,0,0,0,0,0
2020-02-20,Ghana,0,0,0,0,0,0
2020-02-21,Ghana,0,0,0,0,0,0
2020-02-22,Ghana,0,0,0,0,0,0
2020-02-23,Ghana,0,0,0,0,0,0
2020-02-24,Ghana,0,0,0,0,0,0
2020-02-25,Ghana,0,0,0,0,0,0
2020-02-26,Ghana,0,0,0,0,0,0
2020-02-27,Ghana,0,0,0,0,0,0
2020-02-28,Ghana,0,0,0,0,0,0
2020-02-29,Ghana,0,0,0,0,0,0
2020-03-01,Ghana,0,0,0,0,0,0
2020-03-02,Ghana,0,0,0,0,0,0
2020-03-03,Ghana,0,0,0,0,0,0
2020-03-04,Ghana,0,0,0,0,0,0
2020-03-05,Ghana,0,0,0,0,0,0
2020-03-06,Ghana,0,0,0,0,0,0
2020-03-07,Ghana,0,0,0,0,0,0
2020-03-08,Ghana,0,0,0,0,0,0
2020-03-09,Ghana,0,0,0,0,0,0
2020-03-10,Ghana,0,0,0,0,0,0
2020-03-11,Ghana,0,0,0,0,0,0
2020-03-12,Ghana,0,0,0,0,0,0
2020-03-13,Ghana,0,0,0,0,0,0
2020-03-14,Ghana,3,0,3,0,0,0
2020-03-15,Ghana,6,0,3,0,1,0
2020-03-16,Ghana,6,0,0,0,1,0
2020-03-17,Ghana,7,0,1,0,1,0
2020-03-18,Ghana,7,0,0,0,1,0
2020-03-19,Ghana,11,0,4,0,2,0
2020-03-20,Ghana,16,0,5,0,2,0
2020-03-21,Ghana,19,1,3,1,2,0
2020-03-22,Ghana,23,1,4,0,2,0
2020-03-23,Ghana,27,2,4,1,3,0
2020-03-24,Ghana,53,2,26,0,7,0
2020-03-25,Ghana,93,4,40,2,12,1
2020-03-26,Ghana,132,4,39,0,17,1
2020-03-27,Ghana,137,4,5,0,17,1
2020-03-28,Ghana,141,5,4,1,17,1
2020-03-29,Ghana,152,5,11,0,18,1
2020-03-30,Ghana,152,5,0,0,18,0
2020-03-31,Ghana,161,5,9,0,15,0
2020-04-01,Ghana,195,5,34,0,15,0
2020-04-02,Ghana,204,5,9,0,10,0
2020-04-03,Ghana,205,5,1,0,10,0
2020-04-04,Ghana,205,5,0,0,9,0
2020-04-05,Ghana,214,5,9,0,9,0
2020-04-06,Ghana,214,5,0,0,9,0
2020-04-07,Ghana,287,5,73,0,18,0
2020-04-08,Ghana,313,6,26,1,17,0
2020-04-09,Ghana,378,6,65,0,25,0
2020-04-10,Ghana,378,6,0,0,25,0
2020-04-11,Ghana,408,8,30,2,29,0
2020-04-12,Ghana,566,8,158,0,50,0
2020-04-13,Ghana,566,8,0,0,50,0
2020-04-14,Ghana,636,8,70,0,50,0
2020-04-15,Ghana,636,8,0,0,46,0
2020-04-16,Ghana,641,8,5,0,38,0
2020-04-17,Ghana,641,8,0,0,38,0
2020-04-18,Ghana,834,9,193,1,61,0
2020-04-19,Ghana,1042,9,208,0,68,0
2020-04-20,Ghana,1042,9,0,0,68,0
2020-04-21,Ghana,1042,9,0,0,58,0
2020-04-22,Ghana,1154,9,112,0,74,0
2020-04-23,Ghana,1154,9,0,0,73,0
2020-04-24,Ghana,1279,10,125,1,91,0
2020-04-25,Ghana,1279,10,0,0,64,0
2020-04-26,Ghana,1550,11,271,1,73,0
2020-04-27,Ghana,1550,11,0,0,73,0
2020-04-28,Ghana,1671,16,121,5,90,1
2020-04-29,Ghana,1671,16,0,0,74,1
2020-04-30,Ghana,2074,17,403,1,131,1
2020-05-01,Ghana,2074,17,0,0,114,1
2020-05-02,Ghana,2169,18,95,1,127,1
2020-05-03,Ghana,2169,18,0,0,88,1
2020-05-04,Ghana,2719,18,550,0,167,1
2020-05-05,Ghana,2719,18,0,0,150,0
2020-05-06,Ghana,3091,18,372,0,203,0
2020-05-07,Ghana,3091,18,0,0,145,0
2020-05-08,Ghana,4012,18,921,0,277,0
2020-05-09,Ghana,4263,22,251,4,299,1
2020-05-10,Ghana,4263,22,0,0,299,1
2020-05-11,Ghana,4700,22,437,0,283,1
2020-05-12,Ghana,5127,22,427,0,344,1
2020-05-13,Ghana,5408,24,281,2,331,1
2020-05-14,Ghana,5530,24,122,0,348,1
2020-05-15,Ghana,5638,28,108,4,232,1
2020-05-16,Ghana,5735,29,97,1,210,1
2020-05-17,Ghana,5735,29,0,0,210,1
2020-05-18,Ghana,5735,29,0,0,148,1
2020-05-19,Ghana,6096,31,361,2,138,1
2020-05-20,Ghana,6269,31,173,0,123,1
2020-05-21,Ghana,6269,31,0,0,106,1
2020-05-22,Ghana,6486,31,217,0,121,0
2020-05-23,Ghana,6617,31,131,0,126,0
2020-05-24,Ghana,6683,32,66,1,135,0
2020-05-25,Ghana,6808,32,125,0,153,0
2020-05-26,Ghana,7117,34,309,2,146,0
2020-05-27,Ghana,7303,34,186,0,148,0
2020-05-28,Ghana,7303,34,0,0,148,0
2020-05-29,Ghana,7616,34,313,0,161,0
2020-05-30,Ghana,7768,35,152,1,164,1
2020-05-31,Ghana,8070,36,302,1,198,1
2020-06-01,Ghana,8070,36,0,0,180,1
2020-06-02,Ghana,8297,38,227,2,169,1
2020-06-03,Ghana,8548,38,251,0,178,1
2020-06-04,Ghana,8885,38,337,0,226,1
2020-06-05,Ghana,9168,42,283,4,222,1
2020-06-06,Ghana,9462,44,294,2,242,1
2020-06-07,Ghana,9638,44,176,0,224,1
2020-06-08,Ghana,9910,48,272,4,263,2
2020-06-09,Ghana,10201,48,291,0,272,1
2020-06-10,Ghana,10201,48,0,0,236,1
2020-06-11,Ghana,10358,48,157,0,210,1
2020-06-12,Ghana,10856,48,498,0,241,1
2020-06-13,Ghana,11118,48,262,0,237,1
2020-06-14,Ghana,11964,54,846,6,332,1
2020-06-15,Ghana,11964,54,0,0,293,1
2020-06-16,Ghana,12193,58,229,4,285,1
2020-06-17,Ghana,12590,66,397,8,341,3
2020-06-18,Ghana,12929,66,339,0,367,3
2020-06-19,Ghana,13203,70,274,4,335,3
2020-06-20,Ghana,13717,85,514,15,371,5
2020-06-21,Ghana,14154,85,437,0,313,4
2020-06-22,Ghana,14154,85,0,0,313,4
2020-06-23,Ghana,14568,95,414,10,339,5
2020-06-24,Ghana,15013,95,445,0,346,4
2020-06-25,Ghana,15473,95,460,0,363,4
2020-06-26,Ghana,15834,103,361,8,376,5
2020-06-27,Ghana,16431,103,597,0,388,3
2020-06-28,Ghana,16742,112,311,9,370,4
2020-06-29,Ghana,17351,112,609,0,457,4
2020-06-30,Ghana,17741,112,390,0,453,2
2020-07-01,Ghana,18134,117,393,5,446,3
2020-07-02,Ghana,18134,117,0,0,380,3
2020-07-03,Ghana,19388,117,1254,0,508,2
2020-07-04,Ghana,19388,117,0,0,422,2
2020-07-05,Ghana,20085,122,697,5,478,1
2020-07-06,Ghana,21077,129,992,7,532,2
2020-07-07,Ghana,21968,129,891,0,604,2
2020-07-08,Ghana,22822,129,854,0,670,2
2020-07-09,Ghana,23463,129,641,0,761,2
2020-07-10,Ghana,23834,135,371,6,635,3
2020-07-11,Ghana,24248,135,414,0,694,3
2020-07-12,Ghana,24518,139,270,4,633,2
2020-07-13,Ghana,24988,139,470,0,559,1
2020-07-14,Ghana,24988,139,0,0,431,1
2020-07-15,Ghana,25430,139,442,0,373,1
2020-07-16,Ghana,26125,139,695,0,380,1
2020-07-17,Ghana,26572,144,447,5,391,1
2020-07-18,Ghana,27060,145,488,1,402,1
2020-07-19,Ghana,27667,148,607,3,450,1
2020-07-20,Ghana,28430,153,763,5,492,2
2020-07-21,Ghana,28989,153,559,0,572,2
2020-07-22,Ghana,29672,153,683,0,606,2
2020-07-23,Ghana,29672,153,0,0,507,2
2020-07-24,Ghana,31057,161,1385,8,641,2
2020-07-25,Ghana,31851,161,794,0,684,2
2020-07-26,Ghana,32969,168,1118,7,757,3
2020-07-27,Ghana,33624,168,655,0,742,2
2020-07-28,Ghana,34406,168,782,0,774,2
2020-07-29,Ghana,35142,175,736,7,781,3
2020-07-30,Ghana,35142,175,0,0,781,3
2020-07-31,Ghana,35501,182,359,7,635,3
2020-08-01,Ghana,37014,182,1513,0,738,3
2020-08-02,Ghana,37014,182,0,0,578,2
2020-08-03,Ghana,37812,191,798,9,598,3
2020-08-04,Ghana,37812,191,0,0,487,3
2020-08-05,Ghana,39075,199,1263,8,562,3
2020-08-06,Ghana,39642,199,567,0,643,3
2020-08-07,Ghana,40097,206,455,7,657,3
2020-08-08,Ghana,40533,206,436,0,503,3
2020-08-09,Ghana,41003,215,470,9,570,5
2020-08-10,Ghana,41212,215,209,0,486,3
2020-08-11,Ghana,41404,215,192,0,513,3
2020-08-12,Ghana,41572,223,168,8,357,3
2020-08-13,Ghana,41725,223,153,0,298,3
2020-08-14,Ghana,41847,223,122,0,250,2
2020-08-15,Ghana,42210,231,363,8,240,4
2020-08-16,Ghana,42532,231,322,0,218,2
2020-08-17,Ghana,42653,239,121,8,206,3
2020-08-18,Ghana,42993,248,340,9,227,5
2020-08-19,Ghana,43094,256,101,8,217,5
2020-08-20,Ghana,43260,261,166,5,219,5
2020-08-21,Ghana,43325,261,65,0,211,5
2020-08-22,Ghana,43325,261,0,0,159,4
2020-08-23,Ghana,43505,261,180,0,139,4
2020-08-24,Ghana,43622,263,117,2,138,3
2020-08-25,Ghana,43717,270,95,7,103,3
2020-08-26,Ghana,43769,270,52,0,96,2
