Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Greece,0,0,0,0,0,0
2020-01-23,Greece,0,0,0,0,0,0
2020-01-24,Greece,0,0,0,0,0,0
2020-01-25,Greece,0,0,0,0,0,0
2020-01-26,Greece,0,0,0,0,0,0
2020-01-27,Greece,0,0,0,0,0,0
2020-01-28,Greece,0,0,0,0,0,0
2020-01-29,Greece,0,0,0,0,0,0
2020-01-30,Greece,0,0,0,0,0,0
2020-01-31,Greece,0,0,0,0,0,0
2020-02-01,Greece,0,0,0,0,0,0
2020-02-02,Greece,0,0,0,0,0,0
2020-02-03,Greece,0,0,0,0,0,0
2020-02-04,Greece,0,0,0,0,0,0
2020-02-05,Greece,0,0,0,0,0,0
2020-02-06,Greece,0,0,0,0,0,0
2020-02-07,Greece,0,0,0,0,0,0
2020-02-08,Greece,0,0,0,0,0,0
2020-02-09,Greece,0,0,0,0,0,0
2020-02-10,Greece,0,0,0,0,0,0
2020-02-11,Greece,0,0,0,0,0,0
2020-02-12,Greece,0,0,0,0,0,0
2020-02-13,Greece,0,0,0,0,0,0
2020-02-14,Greece,0,0,0,0,0,0
2020-02-15,Greece,0,0,0,0,0,0
2020-02-16,Greece,0,0,0,0,0,0
2020-02-17,Greece,0,0,0,0,0,0
2020-02-18,Greece,0,0,0,0,0,0
2020-02-19,Greece,0,0,0,0,0,0
2020-02-20,Greece,0,0,0,0,0,0
2020-02-21,Greece,0,0,0,0,0,0
2020-02-22,Greece,0,0,0,0,0,0
2020-02-23,Greece,0,0,0,0,0,0
2020-02-24,Greece,0,0,0,0,0,0
2020-02-25,Greece,0,0,0,0,0,0
2020-02-26,Greece,1,0,1,0,0,0
2020-02-27,Greece,3,0,2,0,0,0
2020-02-28,Greece,4,0,1,0,1,0
2020-02-29,Greece,4,0,0,0,1,0
2020-03-01,Greece,7,0,3,0,1,0
2020-03-02,Greece,7,0,0,0,1,0
2020-03-03,Greece,7,0,0,0,1,0
2020-03-04,Greece,9,0,2,0,1,0
2020-03-05,Greece,31,0,22,0,4,0
2020-03-06,Greece,45,0,14,0,6,0
2020-03-07,Greece,46,0,1,0,6,0
2020-03-08,Greece,73,0,27,0,9,0
2020-03-09,Greece,73,0,0,0,9,0
2020-03-10,Greece,89,0,16,0,12,0
2020-03-11,Greece,99,1,10,1,13,0
2020-03-12,Greece,99,1,0,0,10,0
2020-03-13,Greece,190,1,91,0,21,0
2020-03-14,Greece,228,3,38,2,26,0
2020-03-15,Greece,331,4,103,1,37,1
2020-03-16,Greece,331,4,0,0,37,1
2020-03-17,Greece,387,5,56,1,43,1
2020-03-18,Greece,418,5,31,0,46,1
2020-03-19,Greece,418,6,0,1,46,1
2020-03-20,Greece,495,8,77,2,44,1
2020-03-21,Greece,530,13,35,5,43,1
2020-03-22,Greece,624,15,94,2,42,2
