Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Grenada,0,0,0,0,0,0
2020-01-23,Grenada,0,0,0,0,0,0
2020-01-24,Grenada,0,0,0,0,0,0
2020-01-25,Grenada,0,0,0,0,0,0
2020-01-26,Grenada,0,0,0,0,0,0
2020-01-27,Grenada,0,0,0,0,0,0
2020-01-28,Grenada,0,0,0,0,0,0
2020-01-29,Grenada,0,0,0,0,0,0
2020-01-30,Grenada,0,0,0,0,0,0
2020-01-31,Grenada,0,0,0,0,0,0
2020-02-01,Grenada,0,0,0,0,0,0
2020-02-02,Grenada,0,0,0,0,0,0
2020-02-03,Grenada,0,0,0,0,0,0
2020-02-04,Grenada,0,0,0,0,0,0
2020-02-05,Grenada,0,0,0,0,0,0
2020-02-06,Grenada,0,0,0,0,0,0
2020-02-07,Grenada,0,0,0,0,0,0
2020-02-08,Grenada,0,0,0,0,0,0
2020-02-09,Grenada,0,0,0,0,0,0
2020-02-10,Grenada,0,0,0,0,0,0
2020-02-11,Grenada,0,0,0,0,0,0
2020-02-12,Grenada,0,0,0,0,0,0
2020-02-13,Grenada,0,0,0,0,0,0
2020-02-14,Grenada,0,0,0,0,0,0
2020-02-15,Grenada,0,0,0,0,0,0
2020-02-16,Grenada,0,0,0,0,0,0
2020-02-17,Grenada,0,0,0,0,0,0
2020-02-18,Grenada,0,0,0,0,0,0
2020-02-19,Grenada,0,0,0,0,0,0
2020-02-20,Grenada,0,0,0,0,0,0
2020-02-21,Grenada,0,0,0,0,0,0
2020-02-22,Grenada,0,0,0,0,0,0
2020-02-23,Grenada,0,0,0,0,0,0
2020-02-24,Grenada,0,0,0,0,0,0
2020-02-25,Grenada,0,0,0,0,0,0
2020-02-26,Grenada,0,0,0,0,0,0
2020-02-27,Grenada,0,0,0,0,0,0
2020-02-28,Grenada,0,0,0,0,0,0
2020-02-29,Grenada,0,0,0,0,0,0
2020-03-01,Grenada,0,0,0,0,0,0
2020-03-02,Grenada,0,0,0,0,0,0
2020-03-03,Grenada,0,0,0,0,0,0
2020-03-04,Grenada,0,0,0,0,0,0
2020-03-05,Grenada,0,0,0,0,0,0
2020-03-06,Grenada,0,0,0,0,0,0
2020-03-07,Grenada,0,0,0,0,0,0
2020-03-08,Grenada,0,0,0,0,0,0
2020-03-09,Grenada,0,0,0,0,0,0
2020-03-10,Grenada,0,0,0,0,0,0
2020-03-11,Grenada,0,0,0,0,0,0
2020-03-12,Grenada,0,0,0,0,0,0
2020-03-13,Grenada,0,0,0,0,0,0
2020-03-14,Grenada,0,0,0,0,0,0
2020-03-15,Grenada,0,0,0,0,0,0
2020-03-16,Grenada,0,0,0,0,0,0
2020-03-17,Grenada,0,0,0,0,0,0
2020-03-18,Grenada,0,0,0,0,0,0
2020-03-19,Grenada,0,0,0,0,0,0
2020-03-20,Grenada,0,0,0,0,0,0
2020-03-21,Grenada,0,0,0,0,0,0
2020-03-22,Grenada,1,0,1,0,0,0
2020-03-23,Grenada,1,0,0,0,0,0
2020-03-24,Grenada,1,0,0,0,0,0
2020-03-25,Grenada,1,0,0,0,0,0
2020-03-26,Grenada,7,0,6,0,1,0
2020-03-27,Grenada,7,0,0,0,1,0
2020-03-28,Grenada,7,0,0,0,1,0
2020-03-29,Grenada,9,0,2,0,1,0
2020-03-30,Grenada,9,0,0,0,1,0
2020-03-31,Grenada,9,0,0,0,1,0
2020-04-01,Grenada,9,0,0,0,1,0
2020-04-02,Grenada,10,0,1,0,0,0
2020-04-03,Grenada,12,0,2,0,1,0
2020-04-04,Grenada,12,0,0,0,1,0
2020-04-05,Grenada,12,0,0,0,0,0
2020-04-06,Grenada,12,0,0,0,0,0
2020-04-07,Grenada,12,0,0,0,0,0
2020-04-08,Grenada,12,0,0,0,0,0
2020-04-09,Grenada,12,0,0,0,0,0
2020-04-10,Grenada,14,0,2,0,0,0
2020-04-11,Grenada,14,0,0,0,0,0
2020-04-12,Grenada,14,0,0,0,0,0
2020-04-13,Grenada,14,0,0,0,0,0
2020-04-14,Grenada,14,0,0,0,0,0
2020-04-15,Grenada,14,0,0,0,0,0
2020-04-16,Grenada,14,0,0,0,0,0
2020-04-17,Grenada,14,0,0,0,0,0
2020-04-18,Grenada,14,0,0,0,0,0
2020-04-19,Grenada,14,0,0,0,0,0
2020-04-20,Grenada,14,0,0,0,0,0
2020-04-21,Grenada,14,0,0,0,0,0
2020-04-22,Grenada,15,0,1,0,0,0
2020-04-23,Grenada,15,0,0,0,0,0
2020-04-24,Grenada,15,0,0,0,0,0
2020-04-25,Grenada,18,0,3,0,1,0
2020-04-26,Grenada,18,0,0,0,1,0
2020-04-27,Grenada,18,0,0,0,1,0
2020-04-28,Grenada,19,0,1,0,1,0
2020-04-29,Grenada,20,0,1,0,1,0
2020-04-30,Grenada,20,0,0,0,1,0
2020-05-01,Grenada,20,0,0,0,1,0
2020-05-02,Grenada,21,0,1,0,0,0
2020-05-03,Grenada,21,0,0,0,0,0
2020-05-04,Grenada,21,0,0,0,0,0
2020-05-05,Grenada,21,0,0,0,0,0
2020-05-06,Grenada,21,0,0,0,0,0
2020-05-07,Grenada,21,0,0,0,0,0
2020-05-08,Grenada,21,0,0,0,0,0
2020-05-09,Grenada,21,0,0,0,0,0
2020-05-10,Grenada,21,0,0,0,0,0
2020-05-11,Grenada,21,0,0,0,0,0
2020-05-12,Grenada,21,0,0,0,0,0
2020-05-13,Grenada,21,0,0,0,0,0
2020-05-14,Grenada,21,0,0,0,0,0
2020-05-15,Grenada,22,0,1,0,0,0
2020-05-16,Grenada,22,0,0,0,0,0
2020-05-17,Grenada,22,0,0,0,0,0
2020-05-18,Grenada,22,0,0,0,0,0
2020-05-19,Grenada,22,0,0,0,0,0
2020-05-20,Grenada,22,0,0,0,0,0
2020-05-21,Grenada,22,0,0,0,0,0
2020-05-22,Grenada,22,0,0,0,0,0
2020-05-23,Grenada,22,0,0,0,0,0
2020-05-24,Grenada,22,0,0,0,0,0
2020-05-25,Grenada,23,0,1,0,0,0
2020-05-26,Grenada,23,0,0,0,0,0
2020-05-27,Grenada,23,0,0,0,0,0
2020-05-28,Grenada,23,0,0,0,0,0
2020-05-29,Grenada,23,0,0,0,0,0
2020-05-30,Grenada,23,0,0,0,0,0
2020-05-31,Grenada,23,0,0,0,0,0
2020-06-01,Grenada,23,0,0,0,0,0
2020-06-02,Grenada,23,0,0,0,0,0
2020-06-03,Grenada,23,0,0,0,0,0
2020-06-04,Grenada,23,0,0,0,0,0
2020-06-05,Grenada,23,0,0,0,0,0
2020-06-06,Grenada,23,0,0,0,0,0
2020-06-07,Grenada,23,0,0,0,0,0
2020-06-08,Grenada,23,0,0,0,0,0
2020-06-09,Grenada,23,0,0,0,0,0
2020-06-10,Grenada,23,0,0,0,0,0
2020-06-11,Grenada,23,0,0,0,0,0
2020-06-12,Grenada,23,0,0,0,0,0
2020-06-13,Grenada,23,0,0,0,0,0
2020-06-14,Grenada,23,0,0,0,0,0
2020-06-15,Grenada,23,0,0,0,0,0
2020-06-16,Grenada,23,0,0,0,0,0
2020-06-17,Grenada,23,0,0,0,0,0
2020-06-18,Grenada,23,0,0,0,0,0
2020-06-19,Grenada,23,0,0,0,0,0
2020-06-20,Grenada,23,0,0,0,0,0
2020-06-21,Grenada,23,0,0,0,0,0
