Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Guatemala,0,0,0,0,0,0
2020-01-23,Guatemala,0,0,0,0,0,0
2020-01-24,Guatemala,0,0,0,0,0,0
2020-01-25,Guatemala,0,0,0,0,0,0
2020-01-26,Guatemala,0,0,0,0,0,0
2020-01-27,Guatemala,0,0,0,0,0,0
2020-01-28,Guatemala,0,0,0,0,0,0
2020-01-29,Guatemala,0,0,0,0,0,0
2020-01-30,Guatemala,0,0,0,0,0,0
2020-01-31,Guatemala,0,0,0,0,0,0
2020-02-01,Guatemala,0,0,0,0,0,0
2020-02-02,Guatemala,0,0,0,0,0,0
2020-02-03,Guatemala,0,0,0,0,0,0
2020-02-04,Guatemala,0,0,0,0,0,0
2020-02-05,Guatemala,0,0,0,0,0,0
2020-02-06,Guatemala,0,0,0,0,0,0
2020-02-07,Guatemala,0,0,0,0,0,0
2020-02-08,Guatemala,0,0,0,0,0,0
2020-02-09,Guatemala,0,0,0,0,0,0
2020-02-10,Guatemala,0,0,0,0,0,0
2020-02-11,Guatemala,0,0,0,0,0,0
2020-02-12,Guatemala,0,0,0,0,0,0
2020-02-13,Guatemala,0,0,0,0,0,0
2020-02-14,Guatemala,0,0,0,0,0,0
2020-02-15,Guatemala,0,0,0,0,0,0
2020-02-16,Guatemala,0,0,0,0,0,0
2020-02-17,Guatemala,0,0,0,0,0,0
2020-02-18,Guatemala,0,0,0,0,0,0
2020-02-19,Guatemala,0,0,0,0,0,0
2020-02-20,Guatemala,0,0,0,0,0,0
2020-02-21,Guatemala,0,0,0,0,0,0
2020-02-22,Guatemala,0,0,0,0,0,0
2020-02-23,Guatemala,0,0,0,0,0,0
2020-02-24,Guatemala,0,0,0,0,0,0
2020-02-25,Guatemala,0,0,0,0,0,0
2020-02-26,Guatemala,0,0,0,0,0,0
2020-02-27,Guatemala,0,0,0,0,0,0
2020-02-28,Guatemala,0,0,0,0,0,0
2020-02-29,Guatemala,0,0,0,0,0,0
2020-03-01,Guatemala,0,0,0,0,0,0
2020-03-02,Guatemala,0,0,0,0,0,0
2020-03-03,Guatemala,0,0,0,0,0,0
2020-03-04,Guatemala,0,0,0,0,0,0
2020-03-05,Guatemala,0,0,0,0,0,0
2020-03-06,Guatemala,0,0,0,0,0,0
2020-03-07,Guatemala,0,0,0,0,0,0
2020-03-08,Guatemala,0,0,0,0,0,0
2020-03-09,Guatemala,0,0,0,0,0,0
2020-03-10,Guatemala,0,0,0,0,0,0
2020-03-11,Guatemala,0,0,0,0,0,0
2020-03-12,Guatemala,0,0,0,0,0,0
2020-03-13,Guatemala,0,0,0,0,0,0
2020-03-14,Guatemala,1,0,1,0,0,0
2020-03-15,Guatemala,1,0,0,0,0,0
2020-03-16,Guatemala,2,1,1,1,0,0
2020-03-17,Guatemala,6,1,4,0,1,0
2020-03-18,Guatemala,6,1,0,0,1,0
2020-03-19,Guatemala,9,1,3,0,1,0
2020-03-20,Guatemala,12,1,3,0,2,0
2020-03-21,Guatemala,17,1,5,0,2,0
2020-03-22,Guatemala,19,1,2,0,3,0
2020-03-23,Guatemala,20,1,1,0,3,0
2020-03-24,Guatemala,21,1,1,0,2,0
2020-03-25,Guatemala,24,1,3,0,3,0
2020-03-26,Guatemala,25,1,1,0,2,0
2020-03-27,Guatemala,28,1,3,0,2,0
2020-03-28,Guatemala,34,1,6,0,2,0
2020-03-29,Guatemala,34,1,0,0,2,0
2020-03-30,Guatemala,36,1,2,0,2,0
2020-03-31,Guatemala,38,1,2,0,2,0
2020-04-01,Guatemala,39,1,1,0,2,0
2020-04-02,Guatemala,47,1,8,0,3,0
2020-04-03,Guatemala,50,1,3,0,3,0
2020-04-04,Guatemala,61,2,11,1,4,0
2020-04-05,Guatemala,61,2,0,0,4,0
2020-04-06,Guatemala,70,3,9,1,5,0
2020-04-07,Guatemala,77,3,7,0,6,0
2020-04-08,Guatemala,87,3,10,0,7,0
2020-04-09,Guatemala,95,3,8,0,7,0
2020-04-10,Guatemala,126,3,31,0,11,0
2020-04-11,Guatemala,137,3,11,0,11,0
2020-04-12,Guatemala,155,5,18,2,13,0
2020-04-13,Guatemala,156,5,1,0,12,0
2020-04-14,Guatemala,167,5,11,0,13,0
2020-04-15,Guatemala,180,5,13,0,13,0
2020-04-16,Guatemala,196,5,16,0,14,0
